Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/1/22, 00:00:00, 54.82, 54.82, 54.82, 54.82, 959334, 2563088
2018/1/23, 00:00:00, 55.04, 55.04, 55.04, 55.04, 1100502, 2587735
2018/1/24, 00:00:00, 54.50, 54.50, 54.50, 54.50, 1798089, 2655181
2018/1/25, 00:00:00, 54.68, 54.68, 54.68, 54.68, 1596241, 2632514
2018/1/26, 00:00:00, 54.57, 54.57, 54.57, 54.57, 1333316, 2648090
2018/1/29, 00:00:00, 54.20, 54.20, 54.20, 54.20, 1206995, 2644526
2018/1/30, 00:00:00, 53.58, 53.58, 53.58, 53.58, 1286493, 2643683
2018/1/31, 00:00:00, 53.39, 53.39, 53.39, 53.39, 1158182, 2648774
2018/2/1, 00:00:00, 53.38, 53.38, 53.38, 53.38, 1402838, 2680530
2018/2/2, 00:00:00, 52.42, 52.42, 52.42, 52.42, 1954071, 2637021
2018/2/5, 00:00:00, 52.08, 52.08, 52.08, 52.08, 1980123, 2587299
2018/2/6, 00:00:00, 51.83, 51.83, 51.83, 51.83, 1495610, 2589270
2018/2/7, 00:00:00, 51.20, 51.20, 51.20, 51.20, 2015703, 2550513
2018/2/8, 00:00:00, 51.23, 51.23, 51.23, 51.23, 1866093, 2543617
2018/2/9, 00:00:00, 50.69, 50.69, 50.69, 50.69, 1764311, 2524015
2018/2/12, 00:00:00, 50.92, 50.92, 50.92, 50.92, 1455165, 2518019
2018/2/13, 00:00:00, 51.61, 51.61, 51.61, 51.61, 1253615, 2530604
2018/2/14, 00:00:00, 51.58, 51.58, 51.58, 51.58, 1612908, 2520377
2018/2/15, 00:00:00, 51.54, 51.54, 51.54, 51.54, 1515184, 2477064
2018/2/16, 00:00:00, 51.83, 51.83, 51.83, 51.83, 1147661, 2421110
2018/2/20, 00:00:00, 52.43, 52.43, 52.43, 52.43, 1339441, 2430562
2018/2/21, 00:00:00, 52.47, 52.47, 52.47, 52.47, 813882, 2425517
2018/2/22, 00:00:00, 52.61, 52.61, 52.61, 52.61, 1096895, 2430049
2018/2/23, 00:00:00, 53.40, 53.40, 53.40, 53.40, 900749, 2434008
2018/2/26, 00:00:00, 54.01, 54.01, 54.01, 54.01, 810920, 2453610
2018/2/27, 00:00:00, 53.61, 53.61, 53.61, 53.61, 957971, 2460214
2018/2/28, 00:00:00, 52.07, 52.07, 52.07, 52.07, 1349655, 2462234
2018/3/1, 00:00:00, 51.76, 51.76, 51.76, 51.76, 1395837, 2468735
2018/3/2, 00:00:00, 51.79, 51.79, 51.79, 51.79, 1040814, 2457804
2018/3/5, 00:00:00, 52.48, 52.48, 52.48, 52.48, 977010, 2469014
2018/3/6, 00:00:00, 52.55, 52.55, 52.55, 52.55, 1120554, 2451492
2018/3/7, 00:00:00, 51.95, 51.95, 51.95, 51.95, 1558043, 2461343
2018/3/8, 00:00:00, 51.96, 51.96, 51.96, 51.96, 1615637, 2446518
2018/3/9, 00:00:00, 52.93, 52.93, 52.93, 52.93, 1420169, 2432754
2018/3/12, 00:00:00, 52.83, 52.83, 52.83, 52.83, 1024381, 2428425
2018/3/13, 00:00:00, 52.72, 52.72, 52.72, 52.72, 1480803, 2403162
2018/3/14, 00:00:00, 52.86, 52.86, 52.86, 52.86, 1250355, 2401740
2018/3/15, 00:00:00, 52.65, 52.65, 52.65, 52.65, 983322, 2381898
2018/3/16, 00:00:00, 52.63, 52.63, 52.63, 52.63, 934479, 2401800
2018/3/19, 00:00:00, 52.22, 52.22, 52.22, 52.22, 911452, 2376271
2018/3/20, 00:00:00, 52.38, 52.38, 52.38, 52.38, 1126655, 2386095
2018/3/21, 00:00:00, 53.09, 53.09, 53.09, 53.09, 1394054, 2436499
2018/3/22, 00:00:00, 52.64, 52.64, 52.64, 52.64, 1281737, 2436690
2018/3/23, 00:00:00, 53.05, 53.05, 53.05, 53.05, 1271363, 2469551
2018/3/26, 00:00:00, 52.86, 52.86, 52.86, 52.86, 927759, 2483359
2018/3/27, 00:00:00, 52.86, 52.86, 52.86, 52.86, 1132857, 2513575
2018/3/28, 00:00:00, 52.84, 52.84, 52.84, 52.84, 1156249, 2509804
2018/3/29, 00:00:00, 52.62, 52.62, 52.62, 52.62, 961850, 2521210
2018/4/2, 00:00:00, 51.68, 51.68, 51.68, 51.68, 940753, 2532289
2018/4/3, 00:00:00, 52.06, 52.06, 52.06, 52.06, 880962, 2547337
2018/4/4, 00:00:00, 52.02, 52.02, 52.02, 52.02, 1319181, 2542709
2018/4/5, 00:00:00, 52.23, 52.23, 52.23, 52.23, 1077685, 2522714
2018/4/6, 00:00:00, 51.53, 51.53, 51.53, 51.53, 1466267, 2499221
2018/4/9, 00:00:00, 51.68, 51.68, 51.68, 51.68, 1279932, 2469396
2018/4/10, 00:00:00, 51.97, 51.97, 51.97, 51.97, 1788317, 2480033
2018/4/11, 00:00:00, 52.27, 52.27, 52.27, 52.27, 2093741, 2534391
2018/4/12, 00:00:00, 51.94, 51.94, 51.94, 51.94, 1370398, 2565785
2018/4/13, 00:00:00, 51.87, 51.87, 51.87, 51.87, 1378834, 2609563
2018/4/16, 00:00:00, 51.84, 51.84, 51.84, 51.84, 1266169, 2605000
2018/4/17, 00:00:00, 51.79, 51.79, 51.79, 51.79, 1314171, 2596578
2018/4/18, 00:00:00, 51.70, 51.70, 51.70, 51.70, 1478871, 2616362
2018/4/19, 00:00:00, 51.88, 51.88, 51.88, 51.88, 1519806, 2598362
2018/4/20, 00:00:00, 51.82, 51.82, 51.82, 51.82, 1116135, 2562051
2018/4/23, 00:00:00, 52.15, 52.15, 52.15, 52.15, 1384486, 2564936
2018/4/24, 00:00:00, 51.71, 51.71, 51.71, 51.71, 1478857, 2574820
2018/4/25, 00:00:00, 51.60, 51.60, 51.60, 51.60, 1274381, 2597874
2018/4/26, 00:00:00, 51.63, 51.63, 51.63, 51.63, 1197794, 2630989
