Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 08:00:00, 60.32, 60.32, 60.32, 60.32, 2, 2, 0, 2
2026/2/18, 09:00:00, 60.31, 60.31, 60.31, 60.31, 1, 1, 1, 0
2026/2/18, 10:00:00, 60.51, 60.88, 60.51, 60.88, 2, 2, 0, 2
2026/2/18, 11:00:00, 60.99, 60.99, 60.99, 60.99, 1, 1, 0, 1
2026/2/18, 12:00:00, 61.56, 61.56, 61.51, 61.51, 10, 3, 5, 5
2026/2/18, 13:00:00, 61.35, 61.35, 61.26, 61.34, 41, 18, 10, 31
2026/2/18, 14:00:00, 61.30, 61.53, 61.30, 61.53, 5, 5, 4, 1
2026/2/18, 15:00:00, 61.53, 61.58, 61.53, 61.58, 2, 2, 1, 1
2026/2/18, 16:00:00, 61.52, 61.65, 61.52, 61.65, 14, 12, 2, 12
2026/2/18, 17:00:00, 61.62, 61.80, 61.62, 61.77, 13, 11, 1, 12
2026/2/18, 18:00:00, 61.92, 61.94, 61.83, 61.83, 10, 9, 2, 8
2026/2/18, 19:00:00, 62.00, 62.02, 61.91, 61.91, 17, 8, 9, 8
2026/2/18, 20:00:00, 62.04, 62.04, 62.04, 62.04, 1, 1, 0, 1
2026/2/18, 21:00:00, 61.88, 61.88, 61.77, 61.77, 3, 3, 2, 1
2026/2/19, 08:00:00, 62.33, 62.60, 62.33, 62.60, 9, 6, 8, 1
2026/2/19, 09:00:00, 62.38, 62.38, 62.37, 62.37, 2, 2, 2, 0
2026/2/19, 10:00:00, 62.29, 62.29, 62.29, 62.29, 1, 1, 0, 1
2026/2/19, 11:00:00, 62.49, 62.50, 62.48, 62.48, 16, 10, 0, 16
2026/2/19, 12:00:00, 62.49, 62.49, 62.49, 62.49, 5, 3, 0, 5
2026/2/19, 13:00:00, 62.55, 62.58, 62.47, 62.54, 25, 14, 3, 22
2026/2/19, 14:00:00, 62.48, 62.62, 62.44, 62.62, 8, 4, 2, 6
2026/2/19, 15:00:00, 62.50, 62.72, 62.28, 62.72, 55, 32, 11, 44
2026/2/19, 16:00:00, 62.74, 62.74, 62.74, 62.74, 1, 1, 0, 1
2026/2/19, 17:00:00, 62.68, 62.68, 62.68, 62.68, 1, 1, 1, 0
2026/2/19, 18:00:00, 62.51, 62.72, 62.51, 62.72, 3, 3, 1, 2
2026/2/19, 19:00:00, 62.68, 62.71, 62.63, 62.69, 11, 7, 9, 2
2026/2/19, 20:00:00, 62.71, 62.76, 62.69, 62.73, 8, 5, 8, 0
2026/2/19, 21:00:00, 62.67, 62.78, 62.32, 62.78, 6, 6, 3, 3
2026/2/20, 01:00:00, 62.78, 62.78, 62.78, 62.78, 1, 1, 1, 0
2026/2/20, 02:00:00, 62.71, 62.71, 62.71, 62.71, 1, 1, 0, 1
2026/2/20, 03:00:00, 62.70, 62.71, 62.70, 62.71, 3, 3, 0, 3
2026/2/20, 04:00:00, 62.75, 62.75, 62.75, 62.75, 1, 1, 0, 1
2026/2/20, 05:00:00, 62.85, 62.85, 62.85, 62.85, 1, 1, 1, 0
2026/2/20, 06:00:00, 62.90, 62.90, 62.85, 62.85, 2, 2, 2, 0
2026/2/20, 07:00:00, 62.53, 62.53, 62.52, 62.52, 2, 2, 2, 0
2026/2/20, 08:00:00, 62.52, 62.54, 62.38, 62.38, 19, 16, 19, 0
2026/2/20, 09:00:00, 62.54, 62.72, 62.43, 62.43, 4, 4, 2, 2
2026/2/20, 10:00:00, 62.42, 62.42, 62.42, 62.42, 1, 1, 0, 1
2026/2/20, 11:00:00, 62.38, 62.38, 62.36, 62.36, 2, 2, 1, 1
2026/2/20, 13:00:00, 62.53, 62.60, 62.53, 62.60, 2, 2, 2, 0
2026/2/20, 14:00:00, 62.58, 62.58, 62.35, 62.58, 8, 8, 3, 5
2026/2/20, 15:00:00, 62.82, 62.82, 62.53, 62.59, 5, 5, 4, 1
2026/2/20, 18:00:00, 62.78, 62.78, 62.62, 62.62, 2, 2, 1, 1
2026/2/20, 19:00:00, 62.61, 62.74, 62.61, 62.74, 6, 6, 3, 3
2026/2/20, 20:00:00, 62.62, 62.62, 62.62, 62.62, 1, 1, 0, 1
2026/2/20, 21:00:00, 62.58, 62.60, 62.58, 62.60, 2, 2, 2, 0
2026/2/23, 02:00:00, 62.47, 62.47, 62.47, 62.47, 2, 1, 2, 0
2026/2/23, 08:00:00, 62.44, 62.44, 62.33, 62.33, 13, 9, 13, 0
2026/2/23, 09:00:00, 62.71, 62.72, 62.70, 62.72, 3, 3, 1, 2
2026/2/23, 10:00:00, 62.61, 62.61, 62.61, 62.61, 1, 1, 0, 1
2026/2/23, 12:00:00, 63.00, 63.00, 63.00, 63.00, 3, 2, 1, 2
2026/2/23, 13:00:00, 62.98, 62.98, 62.98, 62.98, 1, 1, 1, 0
2026/2/23, 14:00:00, 63.11, 63.24, 63.11, 63.24, 6, 3, 1, 5
2026/2/23, 15:00:00, 63.30, 63.30, 63.01, 63.01, 3, 3, 3, 0
2026/2/23, 16:00:00, 63.00, 63.05, 62.83, 62.83, 6, 3, 1, 5
2026/2/23, 19:00:00, 62.83, 62.88, 62.83, 62.88, 2, 2, 1, 1
2026/2/24, 10:00:00, 63.04, 63.07, 63.04, 63.07, 2, 2, 0, 2
2026/2/24, 13:00:00, 63.32, 63.32, 63.32, 63.32, 10, 1, 10, 0
2026/2/24, 14:00:00, 63.29, 63.29, 63.16, 63.16, 9, 3, 0, 9
2026/2/24, 15:00:00, 63.12, 63.12, 62.70, 62.85, 13, 11, 5, 8
2026/2/24, 16:00:00, 63.03, 63.03, 63.03, 63.03, 1, 1, 0, 1
2026/2/24, 17:00:00, 63.17, 63.17, 63.16, 63.16, 2, 2, 2, 0
2026/2/24, 19:00:00, 62.83, 62.84, 62.83, 62.83, 4, 4, 3, 1
2026/2/24, 20:00:00, 63.28, 63.28, 63.21, 63.21, 3, 3, 3, 0
2026/2/24, 21:00:00, 63.04, 63.04, 63.04, 63.04, 2, 2, 2, 0
2026/2/25, 03:00:00, 63.35, 63.35, 63.34, 63.34, 3, 3, 2, 1
2026/2/25, 09:00:00, 62.80, 62.80, 62.80, 62.80, 1, 1, 1, 0
2026/2/25, 12:00:00, 63.00, 63.00, 63.00, 63.00, 1, 1, 1, 0
2026/2/25, 14:00:00, 62.86, 62.86, 62.86, 62.86, 1, 1, 0, 1
2026/2/25, 19:00:00, 62.75, 62.75, 62.75, 62.75, 1, 1, 1, 0
2026/2/25, 20:00:00, 62.91, 62.91, 62.71, 62.71, 31, 11, 7, 24
2026/2/26, 00:00:00, 63.00, 63.00, 63.00, 63.00, 3, 3, 0, 3
2026/2/26, 02:00:00, 62.83, 62.83, 62.70, 62.70, 3, 3, 1, 2
2026/2/26, 06:00:00, 62.70, 62.70, 62.70, 62.70, 1, 1, 1, 0
2026/2/26, 10:00:00, 62.24, 62.24, 62.00, 62.00, 11, 3, 11, 0
2026/2/26, 12:00:00, 61.78, 61.78, 61.76, 61.76, 2, 2, 2, 0
2026/2/26, 13:00:00, 61.48, 61.48, 61.40, 61.40, 2, 2, 1, 1
2026/2/26, 14:00:00, 61.80, 61.98, 61.69, 61.98, 4, 4, 3, 1
2026/2/26, 15:00:00, 62.14, 63.28, 62.14, 63.28, 29, 22, 12, 17
2026/2/26, 16:00:00, 63.21, 63.23, 62.96, 62.96, 24, 21, 3, 21
2026/2/26, 17:00:00, 62.95, 62.98, 62.95, 62.98, 3, 3, 3, 0
2026/2/26, 18:00:00, 62.86, 62.86, 62.26, 62.26, 2, 2, 1, 1
2026/2/26, 19:00:00, 62.13, 62.28, 62.13, 62.26, 5, 5, 5, 0
2026/2/26, 20:00:00, 62.44, 62.44, 62.44, 62.44, 1, 1, 1, 0
2026/2/26, 23:00:00, 62.32, 62.32, 62.28, 62.28, 4, 4, 0, 4
2026/2/27, 01:00:00, 62.13, 62.13, 62.13, 62.13, 1, 1, 0, 1
2026/2/27, 02:00:00, 62.11, 62.11, 62.11, 62.11, 1, 1, 1, 0
2026/2/27, 08:00:00, 62.63, 62.63, 62.63, 62.63, 2, 2, 0, 2
2026/2/27, 09:00:00, 62.59, 62.95, 62.59, 62.95, 2, 2, 0, 2
2026/2/27, 11:00:00, 63.10, 63.11, 63.10, 63.11, 4, 4, 2, 2
2026/2/27, 12:00:00, 63.26, 63.26, 63.24, 63.26, 3, 3, 2, 1
2026/2/27, 13:00:00, 63.65, 63.82, 63.65, 63.82, 18, 16, 5, 13
2026/2/27, 14:00:00, 63.75, 63.75, 63.33, 63.33, 4, 4, 0, 4
2026/2/27, 15:00:00, 63.29, 63.29, 63.13, 63.13, 4, 4, 0, 4
2026/2/27, 16:00:00, 63.20, 63.20, 63.17, 63.17, 3, 3, 0, 3
2026/2/27, 17:00:00, 63.18, 63.18, 62.88, 62.98, 27, 11, 14, 13
2026/2/27, 18:00:00, 63.07, 63.07, 63.07, 63.07, 4, 1, 4, 0
2026/2/27, 19:00:00, 63.31, 63.37, 63.31, 63.33, 7, 7, 4, 3
2026/2/27, 20:00:00, 63.39, 63.47, 63.39, 63.47, 27, 24, 2, 25
2026/2/27, 21:00:00, 63.47, 63.47, 63.35, 63.40, 194, 179, 50, 144
2026/3/1, 23:00:00, 65.50, 66.17, 65.50, 65.89, 21, 19, 4, 17
2026/3/2, 00:00:00, 65.87, 65.87, 65.87, 65.87, 4, 1, 0, 4
2026/3/2, 01:00:00, 65.00, 65.00, 64.94, 64.94, 3, 3, 3, 0
2026/3/2, 02:00:00, 64.48, 64.56, 64.48, 64.50, 3, 3, 0, 3
2026/3/2, 03:00:00, 64.44, 64.51, 64.44, 64.51, 2, 2, 0, 2
2026/3/2, 04:00:00, 64.72, 64.72, 64.72, 64.72, 1, 1, 1, 0
2026/3/2, 07:00:00, 65.40, 65.55, 65.40, 65.54, 3, 3, 3, 0
2026/3/2, 08:00:00, 65.44, 65.44, 65.25, 65.25, 2, 2, 1, 1
2026/3/2, 09:00:00, 65.02, 65.14, 65.02, 65.14, 2, 2, 1, 1
2026/3/2, 10:00:00, 65.06, 65.06, 65.04, 65.04, 5, 3, 5, 0
2026/3/2, 11:00:00, 65.02, 65.02, 64.99, 65.00, 8, 6, 0, 8
2026/3/2, 12:00:00, 65.31, 65.31, 65.31, 65.31, 1, 1, 1, 0
2026/3/2, 13:00:00, 65.00, 65.06, 65.00, 65.06, 2, 2, 1, 1
2026/3/2, 14:00:00, 65.33, 65.56, 64.50, 64.50, 103, 84, 32, 71
2026/3/2, 15:00:00, 64.64, 64.96, 64.55, 64.65, 166, 137, 45, 121
2026/3/2, 16:00:00, 64.57, 64.58, 63.88, 64.33, 78, 62, 41, 37
2026/3/2, 17:00:00, 64.31, 64.42, 64.13, 64.13, 9, 6, 7, 2
2026/3/2, 18:00:00, 64.16, 64.19, 64.16, 64.19, 2, 2, 1, 1
2026/3/2, 19:00:00, 64.00, 64.25, 63.94, 63.97, 44, 33, 9, 35
2026/3/2, 20:00:00, 63.99, 65.00, 63.99, 64.45, 34, 20, 23, 11
2026/3/2, 21:00:00, 64.30, 64.36, 64.16, 64.18, 10, 9, 4, 6
2026/3/3, 00:00:00, 64.37, 64.61, 64.34, 64.61, 4, 4, 3, 1
2026/3/3, 01:00:00, 64.68, 64.80, 64.66, 64.76, 349, 185, 302, 47
2026/3/3, 02:00:00, 64.84, 65.00, 64.84, 64.86, 6, 6, 0, 6
2026/3/3, 03:00:00, 64.97, 64.97, 64.85, 64.89, 7, 7, 5, 2
2026/3/3, 05:00:00, 64.90, 65.32, 64.84, 65.00, 6, 6, 4, 2
2026/3/3, 06:00:00, 64.97, 64.97, 64.97, 64.97, 1, 1, 0, 1
2026/3/3, 07:00:00, 65.30, 65.52, 65.13, 65.52, 5, 5, 0, 5
2026/3/3, 08:00:00, 65.52, 65.52, 65.39, 65.39, 5, 4, 0, 5
2026/3/3, 09:00:00, 65.71, 66.27, 65.71, 66.00, 30, 29, 4, 26
2026/3/3, 10:00:00, 66.16, 66.50, 66.15, 66.50, 9, 9, 1, 8
2026/3/3, 12:00:00, 66.36, 66.36, 65.70, 65.70, 12, 12, 4, 8
2026/3/3, 13:00:00, 65.80, 65.80, 65.34, 65.34, 44, 42, 5, 39
2026/3/3, 14:00:00, 65.58, 65.64, 65.20, 65.32, 25, 25, 5, 20
2026/3/3, 15:00:00, 65.20, 65.41, 65.05, 65.18, 22, 18, 8, 14
2026/3/3, 16:00:00, 65.24, 65.25, 64.21, 64.35, 12, 12, 6, 6
2026/3/3, 17:00:00, 64.74, 64.82, 64.60, 64.62, 15, 12, 6, 9
2026/3/3, 18:00:00, 64.59, 64.59, 63.99, 64.37, 6, 6, 1, 5
2026/3/3, 19:00:00, 64.51, 64.65, 63.65, 64.09, 43, 28, 33, 10
2026/3/3, 20:00:00, 64.23, 64.23, 64.23, 64.23, 1, 1, 0, 1
2026/3/3, 21:00:00, 64.32, 64.63, 64.32, 64.63, 2, 2, 1, 1
2026/3/3, 23:00:00, 64.85, 64.85, 64.85, 64.85, 1, 1, 0, 1
2026/3/4, 00:00:00, 64.34, 64.34, 64.34, 64.34, 1, 1, 1, 0
2026/3/4, 01:00:00, 64.41, 64.50, 64.41, 64.50, 3, 3, 0, 3
2026/3/4, 02:00:00, 64.70, 64.70, 64.54, 64.61, 5, 5, 0, 5
2026/3/4, 03:00:00, 64.35, 64.53, 64.35, 64.52, 3, 3, 0, 3
2026/3/4, 04:00:00, 64.56, 64.64, 64.56, 64.62, 5, 5, 3, 2
2026/3/4, 08:00:00, 65.36, 65.44, 65.36, 65.38, 3, 3, 2, 1
2026/3/4, 09:00:00, 65.05, 65.05, 64.71, 64.76, 5, 5, 4, 1
2026/3/4, 12:00:00, 64.55, 64.55, 64.55, 64.55, 1, 1, 0, 1
2026/3/4, 14:00:00, 64.88, 64.88, 64.78, 64.78, 2, 2, 0, 2
2026/3/4, 15:00:00, 64.65, 64.75, 64.61, 64.75, 16, 8, 15, 1
2026/3/4, 16:00:00, 64.96, 64.96, 64.68, 64.70, 5, 5, 1, 4
2026/3/4, 17:00:00, 65.09, 65.25, 65.06, 65.16, 21, 18, 15, 6
2026/3/4, 18:00:00, 64.99, 65.08, 64.99, 65.08, 3, 3, 3, 0
2026/3/4, 19:00:00, 64.95, 65.10, 64.95, 65.00, 5, 5, 2, 3
2026/3/4, 20:00:00, 65.13, 65.13, 64.90, 64.90, 7, 3, 1, 6
2026/3/4, 21:00:00, 65.10, 65.10, 65.10, 65.10, 1, 1, 0, 1
2026/3/4, 23:00:00, 65.14, 65.14, 65.14, 65.14, 11, 10, 11, 0
2026/3/5, 01:00:00, 65.49, 65.50, 65.49, 65.50, 2, 2, 0, 2
2026/3/5, 02:00:00, 65.62, 65.76, 65.62, 65.74, 6, 6, 2, 4
2026/3/5, 05:00:00, 65.99, 65.99, 65.99, 65.99, 1, 1, 0, 1
2026/3/5, 06:00:00, 65.90, 65.90, 65.23, 65.23, 7, 6, 1, 6
2026/3/5, 08:00:00, 65.71, 65.85, 65.69, 65.85, 5, 5, 5, 0
2026/3/5, 09:00:00, 65.77, 65.87, 65.50, 65.87, 5, 5, 4, 1
2026/3/5, 10:00:00, 65.89, 65.89, 65.89, 65.89, 1, 1, 1, 0
2026/3/5, 12:00:00, 66.00, 66.08, 66.00, 66.08, 2, 2, 2, 0
2026/3/5, 13:00:00, 65.87, 65.87, 65.87, 65.87, 1, 1, 1, 0
2026/3/5, 14:00:00, 66.04, 66.25, 66.01, 66.05, 32, 25, 28, 4
2026/3/5, 15:00:00, 66.06, 66.23, 66.06, 66.20, 29, 23, 4, 25
2026/3/5, 16:00:00, 66.00, 66.37, 65.91, 66.37, 100, 75, 10, 90
2026/3/5, 17:00:00, 66.28, 66.65, 66.28, 66.65, 22, 17, 10, 12
2026/3/5, 18:00:00, 66.58, 66.80, 66.58, 66.71, 25, 24, 4, 21
2026/3/5, 19:00:00, 66.81, 66.83, 66.36, 66.53, 57, 34, 44, 13
