Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 08:55:00, 60.32, 60.32, 60.32, 60.32, 2, 2, 0, 2
2026/2/18, 09:50:00, 60.31, 60.31, 60.31, 60.31, 1, 1, 1, 0
2026/2/18, 10:00:00, 60.51, 60.51, 60.51, 60.51, 1, 1, 0, 1
2026/2/18, 10:55:00, 60.88, 60.88, 60.88, 60.88, 1, 1, 0, 1
2026/2/18, 11:10:00, 60.99, 60.99, 60.99, 60.99, 1, 1, 0, 1
2026/2/18, 12:25:00, 61.56, 61.56, 61.51, 61.51, 10, 3, 5, 5
2026/2/18, 13:05:00, 61.35, 61.35, 61.26, 61.26, 40, 17, 10, 30
2026/2/18, 13:25:00, 61.34, 61.34, 61.34, 61.34, 1, 1, 0, 1
2026/2/18, 14:00:00, 61.30, 61.37, 61.30, 61.36, 3, 3, 3, 0
2026/2/18, 14:20:00, 61.40, 61.40, 61.40, 61.40, 1, 1, 1, 0
2026/2/18, 14:55:00, 61.53, 61.53, 61.53, 61.53, 1, 1, 0, 1
2026/2/18, 15:20:00, 61.53, 61.53, 61.53, 61.53, 1, 1, 0, 1
2026/2/18, 15:50:00, 61.58, 61.58, 61.58, 61.58, 1, 1, 1, 0
2026/2/18, 16:05:00, 61.52, 61.52, 61.52, 61.52, 1, 1, 0, 1
2026/2/18, 16:20:00, 61.56, 61.56, 61.55, 61.55, 2, 2, 2, 0
2026/2/18, 16:55:00, 61.65, 61.65, 61.65, 61.65, 11, 9, 0, 11
2026/2/18, 17:00:00, 61.62, 61.65, 61.62, 61.65, 10, 8, 0, 10
2026/2/18, 17:15:00, 61.78, 61.80, 61.78, 61.80, 2, 2, 0, 2
2026/2/18, 17:20:00, 61.77, 61.77, 61.77, 61.77, 1, 1, 1, 0
2026/2/18, 18:20:00, 61.92, 61.92, 61.92, 61.92, 1, 1, 1, 0
2026/2/18, 18:25:00, 61.90, 61.90, 61.90, 61.90, 1, 1, 1, 0
2026/2/18, 18:35:00, 61.88, 61.89, 61.88, 61.89, 5, 5, 0, 5
2026/2/18, 18:40:00, 61.94, 61.94, 61.94, 61.94, 1, 1, 0, 1
2026/2/18, 18:45:00, 61.83, 61.83, 61.83, 61.83, 2, 1, 0, 2
2026/2/18, 19:25:00, 62.00, 62.02, 61.91, 61.91, 17, 8, 9, 8
2026/2/18, 20:35:00, 62.04, 62.04, 62.04, 62.04, 1, 1, 0, 1
2026/2/18, 21:20:00, 61.88, 61.88, 61.88, 61.88, 1, 1, 0, 1
2026/2/18, 21:25:00, 61.84, 61.84, 61.84, 61.84, 1, 1, 1, 0
2026/2/18, 21:55:00, 61.77, 61.77, 61.77, 61.77, 1, 1, 1, 0
2026/2/19, 08:10:00, 62.33, 62.33, 62.33, 62.33, 5, 3, 5, 0
2026/2/19, 08:15:00, 62.36, 62.36, 62.36, 62.36, 3, 2, 3, 0
2026/2/19, 08:55:00, 62.60, 62.60, 62.60, 62.60, 1, 1, 0, 1
2026/2/19, 09:55:00, 62.38, 62.38, 62.37, 62.37, 2, 2, 2, 0
2026/2/19, 10:00:00, 62.29, 62.29, 62.29, 62.29, 1, 1, 0, 1
2026/2/19, 11:55:00, 62.49, 62.50, 62.48, 62.48, 16, 10, 0, 16
2026/2/19, 12:00:00, 62.49, 62.49, 62.49, 62.49, 5, 3, 0, 5
2026/2/19, 13:20:00, 62.55, 62.55, 62.55, 62.55, 1, 1, 0, 1
2026/2/19, 13:50:00, 62.47, 62.47, 62.47, 62.47, 10, 2, 0, 10
2026/2/19, 13:55:00, 62.58, 62.58, 62.53, 62.54, 14, 11, 3, 11
2026/2/19, 14:05:00, 62.48, 62.48, 62.48, 62.48, 1, 1, 1, 0
2026/2/19, 14:25:00, 62.44, 62.44, 62.44, 62.44, 5, 1, 0, 5
2026/2/19, 14:35:00, 62.56, 62.56, 62.56, 62.56, 1, 1, 1, 0
2026/2/19, 14:45:00, 62.62, 62.62, 62.62, 62.62, 1, 1, 0, 1
2026/2/19, 15:00:00, 62.50, 62.50, 62.28, 62.35, 31, 17, 8, 23
2026/2/19, 15:05:00, 62.48, 62.48, 62.35, 62.35, 21, 12, 1, 20
2026/2/19, 15:25:00, 62.58, 62.58, 62.58, 62.58, 1, 1, 1, 0
