Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/1/22, 00:00:00, 54.85, 54.85, 54.85, 54.85, 959334, 2563088
2018/1/23, 00:00:00, 55.07, 55.07, 55.07, 55.07, 1100502, 2587735
2018/1/24, 00:00:00, 54.53, 54.53, 54.53, 54.53, 1798089, 2655181
2018/1/25, 00:00:00, 54.71, 54.71, 54.71, 54.71, 1596241, 2632514
2018/1/26, 00:00:00, 54.60, 54.60, 54.60, 54.60, 1333316, 2648090
2018/1/29, 00:00:00, 54.23, 54.23, 54.23, 54.23, 1206995, 2644526
2018/1/30, 00:00:00, 53.61, 53.61, 53.61, 53.61, 1286493, 2643683
2018/1/31, 00:00:00, 53.42, 53.42, 53.42, 53.42, 1158182, 2648774
2018/2/1, 00:00:00, 53.41, 53.41, 53.41, 53.41, 1402838, 2680530
2018/2/2, 00:00:00, 52.45, 52.45, 52.45, 52.45, 1954071, 2637021
2018/2/5, 00:00:00, 52.11, 52.11, 52.11, 52.11, 1980123, 2587299
2018/2/6, 00:00:00, 51.86, 51.86, 51.86, 51.86, 1495610, 2589270
2018/2/7, 00:00:00, 51.23, 51.23, 51.23, 51.23, 2015703, 2550513
2018/2/8, 00:00:00, 51.26, 51.26, 51.26, 51.26, 1866093, 2543617
2018/2/9, 00:00:00, 50.72, 50.72, 50.72, 50.72, 1764311, 2524015
2018/2/12, 00:00:00, 50.95, 50.95, 50.95, 50.95, 1455165, 2518019
2018/2/13, 00:00:00, 51.64, 51.64, 51.64, 51.64, 1253615, 2530604
2018/2/14, 00:00:00, 51.61, 51.61, 51.61, 51.61, 1612908, 2520377
2018/2/15, 00:00:00, 51.57, 51.57, 51.57, 51.57, 1515184, 2477064
2018/2/16, 00:00:00, 51.86, 51.86, 51.86, 51.86, 1147661, 2421110
2018/2/20, 00:00:00, 52.46, 52.46, 52.46, 52.46, 1339441, 2430562
2018/2/21, 00:00:00, 52.50, 52.50, 52.50, 52.50, 813882, 2425517
2018/2/22, 00:00:00, 52.64, 52.64, 52.64, 52.64, 1096895, 2430049
2018/2/23, 00:00:00, 53.43, 53.43, 53.43, 53.43, 900749, 2434008
