Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 60.07, 60.07, 60.07, 60.07, 1, 1, 1, 0
2026/2/18, 08:00:00, 60.39, 60.39, 60.36, 60.39, 105, 75, 2, 103
2026/2/18, 09:00:00, 60.33, 60.33, 60.21, 60.21, 2, 2, 0, 2
2026/2/18, 11:00:00, 60.80, 60.80, 60.80, 60.80, 1, 1, 0, 1
2026/2/18, 12:00:00, 61.10, 61.24, 61.08, 61.24, 5, 5, 1, 4
2026/2/18, 13:00:00, 61.08, 61.08, 61.08, 61.08, 5, 3, 2, 3
2026/2/18, 14:00:00, 61.13, 61.39, 61.13, 61.39, 8, 6, 5, 3
2026/2/18, 15:00:00, 61.42, 61.42, 61.42, 61.42, 10, 6, 10, 0
2026/2/18, 16:00:00, 61.39, 61.39, 61.38, 61.38, 2, 2, 2, 0
2026/2/18, 17:00:00, 61.58, 61.65, 61.55, 61.65, 5, 4, 0, 5
2026/2/18, 18:00:00, 61.72, 61.72, 61.66, 61.71, 6, 5, 3, 3
2026/2/18, 19:00:00, 61.78, 61.78, 61.60, 61.60, 25, 13, 7, 18
2026/2/18, 20:00:00, 61.79, 61.79, 61.75, 61.75, 2, 2, 1, 1
2026/2/18, 21:00:00, 61.71, 61.71, 61.59, 61.59, 8, 8, 7, 1
2026/2/19, 08:00:00, 62.11, 62.12, 62.11, 62.12, 4, 3, 4, 0
2026/2/19, 14:00:00, 62.12, 62.16, 62.05, 62.16, 18, 9, 7, 11
2026/2/19, 15:00:00, 62.21, 62.21, 62.04, 62.17, 13, 10, 9, 4
2026/2/19, 16:00:00, 62.46, 62.46, 62.46, 62.46, 1, 1, 1, 0
2026/2/19, 20:00:00, 62.45, 62.45, 62.39, 62.39, 9, 3, 8, 1
2026/2/19, 21:00:00, 62.48, 62.48, 62.48, 62.48, 1, 1, 1, 0
2026/2/20, 02:00:00, 62.50, 62.50, 62.41, 62.41, 2, 2, 0, 2
2026/2/20, 03:00:00, 62.41, 62.41, 62.41, 62.41, 1, 1, 0, 1
2026/2/20, 06:00:00, 62.61, 62.61, 62.54, 62.54, 2, 2, 2, 0
2026/2/20, 08:00:00, 62.23, 62.25, 62.21, 62.23, 16, 16, 16, 0
2026/2/20, 09:00:00, 62.19, 62.19, 62.19, 62.19, 1, 1, 1, 0
2026/2/20, 10:00:00, 62.15, 62.16, 62.15, 62.16, 3, 3, 1, 2
2026/2/20, 13:00:00, 62.25, 62.25, 62.25, 62.25, 1, 1, 1, 0
2026/2/20, 15:00:00, 62.42, 62.42, 62.42, 62.42, 2, 2, 2, 0
2026/2/20, 16:00:00, 62.32, 62.36, 62.27, 62.36, 71, 49, 64, 7
2026/2/20, 19:00:00, 62.37, 62.41, 62.37, 62.41, 8, 7, 0, 8
2026/2/20, 20:00:00, 62.31, 62.31, 62.31, 62.31, 1, 1, 0, 1
2026/2/23, 08:00:00, 62.18, 62.18, 62.15, 62.15, 11, 9, 11, 0
2026/2/23, 12:00:00, 62.62, 62.62, 62.62, 62.62, 1, 1, 1, 0
2026/2/23, 13:00:00, 62.64, 62.64, 62.64, 62.64, 2, 1, 0, 2
2026/2/23, 14:00:00, 62.81, 62.90, 62.81, 62.90, 40, 26, 29, 11
2026/2/23, 16:00:00, 62.75, 62.75, 62.75, 62.75, 3, 1, 3, 0
2026/2/23, 19:00:00, 62.55, 62.59, 62.55, 62.56, 3, 3, 1, 2
2026/2/23, 20:00:00, 62.67, 62.68, 62.66, 62.68, 36, 28, 17, 19
2026/2/24, 05:00:00, 62.93, 62.93, 62.93, 62.93, 1, 1, 0, 1
2026/2/24, 08:00:00, 62.76, 62.76, 62.76, 62.76, 1, 1, 0, 1
2026/2/24, 13:00:00, 63.05, 63.06, 63.05, 63.06, 3, 3, 1, 2
2026/2/24, 14:00:00, 62.94, 62.94, 62.94, 62.94, 1, 1, 0, 1
2026/2/24, 19:00:00, 62.57, 62.57, 62.57, 62.57, 1, 1, 1, 0
2026/2/24, 21:00:00, 62.84, 62.84, 62.84, 62.84, 1, 1, 0, 1
2026/2/25, 03:00:00, 63.02, 63.02, 63.02, 63.02, 1, 1, 0, 1
2026/2/25, 12:00:00, 62.83, 62.83, 62.83, 62.83, 2, 1, 2, 0
2026/2/25, 14:00:00, 62.53, 62.53, 62.43, 62.43, 3, 3, 3, 0
2026/2/25, 16:00:00, 62.42, 62.42, 62.42, 62.42, 2, 1, 2, 0
2026/2/25, 17:00:00, 62.50, 62.50, 62.50, 62.50, 2, 1, 0, 2
2026/2/25, 19:00:00, 62.50, 62.53, 62.46, 62.49, 18, 14, 17, 1
2026/2/25, 20:00:00, 62.50, 62.50, 62.50, 62.50, 1, 1, 1, 0
2026/2/26, 13:00:00, 61.28, 61.41, 61.28, 61.41, 4, 4, 0, 4
2026/2/26, 14:00:00, 61.49, 61.54, 61.49, 61.54, 5, 5, 4, 1
2026/2/26, 15:00:00, 62.90, 62.97, 62.88, 62.93, 4, 4, 0, 4
2026/2/26, 16:00:00, 62.83, 62.92, 62.68, 62.68, 18, 16, 3, 15
2026/2/26, 17:00:00, 62.65, 62.74, 62.64, 62.74, 8, 8, 8, 0
2026/2/26, 18:00:00, 62.61, 62.72, 62.00, 62.10, 7, 7, 5, 2
2026/2/26, 19:00:00, 61.82, 61.98, 61.70, 61.98, 12, 12, 3, 9
2026/2/26, 20:00:00, 62.18, 62.18, 62.18, 62.18, 1, 1, 0, 1
2026/2/27, 00:00:00, 62.06, 62.06, 62.05, 62.05, 3, 2, 3, 0
2026/2/27, 01:00:00, 61.81, 61.81, 61.81, 61.81, 1, 1, 1, 0
2026/2/27, 08:00:00, 62.35, 62.35, 62.35, 62.35, 2, 1, 0, 2
2026/2/27, 09:00:00, 62.38, 62.60, 62.38, 62.60, 2, 2, 1, 1
2026/2/27, 10:00:00, 62.50, 62.50, 62.50, 62.50, 1, 1, 1, 0
2026/2/27, 11:00:00, 62.80, 62.82, 62.78, 62.78, 4, 4, 1, 3
2026/2/27, 13:00:00, 63.40, 63.45, 63.36, 63.45, 40, 35, 5, 35
2026/2/27, 15:00:00, 62.95, 62.96, 62.95, 62.95, 3, 3, 1, 2
2026/2/27, 18:00:00, 62.69, 62.88, 62.69, 62.88, 5, 4, 4, 1
2026/2/27, 19:00:00, 63.02, 63.05, 62.84, 62.84, 157, 111, 12, 145
2026/2/27, 21:00:00, 63.01, 63.12, 63.01, 63.12, 3, 3, 0, 3
2026/3/1, 23:00:00, 65.16, 65.16, 65.14, 65.14, 14, 13, 0, 14
2026/3/2, 01:00:00, 64.53, 64.53, 64.53, 64.53, 3, 1, 0, 3
2026/3/2, 02:00:00, 63.92, 63.92, 63.92, 63.92, 3, 2, 0, 3
2026/3/2, 04:00:00, 64.30, 64.30, 64.30, 64.30, 1, 1, 1, 0
2026/3/2, 06:00:00, 64.50, 64.50, 64.50, 64.50, 3, 3, 2, 1
2026/3/2, 07:00:00, 64.95, 65.12, 64.80, 64.80, 9, 7, 4, 5
2026/3/2, 08:00:00, 65.07, 65.07, 64.70, 64.70, 5, 5, 5, 0
2026/3/2, 09:00:00, 64.40, 64.40, 64.40, 64.40, 1, 1, 1, 0
2026/3/2, 11:00:00, 64.61, 64.65, 64.55, 64.65, 8, 8, 2, 6
2026/3/2, 12:00:00, 64.62, 64.90, 64.59, 64.76, 12, 10, 1, 11
2026/3/2, 13:00:00, 64.78, 64.78, 64.76, 64.76, 3, 3, 2, 1
2026/3/2, 14:00:00, 64.89, 65.00, 64.17, 64.17, 101, 89, 19, 82
2026/3/2, 15:00:00, 64.27, 64.53, 64.12, 64.21, 84, 60, 71, 13
2026/3/2, 16:00:00, 63.92, 64.12, 63.45, 63.84, 47, 35, 37, 10
2026/3/2, 17:00:00, 63.98, 63.98, 63.81, 63.90, 6, 6, 2, 4
2026/3/2, 18:00:00, 63.71, 63.71, 63.71, 63.71, 5, 2, 0, 5
2026/3/2, 19:00:00, 63.72, 63.78, 63.51, 63.51, 7, 7, 3, 4
2026/3/2, 20:00:00, 63.56, 63.56, 63.55, 63.55, 5, 3, 1, 4
2026/3/3, 01:00:00, 64.22, 64.22, 64.22, 64.22, 2, 2, 2, 0
2026/3/3, 02:00:00, 64.26, 64.42, 64.26, 64.41, 5, 5, 1, 4
2026/3/3, 05:00:00, 64.50, 64.50, 64.48, 64.48, 2, 2, 0, 2
2026/3/3, 06:00:00, 64.31, 64.66, 64.31, 64.66, 5, 5, 3, 2
2026/3/3, 07:00:00, 64.62, 64.87, 64.62, 64.87, 2, 2, 0, 2
2026/3/3, 08:00:00, 65.10, 65.10, 64.87, 64.94, 8, 5, 0, 8
2026/3/3, 09:00:00, 65.26, 65.41, 65.26, 65.32, 6, 6, 1, 5
2026/3/3, 10:00:00, 65.77, 65.77, 65.77, 65.77, 2, 2, 0, 2
2026/3/3, 11:00:00, 65.67, 65.67, 65.67, 65.67, 2, 1, 0, 2
2026/3/3, 12:00:00, 65.40, 65.53, 65.40, 65.53, 3, 3, 1, 2
2026/3/3, 13:00:00, 64.92, 65.15, 64.83, 64.84, 39, 30, 15, 24
2026/3/3, 14:00:00, 64.90, 64.97, 64.55, 64.55, 13, 13, 3, 10
2026/3/3, 15:00:00, 64.61, 64.74, 64.56, 64.56, 27, 23, 4, 23
2026/3/3, 16:00:00, 64.48, 64.48, 63.43, 63.43, 2, 2, 1, 1
2026/3/3, 17:00:00, 63.99, 64.27, 63.99, 64.01, 18, 12, 6, 12
2026/3/3, 18:00:00, 63.99, 64.01, 63.36, 63.36, 25, 13, 12, 13
2026/3/3, 19:00:00, 63.86, 64.13, 63.35, 63.49, 38, 38, 17, 21
2026/3/3, 20:00:00, 63.52, 63.52, 63.48, 63.48, 2, 2, 0, 2
2026/3/3, 21:00:00, 63.77, 63.99, 63.76, 63.98, 12, 10, 2, 10
2026/3/4, 00:00:00, 63.92, 63.92, 63.85, 63.85, 2, 2, 2, 0
2026/3/4, 01:00:00, 64.00, 64.00, 64.00, 64.00, 1, 1, 1, 0
2026/3/4, 02:00:00, 64.05, 64.05, 63.85, 63.94, 8, 8, 1, 7
2026/3/4, 05:00:00, 63.95, 63.95, 63.95, 63.95, 1, 1, 1, 0
2026/3/4, 07:00:00, 64.32, 64.32, 64.32, 64.32, 1, 1, 1, 0
2026/3/4, 08:00:00, 64.32, 64.73, 64.32, 64.67, 7, 7, 5, 2
2026/3/4, 09:00:00, 64.50, 64.50, 64.18, 64.18, 2, 2, 2, 0
2026/3/4, 10:00:00, 64.22, 64.22, 63.99, 63.99, 5, 4, 3, 2
2026/3/4, 12:00:00, 63.84, 63.84, 63.84, 63.84, 1, 1, 1, 0
2026/3/4, 13:00:00, 63.61, 63.61, 63.61, 63.61, 1, 1, 0, 1
2026/3/4, 14:00:00, 64.09, 64.31, 64.09, 64.31, 3, 3, 1, 2
2026/3/4, 15:00:00, 64.17, 64.17, 64.07, 64.16, 4, 4, 2, 2
2026/3/4, 16:00:00, 64.43, 64.43, 64.13, 64.13, 2, 2, 1, 1
2026/3/4, 17:00:00, 64.55, 64.72, 64.52, 64.68, 19, 19, 15, 4
2026/3/4, 18:00:00, 64.67, 64.67, 64.52, 64.52, 5, 5, 5, 0
2026/3/4, 19:00:00, 64.50, 64.65, 64.45, 64.53, 195, 115, 168, 27
2026/3/4, 20:00:00, 64.60, 64.66, 64.37, 64.37, 13, 8, 4, 9
2026/3/4, 21:00:00, 64.45, 64.66, 64.45, 64.66, 5, 5, 2, 3
2026/3/4, 23:00:00, 64.62, 64.62, 64.62, 64.62, 2, 2, 2, 0
2026/3/5, 00:00:00, 64.55, 64.55, 64.55, 64.55, 1, 1, 1, 0
2026/3/5, 02:00:00, 65.06, 65.25, 65.06, 65.25, 10, 10, 4, 6
2026/3/5, 03:00:00, 65.02, 65.02, 65.02, 65.02, 1, 1, 1, 0
2026/3/5, 07:00:00, 65.07, 65.23, 65.07, 65.23, 3, 3, 3, 0
2026/3/5, 08:00:00, 65.29, 65.61, 65.29, 65.61, 16, 13, 8, 8
2026/3/5, 09:00:00, 64.97, 65.32, 64.86, 65.32, 5, 5, 0, 5
2026/3/5, 12:00:00, 65.32, 65.59, 65.32, 65.49, 7, 7, 7, 0
2026/3/5, 13:00:00, 65.51, 65.51, 65.29, 65.29, 7, 7, 7, 0
2026/3/5, 14:00:00, 65.30, 65.71, 65.30, 65.57, 15, 14, 14, 1
