Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 60.07, 60.07, 60.07, 60.07, 1, 1, 1, 0
2026/2/18, 08:20:00, 60.39, 60.39, 60.36, 60.36, 16, 4, 2, 14
2026/2/18, 08:30:00, 60.39, 60.39, 60.39, 60.39, 20, 15, 0, 20
2026/2/18, 08:40:00, 60.39, 60.39, 60.39, 60.39, 69, 56, 0, 69
2026/2/18, 09:30:00, 60.33, 60.33, 60.33, 60.33, 1, 1, 0, 1
2026/2/18, 09:50:00, 60.21, 60.21, 60.21, 60.21, 1, 1, 0, 1
2026/2/18, 11:10:00, 60.80, 60.80, 60.80, 60.80, 1, 1, 0, 1
2026/2/18, 12:05:00, 61.10, 61.11, 61.08, 61.11, 4, 4, 0, 4
2026/2/18, 12:10:00, 61.24, 61.24, 61.24, 61.24, 1, 1, 1, 0
2026/2/18, 13:50:00, 61.08, 61.08, 61.08, 61.08, 5, 3, 2, 3
2026/2/18, 14:00:00, 61.13, 61.13, 61.13, 61.13, 1, 1, 0, 1
2026/2/18, 14:15:00, 61.28, 61.28, 61.28, 61.28, 3, 1, 3, 0
2026/2/18, 14:20:00, 61.22, 61.22, 61.22, 61.22, 1, 1, 0, 1
2026/2/18, 14:30:00, 61.31, 61.31, 61.31, 61.31, 1, 1, 1, 0
2026/2/18, 14:45:00, 61.39, 61.39, 61.39, 61.39, 1, 1, 0, 1
2026/2/18, 14:55:00, 61.39, 61.39, 61.39, 61.39, 1, 1, 1, 0
2026/2/18, 15:30:00, 61.42, 61.42, 61.42, 61.42, 10, 6, 10, 0
2026/2/18, 16:15:00, 61.39, 61.39, 61.38, 61.38, 2, 2, 2, 0
2026/2/18, 17:10:00, 61.58, 61.58, 61.58, 61.58, 1, 1, 0, 1
2026/2/18, 17:15:00, 61.55, 61.55, 61.55, 61.55, 1, 1, 0, 1
2026/2/18, 17:45:00, 61.61, 61.61, 61.61, 61.61, 2, 1, 0, 2
2026/2/18, 17:50:00, 61.65, 61.65, 61.65, 61.65, 1, 1, 0, 1
2026/2/18, 18:10:00, 61.72, 61.72, 61.72, 61.72, 1, 1, 0, 1
2026/2/18, 18:20:00, 61.71, 61.71, 61.71, 61.71, 2, 1, 2, 0
2026/2/18, 18:30:00, 61.66, 61.66, 61.66, 61.66, 1, 1, 0, 1
2026/2/18, 18:35:00, 61.67, 61.67, 61.67, 61.67, 1, 1, 1, 0
2026/2/18, 18:40:00, 61.71, 61.71, 61.71, 61.71, 1, 1, 0, 1
2026/2/18, 19:20:00, 61.78, 61.78, 61.78, 61.78, 4, 4, 4, 0
2026/2/18, 19:25:00, 61.77, 61.77, 61.66, 61.66, 18, 6, 2, 16
2026/2/18, 19:55:00, 61.61, 61.61, 61.60, 61.60, 3, 3, 1, 2
2026/2/18, 20:40:00, 61.79, 61.79, 61.79, 61.79, 1, 1, 0, 1
2026/2/18, 20:55:00, 61.75, 61.75, 61.75, 61.75, 1, 1, 1, 0
2026/2/18, 21:00:00, 61.71, 61.71, 61.71, 61.71, 2, 2, 2, 0
2026/2/18, 21:05:00, 61.66, 61.66, 61.66, 61.66, 1, 1, 1, 0
2026/2/18, 21:20:00, 61.66, 61.66, 61.63, 61.63, 3, 3, 2, 1
2026/2/18, 21:25:00, 61.61, 61.61, 61.59, 61.59, 2, 2, 2, 0
2026/2/19, 08:15:00, 62.11, 62.11, 62.11, 62.11, 2, 1, 2, 0
2026/2/19, 08:25:00, 62.12, 62.12, 62.12, 62.12, 2, 2, 2, 0
2026/2/19, 14:10:00, 62.12, 62.13, 62.05, 62.05, 16, 7, 5, 11
2026/2/19, 14:15:00, 62.16, 62.16, 62.16, 62.16, 2, 2, 2, 0
2026/2/19, 15:00:00, 62.21, 62.21, 62.04, 62.06, 12, 9, 8, 4
2026/2/19, 15:10:00, 62.17, 62.17, 62.17, 62.17, 1, 1, 1, 0
2026/2/19, 16:45:00, 62.46, 62.46, 62.46, 62.46, 1, 1, 1, 0
2026/2/19, 20:10:00, 62.45, 62.45, 62.45, 62.45, 4, 1, 4, 0
2026/2/19, 20:25:00, 62.39, 62.39, 62.39, 62.39, 5, 2, 4, 1
2026/2/19, 21:55:00, 62.48, 62.48, 62.48, 62.48, 1, 1, 1, 0
2026/2/20, 02:00:00, 62.50, 62.50, 62.50, 62.50, 1, 1, 0, 1
2026/2/20, 02:35:00, 62.41, 62.41, 62.41, 62.41, 1, 1, 0, 1
2026/2/20, 03:35:00, 62.41, 62.41, 62.41, 62.41, 1, 1, 0, 1
2026/2/20, 06:35:00, 62.61, 62.61, 62.61, 62.61, 1, 1, 1, 0
2026/2/20, 06:50:00, 62.54, 62.54, 62.54, 62.54, 1, 1, 1, 0
2026/2/20, 08:10:00, 62.23, 62.23, 62.23, 62.23, 2, 2, 2, 0
2026/2/20, 08:15:00, 62.23, 62.23, 62.21, 62.21, 6, 6, 6, 0
2026/2/20, 08:25:00, 62.25, 62.25, 62.21, 62.21, 6, 6, 6, 0
2026/2/20, 08:30:00, 62.23, 62.23, 62.23, 62.23, 2, 2, 2, 0
2026/2/20, 09:00:00, 62.19, 62.19, 62.19, 62.19, 1, 1, 1, 0
2026/2/20, 10:00:00, 62.15, 62.15, 62.15, 62.15, 1, 1, 1, 0
2026/2/20, 10:15:00, 62.16, 62.16, 62.16, 62.16, 2, 2, 0, 2
2026/2/20, 13:00:00, 62.25, 62.25, 62.25, 62.25, 1, 1, 1, 0
2026/2/20, 15:00:00, 62.42, 62.42, 62.42, 62.42, 2, 2, 2, 0
2026/2/20, 16:10:00, 62.32, 62.33, 62.32, 62.33, 40, 31, 40, 0
2026/2/20, 16:20:00, 62.27, 62.27, 62.27, 62.27, 30, 17, 24, 6
2026/2/20, 16:30:00, 62.36, 62.36, 62.36, 62.36, 1, 1, 0, 1
2026/2/20, 19:25:00, 62.37, 62.41, 62.37, 62.41, 8, 7, 0, 8
2026/2/20, 20:45:00, 62.31, 62.31, 62.31, 62.31, 1, 1, 0, 1
2026/2/23, 08:10:00, 62.18, 62.18, 62.15, 62.15, 7, 6, 7, 0
2026/2/23, 08:15:00, 62.15, 62.15, 62.15, 62.15, 4, 3, 4, 0
2026/2/23, 12:00:00, 62.62, 62.62, 62.62, 62.62, 1, 1, 1, 0
2026/2/23, 13:35:00, 62.64, 62.64, 62.64, 62.64, 2, 1, 0, 2
2026/2/23, 14:20:00, 62.81, 62.81, 62.81, 62.81, 29, 16, 29, 0
2026/2/23, 14:25:00, 62.90, 62.90, 62.90, 62.90, 11, 10, 0, 11
2026/2/23, 16:10:00, 62.75, 62.75, 62.75, 62.75, 3, 1, 3, 0
2026/2/23, 19:25:00, 62.55, 62.59, 62.55, 62.59, 2, 2, 0, 2
2026/2/23, 19:40:00, 62.56, 62.56, 62.56, 62.56, 1, 1, 1, 0
2026/2/23, 20:25:00, 62.67, 62.67, 62.66, 62.66, 21, 19, 3, 18
2026/2/23, 20:35:00, 62.68, 62.68, 62.68, 62.68, 15, 9, 14, 1
2026/2/24, 05:00:00, 62.93, 62.93, 62.93, 62.93, 1, 1, 0, 1
2026/2/24, 08:25:00, 62.76, 62.76, 62.76, 62.76, 1, 1, 0, 1
2026/2/24, 13:15:00, 63.05, 63.06, 63.05, 63.06, 3, 3, 1, 2
2026/2/24, 14:15:00, 62.94, 62.94, 62.94, 62.94, 1, 1, 0, 1
2026/2/24, 19:25:00, 62.57, 62.57, 62.57, 62.57, 1, 1, 1, 0
2026/2/24, 21:05:00, 62.84, 62.84, 62.84, 62.84, 1, 1, 0, 1
2026/2/25, 03:30:00, 63.02, 63.02, 63.02, 63.02, 1, 1, 0, 1
2026/2/25, 12:40:00, 62.83, 62.83, 62.83, 62.83, 2, 1, 2, 0
2026/2/25, 14:40:00, 62.53, 62.53, 62.53, 62.53, 1, 1, 1, 0
2026/2/25, 14:50:00, 62.45, 62.45, 62.43, 62.43, 2, 2, 2, 0
2026/2/25, 16:35:00, 62.42, 62.42, 62.42, 62.42, 2, 1, 2, 0
2026/2/25, 17:20:00, 62.50, 62.50, 62.50, 62.50, 2, 1, 0, 2
2026/2/25, 19:25:00, 62.50, 62.53, 62.46, 62.49, 18, 14, 17, 1
2026/2/25, 20:40:00, 62.50, 62.50, 62.50, 62.50, 1, 1, 1, 0
2026/2/26, 13:20:00, 61.28, 61.31, 61.28, 61.31, 2, 2, 0, 2
2026/2/26, 13:25:00, 61.40, 61.41, 61.40, 61.41, 2, 2, 0, 2
