Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 08:00:00, 60.34, 60.34, 60.34, 60.34, 85, 48, 0, 85
2026/2/18, 09:00:00, 60.14, 60.14, 60.14, 60.14, 1, 1, 1, 0
2026/2/18, 10:00:00, 60.34, 60.34, 60.34, 60.34, 7, 1, 0, 7
2026/2/18, 13:00:00, 61.01, 61.01, 61.00, 61.00, 170, 55, 39, 131
2026/2/18, 14:00:00, 61.18, 61.29, 61.18, 61.29, 166, 71, 3, 163
2026/2/18, 15:00:00, 61.24, 61.28, 61.23, 61.23, 38, 23, 7, 31
2026/2/18, 17:00:00, 61.35, 61.48, 61.35, 61.47, 17, 6, 16, 1
2026/2/18, 18:00:00, 61.51, 61.56, 61.32, 61.56, 12, 10, 2, 10
2026/2/18, 19:00:00, 61.58, 61.65, 61.42, 61.42, 262, 179, 125, 137
2026/2/18, 20:00:00, 61.54, 61.61, 61.54, 61.61, 13, 6, 12, 1
2026/2/19, 15:00:00, 61.83, 61.92, 61.82, 61.92, 15, 9, 15, 0
2026/2/19, 16:00:00, 62.17, 62.26, 62.17, 62.26, 5, 3, 5, 0
2026/2/19, 17:00:00, 62.30, 62.34, 62.20, 62.20, 9, 4, 3, 6
2026/2/19, 19:00:00, 62.17, 62.17, 62.12, 62.15, 43, 22, 6, 37
2026/2/19, 20:00:00, 62.23, 62.23, 62.23, 62.23, 5, 3, 5, 0
2026/2/19, 21:00:00, 62.23, 62.23, 62.20, 62.20, 69, 36, 0, 69
2026/2/20, 09:00:00, 62.27, 62.27, 62.23, 62.23, 4, 4, 0, 4
2026/2/20, 12:00:00, 61.99, 61.99, 61.99, 61.99, 30, 3, 23, 7
2026/2/20, 13:00:00, 62.11, 62.11, 62.09, 62.09, 3, 2, 2, 1
2026/2/20, 14:00:00, 61.93, 62.20, 61.93, 62.20, 18, 8, 0, 18
2026/2/20, 15:00:00, 62.32, 62.32, 62.00, 62.00, 7, 3, 4, 3
2026/2/20, 16:00:00, 61.88, 62.14, 61.88, 62.11, 7, 7, 1, 6
2026/2/20, 18:00:00, 62.23, 62.27, 62.23, 62.27, 35, 5, 2, 33
2026/2/20, 19:00:00, 62.04, 62.11, 62.04, 62.11, 2, 2, 1, 1
2026/2/20, 21:00:00, 62.08, 62.08, 62.08, 62.08, 2, 1, 2, 0
2026/2/23, 04:00:00, 61.69, 61.69, 61.69, 61.69, 1, 1, 1, 0
2026/2/23, 05:00:00, 61.72, 61.84, 61.72, 61.84, 2, 2, 0, 2
2026/2/23, 08:00:00, 61.92, 62.03, 61.92, 62.03, 2, 2, 1, 1
2026/2/23, 09:00:00, 62.04, 62.28, 62.04, 62.23, 22, 4, 21, 1
2026/2/23, 10:00:00, 62.15, 62.16, 62.15, 62.16, 2, 2, 2, 0
