Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 08:45:00, 60.34, 60.34, 60.34, 60.34, 85, 48, 0, 85
2026/2/18, 09:15:00, 60.14, 60.14, 60.14, 60.14, 1, 1, 1, 0
2026/2/18, 10:00:00, 60.34, 60.34, 60.34, 60.34, 7, 1, 0, 7
2026/2/18, 13:40:00, 61.01, 61.01, 61.00, 61.00, 169, 54, 39, 130
2026/2/18, 13:45:00, 61.00, 61.00, 61.00, 61.00, 1, 1, 0, 1
2026/2/18, 14:30:00, 61.18, 61.18, 61.18, 61.18, 67, 21, 0, 67
2026/2/18, 14:35:00, 61.18, 61.18, 61.18, 61.18, 98, 49, 3, 95
2026/2/18, 14:55:00, 61.29, 61.29, 61.29, 61.29, 1, 1, 0, 1
2026/2/18, 15:25:00, 61.24, 61.24, 61.24, 61.24, 1, 1, 0, 1
2026/2/18, 15:30:00, 61.28, 61.28, 61.27, 61.27, 9, 3, 5, 4
2026/2/18, 15:35:00, 61.28, 61.28, 61.27, 61.27, 26, 17, 0, 26
2026/2/18, 15:45:00, 61.24, 61.24, 61.23, 61.23, 2, 2, 2, 0
2026/2/18, 17:35:00, 61.35, 61.35, 61.35, 61.35, 4, 2, 3, 1
2026/2/18, 17:40:00, 61.42, 61.42, 61.42, 61.42, 6, 1, 6, 0
2026/2/18, 17:55:00, 61.48, 61.48, 61.47, 61.47, 7, 3, 7, 0
2026/2/18, 18:20:00, 61.51, 61.51, 61.51, 61.51, 1, 1, 0, 1
2026/2/18, 18:35:00, 61.50, 61.50, 61.32, 61.36, 10, 8, 2, 8
2026/2/18, 18:55:00, 61.56, 61.56, 61.56, 61.56, 1, 1, 0, 1
2026/2/18, 19:05:00, 61.58, 61.58, 61.58, 61.58, 6, 1, 0, 6
2026/2/18, 19:20:00, 61.60, 61.65, 61.60, 61.65, 11, 11, 0, 11
2026/2/18, 19:25:00, 61.65, 61.65, 61.49, 61.49, 120, 70, 2, 118
2026/2/18, 19:30:00, 61.46, 61.46, 61.44, 61.44, 10, 6, 10, 0
2026/2/18, 19:35:00, 61.44, 61.44, 61.44, 61.44, 114, 90, 113, 1
