Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 09:00:00, 60.13, 60.13, 60.13, 60.13, 2, 2, 1, 1
2026/2/18, 19:00:00, 61.39, 61.39, 61.33, 61.33, 4, 4, 0, 4
2026/2/18, 20:00:00, 61.37, 61.37, 61.37, 61.37, 1, 1, 1, 0
2026/2/19, 15:00:00, 61.82, 61.86, 61.66, 61.81, 9, 7, 6, 3
2026/2/19, 16:00:00, 62.05, 62.05, 62.05, 62.05, 1, 1, 1, 0
2026/2/19, 20:00:00, 62.07, 62.07, 62.01, 62.01, 5, 3, 4, 1
2026/2/20, 19:00:00, 61.95, 62.04, 61.95, 62.04, 8, 6, 0, 8
2026/2/23, 18:00:00, 62.04, 62.05, 62.04, 62.05, 4, 4, 0, 4
2026/2/23, 19:00:00, 62.19, 62.19, 62.16, 62.16, 2, 2, 1, 1
2026/2/24, 09:00:00, 62.48, 62.48, 62.48, 62.48, 1, 1, 1, 0
2026/2/24, 10:00:00, 62.54, 62.54, 62.54, 62.54, 1, 1, 0, 1
2026/2/24, 16:00:00, 62.23, 62.23, 62.23, 62.23, 1, 1, 1, 0
2026/2/24, 18:00:00, 62.31, 62.31, 62.31, 62.31, 1, 1, 0, 1
2026/2/25, 19:00:00, 62.09, 62.18, 62.09, 62.18, 4, 4, 1, 3
2026/2/26, 12:00:00, 61.02, 61.02, 61.02, 61.02, 1, 1, 0, 1
2026/2/26, 15:00:00, 62.14, 62.14, 62.14, 62.14, 1, 1, 0, 1
2026/2/26, 20:00:00, 61.61, 61.79, 61.61, 61.79, 2, 2, 1, 1
2026/2/27, 01:00:00, 61.41, 61.41, 61.41, 61.41, 1, 1, 0, 1
2026/2/27, 09:00:00, 61.94, 61.94, 61.94, 61.94, 1, 1, 0, 1
2026/2/27, 11:00:00, 62.34, 62.34, 62.30, 62.30, 7, 3, 6, 1
2026/2/27, 12:00:00, 62.44, 62.44, 62.44, 62.44, 1, 1, 0, 1
2026/2/27, 14:00:00, 62.71, 62.71, 62.71, 62.71, 3, 1, 3, 0
2026/2/27, 17:00:00, 62.19, 62.19, 62.18, 62.18, 163, 134, 0, 163
2026/2/27, 19:00:00, 62.46, 62.51, 62.46, 62.51, 302, 226, 2, 300
2026/3/1, 23:00:00, 65.17, 65.17, 65.17, 65.17, 1, 1, 0, 1
2026/3/2, 16:00:00, 63.42, 63.42, 63.42, 63.42, 1, 1, 1, 0
2026/3/3, 12:00:00, 64.05, 64.05, 64.05, 64.05, 3, 3, 3, 0
2026/3/3, 14:00:00, 64.28, 64.28, 64.14, 64.14, 6, 6, 0, 6
2026/3/3, 15:00:00, 64.06, 64.12, 63.99, 64.03, 11, 11, 0, 11
2026/3/3, 19:00:00, 63.23, 63.39, 63.14, 63.34, 6, 6, 4, 2
2026/3/4, 15:00:00, 63.35, 63.42, 63.35, 63.42, 7, 2, 0, 7
2026/3/4, 18:00:00, 63.54, 64.42, 63.54, 64.31, 73, 12, 13, 60
2026/3/4, 19:00:00, 64.29, 64.29, 63.96, 64.06, 9, 9, 1, 8
2026/3/4, 21:00:00, 63.88, 63.97, 63.87, 63.87, 17, 14, 0, 17
2026/3/5, 19:00:00, 65.29, 65.35, 65.18, 65.18, 21, 17, 19, 2
2026/3/6, 10:00:00, 66.30, 66.30, 66.30, 66.30, 10, 1, 0, 10
2026/3/6, 12:00:00, 66.50, 66.50, 66.50, 66.50, 10, 4, 0, 10
2026/3/6, 19:00:00, 66.31, 66.50, 66.25, 66.27, 13, 12, 11, 2
2026/3/6, 20:00:00, 66.52, 66.52, 66.52, 66.52, 1, 1, 1, 0
2026/3/6, 21:00:00, 66.40, 66.44, 66.40, 66.44, 10, 10, 0, 10
2026/3/9, 00:00:00, 69.76, 69.76, 69.76, 69.76, 1, 1, 0, 1
2026/3/9, 01:00:00, 69.60, 69.60, 69.16, 69.34, 16, 11, 12, 4
2026/3/9, 05:00:00, 69.34, 69.34, 69.34, 69.34, 1, 1, 1, 0
2026/3/9, 11:00:00, 69.03, 69.03, 68.05, 68.05, 5, 5, 2, 3
2026/3/9, 12:00:00, 68.05, 68.73, 68.05, 68.73, 22, 22, 1, 21
2026/3/9, 14:00:00, 68.10, 68.10, 68.10, 68.10, 1, 1, 0, 1
2026/3/9, 15:00:00, 66.50, 66.69, 66.50, 66.69, 2, 2, 1, 1
2026/3/9, 16:00:00, 66.50, 66.80, 66.50, 66.80, 10, 9, 10, 0
2026/3/9, 19:00:00, 65.50, 66.00, 65.50, 66.00, 2, 2, 1, 1
2026/3/9, 20:00:00, 66.60, 66.60, 66.60, 66.60, 1, 1, 1, 0
2026/3/9, 22:00:00, 67.01, 67.01, 67.01, 67.01, 1, 1, 0, 1
2026/3/10, 01:00:00, 65.62, 66.50, 65.62, 66.50, 8, 6, 3, 5
2026/3/10, 05:00:00, 66.50, 66.50, 66.50, 66.50, 4, 4, 0, 4
2026/3/10, 10:00:00, 66.96, 66.96, 66.96, 66.96, 1, 1, 1, 0
2026/3/10, 11:00:00, 66.87, 67.30, 66.87, 67.16, 8, 7, 6, 2
2026/3/10, 17:00:00, 66.44, 66.45, 65.67, 65.90, 43, 19, 22, 21
2026/3/10, 18:00:00, 67.12, 67.23, 67.00, 67.00, 8, 8, 1, 7
2026/3/11, 00:00:00, 67.15, 67.25, 67.15, 67.25, 2, 2, 0, 2
2026/3/11, 03:00:00, 67.75, 67.75, 67.75, 67.75, 1, 1, 1, 0
2026/3/11, 11:00:00, 67.36, 68.10, 67.36, 68.10, 5, 4, 2, 3
2026/3/11, 13:00:00, 67.50, 67.50, 67.50, 67.50, 1, 1, 0, 1
2026/3/11, 14:00:00, 67.62, 67.62, 67.62, 67.62, 4, 1, 0, 4
2026/3/11, 18:00:00, 68.78, 68.78, 68.63, 68.72, 3, 3, 0, 3
2026/3/11, 20:00:00, 68.72, 68.72, 68.72, 68.72, 1, 1, 1, 0
2026/3/12, 00:00:00, 69.60, 69.63, 69.60, 69.62, 3, 3, 3, 0
2026/3/12, 02:00:00, 69.57, 69.64, 69.57, 69.64, 2, 2, 2, 0
2026/3/12, 06:00:00, 68.84, 68.84, 68.84, 68.84, 5, 5, 5, 0
2026/3/12, 08:00:00, 69.55, 69.55, 69.55, 69.55, 2, 2, 0, 2
2026/3/12, 15:00:00, 69.56, 70.23, 69.56, 70.23, 4, 4, 1, 3
2026/3/12, 16:00:00, 70.29, 70.33, 69.63, 69.63, 14, 10, 7, 7
2026/3/12, 18:00:00, 71.03, 71.03, 71.03, 71.03, 1, 1, 0, 1
2026/3/12, 19:00:00, 71.62, 71.62, 71.21, 71.21, 13, 11, 10, 3
2026/3/12, 20:00:00, 71.04, 71.04, 70.98, 70.98, 20, 20, 20, 0
