Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 09:25:00, 60.13, 60.13, 60.13, 60.13, 1, 1, 1, 0
2026/2/18, 09:50:00, 60.13, 60.13, 60.13, 60.13, 1, 1, 0, 1
2026/2/18, 19:25:00, 61.39, 61.39, 61.33, 61.33, 4, 4, 0, 4
2026/2/18, 20:55:00, 61.37, 61.37, 61.37, 61.37, 1, 1, 1, 0
2026/2/19, 15:00:00, 61.82, 61.86, 61.66, 61.81, 9, 7, 6, 3
2026/2/19, 16:20:00, 62.05, 62.05, 62.05, 62.05, 1, 1, 1, 0
2026/2/19, 20:10:00, 62.07, 62.07, 62.07, 62.07, 4, 2, 4, 0
2026/2/19, 20:25:00, 62.01, 62.01, 62.01, 62.01, 1, 1, 0, 1
2026/2/20, 19:25:00, 61.95, 62.04, 61.95, 62.04, 8, 6, 0, 8
2026/2/23, 18:00:00, 62.04, 62.05, 62.04, 62.05, 4, 4, 0, 4
2026/2/23, 19:25:00, 62.19, 62.19, 62.19, 62.19, 1, 1, 0, 1
2026/2/23, 19:40:00, 62.16, 62.16, 62.16, 62.16, 1, 1, 1, 0
2026/2/24, 09:40:00, 62.48, 62.48, 62.48, 62.48, 1, 1, 1, 0
2026/2/24, 10:00:00, 62.54, 62.54, 62.54, 62.54, 1, 1, 0, 1
2026/2/24, 16:10:00, 62.23, 62.23, 62.23, 62.23, 1, 1, 1, 0
2026/2/24, 18:25:00, 62.31, 62.31, 62.31, 62.31, 1, 1, 0, 1
2026/2/25, 19:25:00, 62.09, 62.15, 62.09, 62.15, 3, 3, 0, 3
2026/2/25, 19:30:00, 62.18, 62.18, 62.18, 62.18, 1, 1, 1, 0
2026/2/26, 12:20:00, 61.02, 61.02, 61.02, 61.02, 1, 1, 0, 1
2026/2/26, 15:40:00, 62.14, 62.14, 62.14, 62.14, 1, 1, 0, 1
2026/2/26, 20:55:00, 61.61, 61.79, 61.61, 61.79, 2, 2, 1, 1
2026/2/27, 01:50:00, 61.41, 61.41, 61.41, 61.41, 1, 1, 0, 1
2026/2/27, 09:05:00, 61.94, 61.94, 61.94, 61.94, 1, 1, 0, 1
2026/2/27, 11:25:00, 62.34, 62.34, 62.30, 62.30, 7, 3, 6, 1
2026/2/27, 12:35:00, 62.44, 62.44, 62.44, 62.44, 1, 1, 0, 1
2026/2/27, 14:25:00, 62.71, 62.71, 62.71, 62.71, 3, 1, 3, 0
2026/2/27, 17:30:00, 62.19, 62.19, 62.19, 62.19, 3, 2, 0, 3
2026/2/27, 17:50:00, 62.18, 62.18, 62.18, 62.18, 160, 132, 0, 160
2026/2/27, 19:00:00, 62.46, 62.51, 62.46, 62.51, 302, 226, 2, 300
2026/3/1, 23:10:00, 65.17, 65.17, 65.17, 65.17, 1, 1, 0, 1
2026/3/2, 16:20:00, 63.42, 63.42, 63.42, 63.42, 1, 1, 1, 0
2026/3/3, 12:30:00, 64.05, 64.05, 64.05, 64.05, 3, 3, 3, 0
2026/3/3, 14:35:00, 64.28, 64.28, 64.28, 64.28, 3, 3, 0, 3
2026/3/3, 14:40:00, 64.20, 64.20, 64.20, 64.20, 1, 1, 0, 1
2026/3/3, 14:50:00, 64.14, 64.14, 64.14, 64.14, 1, 1, 0, 1
2026/3/3, 14:55:00, 64.14, 64.14, 64.14, 64.14, 1, 1, 0, 1
2026/3/3, 15:00:00, 64.06, 64.06, 64.06, 64.06, 1, 1, 0, 1
2026/3/3, 15:05:00, 63.99, 63.99, 63.99, 63.99, 1, 1, 0, 1
2026/3/3, 15:10:00, 64.01, 64.01, 64.01, 64.01, 1, 1, 0, 1
2026/3/3, 15:15:00, 64.12, 64.12, 64.12, 64.12, 1, 1, 0, 1
2026/3/3, 15:20:00, 64.12, 64.12, 64.12, 64.12, 1, 1, 0, 1
2026/3/3, 15:30:00, 64.12, 64.12, 64.12, 64.12, 1, 1, 0, 1
2026/3/3, 15:35:00, 64.08, 64.08, 64.08, 64.08, 1, 1, 0, 1
2026/3/3, 15:40:00, 64.09, 64.09, 64.09, 64.09, 1, 1, 0, 1
2026/3/3, 15:50:00, 64.05, 64.05, 64.05, 64.05, 1, 1, 0, 1
2026/3/3, 15:55:00, 64.05, 64.05, 64.03, 64.03, 2, 2, 0, 2
2026/3/3, 19:25:00, 63.23, 63.39, 63.14, 63.34, 6, 6, 4, 2
2026/3/4, 15:00:00, 63.35, 63.35, 63.35, 63.35, 1, 1, 0, 1
2026/3/4, 15:15:00, 63.42, 63.42, 63.42, 63.42, 6, 1, 0, 6
2026/3/4, 18:50:00, 63.54, 64.42, 63.54, 64.31, 73, 12, 13, 60
2026/3/4, 19:00:00, 64.29, 64.29, 64.29, 64.29, 1, 1, 0, 1
