Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 62.07, 62.09, 61.92, 62.04, 88, 75, 44, 44
2026/2/18, 00:00:00, 62.04, 62.12, 61.99, 62.01, 66, 53, 27, 39
2026/2/18, 01:00:00, 62.02, 62.14, 62.01, 62.10, 105, 67, 34, 71
2026/2/18, 02:00:00, 62.11, 62.20, 62.08, 62.13, 110, 106, 51, 59
2026/2/18, 03:00:00, 62.16, 62.27, 62.16, 62.25, 85, 64, 32, 53
2026/2/18, 04:00:00, 62.26, 62.33, 62.23, 62.33, 100, 84, 53, 47
2026/2/18, 05:00:00, 62.32, 62.32, 62.19, 62.19, 86, 80, 55, 31
2026/2/18, 06:00:00, 62.19, 62.35, 62.13, 62.21, 139, 108, 50, 89
2026/2/18, 07:00:00, 62.20, 62.32, 62.16, 62.27, 227, 216, 82, 145
2026/2/18, 08:00:00, 62.28, 62.52, 62.21, 62.22, 718, 627, 322, 396
2026/2/18, 09:00:00, 62.23, 62.47, 62.20, 62.29, 660, 593, 328, 332
2026/2/18, 10:00:00, 62.31, 62.90, 62.31, 62.82, 1438, 1278, 676, 762
2026/2/18, 11:00:00, 62.84, 63.43, 62.82, 63.43, 1293, 1137, 623, 670
2026/2/18, 12:00:00, 63.43, 63.92, 63.27, 63.81, 2870, 2432, 1419, 1451
2026/2/18, 13:00:00, 63.81, 63.88, 63.56, 63.61, 3028, 2348, 1677, 1351
2026/2/18, 14:00:00, 63.60, 64.22, 63.47, 64.08, 6526, 4837, 3893, 2633
2026/2/18, 15:00:00, 64.08, 64.12, 63.89, 64.01, 3719, 3225, 1897, 1822
2026/2/18, 16:00:00, 64.02, 64.45, 63.94, 64.36, 4191, 3536, 2395, 1796
2026/2/18, 17:00:00, 64.35, 64.78, 64.26, 64.74, 2856, 2355, 1481, 1375
2026/2/18, 18:00:00, 64.74, 64.86, 64.40, 64.83, 4356, 3499, 2262, 2094
2026/2/18, 19:00:00, 64.83, 65.06, 64.62, 64.81, 4278, 3486, 2382, 1896
2026/2/18, 20:00:00, 64.83, 65.19, 64.80, 65.02, 1349, 1148, 668, 681
2026/2/18, 21:00:00, 65.02, 65.07, 64.60, 64.72, 688, 482, 329, 359
2026/2/18, 23:00:00, 64.71, 65.11, 64.62, 64.82, 262, 166, 169, 93
2026/2/19, 00:00:00, 64.79, 64.88, 64.72, 64.82, 148, 121, 90, 58
2026/2/19, 01:00:00, 64.85, 64.96, 64.73, 64.95, 308, 235, 164, 144
2026/2/19, 02:00:00, 64.97, 65.08, 64.93, 65.07, 287, 194, 184, 103
2026/2/19, 03:00:00, 65.06, 65.17, 65.05, 65.14, 223, 174, 115, 108
2026/2/19, 04:00:00, 65.13, 65.19, 64.94, 64.98, 189, 165, 92, 97
2026/2/19, 05:00:00, 65.02, 65.10, 65.00, 65.01, 179, 136, 95, 84
2026/2/19, 06:00:00, 65.03, 65.08, 64.95, 65.01, 135, 132, 76, 59
2026/2/19, 07:00:00, 65.05, 65.57, 65.01, 65.53, 678, 576, 318, 360
2026/2/19, 08:00:00, 65.54, 65.99, 65.40, 65.95, 1835, 1632, 828, 1007
2026/2/19, 09:00:00, 65.95, 66.00, 65.42, 65.53, 1749, 1590, 936, 813
2026/2/19, 10:00:00, 65.51, 65.78, 65.38, 65.73, 1419, 1218, 722, 697
2026/2/19, 11:00:00, 65.74, 66.02, 65.58, 65.78, 1480, 1176, 803, 677
2026/2/19, 12:00:00, 65.79, 65.90, 65.72, 65.83, 1367, 1274, 718, 649
2026/2/19, 13:00:00, 65.83, 66.25, 65.69, 66.12, 3268, 2682, 1700, 1568
2026/2/19, 14:00:00, 66.11, 66.27, 65.69, 66.10, 5038, 4009, 2633, 2405
2026/2/19, 15:00:00, 66.11, 66.24, 65.24, 66.20, 7575, 6205, 4107, 3468
2026/2/19, 16:00:00, 66.20, 66.38, 66.02, 66.34, 3228, 2861, 1666, 1562
2026/2/19, 17:00:00, 66.31, 66.49, 66.15, 66.33, 3019, 2452, 1599, 1420
2026/2/19, 18:00:00, 66.32, 66.35, 66.01, 66.28, 2897, 2453, 1660, 1237
2026/2/19, 19:00:00, 66.29, 66.39, 66.13, 66.37, 3042, 2451, 1603, 1439
2026/2/19, 20:00:00, 66.37, 66.50, 66.32, 66.48, 840, 677, 405, 435
2026/2/19, 21:00:00, 66.50, 66.67, 65.73, 66.48, 1153, 894, 598, 555
2026/2/19, 23:00:00, 66.49, 66.49, 66.23, 66.26, 120, 88, 52, 68
2026/2/20, 00:00:00, 66.25, 66.31, 66.10, 66.26, 173, 125, 90, 83
2026/2/20, 01:00:00, 66.27, 66.59, 66.15, 66.35, 361, 305, 157, 204
2026/2/20, 02:00:00, 66.38, 66.63, 66.30, 66.39, 312, 248, 146, 166
2026/2/20, 03:00:00, 66.40, 66.49, 66.28, 66.42, 129, 116, 65, 64
2026/2/20, 04:00:00, 66.43, 66.51, 66.41, 66.51, 146, 135, 81, 65
2026/2/20, 05:00:00, 66.52, 66.70, 66.48, 66.62, 252, 180, 107, 145
2026/2/20, 06:00:00, 66.64, 66.79, 66.48, 66.51, 345, 272, 150, 195
2026/2/20, 07:00:00, 66.50, 66.53, 66.11, 66.11, 706, 641, 401, 305
2026/2/20, 08:00:00, 66.13, 66.22, 65.90, 65.95, 1964, 1758, 1005, 959
2026/2/20, 09:00:00, 65.96, 66.37, 65.69, 65.83, 1818, 1684, 903, 915
2026/2/20, 10:00:00, 65.85, 65.95, 65.70, 65.81, 1711, 1597, 803, 908
2026/2/20, 11:00:00, 65.81, 66.19, 65.63, 65.82, 2070, 1765, 967, 1103
2026/2/20, 12:00:00, 65.80, 66.03, 65.77, 65.97, 1314, 1212, 575, 739
2026/2/20, 13:00:00, 65.98, 66.10, 65.85, 66.08, 2137, 1401, 925, 1212
2026/2/20, 14:00:00, 66.09, 66.30, 65.71, 66.07, 4371, 3677, 2294, 2077
2026/2/20, 15:00:00, 66.09, 66.45, 65.68, 65.76, 5100, 4401, 2617, 2483
2026/2/20, 16:00:00, 65.77, 66.14, 65.65, 65.97, 3933, 3311, 2340, 1593
2026/2/20, 17:00:00, 65.99, 66.28, 65.95, 66.22, 1636, 1512, 866, 770
2026/2/20, 18:00:00, 66.22, 66.48, 66.07, 66.32, 2215, 1929, 1034, 1181
2026/2/20, 19:00:00, 66.33, 66.33, 66.03, 66.23, 3319, 2655, 1672, 1647
2026/2/20, 20:00:00, 66.24, 66.28, 66.04, 66.17, 897, 762, 480, 417
2026/2/20, 21:00:00, 66.18, 66.23, 66.09, 66.13, 380, 346, 204, 176
2026/2/22, 23:00:00, 65.72, 65.90, 65.24, 65.81, 717, 538, 327, 390
2026/2/23, 00:00:00, 65.81, 65.82, 65.48, 65.54, 449, 324, 281, 168
2026/2/23, 01:00:00, 65.53, 65.79, 65.42, 65.70, 418, 257, 157, 261
2026/2/23, 02:00:00, 65.72, 65.85, 65.69, 65.69, 155, 137, 70, 85
2026/2/23, 03:00:00, 65.66, 65.72, 65.50, 65.52, 181, 137, 87, 94
2026/2/23, 04:00:00, 65.55, 65.57, 65.33, 65.39, 205, 172, 94, 111
