Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/11/20, 00:00:00, 52.68, 52.68, 52.68, 52.68, 1574818, 1995402
2018/11/21, 00:00:00, 53.09, 53.09, 53.09, 53.09, 1175520, 1992533
2018/11/23, 00:00:00, 51.77, 51.77, 51.77, 51.77, 1395342, 2016420
2018/11/26, 00:00:00, 52.41, 52.41, 52.41, 52.41, 935515, 2015783
2018/11/27, 00:00:00, 53.20, 53.20, 53.20, 53.20, 1032388, 2020092
2018/11/28, 00:00:00, 53.52, 53.52, 53.52, 53.52, 1178564, 2031536
2018/11/29, 00:00:00, 53.74, 53.74, 53.74, 53.74, 1136360, 2037138
2018/11/30, 00:00:00, 52.18, 52.18, 52.18, 52.18, 1152202, 2046537
2018/12/3, 00:00:00, 53.44, 53.44, 53.44, 53.44, 1202924, 2037609
2018/12/4, 00:00:00, 53.58, 53.58, 53.58, 53.58, 1231644, 2048735
2018/12/5, 00:00:00, 53.27, 53.27, 53.27, 53.27, 964537, 2048577
2018/12/6, 00:00:00, 52.68, 52.68, 52.68, 52.68, 1455656, 2056566
2018/12/7, 00:00:00, 52.18, 52.18, 52.18, 52.18, 1621654, 2063691
2018/12/10, 00:00:00, 51.19, 51.19, 51.19, 51.19, 1205227, 2054066
2018/12/11, 00:00:00, 51.27, 51.27, 51.27, 51.27, 1213221, 2050634
2018/12/12, 00:00:00, 51.42, 51.42, 51.42, 51.42, 1330725, 2059589
2018/12/13, 00:00:00, 52.10, 52.10, 52.10, 52.10, 1395465, 2088384
2018/12/14, 00:00:00, 51.64, 51.64, 51.64, 51.64, 1048666, 2064408
2018/12/17, 00:00:00, 51.81, 51.81, 51.81, 51.81, 1124822, 2074447
2018/12/18, 00:00:00, 50.45, 50.45, 50.45, 50.45, 1471013, 2063376
2018/12/19, 00:00:00, 51.41, 51.41, 51.41, 51.41, 1164299, 2032696
2018/12/20, 00:00:00, 50.98, 50.98, 50.98, 50.98, 1140822, 2045690
2018/12/21, 00:00:00, 51.30, 51.30, 51.30, 51.30, 1106154, 2056659
