Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 11:00:00, 60.84, 60.84, 60.84, 60.84, 1, 1, 0, 1
2026/2/18, 10:00:00, 60.23, 60.23, 60.23, 60.23, 2, 1, 2, 0
2026/2/18, 12:00:00, 60.94, 60.94, 60.94, 60.94, 1, 1, 1, 0
2026/2/18, 12:05:00, 60.93, 60.93, 60.93, 60.93, 1, 1, 1, 0
2026/2/18, 19:25:00, 61.29, 61.29, 61.25, 61.25, 2, 2, 2, 0
2026/2/19, 15:00:00, 61.73, 61.73, 61.56, 61.56, 3, 3, 3, 0
2026/2/19, 15:50:00, 61.89, 61.89, 61.89, 61.89, 1, 1, 0, 1
2026/2/19, 16:20:00, 61.90, 61.90, 61.90, 61.90, 1, 1, 1, 0
2026/2/19, 19:25:00, 61.82, 61.86, 61.82, 61.86, 12, 4, 0, 12
2026/2/19, 20:10:00, 61.94, 61.94, 61.94, 61.94, 1, 1, 1, 0
2026/2/20, 15:45:00, 61.81, 61.81, 61.81, 61.81, 3, 1, 3, 0
2026/2/20, 19:25:00, 61.81, 61.86, 61.81, 61.86, 10, 5, 0, 10
2026/2/22, 23:00:00, 61.56, 61.56, 61.38, 61.38, 3, 2, 2, 1
2026/2/23, 15:00:00, 62.38, 62.38, 62.38, 62.38, 1, 1, 1, 0
2026/2/23, 19:25:00, 62.07, 62.07, 62.07, 62.07, 5, 2, 0, 5
2026/2/23, 19:40:00, 62.03, 62.03, 62.03, 62.03, 1, 1, 1, 0
2026/2/26, 10:25:00, 61.41, 61.41, 61.41, 61.41, 2, 1, 2, 0
2026/2/26, 12:20:00, 60.93, 60.93, 60.93, 60.93, 1, 1, 0, 1
2026/2/26, 16:30:00, 62.12, 62.12, 62.09, 62.09, 10, 3, 5, 5
2026/2/26, 18:05:00, 61.98, 61.98, 61.98, 61.98, 2, 1, 0, 2
2026/2/26, 19:25:00, 61.44, 61.44, 61.44, 61.44, 21, 14, 0, 21
2026/2/27, 02:20:00, 61.33, 61.33, 61.33, 61.33, 1, 1, 0, 1
2026/2/27, 11:25:00, 62.16, 62.16, 62.16, 62.16, 1, 1, 1, 0
2026/2/27, 14:45:00, 62.23, 62.23, 62.23, 62.23, 2, 1, 2, 0
2026/2/27, 14:50:00, 62.20, 62.20, 62.20, 62.20, 4, 2, 2, 2
2026/2/27, 16:50:00, 62.04, 62.04, 62.03, 62.03, 2, 2, 2, 0
2026/2/27, 17:30:00, 62.07, 62.07, 62.06, 62.06, 6, 3, 2, 4
2026/3/2, 19:30:00, 62.89, 62.89, 62.89, 62.89, 5, 2, 0, 5
2026/3/3, 16:40:00, 62.50, 62.50, 62.50, 62.50, 1, 1, 1, 0
2026/3/3, 16:50:00, 62.83, 62.83, 62.72, 62.72, 2, 2, 2, 0
2026/3/3, 19:25:00, 63.00, 63.05, 63.00, 63.05, 14, 10, 0, 14
2026/3/4, 17:10:00, 63.67, 63.67, 63.67, 63.67, 1, 1, 1, 0
2026/3/6, 19:25:00, 66.06, 66.11, 66.06, 66.11, 13, 11, 0, 13
2026/3/6, 19:45:00, 66.11, 66.24, 66.11, 66.24, 2, 2, 1, 1
2026/3/8, 23:25:00, 68.40, 68.40, 68.40, 68.40, 1, 1, 0, 1
2026/3/9, 15:10:00, 67.05, 67.05, 67.05, 67.05, 3, 1, 3, 0
2026/3/10, 17:35:00, 66.13, 66.23, 65.66, 65.66, 7, 7, 5, 2
2026/3/10, 18:10:00, 65.78, 66.37, 65.78, 66.23, 7, 7, 5, 2
2026/3/10, 18:15:00, 66.65, 66.83, 66.28, 66.28, 13, 12, 9, 4
2026/3/10, 18:25:00, 66.63, 66.69, 66.63, 66.69, 28, 16, 0, 28
2026/3/10, 19:15:00, 66.55, 66.55, 66.55, 66.55, 3, 1, 0, 3
2026/3/11, 03:15:00, 67.50, 67.50, 67.50, 67.50, 1, 1, 1, 0
2026/3/11, 18:25:00, 68.16, 68.48, 68.16, 68.48, 2, 2, 0, 2
2026/3/12, 18:25:00, 70.07, 70.18, 70.07, 70.18, 39, 24, 0, 39
2026/3/13, 18:25:00, 71.11, 71.24, 71.11, 71.24, 18, 12, 0, 18
2026/3/15, 22:25:00, 71.50, 71.50, 71.50, 71.50, 2, 2, 2, 0
2026/3/16, 00:10:00, 71.00, 71.00, 71.00, 71.00, 1, 1, 1, 0
2026/3/16, 18:25:00, 70.81, 70.86, 70.81, 70.86, 7, 3, 0, 7
2026/3/16, 18:30:00, 70.41, 70.41, 70.41, 70.41, 4, 1, 4, 0
2026/3/17, 18:25:00, 71.80, 71.80, 71.80, 71.80, 19, 11, 0, 19
2026/3/18, 15:35:00, 73.68, 73.68, 73.68, 73.68, 5, 5, 0, 5
2026/3/18, 18:15:00, 73.57, 73.69, 73.47, 73.59, 6, 6, 2, 4
2026/3/18, 19:50:00, 74.11, 74.11, 74.11, 74.11, 1, 1, 1, 0
