Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 61.89, 61.89, 61.84, 61.86, 12, 12, 4, 8
2026/2/18, 00:00:00, 61.87, 61.93, 61.82, 61.82, 26, 23, 11, 15
2026/2/18, 01:00:00, 61.83, 61.95, 61.83, 61.91, 74, 59, 41, 33
2026/2/18, 02:00:00, 61.90, 62.01, 61.88, 61.93, 55, 53, 25, 30
2026/2/18, 03:00:00, 61.93, 62.07, 61.93, 62.06, 43, 34, 18, 25
2026/2/18, 04:00:00, 62.05, 62.13, 62.03, 62.13, 62, 42, 25, 37
2026/2/18, 05:00:00, 62.13, 62.13, 62.01, 62.01, 43, 43, 31, 12
2026/2/18, 06:00:00, 61.98, 62.16, 61.93, 62.01, 105, 94, 59, 46
2026/2/18, 07:00:00, 62.00, 62.11, 61.98, 62.08, 106, 100, 55, 51
2026/2/18, 08:00:00, 62.08, 62.31, 62.03, 62.03, 684, 518, 284, 400
2026/2/18, 09:00:00, 62.04, 62.26, 62.00, 62.08, 360, 316, 153, 207
2026/2/18, 10:00:00, 62.14, 62.70, 62.13, 62.62, 1298, 950, 341, 957
2026/2/18, 11:00:00, 62.66, 63.23, 62.62, 63.23, 600, 450, 340, 260
2026/2/18, 12:00:00, 63.23, 63.68, 63.06, 63.57, 1449, 1110, 679, 770
2026/2/18, 13:00:00, 63.59, 63.64, 63.33, 63.37, 1887, 1085, 736, 1151
2026/2/18, 14:00:00, 63.36, 63.96, 63.25, 63.82, 3124, 1799, 1357, 1767
2026/2/18, 15:00:00, 63.80, 63.87, 63.64, 63.76, 2011, 1463, 1104, 907
2026/2/18, 16:00:00, 63.75, 64.16, 63.69, 64.06, 3381, 2185, 1496, 1885
2026/2/18, 17:00:00, 64.05, 64.47, 63.97, 64.44, 2023, 1484, 1024, 999
2026/2/18, 18:00:00, 64.44, 64.55, 64.13, 64.54, 2314, 1874, 1397, 917
2026/2/18, 19:00:00, 64.54, 64.76, 64.32, 64.50, 3001, 2083, 1533, 1468
2026/2/18, 20:00:00, 64.52, 64.84, 64.49, 64.67, 1191, 717, 546, 645
2026/2/18, 21:00:00, 64.68, 64.72, 64.29, 64.44, 587, 437, 294, 293
2026/2/18, 23:00:00, 64.35, 64.73, 64.35, 64.51, 66, 60, 29, 37
2026/2/19, 00:00:00, 64.48, 64.57, 64.41, 64.53, 71, 49, 41, 30
2026/2/19, 01:00:00, 64.49, 64.64, 64.43, 64.64, 138, 126, 99, 39
2026/2/19, 02:00:00, 64.67, 64.77, 64.63, 64.76, 115, 96, 71, 44
2026/2/19, 03:00:00, 64.75, 64.86, 64.74, 64.81, 173, 127, 120, 53
2026/2/19, 04:00:00, 64.82, 64.86, 64.64, 64.67, 66, 64, 29, 37
2026/2/19, 05:00:00, 64.70, 64.79, 64.68, 64.70, 68, 55, 34, 34
2026/2/19, 06:00:00, 64.67, 64.77, 64.64, 64.70, 53, 52, 40, 13
2026/2/19, 07:00:00, 64.73, 65.24, 64.70, 65.19, 324, 275, 105, 219
2026/2/19, 08:00:00, 65.15, 65.63, 65.06, 65.57, 1291, 891, 675, 616
2026/2/19, 09:00:00, 65.60, 65.63, 65.08, 65.19, 812, 727, 537, 275
2026/2/19, 10:00:00, 65.17, 65.44, 65.06, 65.41, 645, 468, 389, 256
2026/2/19, 11:00:00, 65.39, 65.66, 65.24, 65.44, 466, 387, 253, 213
2026/2/19, 12:00:00, 65.45, 65.54, 65.37, 65.47, 926, 705, 481, 445
2026/2/19, 13:00:00, 65.48, 65.87, 65.33, 65.72, 2495, 1713, 1273, 1222
2026/2/19, 14:00:00, 65.71, 65.89, 65.34, 65.73, 3104, 1879, 1414, 1690
2026/2/19, 15:00:00, 65.74, 65.87, 64.90, 65.84, 3419, 2586, 1958, 1461
2026/2/19, 16:00:00, 65.85, 66.00, 65.67, 65.94, 1099, 837, 557, 542
2026/2/19, 17:00:00, 66.02, 66.10, 65.81, 65.97, 2197, 1171, 1157, 1040
2026/2/19, 18:00:00, 65.94, 66.01, 65.69, 65.94, 2217, 1359, 1059, 1158
2026/2/19, 19:00:00, 65.96, 66.04, 65.81, 66.01, 1823, 1392, 827, 996
2026/2/19, 20:00:00, 66.02, 66.15, 65.97, 66.12, 928, 556, 473, 455
2026/2/19, 21:00:00, 66.13, 66.29, 65.44, 66.14, 1134, 834, 862, 272
2026/2/19, 23:00:00, 66.01, 66.03, 65.89, 65.89, 65, 55, 30, 35
2026/2/20, 00:00:00, 65.93, 65.95, 65.77, 65.90, 118, 75, 63, 55
2026/2/20, 01:00:00, 65.91, 66.16, 65.80, 66.00, 475, 287, 251, 224
2026/2/20, 02:00:00, 66.03, 66.26, 65.97, 66.02, 237, 193, 162, 75
2026/2/20, 03:00:00, 66.05, 66.14, 65.94, 66.07, 120, 111, 84, 36
2026/2/20, 04:00:00, 66.06, 66.15, 66.06, 66.14, 94, 85, 54, 40
2026/2/20, 05:00:00, 66.19, 66.33, 66.12, 66.26, 197, 99, 52, 145
2026/2/20, 06:00:00, 66.30, 66.42, 66.13, 66.13, 180, 149, 84, 96
2026/2/20, 07:00:00, 66.14, 66.16, 65.76, 65.77, 464, 423, 264, 200
2026/2/20, 08:00:00, 65.79, 65.87, 65.57, 65.60, 877, 802, 447, 430
2026/2/20, 09:00:00, 65.63, 66.01, 65.37, 65.51, 1242, 1165, 603, 639
2026/2/20, 10:00:00, 65.52, 65.62, 65.39, 65.50, 834, 791, 403, 431
2026/2/20, 11:00:00, 65.49, 65.85, 65.31, 65.50, 1009, 952, 505, 504
2026/2/20, 12:00:00, 65.48, 65.70, 65.45, 65.63, 879, 752, 374, 505
2026/2/20, 13:00:00, 65.64, 65.79, 65.53, 65.75, 1402, 1081, 737, 665
2026/2/20, 14:00:00, 65.76, 65.96, 65.39, 65.74, 2563, 2131, 1380, 1183
2026/2/20, 15:00:00, 65.78, 66.10, 65.36, 65.43, 3469, 2701, 1515, 1954
2026/2/20, 16:00:00, 65.44, 65.78, 65.32, 65.64, 2451, 2003, 1543, 908
2026/2/20, 17:00:00, 65.66, 65.92, 65.59, 65.87, 1028, 933, 541, 487
2026/2/20, 18:00:00, 65.87, 66.11, 65.72, 65.95, 1205, 1085, 607, 598
2026/2/20, 19:00:00, 65.96, 65.96, 65.67, 65.87, 2212, 1661, 1103, 1109
2026/2/20, 20:00:00, 65.88, 65.91, 65.68, 65.81, 588, 492, 294, 294
2026/2/20, 21:00:00, 65.82, 65.87, 65.74, 65.77, 139, 120, 76, 63
2026/2/22, 23:00:00, 65.40, 65.55, 64.94, 65.52, 258, 200, 138, 120
2026/2/23, 00:00:00, 65.48, 65.48, 65.15, 65.22, 179, 167, 97, 82
2026/2/23, 01:00:00, 65.20, 65.45, 65.10, 65.38, 175, 154, 106, 69
2026/2/23, 02:00:00, 65.44, 65.51, 65.37, 65.38, 66, 63, 34, 32
2026/2/23, 03:00:00, 65.33, 65.38, 65.19, 65.20, 79, 72, 46, 33
2026/2/23, 04:00:00, 65.20, 65.22, 65.02, 65.09, 79, 70, 51, 28
2026/2/23, 05:00:00, 65.07, 65.29, 65.07, 65.25, 48, 45, 18, 30
2026/2/23, 06:00:00, 65.23, 65.31, 65.15, 65.17, 43, 41, 28, 15
2026/2/23, 07:00:00, 65.22, 65.30, 65.05, 65.16, 223, 212, 123, 100
2026/2/23, 08:00:00, 65.18, 65.42, 65.11, 65.39, 509, 459, 236, 273
2026/2/23, 09:00:00, 65.38, 65.77, 65.29, 65.68, 767, 524, 265, 502
2026/2/23, 10:00:00, 65.66, 65.70, 65.49, 65.57, 315, 297, 170, 145
2026/2/23, 11:00:00, 65.56, 65.92, 65.50, 65.90, 289, 264, 147, 142
2026/2/23, 12:00:00, 65.92, 66.15, 65.89, 66.13, 1280, 817, 462, 818
2026/2/23, 13:00:00, 66.14, 66.35, 65.99, 66.33, 1002, 827, 509, 493
2026/2/23, 14:00:00, 66.34, 66.63, 66.18, 66.43, 1763, 1506, 931, 832
2026/2/23, 15:00:00, 66.44, 66.67, 66.23, 66.26, 1687, 1455, 911, 776
2026/2/23, 16:00:00, 66.25, 66.55, 65.77, 65.89, 2440, 2025, 1334, 1106
2026/2/23, 17:00:00, 65.89, 65.94, 65.64, 65.75, 1206, 999, 760, 446
2026/2/23, 18:00:00, 65.73, 65.84, 65.62, 65.71, 543, 487, 254, 289
2026/2/23, 19:00:00, 65.72, 65.89, 65.64, 65.86, 1162, 902, 508, 654
2026/2/23, 20:00:00, 65.87, 66.01, 65.87, 65.96, 496, 410, 204, 292
2026/2/23, 21:00:00, 65.98, 66.01, 65.79, 65.82, 299, 264, 185, 114
2026/2/23, 23:00:00, 65.81, 65.85, 65.71, 65.82, 80, 66, 41, 39
2026/2/24, 00:00:00, 65.83, 65.88, 65.76, 65.87, 170, 138, 57, 113
2026/2/24, 01:00:00, 65.85, 65.98, 65.62, 65.98, 368, 312, 238, 130
2026/2/24, 02:00:00, 65.99, 66.34, 65.94, 66.34, 207, 181, 82, 125
2026/2/24, 03:00:00, 66.34, 66.45, 66.31, 66.39, 190, 169, 106, 84
2026/2/24, 04:00:00, 66.38, 66.39, 66.30, 66.30, 58, 54, 40, 18
2026/2/24, 05:00:00, 66.30, 66.46, 66.15, 66.38, 242, 179, 100, 142
2026/2/24, 06:00:00, 66.35, 66.36, 66.15, 66.30, 98, 86, 43, 55
2026/2/24, 07:00:00, 66.30, 66.31, 66.02, 66.09, 152, 131, 98, 54
2026/2/24, 08:00:00, 66.08, 66.11, 65.83, 66.08, 384, 298, 158, 226
2026/2/24, 09:00:00, 66.11, 66.13, 65.90, 66.10, 462, 423, 243, 219
2026/2/24, 10:00:00, 66.12, 66.16, 65.80, 65.87, 825, 707, 478, 347
2026/2/24, 11:00:00, 65.85, 65.99, 65.76, 65.96, 356, 306, 189, 167
2026/2/24, 12:00:00, 65.93, 66.20, 65.86, 66.19, 489, 454, 306, 183
2026/2/24, 13:00:00, 66.19, 66.68, 66.19, 66.42, 2227, 1758, 1232, 995
2026/2/24, 14:00:00, 66.42, 66.44, 66.02, 66.15, 2117, 1651, 1096, 1021
2026/2/24, 15:00:00, 66.14, 66.27, 65.32, 65.53, 3520, 2799, 1855, 1665
2026/2/24, 16:00:00, 65.55, 65.87, 65.46, 65.63, 1291, 1141, 669, 622
2026/2/24, 17:00:00, 65.64, 65.96, 65.38, 65.53, 1103, 880, 592, 511
2026/2/24, 18:00:00, 65.54, 65.72, 65.50, 65.65, 1067, 736, 575, 492
2026/2/24, 19:00:00, 65.65, 65.66, 65.28, 65.62, 2184, 1670, 1277, 907
2026/2/24, 20:00:00, 65.61, 66.13, 65.53, 65.97, 1439, 1219, 708, 731
2026/2/24, 21:00:00, 65.97, 65.99, 65.63, 65.76, 626, 486, 397, 229
2026/2/24, 23:00:00, 65.78, 65.78, 65.67, 65.73, 21, 17, 13, 8
2026/2/25, 00:00:00, 65.73, 65.90, 65.72, 65.75, 107, 84, 96, 11
2026/2/25, 01:00:00, 65.77, 65.94, 65.68, 65.76, 162, 101, 95, 67
2026/2/25, 02:00:00, 65.83, 66.01, 65.77, 66.01, 127, 73, 50, 77
2026/2/25, 03:00:00, 66.01, 66.25, 65.69, 65.72, 324, 271, 176, 148
2026/2/25, 04:00:00, 65.72, 65.82, 65.70, 65.73, 58, 49, 32, 26
2026/2/25, 05:00:00, 65.71, 65.78, 65.67, 65.75, 84, 74, 34, 50
2026/2/25, 06:00:00, 65.72, 65.72, 65.48, 65.68, 89, 86, 36, 53
2026/2/25, 07:00:00, 65.74, 65.84, 65.54, 65.59, 155, 111, 105, 50
2026/2/25, 08:00:00, 65.60, 65.81, 65.45, 65.73, 548, 488, 291, 257
2026/2/25, 09:00:00, 65.71, 65.74, 65.22, 65.37, 603, 528, 324, 279
2026/2/25, 10:00:00, 65.37, 65.74, 65.36, 65.61, 420, 392, 196, 224
2026/2/25, 11:00:00, 65.64, 65.68, 65.52, 65.57, 531, 399, 188, 343
2026/2/25, 12:00:00, 65.58, 65.99, 65.45, 65.90, 1600, 1199, 805, 795
2026/2/25, 13:00:00, 65.90, 65.97, 65.58, 65.62, 788, 700, 414, 374
2026/2/25, 14:00:00, 65.61, 65.72, 65.05, 65.08, 1514, 1271, 764, 750
2026/2/25, 15:00:00, 65.06, 65.35, 64.99, 65.17, 2311, 1660, 1259, 1052
2026/2/25, 16:00:00, 65.17, 65.29, 64.89, 65.22, 2494, 1754, 1329, 1165
2026/2/25, 17:00:00, 65.23, 65.32, 65.12, 65.28, 1044, 874, 489, 555
2026/2/25, 18:00:00, 65.27, 65.53, 65.23, 65.36, 1106, 866, 608, 498
2026/2/25, 19:00:00, 65.36, 65.47, 65.11, 65.47, 1680, 1495, 904, 776
2026/2/25, 20:00:00, 65.44, 65.45, 65.16, 65.20, 384, 314, 228, 156
2026/2/25, 21:00:00, 65.20, 65.34, 65.17, 65.30, 234, 158, 102, 132
2026/2/25, 23:00:00, 65.34, 65.43, 65.30, 65.37, 116, 79, 45, 71
2026/2/26, 00:00:00, 65.34, 65.57, 65.28, 65.45, 168, 110, 110, 58
2026/2/26, 01:00:00, 65.45, 65.46, 65.27, 65.37, 102, 87, 52, 50
2026/2/26, 02:00:00, 65.34, 65.38, 65.07, 65.23, 137, 112, 79, 58
2026/2/26, 03:00:00, 65.19, 65.30, 65.18, 65.26, 40, 30, 22, 18
2026/2/26, 04:00:00, 65.29, 65.33, 65.28, 65.32, 19, 19, 9, 10
2026/2/26, 05:00:00, 65.32, 65.37, 65.22, 65.27, 101, 76, 57, 44
2026/2/26, 06:00:00, 65.28, 65.28, 65.15, 65.22, 105, 51, 48, 57
