Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:05:00, 61.89, 61.89, 61.89, 61.89, 1, 1, 0, 1
2026/2/17, 23:15:00, 61.85, 61.85, 61.85, 61.85, 1, 1, 0, 1
2026/2/17, 23:25:00, 61.87, 61.87, 61.87, 61.87, 3, 3, 0, 3
2026/2/17, 23:30:00, 61.87, 61.87, 61.87, 61.87, 2, 2, 1, 1
2026/2/17, 23:35:00, 61.84, 61.84, 61.84, 61.84, 1, 1, 1, 0
2026/2/17, 23:40:00, 61.87, 61.87, 61.87, 61.87, 2, 2, 0, 2
2026/2/17, 23:45:00, 61.86, 61.86, 61.86, 61.86, 2, 2, 2, 0
2026/2/18, 00:00:00, 61.87, 61.93, 61.87, 61.93, 5, 5, 1, 4
2026/2/18, 00:05:00, 61.93, 61.93, 61.89, 61.89, 3, 3, 1, 2
2026/2/18, 00:10:00, 61.91, 61.91, 61.91, 61.91, 1, 1, 0, 1
2026/2/18, 00:15:00, 61.91, 61.91, 61.88, 61.88, 3, 3, 2, 1
2026/2/18, 00:20:00, 61.84, 61.84, 61.84, 61.84, 2, 2, 0, 2
2026/2/18, 00:25:00, 61.82, 61.82, 61.82, 61.82, 7, 4, 6, 1
2026/2/18, 00:35:00, 61.82, 61.82, 61.82, 61.82, 1, 1, 0, 1
2026/2/18, 00:40:00, 61.82, 61.82, 61.82, 61.82, 1, 1, 0, 1
2026/2/18, 00:50:00, 61.84, 61.84, 61.84, 61.84, 1, 1, 1, 0
2026/2/18, 00:55:00, 61.82, 61.82, 61.82, 61.82, 2, 2, 0, 2
2026/2/18, 01:00:00, 61.83, 61.95, 61.83, 61.92, 23, 21, 14, 9
2026/2/18, 01:05:00, 61.92, 61.93, 61.89, 61.89, 9, 8, 5, 4
2026/2/18, 01:10:00, 61.88, 61.89, 61.87, 61.89, 3, 3, 3, 0
2026/2/18, 01:15:00, 61.90, 61.90, 61.90, 61.90, 1, 1, 1, 0
2026/2/18, 01:20:00, 61.91, 61.92, 61.91, 61.92, 2, 2, 0, 2
2026/2/18, 01:25:00, 61.92, 61.92, 61.90, 61.90, 7, 6, 4, 3
2026/2/18, 01:30:00, 61.86, 61.86, 61.86, 61.86, 1, 1, 1, 0
2026/2/18, 01:35:00, 61.88, 61.88, 61.88, 61.88, 2, 2, 0, 2
2026/2/18, 01:40:00, 61.87, 61.88, 61.87, 61.88, 4, 4, 1, 3
2026/2/18, 01:45:00, 61.89, 61.89, 61.89, 61.89, 2, 2, 0, 2
2026/2/18, 01:50:00, 61.90, 61.90, 61.90, 61.90, 5, 2, 0, 5
2026/2/18, 01:55:00, 61.90, 61.92, 61.90, 61.91, 15, 7, 12, 3
2026/2/18, 02:00:00, 61.90, 61.91, 61.88, 61.91, 8, 8, 3, 5
2026/2/18, 02:05:00, 61.91, 61.91, 61.90, 61.90, 6, 5, 4, 2
2026/2/18, 02:10:00, 61.92, 61.99, 61.92, 61.96, 8, 8, 3, 5
2026/2/18, 02:15:00, 61.96, 61.99, 61.96, 61.96, 16, 16, 6, 10
