Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 00:00:00, 61.69, 61.70, 61.59, 61.62, 7, 7, 3, 4
2026/2/18, 01:00:00, 61.69, 61.69, 61.62, 61.67, 62, 11, 56, 6
2026/2/18, 02:00:00, 61.64, 61.75, 61.64, 61.70, 20, 13, 8, 12
2026/2/18, 03:00:00, 61.69, 61.82, 61.69, 61.80, 5, 5, 3, 2
2026/2/18, 04:00:00, 61.82, 61.85, 61.80, 61.85, 50, 37, 13, 37
2026/2/18, 05:00:00, 61.85, 61.85, 61.78, 61.82, 12, 10, 10, 2
2026/2/18, 06:00:00, 61.75, 61.91, 61.72, 61.79, 18, 18, 9, 9
2026/2/18, 07:00:00, 61.77, 61.84, 61.75, 61.83, 35, 33, 15, 20
2026/2/18, 08:00:00, 61.81, 62.03, 61.80, 61.80, 42, 40, 17, 25
2026/2/18, 09:00:00, 61.80, 62.01, 61.77, 61.84, 119, 101, 62, 57
2026/2/18, 10:00:00, 61.95, 62.45, 61.89, 62.40, 236, 199, 46, 190
2026/2/18, 11:00:00, 62.42, 62.94, 62.38, 62.94, 85, 75, 36, 49
2026/2/18, 12:00:00, 62.96, 63.38, 62.80, 63.27, 277, 244, 151, 126
2026/2/18, 13:00:00, 63.32, 63.32, 63.05, 63.09, 192, 152, 123, 69
2026/2/18, 14:00:00, 63.08, 63.64, 62.99, 63.49, 425, 312, 218, 207
2026/2/18, 15:00:00, 63.49, 63.56, 63.37, 63.47, 404, 341, 282, 122
2026/2/18, 16:00:00, 63.43, 63.83, 63.41, 63.77, 539, 303, 339, 200
2026/2/18, 17:00:00, 63.71, 64.13, 63.67, 64.09, 491, 400, 242, 249
2026/2/18, 18:00:00, 64.10, 64.21, 63.81, 64.20, 584, 538, 380, 204
2026/2/18, 19:00:00, 64.20, 64.38, 63.99, 64.16, 890, 689, 502, 388
2026/2/18, 20:00:00, 64.16, 64.45, 64.14, 64.30, 518, 451, 346, 172
2026/2/18, 21:00:00, 64.30, 64.34, 64.00, 64.05, 68, 58, 42, 26
2026/2/18, 23:00:00, 64.25, 64.31, 64.16, 64.16, 6, 5, 2, 4
2026/2/19, 00:00:00, 64.10, 64.21, 64.08, 64.21, 6, 4, 0, 6
2026/2/19, 01:00:00, 64.15, 64.28, 64.09, 64.28, 33, 27, 18, 15
2026/2/19, 02:00:00, 64.36, 64.40, 64.31, 64.40, 14, 14, 11, 3
2026/2/19, 03:00:00, 64.48, 64.48, 64.39, 64.43, 18, 15, 15, 3
2026/2/19, 04:00:00, 64.45, 64.48, 64.27, 64.31, 21, 19, 11, 10
2026/2/19, 05:00:00, 64.37, 64.40, 64.33, 64.33, 10, 10, 5, 5
2026/2/19, 06:00:00, 64.32, 64.36, 64.30, 64.34, 16, 13, 10, 6
2026/2/19, 07:00:00, 64.37, 64.85, 64.34, 64.80, 43, 40, 13, 30
