Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 00:00:00, 61.69, 61.70, 61.69, 61.70, 3, 3, 0, 3
2026/2/18, 00:05:00, 61.66, 61.66, 61.66, 61.66, 2, 2, 2, 0
2026/2/18, 00:25:00, 61.59, 61.59, 61.59, 61.59, 1, 1, 1, 0
2026/2/18, 00:50:00, 61.62, 61.62, 61.62, 61.62, 1, 1, 0, 1
2026/2/18, 01:05:00, 61.69, 61.69, 61.69, 61.69, 1, 1, 1, 0
2026/2/18, 01:10:00, 61.64, 61.64, 61.64, 61.64, 1, 1, 0, 1
2026/2/18, 01:30:00, 61.64, 61.64, 61.62, 61.62, 55, 4, 55, 0
2026/2/18, 01:45:00, 61.66, 61.66, 61.66, 61.66, 1, 1, 0, 1
2026/2/18, 01:50:00, 61.65, 61.67, 61.65, 61.67, 3, 3, 0, 3
2026/2/18, 01:55:00, 61.67, 61.67, 61.67, 61.67, 1, 1, 0, 1
2026/2/18, 02:00:00, 61.64, 61.66, 61.64, 61.66, 13, 6, 7, 6
2026/2/18, 02:05:00, 61.67, 61.67, 61.67, 61.67, 2, 2, 0, 2
2026/2/18, 02:15:00, 61.74, 61.74, 61.74, 61.74, 2, 2, 0, 2
2026/2/18, 02:30:00, 61.74, 61.74, 61.74, 61.74, 1, 1, 0, 1
2026/2/18, 02:40:00, 61.75, 61.75, 61.75, 61.75, 1, 1, 0, 1
2026/2/18, 02:55:00, 61.70, 61.70, 61.70, 61.70, 1, 1, 1, 0
2026/2/18, 03:00:00, 61.69, 61.69, 61.69, 61.69, 2, 2, 2, 0
2026/2/18, 03:45:00, 61.82, 61.82, 61.82, 61.82, 1, 1, 1, 0
2026/2/18, 03:50:00, 61.80, 61.80, 61.80, 61.80, 2, 2, 0, 2
2026/2/18, 04:00:00, 61.82, 61.82, 61.82, 61.82, 2, 2, 0, 2
2026/2/18, 04:05:00, 61.80, 61.80, 61.80, 61.80, 1, 1, 1, 0
2026/2/18, 04:20:00, 61.84, 61.84, 61.83, 61.83, 10, 9, 1, 9
2026/2/18, 04:25:00, 61.83, 61.84, 61.82, 61.84, 28, 18, 3, 25
2026/2/18, 04:30:00, 61.85, 61.85, 61.85, 61.85, 1, 1, 0, 1
2026/2/18, 04:40:00, 61.85, 61.85, 61.85, 61.85, 7, 5, 7, 0
2026/2/18, 04:45:00, 61.85, 61.85, 61.85, 61.85, 1, 1, 1, 0
2026/2/18, 05:05:00, 61.85, 61.85, 61.82, 61.82, 6, 6, 4, 2
2026/2/18, 05:10:00, 61.78, 61.78, 61.78, 61.78, 4, 2, 4, 0
2026/2/18, 05:15:00, 61.78, 61.78, 61.78, 61.78, 1, 1, 1, 0
2026/2/18, 05:40:00, 61.82, 61.82, 61.82, 61.82, 1, 1, 1, 0
2026/2/18, 06:00:00, 61.75, 61.76, 61.75, 61.76, 2, 2, 1, 1
2026/2/18, 06:10:00, 61.72, 61.72, 61.72, 61.72, 1, 1, 1, 0
2026/2/18, 06:40:00, 61.77, 61.81, 61.77, 61.81, 3, 3, 1, 2
2026/2/18, 06:45:00, 61.83, 61.83, 61.83, 61.83, 1, 1, 1, 0
2026/2/18, 06:50:00, 61.89, 61.91, 61.89, 61.89, 5, 5, 2, 3
2026/2/18, 06:55:00, 61.84, 61.86, 61.79, 61.79, 6, 6, 3, 3
2026/2/18, 07:00:00, 61.77, 61.82, 61.77, 61.82, 5, 5, 3, 2
2026/2/18, 07:05:00, 61.84, 61.84, 61.82, 61.82, 4, 4, 3, 1
2026/2/18, 07:20:00, 61.80, 61.80, 61.80, 61.80, 1, 1, 1, 0
2026/2/18, 07:25:00, 61.80, 61.80, 61.78, 61.78, 2, 2, 0, 2
2026/2/18, 07:30:00, 61.78, 61.82, 61.78, 61.78, 8, 6, 6, 2
2026/2/18, 07:35:00, 61.77, 61.77, 61.75, 61.75, 4, 4, 1, 3
2026/2/18, 07:40:00, 61.79, 61.81, 61.77, 61.77, 3, 3, 1, 2
2026/2/18, 07:45:00, 61.78, 61.80, 61.78, 61.80, 5, 5, 0, 5
2026/2/18, 07:50:00, 61.80, 61.81, 61.80, 61.81, 2, 2, 0, 2
2026/2/18, 07:55:00, 61.83, 61.83, 61.83, 61.83, 1, 1, 0, 1
2026/2/18, 08:00:00, 61.81, 61.90, 61.81, 61.90, 4, 4, 3, 1
2026/2/18, 08:05:00, 61.95, 61.95, 61.95, 61.95, 1, 1, 0, 1
2026/2/18, 08:10:00, 61.91, 61.91, 61.91, 61.91, 1, 1, 0, 1
2026/2/18, 08:15:00, 61.97, 61.98, 61.97, 61.98, 2, 2, 2, 0
2026/2/18, 08:20:00, 61.96, 61.96, 61.96, 61.96, 3, 2, 0, 3
2026/2/18, 08:25:00, 62.00, 62.00, 62.00, 62.00, 2, 2, 0, 2
2026/2/18, 08:30:00, 62.00, 62.02, 61.99, 62.02, 7, 7, 0, 7
2026/2/18, 08:35:00, 61.95, 61.95, 61.93, 61.93, 5, 4, 3, 2
2026/2/18, 08:40:00, 62.01, 62.01, 62.00, 62.00, 5, 5, 2, 3
2026/2/18, 08:45:00, 62.03, 62.03, 62.03, 62.03, 1, 1, 0, 1
2026/2/18, 08:50:00, 61.99, 61.99, 61.91, 61.91, 5, 5, 5, 0
2026/2/18, 08:55:00, 61.85, 61.85, 61.80, 61.80, 6, 6, 2, 4
2026/2/18, 09:00:00, 61.80, 61.85, 61.80, 61.85, 9, 7, 2, 7
2026/2/18, 09:05:00, 61.83, 61.86, 61.83, 61.85, 3, 3, 2, 1
2026/2/18, 09:10:00, 61.92, 61.95, 61.92, 61.95, 3, 2, 0, 3
2026/2/18, 09:15:00, 61.85, 61.85, 61.80, 61.80, 13, 10, 10, 3
2026/2/18, 09:20:00, 61.81, 61.82, 61.80, 61.80, 3, 3, 1, 2
2026/2/18, 09:25:00, 61.85, 61.87, 61.85, 61.87, 2, 2, 1, 1
2026/2/18, 09:30:00, 61.90, 61.90, 61.86, 61.86, 6, 5, 6, 0
2026/2/18, 09:35:00, 61.90, 61.91, 61.82, 61.82, 5, 5, 1, 4
2026/2/18, 09:40:00, 61.89, 61.89, 61.89, 61.89, 1, 1, 1, 0
2026/2/18, 09:45:00, 61.93, 62.01, 61.91, 61.91, 33, 27, 14, 19
2026/2/18, 09:50:00, 61.80, 61.84, 61.77, 61.83, 27, 24, 18, 9
2026/2/18, 09:55:00, 61.85, 61.85, 61.80, 61.84, 14, 12, 6, 8
2026/2/18, 10:00:00, 61.95, 62.08, 61.95, 62.01, 38, 30, 14, 24
2026/2/18, 10:05:00, 61.91, 61.98, 61.91, 61.98, 5, 5, 2, 3
2026/2/18, 10:10:00, 62.00, 62.00, 62.00, 62.00, 1, 1, 1, 0
2026/2/18, 10:15:00, 61.93, 61.93, 61.90, 61.90, 4, 4, 3, 1
2026/2/18, 10:20:00, 61.89, 61.99, 61.89, 61.99, 2, 2, 1, 1
2026/2/18, 10:25:00, 61.94, 61.97, 61.94, 61.97, 4, 4, 2, 2
2026/2/18, 10:30:00, 61.96, 61.96, 61.96, 61.96, 1, 1, 1, 0
2026/2/18, 10:35:00, 62.01, 62.10, 62.01, 62.10, 7, 6, 0, 7
2026/2/18, 10:40:00, 62.15, 62.27, 62.15, 62.22, 14, 13, 3, 11
2026/2/18, 10:45:00, 62.23, 62.32, 62.22, 62.32, 142, 116, 10, 132
2026/2/18, 10:50:00, 62.35, 62.40, 62.34, 62.40, 8, 8, 4, 4
2026/2/18, 10:55:00, 62.42, 62.45, 62.40, 62.40, 10, 9, 5, 5
2026/2/18, 11:00:00, 62.42, 62.44, 62.38, 62.44, 7, 6, 3, 4
2026/2/18, 11:05:00, 62.47, 62.47, 62.47, 62.47, 2, 2, 0, 2
2026/2/18, 11:10:00, 62.49, 62.61, 62.49, 62.59, 18, 17, 6, 12
2026/2/18, 11:15:00, 62.64, 62.69, 62.63, 62.68, 6, 5, 1, 5
2026/2/18, 11:20:00, 62.67, 62.67, 62.65, 62.65, 2, 2, 1, 1
2026/2/18, 11:25:00, 62.73, 62.75, 62.72, 62.73, 11, 7, 8, 3
2026/2/18, 11:30:00, 62.70, 62.71, 62.70, 62.71, 2, 2, 2, 0
2026/2/18, 11:35:00, 62.80, 62.83, 62.78, 62.83, 5, 5, 1, 4
2026/2/18, 11:40:00, 62.84, 62.88, 62.84, 62.87, 9, 7, 2, 7
2026/2/18, 11:45:00, 62.89, 62.89, 62.81, 62.85, 7, 6, 3, 4
2026/2/18, 11:50:00, 62.82, 62.87, 62.82, 62.87, 11, 11, 7, 4
2026/2/18, 11:55:00, 62.86, 62.94, 62.86, 62.94, 5, 5, 2, 3
2026/2/18, 12:00:00, 62.96, 63.04, 62.96, 63.01, 16, 13, 10, 6
2026/2/18, 12:05:00, 63.05, 63.16, 62.80, 63.03, 121, 114, 60, 61
2026/2/18, 12:10:00, 63.07, 63.19, 63.07, 63.19, 33, 26, 21, 12
2026/2/18, 12:15:00, 63.20, 63.30, 63.19, 63.29, 20, 19, 8, 12
2026/2/18, 12:20:00, 63.31, 63.38, 63.30, 63.38, 25, 17, 18, 7
2026/2/18, 12:25:00, 63.32, 63.32, 63.24, 63.24, 9, 9, 5, 4
2026/2/18, 12:30:00, 63.27, 63.29, 63.24, 63.29, 12, 10, 2, 10
2026/2/18, 12:35:00, 63.20, 63.26, 63.19, 63.26, 9, 8, 7, 2
2026/2/18, 12:40:00, 63.23, 63.23, 63.17, 63.17, 14, 11, 11, 3
2026/2/18, 12:50:00, 63.26, 63.33, 63.26, 63.29, 10, 10, 2, 8
2026/2/18, 12:55:00, 63.28, 63.28, 63.26, 63.27, 8, 7, 7, 1
2026/2/18, 13:00:00, 63.32, 63.32, 63.19, 63.19, 10, 9, 4, 6
2026/2/18, 13:05:00, 63.21, 63.21, 63.10, 63.13, 42, 31, 31, 11
2026/2/18, 13:10:00, 63.12, 63.25, 63.12, 63.24, 31, 26, 21, 10
2026/2/18, 13:15:00, 63.20, 63.20, 63.15, 63.18, 16, 11, 13, 3
2026/2/18, 13:20:00, 63.16, 63.18, 63.11, 63.11, 16, 12, 16, 0
2026/2/18, 13:25:00, 63.12, 63.12, 63.07, 63.11, 6, 6, 5, 1
2026/2/18, 13:30:00, 63.16, 63.16, 63.11, 63.12, 13, 13, 3, 10
2026/2/18, 13:35:00, 63.11, 63.11, 63.10, 63.11, 4, 4, 1, 3
2026/2/18, 13:40:00, 63.11, 63.13, 63.10, 63.10, 7, 7, 0, 7
2026/2/18, 13:45:00, 63.11, 63.15, 63.11, 63.12, 20, 10, 14, 6
2026/2/18, 13:50:00, 63.11, 63.11, 63.05, 63.05, 9, 7, 8, 1
2026/2/18, 13:55:00, 63.08, 63.12, 63.06, 63.09, 18, 16, 7, 11
2026/2/18, 14:00:00, 63.08, 63.31, 62.99, 63.31, 65, 54, 29, 36
2026/2/18, 14:05:00, 63.26, 63.26, 63.17, 63.20, 48, 21, 37, 11
2026/2/18, 14:10:00, 63.19, 63.19, 63.13, 63.15, 6, 6, 6, 0
2026/2/18, 14:15:00, 63.16, 63.31, 63.15, 63.26, 20, 17, 6, 14
2026/2/18, 14:20:00, 63.27, 63.27, 63.20, 63.24, 16, 15, 8, 8
2026/2/18, 14:25:00, 63.24, 63.31, 63.19, 63.31, 17, 11, 7, 10
2026/2/18, 14:30:00, 63.29, 63.37, 63.28, 63.36, 38, 25, 19, 19
2026/2/18, 14:35:00, 63.37, 63.44, 63.37, 63.43, 27, 21, 15, 12
2026/2/18, 14:40:00, 63.42, 63.49, 63.42, 63.47, 49, 31, 13, 36
2026/2/18, 14:45:00, 63.47, 63.56, 63.44, 63.54, 52, 44, 19, 33
2026/2/18, 14:50:00, 63.56, 63.64, 63.55, 63.64, 25, 24, 15, 10
2026/2/18, 14:55:00, 63.63, 63.63, 63.43, 63.49, 62, 43, 44, 18
2026/2/18, 15:00:00, 63.49, 63.54, 63.47, 63.49, 15, 14, 10, 5
2026/2/18, 15:05:00, 63.52, 63.52, 63.47, 63.49, 51, 41, 42, 9
2026/2/18, 15:10:00, 63.51, 63.53, 63.43, 63.49, 48, 48, 39, 9
2026/2/18, 15:15:00, 63.49, 63.50, 63.44, 63.45, 42, 36, 32, 10
2026/2/18, 15:20:00, 63.45, 63.46, 63.40, 63.40, 27, 27, 26, 1
2026/2/18, 15:25:00, 63.45, 63.53, 63.40, 63.44, 102, 78, 60, 42
2026/2/18, 15:30:00, 63.42, 63.52, 63.37, 63.46, 40, 32, 24, 16
2026/2/18, 15:35:00, 63.46, 63.49, 63.45, 63.49, 10, 10, 6, 4
2026/2/18, 15:40:00, 63.50, 63.53, 63.49, 63.51, 17, 14, 13, 4
2026/2/18, 15:45:00, 63.51, 63.51, 63.48, 63.51, 16, 12, 12, 4
2026/2/18, 15:50:00, 63.56, 63.56, 63.46, 63.46, 28, 23, 15, 13
2026/2/18, 15:55:00, 63.46, 63.48, 63.46, 63.47, 8, 6, 3, 5
2026/2/18, 16:00:00, 63.43, 63.47, 63.41, 63.46, 32, 25, 16, 16
2026/2/18, 16:05:00, 63.45, 63.50, 63.44, 63.50, 64, 29, 5, 59
2026/2/18, 16:10:00, 63.48, 63.49, 63.46, 63.48, 6, 6, 3, 3
2026/2/18, 16:15:00, 63.49, 63.59, 63.49, 63.57, 11, 9, 5, 6
2026/2/18, 16:20:00, 63.55, 63.56, 63.49, 63.49, 20, 14, 10, 10
2026/2/18, 16:25:00, 63.50, 63.60, 63.50, 63.59, 54, 32, 44, 10
2026/2/18, 16:30:00, 63.60, 63.69, 63.57, 63.69, 55, 46, 31, 24
2026/2/18, 16:35:00, 63.69, 63.69, 63.66, 63.68, 157, 18, 148, 9
2026/2/18, 16:40:00, 63.71, 63.83, 63.70, 63.72, 69, 63, 35, 34
2026/2/18, 16:45:00, 63.72, 63.76, 63.71, 63.74, 28, 26, 15, 13
2026/2/18, 16:50:00, 63.75, 63.80, 63.74, 63.79, 32, 28, 17, 15
2026/2/18, 16:55:00, 63.78, 63.78, 63.77, 63.77, 11, 7, 10, 1
2026/2/18, 17:00:00, 63.71, 63.75, 63.68, 63.75, 36, 26, 29, 7
2026/2/18, 17:05:00, 63.69, 63.80, 63.67, 63.79, 60, 47, 35, 25
2026/2/18, 17:10:00, 63.79, 63.94, 63.77, 63.87, 51, 43, 24, 27
2026/2/18, 17:15:00, 63.90, 63.96, 63.88, 63.96, 47, 32, 5, 42
2026/2/18, 17:20:00, 63.96, 63.98, 63.91, 63.91, 38, 26, 21, 17
