Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/1/22, 00:00:00, 54.66, 54.66, 54.66, 54.66, 959334, 2563088
2018/1/23, 00:00:00, 54.88, 54.88, 54.88, 54.88, 1100502, 2587735
2018/1/24, 00:00:00, 54.34, 54.34, 54.34, 54.34, 1798089, 2655181
2018/1/25, 00:00:00, 54.52, 54.52, 54.52, 54.52, 1596241, 2632514
2018/1/26, 00:00:00, 54.41, 54.41, 54.41, 54.41, 1333316, 2648090
2018/1/29, 00:00:00, 54.04, 54.04, 54.04, 54.04, 1206995, 2644526
2018/1/30, 00:00:00, 53.42, 53.42, 53.42, 53.42, 1286493, 2643683
2018/1/31, 00:00:00, 53.23, 53.23, 53.23, 53.23, 1158182, 2648774
2018/2/1, 00:00:00, 53.22, 53.22, 53.22, 53.22, 1402838, 2680530
2018/2/2, 00:00:00, 52.26, 52.26, 52.26, 52.26, 1954071, 2637021
2018/2/5, 00:00:00, 51.92, 51.92, 51.92, 51.92, 1980123, 2587299
2018/2/6, 00:00:00, 51.67, 51.67, 51.67, 51.67, 1495610, 2589270
2018/2/7, 00:00:00, 51.04, 51.04, 51.04, 51.04, 2015703, 2550513
2018/2/8, 00:00:00, 51.07, 51.07, 51.07, 51.07, 1866093, 2543617
2018/2/9, 00:00:00, 50.53, 50.53, 50.53, 50.53, 1764311, 2524015
2018/2/12, 00:00:00, 50.76, 50.76, 50.76, 50.76, 1455165, 2518019
2018/2/13, 00:00:00, 51.45, 51.45, 51.45, 51.45, 1253615, 2530604
2018/2/14, 00:00:00, 51.42, 51.42, 51.42, 51.42, 1612908, 2520377
2018/2/15, 00:00:00, 51.38, 51.38, 51.38, 51.38, 1515184, 2477064
2018/2/16, 00:00:00, 51.67, 51.67, 51.67, 51.67, 1147661, 2421110
2018/2/20, 00:00:00, 52.27, 52.27, 52.27, 52.27, 1339441, 2430562
2018/2/21, 00:00:00, 52.31, 52.31, 52.31, 52.31, 813882, 2425517
2018/2/22, 00:00:00, 52.45, 52.45, 52.45, 52.45, 1096895, 2430049
2018/2/23, 00:00:00, 53.24, 53.24, 53.24, 53.24, 900749, 2434008
2018/2/26, 00:00:00, 53.85, 53.85, 53.85, 53.85, 810920, 2453610
2018/2/27, 00:00:00, 53.45, 53.45, 53.45, 53.45, 957971, 2460214
2018/2/28, 00:00:00, 51.91, 51.91, 51.91, 51.91, 1349655, 2462234
2018/3/1, 00:00:00, 51.60, 51.60, 51.60, 51.60, 1395837, 2468735
2018/3/2, 00:00:00, 51.63, 51.63, 51.63, 51.63, 1040814, 2457804
2018/3/5, 00:00:00, 52.32, 52.32, 52.32, 52.32, 977010, 2469014
2018/3/6, 00:00:00, 52.39, 52.39, 52.39, 52.39, 1120554, 2451492
2018/3/7, 00:00:00, 51.79, 51.79, 51.79, 51.79, 1558043, 2461343
2018/3/8, 00:00:00, 51.80, 51.80, 51.80, 51.80, 1615637, 2446518
2018/3/9, 00:00:00, 52.77, 52.77, 52.77, 52.77, 1420169, 2432754
2018/3/12, 00:00:00, 52.67, 52.67, 52.67, 52.67, 1024381, 2428425
2018/3/13, 00:00:00, 52.56, 52.56, 52.56, 52.56, 1480803, 2403162
2018/3/14, 00:00:00, 52.70, 52.70, 52.70, 52.70, 1250355, 2401740
2018/3/15, 00:00:00, 52.49, 52.49, 52.49, 52.49, 983322, 2381898
2018/3/16, 00:00:00, 52.47, 52.47, 52.47, 52.47, 934479, 2401800
2018/3/19, 00:00:00, 52.06, 52.06, 52.06, 52.06, 911452, 2376271
2018/3/20, 00:00:00, 52.22, 52.22, 52.22, 52.22, 1126655, 2386095
2018/3/21, 00:00:00, 52.93, 52.93, 52.93, 52.93, 1394054, 2436499
2018/3/22, 00:00:00, 52.48, 52.48, 52.48, 52.48, 1281737, 2436690
2018/3/23, 00:00:00, 52.89, 52.89, 52.89, 52.89, 1271363, 2469551
2018/3/26, 00:00:00, 52.70, 52.70, 52.70, 52.70, 927759, 2483359
2018/3/27, 00:00:00, 52.70, 52.70, 52.70, 52.70, 1132857, 2513575
2018/3/28, 00:00:00, 52.68, 52.68, 52.68, 52.68, 1156249, 2509804
2018/3/29, 00:00:00, 52.46, 52.46, 52.46, 52.46, 961850, 2521210
2018/4/2, 00:00:00, 51.52, 51.52, 51.52, 51.52, 940753, 2532289
2018/4/3, 00:00:00, 51.90, 51.90, 51.90, 51.90, 880962, 2547337
2018/4/4, 00:00:00, 51.86, 51.86, 51.86, 51.86, 1319181, 2542709
2018/4/5, 00:00:00, 52.07, 52.07, 52.07, 52.07, 1077685, 2522714
2018/4/6, 00:00:00, 51.37, 51.37, 51.37, 51.37, 1466267, 2499221
2018/4/9, 00:00:00, 51.52, 51.52, 51.52, 51.52, 1279932, 2469396
2018/4/10, 00:00:00, 51.81, 51.81, 51.81, 51.81, 1788317, 2480033
2018/4/11, 00:00:00, 52.11, 52.11, 52.11, 52.11, 2093741, 2534391
2018/4/12, 00:00:00, 51.78, 51.78, 51.78, 51.78, 1370398, 2565785
2018/4/13, 00:00:00, 51.71, 51.71, 51.71, 51.71, 1378834, 2609563
2018/4/16, 00:00:00, 51.68, 51.68, 51.68, 51.68, 1266169, 2605000
2018/4/17, 00:00:00, 51.63, 51.63, 51.63, 51.63, 1314171, 2596578
2018/4/18, 00:00:00, 51.54, 51.54, 51.54, 51.54, 1478871, 2616362
2018/4/19, 00:00:00, 51.72, 51.72, 51.72, 51.72, 1519806, 2598362
2018/4/20, 00:00:00, 51.66, 51.66, 51.66, 51.66, 1116135, 2562051
2018/4/23, 00:00:00, 51.99, 51.99, 51.99, 51.99, 1384486, 2564936
2018/4/24, 00:00:00, 51.55, 51.55, 51.55, 51.55, 1478857, 2574820
2018/4/25, 00:00:00, 51.44, 51.44, 51.44, 51.44, 1274381, 2597874
2018/4/26, 00:00:00, 51.47, 51.47, 51.47, 51.47, 1197794, 2630989
2018/4/27, 00:00:00, 51.13, 51.13, 51.13, 51.13, 927582, 2638303
2018/4/30, 00:00:00, 51.29, 51.29, 51.29, 51.29, 1388909, 2635063
2018/5/1, 00:00:00, 51.00, 51.00, 51.00, 51.00, 1194404, 2621768
2018/5/2, 00:00:00, 50.95, 50.95, 50.95, 50.95, 1433058, 2643779
2018/5/3, 00:00:00, 51.40, 51.40, 51.40, 51.40, 1268094, 2679593
2018/5/4, 00:00:00, 52.07, 52.07, 52.07, 52.07, 1202307, 2695178
2018/5/7, 00:00:00, 52.40, 52.40, 52.40, 52.40, 1386945, 2686536
2018/5/8, 00:00:00, 51.94, 51.94, 51.94, 51.94, 2115382, 2658229
2018/5/9, 00:00:00, 52.75, 52.75, 52.75, 52.75, 1663486, 2676256
2018/5/10, 00:00:00, 53.10, 53.10, 53.10, 53.10, 1345300, 2694428
2018/5/11, 00:00:00, 53.29, 53.29, 53.29, 53.29, 1255825, 2706686
