Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 61.39, 61.39, 61.35, 61.35, 3, 3, 2, 1
2026/2/18, 01:00:00, 61.36, 61.36, 61.36, 61.36, 1, 1, 1, 0
2026/2/18, 02:00:00, 61.38, 61.48, 61.36, 61.43, 17, 12, 9, 8
2026/2/18, 03:00:00, 61.41, 61.54, 61.41, 61.51, 6, 5, 4, 2
2026/2/18, 04:00:00, 61.55, 61.60, 61.54, 61.60, 18, 13, 2, 16
2026/2/18, 05:00:00, 61.54, 61.54, 61.50, 61.50, 6, 5, 4, 2
2026/2/18, 06:00:00, 61.46, 61.58, 61.45, 61.56, 11, 11, 6, 5
2026/2/18, 07:00:00, 61.50, 61.56, 61.50, 61.52, 16, 16, 7, 9
2026/2/18, 08:00:00, 61.52, 61.73, 61.52, 61.53, 23, 20, 10, 13
2026/2/18, 09:00:00, 61.57, 61.71, 61.51, 61.54, 44, 37, 17, 27
2026/2/18, 10:00:00, 61.63, 62.14, 61.63, 62.14, 50, 47, 19, 31
2026/2/18, 11:00:00, 62.12, 62.63, 62.09, 62.63, 69, 52, 31, 38
2026/2/18, 12:00:00, 62.69, 63.03, 62.51, 62.93, 140, 123, 68, 72
2026/2/18, 13:00:00, 62.96, 62.96, 62.74, 62.74, 180, 122, 119, 61
2026/2/18, 14:00:00, 62.77, 63.28, 62.69, 63.17, 341, 223, 205, 136
2026/2/18, 15:00:00, 63.14, 63.22, 63.06, 63.13, 122, 89, 48, 74
2026/2/18, 16:00:00, 63.11, 63.46, 63.11, 63.38, 378, 199, 142, 236
2026/2/18, 17:00:00, 63.35, 63.74, 63.32, 63.71, 212, 158, 122, 90
2026/2/18, 18:00:00, 63.71, 63.82, 63.44, 63.80, 261, 205, 149, 112
2026/2/18, 19:00:00, 63.79, 63.96, 63.60, 63.73, 283, 210, 148, 135
2026/2/18, 20:00:00, 63.83, 64.04, 63.76, 63.90, 104, 69, 41, 63
2026/2/18, 21:00:00, 63.90, 63.90, 63.60, 63.66, 55, 43, 33, 22
2026/2/18, 23:00:00, 63.90, 63.91, 63.74, 63.75, 6, 6, 1, 5
2026/2/19, 01:00:00, 63.68, 63.86, 63.68, 63.86, 14, 14, 12, 2
