Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 61.39, 61.39, 61.39, 61.39, 1, 1, 0, 1
2026/2/17, 23:10:00, 61.35, 61.35, 61.35, 61.35, 1, 1, 1, 0
2026/2/17, 23:45:00, 61.35, 61.35, 61.35, 61.35, 1, 1, 1, 0
2026/2/18, 01:10:00, 61.36, 61.36, 61.36, 61.36, 1, 1, 1, 0
2026/2/18, 02:00:00, 61.38, 61.39, 61.36, 61.39, 12, 7, 7, 5
2026/2/18, 02:10:00, 61.46, 61.46, 61.45, 61.45, 2, 2, 2, 0
2026/2/18, 02:15:00, 61.46, 61.46, 61.46, 61.46, 1, 1, 0, 1
2026/2/18, 02:35:00, 61.48, 61.48, 61.48, 61.48, 1, 1, 0, 1
2026/2/18, 02:55:00, 61.43, 61.43, 61.43, 61.43, 1, 1, 0, 1
2026/2/18, 03:00:00, 61.41, 61.45, 61.41, 61.45, 2, 2, 1, 1
2026/2/18, 03:15:00, 61.48, 61.48, 61.48, 61.48, 1, 1, 0, 1
2026/2/18, 03:45:00, 61.54, 61.54, 61.54, 61.54, 1, 1, 1, 0
2026/2/18, 03:55:00, 61.51, 61.51, 61.51, 61.51, 2, 1, 2, 0
2026/2/18, 04:05:00, 61.55, 61.55, 61.55, 61.55, 2, 2, 0, 2
2026/2/18, 04:10:00, 61.54, 61.54, 61.54, 61.54, 1, 1, 1, 0
2026/2/18, 04:15:00, 61.54, 61.54, 61.54, 61.54, 1, 1, 0, 1
2026/2/18, 04:20:00, 61.55, 61.55, 61.55, 61.55, 9, 5, 0, 9
2026/2/18, 04:25:00, 61.55, 61.55, 61.55, 61.55, 2, 1, 0, 2
2026/2/18, 04:35:00, 61.58, 61.58, 61.58, 61.58, 1, 1, 0, 1
2026/2/18, 04:45:00, 61.56, 61.56, 61.56, 61.56, 1, 1, 1, 0
2026/2/18, 04:55:00, 61.60, 61.60, 61.60, 61.60, 1, 1, 0, 1
2026/2/18, 05:05:00, 61.54, 61.54, 61.54, 61.54, 1, 1, 1, 0
2026/2/18, 05:15:00, 61.50, 61.50, 61.50, 61.50, 1, 1, 1, 0
2026/2/18, 05:40:00, 61.54, 61.54, 61.54, 61.54, 1, 1, 1, 0
2026/2/18, 05:45:00, 61.54, 61.54, 61.54, 61.54, 1, 1, 1, 0
2026/2/18, 05:50:00, 61.50, 61.50, 61.50, 61.50, 2, 1, 0, 2
2026/2/18, 06:30:00, 61.46, 61.46, 61.46, 61.46, 1, 1, 0, 1
2026/2/18, 06:35:00, 61.45, 61.45, 61.45, 61.45, 2, 2, 1, 1
2026/2/18, 06:40:00, 61.46, 61.52, 61.46, 61.50, 3, 3, 1, 2
2026/2/18, 06:45:00, 61.57, 61.57, 61.57, 61.57, 1, 1, 1, 0
2026/2/18, 06:50:00, 61.56, 61.56, 61.56, 61.56, 1, 1, 1, 0
2026/2/18, 06:55:00, 61.58, 61.58, 61.56, 61.56, 3, 3, 2, 1
2026/2/18, 07:00:00, 61.50, 61.54, 61.50, 61.54, 4, 4, 1, 3
2026/2/18, 07:05:00, 61.56, 61.56, 61.54, 61.54, 3, 3, 2, 1
2026/2/18, 07:25:00, 61.50, 61.50, 61.50, 61.50, 4, 4, 2, 2
2026/2/18, 07:30:00, 61.50, 61.50, 61.50, 61.50, 2, 2, 2, 0
2026/2/18, 07:35:00, 61.50, 61.50, 61.50, 61.50, 1, 1, 0, 1
2026/2/18, 07:45:00, 61.50, 61.52, 61.50, 61.52, 2, 2, 0, 2
2026/2/18, 08:00:00, 61.52, 61.63, 61.52, 61.63, 4, 4, 1, 3
2026/2/18, 08:05:00, 61.68, 61.68, 61.68, 61.68, 1, 1, 1, 0
2026/2/18, 08:10:00, 61.63, 61.63, 61.63, 61.63, 2, 2, 0, 2
2026/2/18, 08:15:00, 61.67, 61.69, 61.67, 61.69, 3, 3, 1, 2
2026/2/18, 08:20:00, 61.69, 61.69, 61.69, 61.69, 3, 2, 3, 0
2026/2/18, 08:30:00, 61.72, 61.72, 61.72, 61.72, 2, 2, 0, 2
2026/2/18, 08:35:00, 61.65, 61.65, 61.65, 61.65, 1, 1, 1, 0
2026/2/18, 08:40:00, 61.71, 61.73, 61.71, 61.73, 2, 2, 2, 0
2026/2/18, 08:50:00, 61.66, 61.66, 61.63, 61.63, 3, 2, 1, 2
2026/2/18, 08:55:00, 61.53, 61.53, 61.53, 61.53, 2, 1, 0, 2
2026/2/18, 09:00:00, 61.57, 61.58, 61.57, 61.58, 2, 2, 0, 2
2026/2/18, 09:05:00, 61.58, 61.58, 61.58, 61.58, 2, 2, 1, 1
2026/2/18, 09:15:00, 61.56, 61.56, 61.54, 61.54, 3, 3, 1, 2
2026/2/18, 09:20:00, 61.54, 61.60, 61.54, 61.60, 2, 2, 1, 1
2026/2/18, 09:25:00, 61.60, 61.60, 61.57, 61.58, 3, 3, 2, 1
2026/2/18, 09:30:00, 61.63, 61.63, 61.58, 61.58, 3, 3, 3, 0
2026/2/18, 09:35:00, 61.56, 61.56, 61.56, 61.56, 1, 1, 0, 1
2026/2/18, 09:40:00, 61.60, 61.61, 61.60, 61.61, 6, 3, 1, 5
2026/2/18, 09:45:00, 61.65, 61.71, 61.63, 61.71, 12, 11, 5, 7
2026/2/18, 09:50:00, 61.52, 61.52, 61.51, 61.51, 3, 2, 0, 3
2026/2/18, 09:55:00, 61.54, 61.57, 61.54, 61.54, 7, 5, 3, 4
2026/2/18, 10:00:00, 61.63, 61.80, 61.63, 61.73, 15, 15, 5, 10
2026/2/18, 10:05:00, 61.65, 61.65, 61.65, 61.65, 1, 1, 0, 1
2026/2/18, 10:15:00, 61.65, 61.66, 61.65, 61.66, 3, 3, 1, 2
2026/2/18, 10:20:00, 61.71, 61.71, 61.71, 61.71, 2, 2, 0, 2
2026/2/18, 10:30:00, 61.69, 61.69, 61.69, 61.69, 1, 1, 1, 0
2026/2/18, 10:40:00, 61.94, 61.97, 61.94, 61.94, 5, 5, 2, 3
2026/2/18, 10:45:00, 61.94, 62.04, 61.94, 62.04, 14, 14, 4, 10
