Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/1/22, 00:00:00, 54.69, 54.69, 54.69, 54.69, 959334, 2563088
2018/1/23, 00:00:00, 54.91, 54.91, 54.91, 54.91, 1100502, 2587735
2018/1/24, 00:00:00, 54.37, 54.37, 54.37, 54.37, 1798089, 2655181
2018/1/25, 00:00:00, 54.55, 54.55, 54.55, 54.55, 1596241, 2632514
2018/1/26, 00:00:00, 54.44, 54.44, 54.44, 54.44, 1333316, 2648090
2018/1/29, 00:00:00, 54.07, 54.07, 54.07, 54.07, 1206995, 2644526
2018/1/30, 00:00:00, 53.45, 53.45, 53.45, 53.45, 1286493, 2643683
2018/1/31, 00:00:00, 53.26, 53.26, 53.26, 53.26, 1158182, 2648774
2018/2/1, 00:00:00, 53.25, 53.25, 53.25, 53.25, 1402838, 2680530
2018/2/2, 00:00:00, 52.29, 52.29, 52.29, 52.29, 1954071, 2637021
2018/2/5, 00:00:00, 51.95, 51.95, 51.95, 51.95, 1980123, 2587299
2018/2/6, 00:00:00, 51.70, 51.70, 51.70, 51.70, 1495610, 2589270
2018/2/7, 00:00:00, 51.07, 51.07, 51.07, 51.07, 2015703, 2550513
2018/2/8, 00:00:00, 51.10, 51.10, 51.10, 51.10, 1866093, 2543617
2018/2/9, 00:00:00, 50.56, 50.56, 50.56, 50.56, 1764311, 2524015
2018/2/12, 00:00:00, 50.79, 50.79, 50.79, 50.79, 1455165, 2518019
2018/2/13, 00:00:00, 51.48, 51.48, 51.48, 51.48, 1253615, 2530604
2018/2/14, 00:00:00, 51.45, 51.45, 51.45, 51.45, 1612908, 2520377
2018/2/15, 00:00:00, 51.41, 51.41, 51.41, 51.41, 1515184, 2477064
2018/2/16, 00:00:00, 51.70, 51.70, 51.70, 51.70, 1147661, 2421110
2018/2/20, 00:00:00, 52.30, 52.30, 52.30, 52.30, 1339441, 2430562
2018/2/21, 00:00:00, 52.34, 52.34, 52.34, 52.34, 813882, 2425517
2018/2/22, 00:00:00, 52.48, 52.48, 52.48, 52.48, 1096895, 2430049
2018/2/23, 00:00:00, 53.27, 53.27, 53.27, 53.27, 900749, 2434008
2018/2/26, 00:00:00, 53.88, 53.88, 53.88, 53.88, 810920, 2453610
2018/2/27, 00:00:00, 53.48, 53.48, 53.48, 53.48, 957971, 2460214
2018/2/28, 00:00:00, 51.94, 51.94, 51.94, 51.94, 1349655, 2462234
2018/3/1, 00:00:00, 51.63, 51.63, 51.63, 51.63, 1395837, 2468735
2018/3/2, 00:00:00, 51.66, 51.66, 51.66, 51.66, 1040814, 2457804
2018/3/5, 00:00:00, 52.35, 52.35, 52.35, 52.35, 977010, 2469014
2018/3/6, 00:00:00, 52.42, 52.42, 52.42, 52.42, 1120554, 2451492
2018/3/7, 00:00:00, 51.82, 51.82, 51.82, 51.82, 1558043, 2461343
2018/3/8, 00:00:00, 51.83, 51.83, 51.83, 51.83, 1615637, 2446518
2018/3/9, 00:00:00, 52.80, 52.80, 52.80, 52.80, 1420169, 2432754
2018/3/12, 00:00:00, 52.70, 52.70, 52.70, 52.70, 1024381, 2428425
2018/3/13, 00:00:00, 52.59, 52.59, 52.59, 52.59, 1480803, 2403162
2018/3/14, 00:00:00, 52.73, 52.73, 52.73, 52.73, 1250355, 2401740
2018/3/15, 00:00:00, 52.52, 52.52, 52.52, 52.52, 983322, 2381898
2018/3/16, 00:00:00, 52.50, 52.50, 52.50, 52.50, 934479, 2401800
2018/3/19, 00:00:00, 52.09, 52.09, 52.09, 52.09, 911452, 2376271
2018/3/20, 00:00:00, 52.25, 52.25, 52.25, 52.25, 1126655, 2386095
2018/3/21, 00:00:00, 52.96, 52.96, 52.96, 52.96, 1394054, 2436499
2018/3/22, 00:00:00, 52.51, 52.51, 52.51, 52.51, 1281737, 2436690
2018/3/23, 00:00:00, 52.92, 52.92, 52.92, 52.92, 1271363, 2469551
2018/3/26, 00:00:00, 52.73, 52.73, 52.73, 52.73, 927759, 2483359
2018/3/27, 00:00:00, 52.73, 52.73, 52.73, 52.73, 1132857, 2513575
2018/3/28, 00:00:00, 52.71, 52.71, 52.71, 52.71, 1156249, 2509804
2018/3/29, 00:00:00, 52.49, 52.49, 52.49, 52.49, 961850, 2521210
2018/4/2, 00:00:00, 51.55, 51.55, 51.55, 51.55, 940753, 2532289
2018/4/3, 00:00:00, 51.93, 51.93, 51.93, 51.93, 880962, 2547337
2018/4/4, 00:00:00, 51.89, 51.89, 51.89, 51.89, 1319181, 2542709
2018/4/5, 00:00:00, 52.10, 52.10, 52.10, 52.10, 1077685, 2522714
2018/4/6, 00:00:00, 51.40, 51.40, 51.40, 51.40, 1466267, 2499221
2018/4/9, 00:00:00, 51.55, 51.55, 51.55, 51.55, 1279932, 2469396
2018/4/10, 00:00:00, 51.84, 51.84, 51.84, 51.84, 1788317, 2480033
2018/4/11, 00:00:00, 52.14, 52.14, 52.14, 52.14, 2093741, 2534391
2018/4/12, 00:00:00, 51.81, 51.81, 51.81, 51.81, 1370398, 2565785
2018/4/13, 00:00:00, 51.74, 51.74, 51.74, 51.74, 1378834, 2609563
2018/4/16, 00:00:00, 51.71, 51.71, 51.71, 51.71, 1266169, 2605000
2018/4/17, 00:00:00, 51.66, 51.66, 51.66, 51.66, 1314171, 2596578
2018/4/18, 00:00:00, 51.57, 51.57, 51.57, 51.57, 1478871, 2616362
2018/4/19, 00:00:00, 51.75, 51.75, 51.75, 51.75, 1519806, 2598362
2018/4/20, 00:00:00, 51.69, 51.69, 51.69, 51.69, 1116135, 2562051
2018/4/23, 00:00:00, 52.02, 52.02, 52.02, 52.02, 1384486, 2564936
2018/4/24, 00:00:00, 51.58, 51.58, 51.58, 51.58, 1478857, 2574820
2018/4/25, 00:00:00, 51.47, 51.47, 51.47, 51.47, 1274381, 2597874
2018/4/26, 00:00:00, 51.50, 51.50, 51.50, 51.50, 1197794, 2630989
2018/4/27, 00:00:00, 51.16, 51.16, 51.16, 51.16, 927582, 2638303
2018/4/30, 00:00:00, 51.32, 51.32, 51.32, 51.32, 1388909, 2635063
2018/5/1, 00:00:00, 51.03, 51.03, 51.03, 51.03, 1194404, 2621768
2018/5/2, 00:00:00, 50.98, 50.98, 50.98, 50.98, 1433058, 2643779
2018/5/3, 00:00:00, 51.43, 51.43, 51.43, 51.43, 1268094, 2679593
2018/5/4, 00:00:00, 52.10, 52.10, 52.10, 52.10, 1202307, 2695178
2018/5/7, 00:00:00, 52.43, 52.43, 52.43, 52.43, 1386945, 2686536
2018/5/8, 00:00:00, 51.97, 51.97, 51.97, 51.97, 2115382, 2658229
2018/5/9, 00:00:00, 52.78, 52.78, 52.78, 52.78, 1663486, 2676256
2018/5/10, 00:00:00, 53.13, 53.13, 53.13, 53.13, 1345300, 2694428
2018/5/11, 00:00:00, 53.32, 53.32, 53.32, 53.32, 1255825, 2706686
2018/5/14, 00:00:00, 53.65, 53.65, 53.65, 53.65, 1215405, 2680287
2018/5/15, 00:00:00, 54.08, 54.08, 54.08, 54.08, 1805032, 2706454
2018/5/16, 00:00:00, 53.96, 53.96, 53.96, 53.96, 1327746, 2713986
2018/5/17, 00:00:00, 54.58, 54.58, 54.58, 54.58, 1531313, 2659819
2018/5/18, 00:00:00, 54.55, 54.55, 54.55, 54.55, 1089706, 2658315
2018/5/21, 00:00:00, 54.93, 54.93, 54.93, 54.93, 1099397, 2641241
2018/5/22, 00:00:00, 54.66, 54.66, 54.66, 54.66, 1292386, 2638408
2018/5/23, 00:00:00, 53.80, 53.80, 53.80, 53.80, 1252046, 2641141
2018/5/24, 00:00:00, 53.62, 53.62, 53.62, 53.62, 1069556, 2655091
2018/5/25, 00:00:00, 52.66, 52.66, 52.66, 52.66, 1709587, 2632315
2018/5/29, 00:00:00, 52.68, 52.68, 52.68, 52.68, 1694846, 2620926
2018/5/30, 00:00:00, 52.98, 52.98, 52.98, 52.98, 1261490, 2638610
2018/5/31, 00:00:00, 53.06, 53.06, 53.06, 53.06, 1705457, 2625957
2018/6/1, 00:00:00, 54.26, 54.26, 54.26, 54.26, 1656602, 2587923
2018/6/4, 00:00:00, 53.80, 53.80, 53.80, 53.80, 1349394, 2539191
2018/6/5, 00:00:00, 53.88, 53.88, 53.88, 53.88, 1394281, 2546827
2018/6/6, 00:00:00, 53.47, 53.47, 53.47, 53.47, 1262640, 2545587
2018/6/7, 00:00:00, 53.90, 53.90, 53.90, 53.90, 1413631, 2551692
