Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 61.08, 61.08, 61.08, 61.08, 1, 1, 1, 0
2026/2/18, 01:00:00, 61.09, 61.10, 61.08, 61.10, 3, 3, 2, 1
2026/2/18, 02:00:00, 61.07, 61.16, 61.06, 61.12, 7, 7, 5, 2
2026/2/18, 03:00:00, 61.12, 61.24, 61.12, 61.22, 14, 11, 11, 3
2026/2/18, 04:00:00, 61.22, 61.29, 61.22, 61.29, 148, 82, 3, 145
2026/2/18, 06:00:00, 61.15, 61.27, 61.12, 61.24, 6, 5, 4, 2
2026/2/18, 07:00:00, 61.19, 61.24, 61.18, 61.23, 15, 13, 4, 11
2026/2/18, 08:00:00, 61.25, 61.42, 61.23, 61.23, 182, 106, 75, 107
2026/2/18, 09:00:00, 61.26, 61.42, 61.20, 61.29, 179, 122, 58, 121
2026/2/18, 10:00:00, 61.40, 61.84, 61.32, 61.80, 72, 61, 29, 43
2026/2/18, 11:00:00, 61.78, 62.29, 61.78, 62.29, 65, 55, 34, 31
2026/2/18, 12:00:00, 62.34, 62.68, 62.19, 62.61, 398, 285, 149, 249
2026/2/18, 13:00:00, 62.62, 62.64, 62.39, 62.40, 368, 227, 112, 256
2026/2/18, 14:00:00, 62.38, 62.91, 62.34, 62.79, 1357, 720, 508, 849
2026/2/18, 15:00:00, 62.80, 62.88, 62.71, 62.78, 410, 221, 88, 322
2026/2/18, 16:00:00, 62.74, 63.05, 62.74, 63.00, 897, 619, 373, 524
2026/2/18, 17:00:00, 62.96, 63.32, 62.95, 63.30, 500, 387, 151, 349
2026/2/18, 18:00:00, 63.30, 63.39, 63.03, 63.37, 369, 269, 135, 234
2026/2/18, 19:00:00, 63.38, 63.54, 63.19, 63.32, 540, 294, 231, 309
2026/2/18, 20:00:00, 63.33, 63.57, 63.32, 63.46, 157, 115, 56, 101
2026/2/18, 21:00:00, 63.44, 63.44, 63.15, 63.21, 51, 30, 33, 18
2026/2/18, 23:00:00, 63.45, 63.45, 63.38, 63.38, 7, 4, 0, 7
2026/2/19, 00:00:00, 63.35, 63.37, 63.29, 63.37, 9, 4, 4, 5
2026/2/19, 01:00:00, 63.26, 63.44, 63.26, 63.44, 11, 10, 11, 0
2026/2/19, 02:00:00, 63.44, 63.55, 63.44, 63.53, 23, 17, 14, 9
2026/2/19, 03:00:00, 63.63, 63.63, 63.55, 63.60, 11, 11, 6, 5
2026/2/19, 04:00:00, 63.58, 63.60, 63.46, 63.46, 7, 7, 5, 2
2026/2/19, 05:00:00, 63.50, 63.54, 63.50, 63.52, 5, 4, 5, 0
2026/2/19, 06:00:00, 63.47, 63.55, 63.47, 63.49, 9, 9, 7, 2
2026/2/19, 07:00:00, 63.57, 63.90, 63.50, 63.90, 39, 34, 11, 28
2026/2/19, 08:00:00, 63.91, 64.26, 63.81, 64.26, 298, 216, 26, 272
2026/2/19, 09:00:00, 64.25, 64.27, 63.80, 63.92, 78, 72, 39, 39
2026/2/19, 10:00:00, 63.87, 64.09, 63.83, 64.07, 53, 48, 25, 28
2026/2/19, 11:00:00, 64.02, 64.28, 63.99, 64.09, 60, 47, 27, 33
2026/2/19, 12:00:00, 64.11, 64.16, 64.05, 64.12, 173, 114, 44, 129
2026/2/19, 13:00:00, 64.12, 64.41, 63.95, 64.26, 413, 285, 94, 319
2026/2/19, 14:00:00, 64.25, 64.42, 63.98, 64.28, 752, 428, 157, 595
2026/2/19, 15:00:00, 64.30, 64.44, 63.58, 64.37, 626, 547, 275, 351
2026/2/19, 16:00:00, 64.48, 64.54, 64.28, 64.50, 447, 299, 63, 384
2026/2/19, 17:00:00, 64.62, 64.64, 64.36, 64.49, 303, 196, 72, 231
2026/2/19, 18:00:00, 64.43, 64.55, 64.24, 64.48, 847, 396, 467, 380
2026/2/19, 19:00:00, 64.47, 64.52, 64.35, 64.51, 367, 165, 91, 276
2026/2/19, 20:00:00, 64.52, 64.64, 64.50, 64.61, 102, 58, 62, 40
2026/2/19, 21:00:00, 64.54, 64.71, 64.02, 64.63, 89, 82, 66, 23
2026/2/19, 23:00:00, 64.48, 64.49, 64.43, 64.43, 22, 11, 11, 11
2026/2/20, 00:00:00, 64.46, 64.46, 64.46, 64.46, 1, 1, 1, 0
2026/2/20, 01:00:00, 64.43, 64.65, 64.43, 64.52, 92, 41, 15, 77
2026/2/20, 02:00:00, 64.55, 64.70, 64.49, 64.49, 13, 11, 3, 10
2026/2/20, 03:00:00, 64.55, 64.62, 64.48, 64.62, 14, 13, 8, 6
2026/2/20, 04:00:00, 64.62, 64.62, 64.57, 64.61, 12, 10, 9, 3
2026/2/20, 05:00:00, 64.67, 64.70, 64.62, 64.68, 17, 13, 5, 12
2026/2/20, 06:00:00, 64.76, 64.84, 64.60, 64.60, 11, 11, 7, 4
2026/2/20, 07:00:00, 64.58, 64.62, 64.30, 64.30, 101, 55, 70, 31
2026/2/20, 08:00:00, 64.35, 64.36, 64.14, 64.16, 43, 37, 27, 16
2026/2/20, 09:00:00, 64.20, 64.50, 64.01, 64.14, 56, 48, 32, 24
2026/2/20, 10:00:00, 64.07, 64.25, 64.05, 64.16, 24, 24, 11, 13
2026/2/20, 11:00:00, 64.10, 64.42, 63.99, 64.02, 55, 49, 35, 20
2026/2/20, 12:00:00, 64.09, 64.29, 64.09, 64.27, 39, 31, 22, 17
2026/2/20, 13:00:00, 64.25, 64.34, 64.16, 64.33, 42, 38, 20, 22
2026/2/20, 14:00:00, 64.30, 64.53, 64.04, 64.35, 375, 250, 163, 212
2026/2/20, 15:00:00, 64.39, 64.59, 64.04, 64.07, 307, 212, 134, 173
2026/2/20, 16:00:00, 64.02, 64.38, 64.00, 64.27, 411, 301, 228, 183
2026/2/20, 17:00:00, 64.33, 64.48, 64.21, 64.48, 351, 143, 126, 225
2026/2/20, 18:00:00, 64.45, 64.65, 64.33, 64.55, 216, 144, 77, 139
2026/2/20, 19:00:00, 64.48, 64.49, 64.25, 64.43, 124, 101, 81, 43
2026/2/20, 20:00:00, 64.44, 64.44, 64.25, 64.37, 25, 24, 9, 16
2026/2/20, 21:00:00, 64.33, 64.39, 64.32, 64.36, 29, 12, 3, 26
2026/2/22, 23:00:00, 64.24, 64.24, 63.85, 64.14, 26, 24, 15, 11
2026/2/23, 00:00:00, 64.04, 64.07, 63.88, 63.88, 15, 9, 3, 12
2026/2/23, 01:00:00, 63.84, 64.08, 63.78, 64.07, 9, 8, 7, 2
2026/2/23, 02:00:00, 64.09, 64.13, 64.02, 64.02, 13, 13, 11, 2
2026/2/23, 03:00:00, 64.00, 64.00, 63.87, 63.88, 9, 8, 6, 3
2026/2/23, 04:00:00, 63.90, 63.90, 63.78, 63.78, 5, 5, 2, 3
2026/2/23, 05:00:00, 63.83, 63.92, 63.83, 63.92, 2, 2, 0, 2
2026/2/23, 06:00:00, 63.87, 63.90, 63.86, 63.87, 4, 4, 4, 0
2026/2/23, 07:00:00, 63.90, 63.90, 63.78, 63.81, 17, 16, 12, 5
2026/2/23, 08:00:00, 63.88, 64.08, 63.85, 64.01, 43, 32, 22, 21
2026/2/23, 09:00:00, 64.07, 64.40, 64.07, 64.35, 25, 24, 8, 17
2026/2/23, 10:00:00, 64.32, 64.32, 64.18, 64.30, 142, 95, 104, 38
2026/2/23, 11:00:00, 64.22, 64.55, 64.18, 64.51, 36, 22, 10, 26
2026/2/23, 12:00:00, 64.54, 64.71, 64.54, 64.70, 62, 54, 19, 43
2026/2/23, 13:00:00, 64.70, 64.90, 64.60, 64.85, 234, 141, 109, 125
2026/2/23, 14:00:00, 64.89, 65.13, 64.76, 64.96, 568, 427, 107, 461
2026/2/23, 15:00:00, 64.98, 65.14, 64.77, 64.78, 401, 325, 171, 230
2026/2/23, 16:00:00, 64.78, 65.03, 64.36, 64.38, 309, 208, 152, 157
2026/2/23, 17:00:00, 64.52, 64.52, 64.28, 64.39, 94, 73, 42, 52
2026/2/23, 18:00:00, 64.38, 64.48, 64.30, 64.41, 90, 55, 31, 59
2026/2/23, 19:00:00, 64.37, 64.56, 64.37, 64.55, 168, 105, 68, 100
2026/2/23, 20:00:00, 64.59, 64.66, 64.58, 64.66, 46, 38, 17, 29
2026/2/23, 21:00:00, 64.64, 64.67, 64.49, 64.50, 72, 39, 38, 34
2026/2/23, 23:00:00, 64.48, 64.51, 64.48, 64.51, 2, 2, 2, 0
2026/2/24, 00:00:00, 64.53, 64.53, 64.53, 64.53, 4, 3, 1, 3
2026/2/24, 01:00:00, 64.55, 64.65, 64.32, 64.65, 6, 6, 5, 1
2026/2/24, 02:00:00, 64.70, 64.86, 64.70, 64.86, 10, 8, 5, 5
2026/2/24, 03:00:00, 65.01, 65.07, 65.01, 65.03, 16, 13, 6, 10
2026/2/24, 04:00:00, 65.00, 65.00, 64.95, 64.95, 3, 2, 3, 0
2026/2/24, 05:00:00, 64.93, 64.99, 64.83, 64.99, 9, 7, 8, 1
2026/2/24, 06:00:00, 64.87, 64.87, 64.85, 64.85, 3, 2, 2, 1
2026/2/24, 07:00:00, 64.94, 64.94, 64.71, 64.74, 8, 8, 4, 4
2026/2/24, 08:00:00, 64.74, 64.80, 64.60, 64.80, 18, 16, 12, 6
2026/2/24, 09:00:00, 64.70, 64.82, 64.65, 64.80, 23, 20, 11, 12
2026/2/24, 10:00:00, 64.85, 64.85, 64.56, 64.65, 21, 20, 14, 7
2026/2/24, 11:00:00, 64.60, 64.69, 64.55, 64.68, 16, 16, 10, 6
2026/2/24, 12:00:00, 64.65, 64.86, 64.63, 64.86, 31, 23, 20, 11
2026/2/24, 13:00:00, 64.89, 65.25, 64.89, 65.02, 238, 198, 69, 169
2026/2/24, 14:00:00, 64.99, 65.01, 64.71, 64.82, 165, 129, 90, 75
2026/2/24, 15:00:00, 64.86, 64.95, 64.09, 64.32, 696, 553, 382, 314
2026/2/24, 16:00:00, 64.28, 64.62, 64.28, 64.39, 182, 164, 87, 95
2026/2/24, 17:00:00, 64.42, 64.68, 64.25, 64.33, 155, 112, 121, 34
2026/2/24, 18:00:00, 64.43, 64.50, 64.37, 64.49, 33, 24, 25, 8
2026/2/24, 19:00:00, 64.48, 64.52, 64.17, 64.49, 241, 163, 104, 137
2026/2/24, 20:00:00, 64.45, 64.89, 64.44, 64.77, 260, 221, 122, 138
2026/2/24, 21:00:00, 64.70, 64.73, 64.50, 64.54, 51, 51, 38, 13
2026/2/24, 23:00:00, 64.53, 64.53, 64.53, 64.53, 2, 2, 1, 1
2026/2/25, 00:00:00, 64.55, 64.55, 64.55, 64.55, 1, 1, 0, 1
2026/2/25, 01:00:00, 64.66, 64.69, 64.57, 64.57, 14, 14, 4, 10
2026/2/25, 02:00:00, 64.63, 64.77, 64.58, 64.77, 25, 24, 20, 5
2026/2/25, 03:00:00, 64.76, 64.94, 64.55, 64.55, 40, 36, 24, 16
2026/2/25, 04:00:00, 64.55, 64.56, 64.53, 64.55, 4, 4, 2, 2
2026/2/25, 05:00:00, 64.55, 64.55, 64.51, 64.51, 3, 3, 2, 1
2026/2/25, 06:00:00, 64.53, 64.55, 64.40, 64.53, 21, 20, 3, 18
2026/2/25, 07:00:00, 64.55, 64.57, 64.48, 64.48, 4, 4, 2, 2
2026/2/25, 08:00:00, 64.39, 64.60, 64.29, 64.52, 150, 101, 24, 126
2026/2/25, 09:00:00, 64.50, 64.55, 64.14, 64.31, 32, 29, 16, 16
2026/2/25, 10:00:00, 64.35, 64.56, 64.31, 64.50, 30, 24, 14, 16
2026/2/25, 11:00:00, 64.51, 64.51, 64.39, 64.45, 25, 23, 9, 16
2026/2/25, 12:00:00, 64.50, 64.76, 64.41, 64.66, 86, 77, 40, 46
2026/2/25, 13:00:00, 64.72, 64.79, 64.50, 64.53, 100, 97, 56, 44
2026/2/25, 14:00:00, 64.53, 64.62, 64.02, 64.04, 121, 93, 65, 56
2026/2/25, 15:00:00, 64.04, 64.27, 64.00, 64.08, 309, 283, 152, 157
2026/2/25, 16:00:00, 64.06, 64.18, 63.87, 64.12, 215, 142, 73, 142
2026/2/25, 17:00:00, 64.18, 64.21, 64.08, 64.20, 112, 87, 44, 68
2026/2/25, 18:00:00, 64.20, 64.41, 64.16, 64.30, 168, 160, 100, 68
2026/2/25, 19:00:00, 64.24, 64.40, 64.09, 64.40, 398, 295, 146, 252
2026/2/25, 20:00:00, 64.38, 64.38, 64.11, 64.15, 187, 152, 106, 81
2026/2/25, 21:00:00, 64.14, 64.23, 64.14, 64.23, 5, 4, 4, 1
2026/2/26, 00:00:00, 64.44, 64.48, 64.37, 64.38, 15, 10, 9, 6
2026/2/26, 01:00:00, 64.23, 64.36, 64.20, 64.36, 10, 7, 1, 9
2026/2/26, 02:00:00, 64.28, 64.28, 64.12, 64.12, 10, 9, 5, 5
2026/2/26, 03:00:00, 64.23, 64.24, 64.23, 64.24, 2, 2, 0, 2
2026/2/26, 04:00:00, 64.26, 64.26, 64.24, 64.24, 4, 4, 1, 3
2026/2/26, 05:00:00, 64.30, 64.30, 64.21, 64.21, 4, 4, 0, 4
