Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:05:00, 61.08, 61.08, 61.08, 61.08, 1, 1, 1, 0
2026/2/18, 01:05:00, 61.09, 61.09, 61.09, 61.09, 1, 1, 1, 0
2026/2/18, 01:10:00, 61.08, 61.08, 61.08, 61.08, 1, 1, 1, 0
2026/2/18, 01:20:00, 61.10, 61.10, 61.10, 61.10, 1, 1, 0, 1
2026/2/18, 02:00:00, 61.07, 61.08, 61.06, 61.08, 5, 5, 3, 2
2026/2/18, 02:15:00, 61.16, 61.16, 61.16, 61.16, 1, 1, 1, 0
2026/2/18, 02:55:00, 61.12, 61.12, 61.12, 61.12, 1, 1, 1, 0
2026/2/18, 03:00:00, 61.12, 61.12, 61.12, 61.12, 1, 1, 1, 0
2026/2/18, 03:25:00, 61.18, 61.18, 61.18, 61.18, 1, 1, 1, 0
2026/2/18, 03:30:00, 61.19, 61.22, 61.19, 61.22, 4, 4, 2, 2
2026/2/18, 03:45:00, 61.24, 61.24, 61.24, 61.24, 1, 1, 0, 1
2026/2/18, 03:50:00, 61.22, 61.22, 61.22, 61.22, 7, 4, 7, 0
2026/2/18, 04:00:00, 61.22, 61.22, 61.22, 61.22, 1, 1, 1, 0
2026/2/18, 04:05:00, 61.22, 61.25, 61.22, 61.25, 5, 5, 1, 4
2026/2/18, 04:10:00, 61.24, 61.24, 61.24, 61.24, 1, 1, 1, 0
2026/2/18, 04:20:00, 61.25, 61.25, 61.25, 61.25, 43, 25, 0, 43
2026/2/18, 04:25:00, 61.25, 61.25, 61.25, 61.25, 96, 48, 0, 96
2026/2/18, 04:35:00, 61.28, 61.29, 61.28, 61.29, 2, 2, 0, 2
2026/2/18, 06:10:00, 61.15, 61.15, 61.15, 61.15, 2, 1, 0, 2
2026/2/18, 06:35:00, 61.12, 61.12, 61.12, 61.12, 2, 2, 2, 0
2026/2/18, 06:55:00, 61.27, 61.27, 61.24, 61.24, 2, 2, 2, 0
2026/2/18, 07:00:00, 61.19, 61.21, 61.19, 61.21, 5, 4, 0, 5
2026/2/18, 07:25:00, 61.21, 61.21, 61.21, 61.21, 1, 1, 1, 0
2026/2/18, 07:30:00, 61.19, 61.24, 61.19, 61.24, 3, 3, 2, 1
2026/2/18, 07:35:00, 61.18, 61.19, 61.18, 61.19, 3, 2, 1, 2
2026/2/18, 07:40:00, 61.24, 61.24, 61.24, 61.24, 1, 1, 0, 1
2026/2/18, 07:50:00, 61.22, 61.23, 61.22, 61.23, 2, 2, 0, 2
2026/2/18, 08:00:00, 61.25, 61.33, 61.23, 61.33, 11, 11, 10, 1
2026/2/18, 08:05:00, 61.39, 61.39, 61.36, 61.36, 6, 5, 1, 5
2026/2/18, 08:10:00, 61.31, 61.31, 61.31, 61.31, 1, 1, 0, 1
2026/2/18, 08:15:00, 61.37, 61.40, 61.37, 61.39, 124, 58, 44, 80
2026/2/18, 08:20:00, 61.37, 61.39, 61.37, 61.39, 4, 3, 4, 0
2026/2/18, 08:25:00, 61.41, 61.41, 61.39, 61.39, 4, 3, 0, 4
2026/2/18, 08:30:00, 61.42, 61.42, 61.39, 61.42, 10, 8, 2, 8
2026/2/18, 08:35:00, 61.37, 61.37, 61.37, 61.37, 6, 5, 2, 4
2026/2/18, 08:40:00, 61.42, 61.42, 61.42, 61.42, 2, 1, 0, 2
2026/2/18, 08:50:00, 61.38, 61.38, 61.38, 61.38, 2, 1, 0, 2
2026/2/18, 08:55:00, 61.27, 61.27, 61.23, 61.23, 12, 10, 12, 0
2026/2/18, 09:00:00, 61.26, 61.26, 61.25, 61.25, 3, 3, 0, 3
2026/2/18, 09:05:00, 61.25, 61.28, 61.25, 61.28, 3, 3, 2, 1
2026/2/18, 09:10:00, 61.34, 61.34, 61.34, 61.34, 1, 1, 1, 0
2026/2/18, 09:15:00, 61.24, 61.24, 61.24, 61.24, 1, 1, 1, 0
2026/2/18, 09:25:00, 61.29, 61.29, 61.29, 61.29, 1, 1, 0, 1
2026/2/18, 09:30:00, 61.34, 61.34, 61.32, 61.32, 2, 2, 2, 0
2026/2/18, 09:35:00, 61.32, 61.32, 61.25, 61.26, 5, 5, 1, 4
2026/2/18, 09:40:00, 61.30, 61.30, 61.30, 61.30, 1, 1, 1, 0
2026/2/18, 09:45:00, 61.36, 61.42, 61.36, 61.42, 2, 2, 1, 1
2026/2/18, 09:50:00, 61.20, 61.26, 61.20, 61.26, 11, 8, 2, 9
2026/2/18, 09:55:00, 61.27, 61.29, 61.23, 61.29, 149, 95, 47, 102
2026/2/18, 10:00:00, 61.40, 61.50, 61.37, 61.37, 29, 23, 17, 12
2026/2/18, 10:05:00, 61.36, 61.36, 61.34, 61.34, 3, 2, 1, 2
2026/2/18, 10:10:00, 61.42, 61.42, 61.42, 61.42, 1, 1, 0, 1
2026/2/18, 10:15:00, 61.39, 61.39, 61.39, 61.39, 1, 1, 0, 1
2026/2/18, 10:20:00, 61.32, 61.39, 61.32, 61.39, 2, 2, 1, 1
2026/2/18, 10:25:00, 61.39, 61.39, 61.37, 61.37, 5, 3, 0, 5
2026/2/18, 10:35:00, 61.48, 61.51, 61.47, 61.51, 3, 3, 2, 1
2026/2/18, 10:40:00, 61.53, 61.69, 61.53, 61.69, 13, 12, 4, 9
2026/2/18, 10:45:00, 61.72, 61.72, 61.72, 61.72, 7, 6, 2, 5
2026/2/18, 10:50:00, 61.75, 61.81, 61.75, 61.81, 6, 6, 2, 4
2026/2/18, 10:55:00, 61.84, 61.84, 61.80, 61.80, 2, 2, 0, 2
2026/2/18, 11:00:00, 61.78, 61.82, 61.78, 61.82, 2, 2, 2, 0
2026/2/18, 11:05:00, 61.86, 61.87, 61.85, 61.85, 17, 13, 12, 5
2026/2/18, 11:10:00, 61.87, 61.99, 61.87, 61.98, 12, 9, 2, 10
2026/2/18, 11:15:00, 62.01, 62.01, 62.01, 62.01, 1, 1, 0, 1
2026/2/18, 11:20:00, 62.08, 62.08, 62.03, 62.05, 5, 5, 2, 3
