Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/1/22, 00:00:00, 54.72, 54.72, 54.72, 54.72, 959334, 2563088
2018/1/23, 00:00:00, 54.94, 54.94, 54.94, 54.94, 1100502, 2587735
2018/1/24, 00:00:00, 54.40, 54.40, 54.40, 54.40, 1798089, 2655181
2018/1/25, 00:00:00, 54.58, 54.58, 54.58, 54.58, 1596241, 2632514
2018/1/26, 00:00:00, 54.47, 54.47, 54.47, 54.47, 1333316, 2648090
2018/1/29, 00:00:00, 54.10, 54.10, 54.10, 54.10, 1206995, 2644526
2018/1/30, 00:00:00, 53.48, 53.48, 53.48, 53.48, 1286493, 2643683
2018/1/31, 00:00:00, 53.29, 53.29, 53.29, 53.29, 1158182, 2648774
2018/2/1, 00:00:00, 53.28, 53.28, 53.28, 53.28, 1402838, 2680530
2018/2/2, 00:00:00, 52.32, 52.32, 52.32, 52.32, 1954071, 2637021
2018/2/5, 00:00:00, 51.98, 51.98, 51.98, 51.98, 1980123, 2587299
2018/2/6, 00:00:00, 51.73, 51.73, 51.73, 51.73, 1495610, 2589270
2018/2/7, 00:00:00, 51.10, 51.10, 51.10, 51.10, 2015703, 2550513
2018/2/8, 00:00:00, 51.13, 51.13, 51.13, 51.13, 1866093, 2543617
2018/2/9, 00:00:00, 50.59, 50.59, 50.59, 50.59, 1764311, 2524015
2018/2/12, 00:00:00, 50.82, 50.82, 50.82, 50.82, 1455165, 2518019
2018/2/13, 00:00:00, 51.51, 51.51, 51.51, 51.51, 1253615, 2530604
2018/2/14, 00:00:00, 51.48, 51.48, 51.48, 51.48, 1612908, 2520377
2018/2/15, 00:00:00, 51.44, 51.44, 51.44, 51.44, 1515184, 2477064
2018/2/16, 00:00:00, 51.73, 51.73, 51.73, 51.73, 1147661, 2421110
2018/2/20, 00:00:00, 52.33, 52.33, 52.33, 52.33, 1339441, 2430562
2018/2/21, 00:00:00, 52.37, 52.37, 52.37, 52.37, 813882, 2425517
2018/2/22, 00:00:00, 52.51, 52.51, 52.51, 52.51, 1096895, 2430049
2018/2/23, 00:00:00, 53.30, 53.30, 53.30, 53.30, 900749, 2434008
2018/2/26, 00:00:00, 53.91, 53.91, 53.91, 53.91, 810920, 2453610
2018/2/27, 00:00:00, 53.51, 53.51, 53.51, 53.51, 957971, 2460214
2018/2/28, 00:00:00, 51.97, 51.97, 51.97, 51.97, 1349655, 2462234
2018/3/1, 00:00:00, 51.66, 51.66, 51.66, 51.66, 1395837, 2468735
2018/3/2, 00:00:00, 51.69, 51.69, 51.69, 51.69, 1040814, 2457804
2018/3/5, 00:00:00, 52.38, 52.38, 52.38, 52.38, 977010, 2469014
2018/3/6, 00:00:00, 52.45, 52.45, 52.45, 52.45, 1120554, 2451492
2018/3/7, 00:00:00, 51.85, 51.85, 51.85, 51.85, 1558043, 2461343
2018/3/8, 00:00:00, 51.86, 51.86, 51.86, 51.86, 1615637, 2446518
2018/3/9, 00:00:00, 52.83, 52.83, 52.83, 52.83, 1420169, 2432754
2018/3/12, 00:00:00, 52.73, 52.73, 52.73, 52.73, 1024381, 2428425
2018/3/13, 00:00:00, 52.62, 52.62, 52.62, 52.62, 1480803, 2403162
2018/3/14, 00:00:00, 52.76, 52.76, 52.76, 52.76, 1250355, 2401740
2018/3/15, 00:00:00, 52.55, 52.55, 52.55, 52.55, 983322, 2381898
2018/3/16, 00:00:00, 52.53, 52.53, 52.53, 52.53, 934479, 2401800
2018/3/19, 00:00:00, 52.12, 52.12, 52.12, 52.12, 911452, 2376271
2018/3/20, 00:00:00, 52.28, 52.28, 52.28, 52.28, 1126655, 2386095
2018/3/21, 00:00:00, 52.99, 52.99, 52.99, 52.99, 1394054, 2436499
2018/3/22, 00:00:00, 52.54, 52.54, 52.54, 52.54, 1281737, 2436690
2018/3/23, 00:00:00, 52.95, 52.95, 52.95, 52.95, 1271363, 2469551
2018/3/26, 00:00:00, 52.76, 52.76, 52.76, 52.76, 927759, 2483359
2018/3/27, 00:00:00, 52.76, 52.76, 52.76, 52.76, 1132857, 2513575
2018/3/28, 00:00:00, 52.74, 52.74, 52.74, 52.74, 1156249, 2509804
2018/3/29, 00:00:00, 52.52, 52.52, 52.52, 52.52, 961850, 2521210
2018/4/2, 00:00:00, 51.58, 51.58, 51.58, 51.58, 940753, 2532289
2018/4/3, 00:00:00, 51.96, 51.96, 51.96, 51.96, 880962, 2547337
2018/4/4, 00:00:00, 51.92, 51.92, 51.92, 51.92, 1319181, 2542709
2018/4/5, 00:00:00, 52.13, 52.13, 52.13, 52.13, 1077685, 2522714
2018/4/6, 00:00:00, 51.43, 51.43, 51.43, 51.43, 1466267, 2499221
2018/4/9, 00:00:00, 51.58, 51.58, 51.58, 51.58, 1279932, 2469396
2018/4/10, 00:00:00, 51.87, 51.87, 51.87, 51.87, 1788317, 2480033
2018/4/11, 00:00:00, 52.17, 52.17, 52.17, 52.17, 2093741, 2534391
2018/4/12, 00:00:00, 51.84, 51.84, 51.84, 51.84, 1370398, 2565785
2018/4/13, 00:00:00, 51.77, 51.77, 51.77, 51.77, 1378834, 2609563
2018/4/16, 00:00:00, 51.74, 51.74, 51.74, 51.74, 1266169, 2605000
2018/4/17, 00:00:00, 51.69, 51.69, 51.69, 51.69, 1314171, 2596578
2018/4/18, 00:00:00, 51.60, 51.60, 51.60, 51.60, 1478871, 2616362
2018/4/19, 00:00:00, 51.78, 51.78, 51.78, 51.78, 1519806, 2598362
2018/4/20, 00:00:00, 51.72, 51.72, 51.72, 51.72, 1116135, 2562051
2018/4/23, 00:00:00, 52.05, 52.05, 52.05, 52.05, 1384486, 2564936
2018/4/24, 00:00:00, 51.61, 51.61, 51.61, 51.61, 1478857, 2574820
2018/4/25, 00:00:00, 51.50, 51.50, 51.50, 51.50, 1274381, 2597874
2018/4/26, 00:00:00, 51.53, 51.53, 51.53, 51.53, 1197794, 2630989
