Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 60.79, 60.79, 60.79, 60.79, 1, 1, 1, 0
2026/2/18, 03:00:00, 60.83, 60.83, 60.83, 60.83, 1, 1, 1, 0
2026/2/18, 06:00:00, 61.05, 61.05, 60.94, 60.94, 2, 2, 1, 1
2026/2/18, 07:00:00, 60.92, 60.99, 60.92, 60.99, 2, 2, 0, 2
2026/2/18, 08:00:00, 60.95, 61.12, 60.95, 61.12, 7, 5, 2, 5
2026/2/18, 10:00:00, 61.18, 61.42, 61.18, 61.42, 2, 2, 0, 2
2026/2/18, 11:00:00, 61.88, 61.88, 61.88, 61.88, 1, 1, 0, 1
2026/2/18, 12:00:00, 62.25, 62.26, 62.18, 62.26, 3, 3, 2, 1
2026/2/18, 13:00:00, 62.23, 62.23, 62.03, 62.08, 48, 39, 33, 15
2026/2/18, 14:00:00, 62.05, 62.54, 62.01, 62.40, 47, 38, 20, 27
2026/2/18, 15:00:00, 62.41, 62.51, 62.38, 62.41, 59, 33, 7, 52
2026/2/18, 16:00:00, 62.39, 62.64, 62.38, 62.62, 41, 25, 5, 36
2026/2/18, 17:00:00, 62.59, 62.90, 62.57, 62.88, 47, 20, 5, 42
2026/2/18, 18:00:00, 62.92, 62.93, 62.84, 62.93, 15, 12, 11, 4
2026/2/18, 19:00:00, 63.00, 63.10, 62.86, 62.86, 74, 32, 42, 32
2026/2/18, 20:00:00, 62.98, 63.09, 62.93, 63.07, 180, 109, 39, 141
2026/2/18, 21:00:00, 63.02, 63.02, 62.79, 62.79, 32, 16, 18, 14
2026/2/18, 23:00:00, 63.01, 63.01, 63.01, 63.01, 1, 1, 0, 1
2026/2/19, 01:00:00, 62.84, 62.84, 62.84, 62.84, 1, 1, 1, 0
2026/2/19, 03:00:00, 63.18, 63.19, 63.18, 63.19, 2, 2, 1, 1
2026/2/19, 07:00:00, 63.16, 63.16, 63.16, 63.16, 1, 1, 0, 1
2026/2/19, 08:00:00, 63.47, 63.71, 63.40, 63.71, 12, 12, 10, 2
2026/2/19, 09:00:00, 63.46, 63.52, 63.35, 63.47, 6, 6, 6, 0
2026/2/19, 10:00:00, 63.39, 63.56, 63.39, 63.45, 6, 4, 1, 5
2026/2/19, 11:00:00, 63.54, 63.77, 63.54, 63.63, 17, 8, 6, 11
2026/2/19, 12:00:00, 63.63, 63.65, 63.61, 63.65, 3, 3, 3, 0
2026/2/19, 13:00:00, 63.64, 63.81, 63.59, 63.79, 142, 79, 37, 105
2026/2/19, 14:00:00, 63.75, 63.85, 63.55, 63.81, 37, 21, 1, 36
2026/2/19, 15:00:00, 63.64, 63.82, 63.14, 63.82, 68, 57, 28, 40
2026/2/19, 16:00:00, 63.94, 64.02, 63.80, 63.97, 97, 27, 12, 85
2026/2/19, 17:00:00, 64.10, 64.10, 63.83, 63.85, 15, 10, 4, 11
2026/2/19, 18:00:00, 63.83, 64.01, 63.75, 63.96, 17, 14, 13, 4
2026/2/19, 19:00:00, 63.95, 64.00, 63.89, 63.98, 263, 170, 32, 231
2026/2/19, 20:00:00, 63.98, 64.07, 63.97, 64.07, 20, 16, 10, 10
2026/2/19, 21:00:00, 64.05, 64.13, 63.53, 64.09, 10, 9, 4, 6
2026/2/20, 01:00:00, 64.09, 64.09, 64.06, 64.06, 2, 2, 1, 1
2026/2/20, 02:00:00, 64.08, 64.08, 63.98, 63.98, 3, 3, 2, 1
2026/2/20, 03:00:00, 63.96, 63.97, 63.96, 63.97, 3, 2, 2, 1
2026/2/20, 05:00:00, 64.09, 64.09, 64.09, 64.09, 1, 1, 1, 0
2026/2/20, 06:00:00, 64.22, 64.28, 64.18, 64.18, 3, 3, 3, 0
2026/2/20, 07:00:00, 64.07, 64.07, 63.81, 63.81, 3, 3, 2, 1
2026/2/20, 08:00:00, 63.80, 63.83, 63.64, 63.64, 25, 16, 21, 4
2026/2/20, 09:00:00, 63.68, 63.93, 63.68, 63.70, 4, 4, 3, 1
2026/2/20, 10:00:00, 63.59, 63.60, 63.59, 63.60, 2, 2, 0, 2
2026/2/20, 11:00:00, 63.73, 63.87, 63.70, 63.70, 3, 3, 3, 0
2026/2/20, 12:00:00, 63.74, 63.77, 63.67, 63.77, 5, 5, 5, 0
2026/2/20, 13:00:00, 63.74, 63.82, 63.66, 63.82, 26, 18, 9, 17
2026/2/20, 14:00:00, 63.75, 63.88, 63.54, 63.87, 33, 24, 8, 25
2026/2/20, 15:00:00, 63.97, 64.05, 63.63, 63.76, 70, 49, 12, 58
2026/2/20, 16:00:00, 63.53, 63.89, 63.53, 63.76, 51, 41, 16, 35
