Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 60.79, 60.79, 60.79, 60.79, 1, 1, 1, 0
2026/2/18, 03:00:00, 60.83, 60.83, 60.83, 60.83, 1, 1, 1, 0
2026/2/18, 06:50:00, 61.05, 61.05, 61.05, 61.05, 1, 1, 0, 1
2026/2/18, 06:55:00, 60.94, 60.94, 60.94, 60.94, 1, 1, 1, 0
2026/2/18, 07:25:00, 60.92, 60.92, 60.92, 60.92, 1, 1, 0, 1
2026/2/18, 07:55:00, 60.99, 60.99, 60.99, 60.99, 1, 1, 0, 1
2026/2/18, 08:00:00, 60.95, 60.95, 60.95, 60.95, 1, 1, 1, 0
2026/2/18, 08:30:00, 61.10, 61.12, 61.10, 61.12, 6, 4, 1, 5
2026/2/18, 10:00:00, 61.18, 61.18, 61.18, 61.18, 1, 1, 0, 1
2026/2/18, 10:45:00, 61.42, 61.42, 61.42, 61.42, 1, 1, 0, 1
2026/2/18, 11:50:00, 61.88, 61.88, 61.88, 61.88, 1, 1, 0, 1
2026/2/18, 12:15:00, 62.25, 62.25, 62.25, 62.25, 1, 1, 1, 0
2026/2/18, 12:40:00, 62.18, 62.18, 62.18, 62.18, 1, 1, 1, 0
2026/2/18, 12:50:00, 62.26, 62.26, 62.26, 62.26, 1, 1, 0, 1
2026/2/18, 13:00:00, 62.23, 62.23, 62.22, 62.22, 3, 3, 2, 1
2026/2/18, 13:05:00, 62.14, 62.15, 62.13, 62.13, 3, 3, 0, 3
2026/2/18, 13:10:00, 62.06, 62.06, 62.06, 62.06, 1, 1, 1, 0
2026/2/18, 13:20:00, 62.13, 62.14, 62.13, 62.13, 5, 4, 0, 5
2026/2/18, 13:40:00, 62.09, 62.09, 62.09, 62.09, 2, 2, 0, 2
2026/2/18, 13:45:00, 62.11, 62.11, 62.08, 62.08, 12, 4, 12, 0
2026/2/18, 13:50:00, 62.05, 62.05, 62.03, 62.05, 13, 13, 9, 4
2026/2/18, 13:55:00, 62.09, 62.11, 62.07, 62.08, 9, 9, 9, 0
2026/2/18, 14:00:00, 62.05, 62.25, 62.01, 62.25, 19, 16, 11, 8
2026/2/18, 14:05:00, 62.15, 62.15, 62.15, 62.15, 1, 1, 1, 0
2026/2/18, 14:10:00, 62.17, 62.17, 62.17, 62.17, 2, 2, 2, 0
2026/2/18, 14:15:00, 62.15, 62.17, 62.15, 62.17, 2, 2, 2, 0
2026/2/18, 14:20:00, 62.25, 62.25, 62.25, 62.25, 1, 1, 0, 1
2026/2/18, 14:30:00, 62.32, 62.32, 62.30, 62.30, 11, 7, 2, 9
2026/2/18, 14:35:00, 62.37, 62.37, 62.37, 62.37, 1, 1, 0, 1
2026/2/18, 14:40:00, 62.37, 62.37, 62.37, 62.37, 3, 1, 0, 3
2026/2/18, 14:45:00, 62.42, 62.42, 62.40, 62.40, 2, 2, 0, 2
2026/2/18, 14:50:00, 62.54, 62.54, 62.54, 62.54, 1, 1, 0, 1
2026/2/18, 14:55:00, 62.40, 62.40, 62.38, 62.40, 4, 4, 2, 2
2026/2/18, 15:00:00, 62.41, 62.41, 62.41, 62.41, 1, 1, 0, 1
2026/2/18, 15:05:00, 62.44, 62.44, 62.44, 62.44, 1, 1, 1, 0
2026/2/18, 15:10:00, 62.41, 62.43, 62.41, 62.43, 8, 3, 0, 8
2026/2/18, 15:15:00, 62.45, 62.45, 62.43, 62.43, 5, 2, 3, 2
2026/2/18, 15:25:00, 62.43, 62.44, 62.39, 62.39, 3, 3, 0, 3
2026/2/18, 15:30:00, 62.38, 62.45, 62.38, 62.45, 5, 4, 0, 5
2026/2/18, 15:35:00, 62.45, 62.45, 62.45, 62.45, 2, 1, 0, 2
2026/2/18, 15:40:00, 62.46, 62.48, 62.46, 62.48, 13, 9, 2, 11
2026/2/18, 15:45:00, 62.51, 62.51, 62.51, 62.51, 1, 1, 0, 1
2026/2/18, 15:50:00, 62.50, 62.50, 62.43, 62.43, 2, 2, 1, 1
2026/2/18, 15:55:00, 62.40, 62.42, 62.40, 62.41, 18, 6, 0, 18
2026/2/18, 16:00:00, 62.39, 62.39, 62.38, 62.39, 3, 3, 3, 0
2026/2/18, 16:05:00, 62.39, 62.39, 62.39, 62.39, 1, 1, 0, 1
2026/2/18, 16:15:00, 62.44, 62.51, 62.44, 62.47, 6, 6, 0, 6
2026/2/18, 16:20:00, 62.38, 62.38, 62.38, 62.38, 11, 1, 0, 11
2026/2/18, 16:25:00, 62.39, 62.48, 62.39, 62.48, 4, 4, 1, 3
2026/2/18, 16:30:00, 62.49, 62.55, 62.46, 62.55, 10, 5, 1, 9
