Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/9/21, 22:00:00, 62.30, 62.52, 62.30, 62.50, 1123, 897, 530, 593
2025/9/21, 23:00:00, 62.50, 62.54, 62.48, 62.54, 328, 280, 151, 177
2025/9/22, 00:00:00, 62.53, 62.61, 62.50, 62.60, 821, 708, 330, 491
2025/9/22, 01:00:00, 62.59, 62.79, 62.56, 62.70, 1750, 1443, 807, 943
2025/9/22, 02:00:00, 62.71, 62.81, 62.71, 62.72, 1284, 1051, 535, 749
2025/9/22, 03:00:00, 62.71, 62.84, 62.71, 62.80, 659, 581, 265, 394
2025/9/22, 04:00:00, 62.79, 62.80, 62.74, 62.79, 469, 411, 237, 232
2025/9/22, 05:00:00, 62.80, 62.93, 62.77, 62.79, 1375, 1188, 529, 846
2025/9/22, 06:00:00, 62.80, 63.00, 62.73, 62.86, 3428, 2724, 1575, 1853
2025/9/22, 07:00:00, 62.86, 62.99, 62.69, 62.78, 5573, 4339, 2936, 2637
2025/9/22, 08:00:00, 62.78, 62.81, 62.45, 62.48, 6915, 5697, 3672, 3243
2025/9/22, 09:00:00, 62.48, 62.53, 62.23, 62.27, 7466, 5880, 3647, 3819
2025/9/22, 10:00:00, 62.27, 62.27, 61.91, 61.95, 8808, 6888, 4713, 4095
2025/9/22, 11:00:00, 61.95, 62.08, 61.85, 61.88, 7240, 5561, 3217, 4023
2025/9/22, 12:00:00, 61.87, 62.04, 61.70, 61.78, 11121, 8450, 5182, 5939
2025/9/22, 13:00:00, 61.78, 61.98, 61.61, 61.93, 18361, 14100, 8005, 10356
2025/9/22, 14:00:00, 61.92, 62.19, 61.86, 62.17, 13363, 10171, 5735, 7628
2025/9/22, 15:00:00, 62.18, 62.25, 62.03, 62.18, 12479, 9992, 5790, 6689
2025/9/22, 16:00:00, 62.18, 62.24, 62.08, 62.15, 6585, 5048, 3331, 3254
2025/9/22, 17:00:00, 62.15, 62.43, 62.15, 62.31, 10570, 7867, 5318, 5252
2025/9/22, 18:00:00, 62.31, 62.36, 62.08, 62.31, 17465, 11155, 8121, 9344
2025/9/22, 19:00:00, 62.30, 62.35, 62.28, 62.28, 2465, 1834, 1220, 1245
2025/9/22, 20:00:00, 62.29, 62.38, 62.28, 62.34, 1555, 1180, 798, 757
2025/9/22, 22:00:00, 62.33, 62.36, 62.27, 62.27, 462, 323, 238, 224
2025/9/22, 23:00:00, 62.27, 62.35, 62.22, 62.35, 483, 382, 247, 236
2025/9/23, 00:00:00, 62.34, 62.40, 62.26, 62.27, 980, 852, 469, 511
2025/9/23, 01:00:00, 62.26, 62.26, 62.04, 62.04, 1799, 1490, 890, 909
2025/9/23, 02:00:00, 62.04, 62.06, 61.92, 61.97, 1462, 1242, 850, 612
2025/9/23, 03:00:00, 61.97, 61.97, 61.89, 61.91, 805, 733, 422, 383
2025/9/23, 04:00:00, 61.90, 62.00, 61.89, 61.94, 831, 741, 397, 434
2025/9/23, 05:00:00, 61.94, 62.06, 61.85, 61.91, 1219, 1111, 623, 596
2025/9/23, 06:00:00, 61.90, 62.13, 61.87, 61.99, 2826, 2315, 1377, 1449
2025/9/23, 07:00:00, 61.98, 62.24, 61.86, 62.24, 3688, 3017, 1751, 1937
2025/9/23, 08:00:00, 62.24, 62.35, 61.94, 62.20, 6428, 5385, 3327, 3101
2025/9/23, 09:00:00, 62.20, 62.70, 62.15, 62.66, 8144, 6553, 3891, 4253
2025/9/23, 10:00:00, 62.66, 63.04, 62.63, 62.97, 9782, 7619, 4585, 5197
2025/9/23, 11:00:00, 62.96, 63.06, 62.85, 63.02, 6643, 5231, 3393, 3250
2025/9/23, 12:00:00, 63.02, 63.19, 62.94, 63.09, 10683, 8176, 5588, 5095
2025/9/23, 13:00:00, 63.09, 63.35, 62.97, 63.33, 17394, 13364, 8335, 9059
2025/9/23, 14:00:00, 63.32, 63.66, 63.30, 63.57, 28430, 20386, 14851, 13579
2025/9/23, 15:00:00, 63.57, 63.89, 63.54, 63.59, 21469, 16036, 11716, 9753
2025/9/23, 16:00:00, 63.60, 63.67, 63.32, 63.35, 12820, 10046, 7690, 5130
2025/9/23, 17:00:00, 63.36, 63.50, 63.19, 63.29, 12247, 9554, 6481, 5766
2025/9/23, 18:00:00, 63.29, 63.57, 63.24, 63.55, 15433, 10741, 7382, 8051
2025/9/23, 19:00:00, 63.55, 63.81, 63.55, 63.68, 7160, 5239, 3339, 3821
2025/9/23, 20:00:00, 63.69, 63.71, 63.59, 63.65, 2302, 1715, 1136, 1166
2025/9/23, 22:00:00, 63.64, 63.84, 63.61, 63.81, 1069, 745, 498, 571
2025/9/23, 23:00:00, 63.81, 63.82, 63.72, 63.72, 226, 207, 161, 65
2025/9/24, 00:00:00, 63.73, 63.75, 63.64, 63.72, 1602, 1362, 876, 726
2025/9/24, 01:00:00, 63.73, 63.74, 63.60, 63.63, 1432, 1209, 737, 695
2025/9/24, 02:00:00, 63.63, 63.63, 63.54, 63.58, 902, 805, 507, 395
2025/9/24, 03:00:00, 63.57, 63.63, 63.57, 63.63, 552, 520, 281, 271
2025/9/24, 04:00:00, 63.63, 63.63, 63.53, 63.53, 462, 400, 255, 207
2025/9/24, 05:00:00, 63.52, 63.65, 63.44, 63.51, 1679, 1383, 908, 771
2025/9/24, 06:00:00, 63.52, 63.59, 63.42, 63.54, 1602, 1435, 872, 730
2025/9/24, 07:00:00, 63.54, 63.86, 63.45, 63.78, 5535, 4352, 2675, 2860
2025/9/24, 08:00:00, 63.78, 63.82, 63.25, 63.42, 7547, 6213, 4364, 3183
2025/9/24, 09:00:00, 63.41, 63.80, 63.37, 63.78, 5275, 4312, 2278, 2997
2025/9/24, 10:00:00, 63.77, 64.19, 63.77, 64.05, 10631, 8002, 5073, 5558
2025/9/24, 11:00:00, 64.05, 64.18, 63.99, 64.17, 5368, 4494, 2581, 2787
2025/9/24, 12:00:00, 64.16, 64.45, 64.14, 64.24, 13601, 10344, 7178, 6423
2025/9/24, 13:00:00, 64.23, 64.45, 64.16, 64.38, 14858, 11868, 8197, 6661
2025/9/24, 14:00:00, 64.38, 64.60, 64.09, 64.55, 18848, 14557, 10438, 8410
2025/9/24, 15:00:00, 64.56, 64.85, 64.55, 64.73, 19872, 15314, 10703, 9169
2025/9/24, 16:00:00, 64.73, 64.84, 64.60, 64.81, 9948, 8039, 5544, 4404
2025/9/24, 17:00:00, 64.81, 65.05, 64.80, 64.91, 13254, 9561, 7696, 5558
2025/9/24, 18:00:00, 64.92, 65.05, 64.81, 64.86, 17038, 12518, 8662, 8376
2025/9/24, 19:00:00, 64.86, 64.88, 64.79, 64.80, 4231, 3203, 2370, 1861
2025/9/24, 20:00:00, 64.80, 64.84, 64.79, 64.81, 1994, 1453, 1086, 908
2025/9/24, 22:00:00, 64.80, 64.80, 64.70, 64.75, 912, 639, 533, 379
2025/9/24, 23:00:00, 64.76, 64.76, 64.70, 64.73, 339, 268, 192, 147
2025/9/25, 00:00:00, 64.72, 64.93, 64.68, 64.89, 2610, 2082, 1232, 1378
2025/9/25, 01:00:00, 64.90, 64.92, 64.66, 64.72, 2425, 2104, 1509, 916
2025/9/25, 02:00:00, 64.71, 64.80, 64.65, 64.77, 1443, 1182, 885, 558
2025/9/25, 03:00:00, 64.77, 64.78, 64.65, 64.73, 1308, 1125, 751, 557
2025/9/25, 04:00:00, 64.72, 64.74, 64.67, 64.69, 523, 467, 287, 236
