Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 60.56, 60.56, 60.56, 60.56, 1, 1, 0, 1
2026/2/18, 03:00:00, 60.60, 60.60, 60.60, 60.60, 1, 1, 1, 0
2026/2/18, 03:30:00, 60.71, 60.71, 60.71, 60.71, 1, 1, 0, 1
2026/2/18, 03:35:00, 60.71, 60.71, 60.71, 60.71, 1, 1, 0, 1
2026/2/18, 03:55:00, 60.71, 60.71, 60.71, 60.71, 1, 1, 0, 1
2026/2/18, 06:40:00, 60.71, 60.71, 60.71, 60.71, 1, 1, 1, 0
2026/2/18, 08:00:00, 60.79, 60.79, 60.79, 60.79, 1, 1, 1, 0
2026/2/18, 08:05:00, 60.84, 60.84, 60.84, 60.84, 5, 3, 3, 2
2026/2/18, 08:30:00, 60.88, 60.89, 60.88, 60.89, 2, 2, 0, 2
2026/2/18, 09:45:00, 60.85, 60.88, 60.85, 60.88, 6, 2, 1, 5
2026/2/18, 09:50:00, 60.70, 60.70, 60.70, 60.70, 1, 1, 0, 1
2026/2/18, 12:05:00, 61.70, 61.83, 61.66, 61.76, 7, 7, 4, 3
2026/2/18, 13:05:00, 61.75, 61.75, 61.75, 61.75, 1, 1, 0, 1
2026/2/18, 13:25:00, 61.75, 61.75, 61.75, 61.75, 1, 1, 1, 0
2026/2/18, 13:50:00, 61.74, 61.74, 61.74, 61.74, 2, 2, 1, 1
2026/2/18, 13:55:00, 61.77, 61.80, 61.77, 61.80, 2, 2, 1, 1
2026/2/18, 14:00:00, 61.74, 61.92, 61.73, 61.90, 12, 12, 9, 3
2026/2/18, 14:10:00, 61.82, 61.82, 61.82, 61.82, 6, 6, 6, 0
2026/2/18, 14:15:00, 61.87, 61.98, 61.86, 61.93, 37, 37, 29, 8
2026/2/18, 14:20:00, 61.94, 61.94, 61.88, 61.91, 13, 13, 13, 0
2026/2/18, 14:40:00, 62.11, 62.11, 62.11, 62.11, 2, 1, 0, 2
2026/2/18, 14:45:00, 62.11, 62.11, 62.11, 62.11, 2, 2, 0, 2
2026/2/18, 14:50:00, 62.15, 62.15, 62.15, 62.15, 1, 1, 0, 1
2026/2/18, 14:55:00, 62.10, 62.10, 62.10, 62.10, 1, 1, 1, 0
2026/2/18, 15:05:00, 62.10, 62.10, 62.10, 62.10, 2, 1, 2, 0
2026/2/18, 15:20:00, 62.07, 62.07, 62.06, 62.06, 2, 2, 1, 1
2026/2/18, 15:25:00, 62.07, 62.11, 62.03, 62.11, 15, 6, 7, 8
2026/2/18, 16:00:00, 62.05, 62.05, 62.05, 62.05, 2, 1, 0, 2
2026/2/18, 16:35:00, 62.22, 62.22, 62.22, 62.22, 1, 1, 0, 1
2026/2/18, 16:45:00, 62.23, 62.23, 62.23, 62.23, 2, 2, 2, 0
2026/2/18, 17:10:00, 62.31, 62.42, 62.31, 62.42, 2, 2, 1, 1
2026/2/18, 17:20:00, 62.38, 62.38, 62.34, 62.34, 146, 66, 52, 94
2026/2/18, 17:25:00, 62.35, 62.35, 62.31, 62.32, 5, 4, 3, 2
2026/2/18, 17:45:00, 62.43, 62.46, 62.43, 62.46, 3, 3, 1, 2
2026/2/18, 17:50:00, 62.49, 62.49, 62.49, 62.49, 1, 1, 1, 0
2026/2/18, 18:00:00, 62.49, 62.49, 62.49, 62.49, 2, 1, 2, 0
2026/2/18, 18:35:00, 62.54, 62.54, 62.31, 62.37, 13, 12, 7, 6
2026/2/18, 18:40:00, 62.56, 62.56, 62.54, 62.54, 2, 2, 0, 2
2026/2/18, 19:20:00, 62.68, 62.68, 62.67, 62.67, 3, 3, 1, 2
2026/2/18, 19:25:00, 62.58, 62.58, 62.51, 62.53, 25, 7, 20, 5
2026/2/18, 19:40:00, 62.52, 62.52, 62.52, 62.52, 1, 1, 0, 1
2026/2/18, 19:50:00, 62.47, 62.47, 62.47, 62.47, 1, 1, 1, 0
2026/2/18, 19:55:00, 62.45, 62.48, 62.44, 62.44, 3, 3, 2, 1
2026/2/18, 20:05:00, 62.60, 62.60, 62.60, 62.60, 196, 155, 0, 196
2026/2/18, 20:10:00, 62.60, 62.60, 62.60, 62.60, 104, 76, 0, 104
2026/2/18, 20:15:00, 62.57, 62.57, 62.57, 62.57, 1, 1, 0, 1
2026/2/18, 20:40:00, 62.65, 62.65, 62.65, 62.65, 1, 1, 1, 0
2026/2/18, 21:10:00, 62.59, 62.59, 62.59, 62.59, 1, 1, 0, 1
2026/2/18, 21:20:00, 62.54, 62.54, 62.54, 62.54, 1, 1, 1, 0
2026/2/18, 21:50:00, 62.44, 62.44, 62.41, 62.41, 15, 5, 15, 0
2026/2/18, 23:20:00, 62.53, 62.53, 62.53, 62.53, 2, 1, 2, 0
2026/2/19, 01:05:00, 62.43, 62.43, 62.43, 62.43, 1, 1, 1, 0
2026/2/19, 02:10:00, 62.73, 62.73, 62.73, 62.73, 1, 1, 0, 1
2026/2/19, 06:00:00, 62.63, 62.63, 62.63, 62.63, 1, 1, 1, 0
2026/2/19, 06:15:00, 62.73, 62.73, 62.73, 62.73, 1, 1, 0, 1
2026/2/19, 07:35:00, 62.85, 62.85, 62.85, 62.85, 1, 1, 1, 0
2026/2/19, 08:05:00, 62.99, 62.99, 62.99, 62.99, 4, 2, 4, 0
2026/2/19, 08:10:00, 63.01, 63.01, 63.01, 63.01, 8, 5, 8, 0
2026/2/19, 09:20:00, 63.05, 63.05, 63.05, 63.05, 1, 1, 1, 0
2026/2/19, 10:05:00, 63.10, 63.10, 63.10, 63.10, 1, 1, 0, 1
2026/2/19, 10:40:00, 63.13, 63.15, 63.13, 63.15, 12, 4, 0, 12
2026/2/19, 11:40:00, 63.31, 63.32, 63.31, 63.32, 5, 2, 0, 5
2026/2/19, 12:55:00, 63.19, 63.19, 63.19, 63.19, 1, 1, 0, 1
2026/2/19, 13:00:00, 63.21, 63.21, 63.21, 63.21, 1, 1, 1, 0
2026/2/19, 13:30:00, 63.39, 63.39, 63.39, 63.39, 1, 1, 1, 0
2026/2/19, 13:50:00, 63.24, 63.24, 63.24, 63.24, 1, 1, 1, 0
2026/2/19, 13:55:00, 63.31, 63.36, 63.29, 63.29, 5, 5, 3, 2
2026/2/19, 14:00:00, 63.28, 63.28, 63.28, 63.28, 1, 1, 0, 1
2026/2/19, 14:25:00, 63.18, 63.18, 63.18, 63.18, 1, 1, 1, 0
2026/2/19, 14:35:00, 63.29, 63.29, 63.29, 63.29, 1, 1, 1, 0
2026/2/19, 14:45:00, 63.41, 63.41, 63.41, 63.41, 1, 1, 1, 0
2026/2/19, 14:50:00, 63.34, 63.34, 63.34, 63.34, 1, 1, 0, 1
2026/2/19, 15:00:00, 62.94, 63.13, 62.74, 63.13, 7, 7, 0, 7
2026/2/19, 15:05:00, 63.04, 63.04, 63.04, 63.04, 1, 1, 0, 1
2026/2/19, 15:10:00, 63.16, 63.16, 63.16, 63.16, 1, 1, 1, 0
2026/2/19, 15:15:00, 63.26, 63.29, 63.21, 63.29, 5, 5, 2, 3
2026/2/19, 15:30:00, 63.39, 63.39, 63.36, 63.36, 3, 3, 0, 3
2026/2/19, 15:50:00, 63.44, 63.44, 63.44, 63.44, 1, 1, 0, 1
2026/2/19, 15:55:00, 63.44, 63.44, 63.44, 63.44, 1, 1, 0, 1
2026/2/19, 16:00:00, 63.50, 63.50, 63.46, 63.46, 3, 3, 2, 1
2026/2/19, 16:05:00, 63.46, 63.46, 63.46, 63.46, 3, 1, 0, 3
2026/2/19, 16:30:00, 63.52, 63.52, 63.52, 63.52, 1, 1, 0, 1
2026/2/19, 16:40:00, 63.53, 63.54, 63.53, 63.54, 3, 3, 0, 3
2026/2/19, 16:45:00, 63.55, 63.55, 63.48, 63.48, 22, 9, 10, 12
2026/2/19, 16:55:00, 63.52, 63.52, 63.52, 63.52, 1, 1, 0, 1
2026/2/19, 17:00:00, 63.60, 63.60, 63.60, 63.60, 1, 1, 0, 1
2026/2/19, 17:45:00, 63.45, 63.45, 63.45, 63.45, 1, 1, 1, 0
2026/2/19, 18:20:00, 63.30, 63.30, 63.30, 63.30, 1, 1, 1, 0
2026/2/19, 18:45:00, 63.54, 63.54, 63.54, 63.54, 1, 1, 0, 1
2026/2/19, 18:55:00, 63.54, 63.54, 63.49, 63.49, 2, 2, 0, 2
2026/2/19, 19:15:00, 63.44, 63.44, 63.44, 63.44, 38, 34, 26, 12
2026/2/19, 19:25:00, 63.40, 63.48, 63.40, 63.47, 47, 28, 14, 33
2026/2/19, 19:35:00, 63.50, 63.50, 63.50, 63.50, 4, 1, 4, 0
2026/2/19, 19:40:00, 63.49, 63.49, 63.49, 63.49, 2, 1, 0, 2
2026/2/19, 19:55:00, 63.48, 63.48, 63.48, 63.48, 1, 1, 1, 0
2026/2/19, 20:00:00, 63.49, 63.49, 63.49, 63.49, 1, 1, 1, 0
2026/2/19, 20:10:00, 63.55, 63.55, 63.55, 63.55, 4, 3, 3, 1
2026/2/19, 20:35:00, 63.53, 63.53, 63.53, 63.53, 2, 1, 2, 0
2026/2/19, 20:45:00, 63.55, 63.55, 63.55, 63.55, 1, 1, 0, 1
2026/2/19, 21:20:00, 63.51, 63.51, 63.51, 63.51, 1, 1, 1, 0
2026/2/19, 21:45:00, 63.44, 63.44, 63.44, 63.44, 2, 1, 2, 0
2026/2/20, 02:00:00, 63.54, 63.54, 63.54, 63.54, 1, 1, 0, 1
2026/2/20, 02:05:00, 63.67, 63.67, 63.67, 63.67, 1, 1, 1, 0
2026/2/20, 02:35:00, 63.51, 63.51, 63.51, 63.51, 1, 1, 1, 0
2026/2/20, 03:00:00, 63.53, 63.53, 63.53, 63.53, 1, 1, 0, 1
2026/2/20, 03:20:00, 63.49, 63.49, 63.47, 63.47, 2, 2, 1, 1
2026/2/20, 03:35:00, 63.50, 63.50, 63.50, 63.50, 1, 1, 0, 1
2026/2/20, 04:55:00, 63.57, 63.57, 63.57, 63.57, 1, 1, 0, 1
2026/2/20, 07:05:00, 63.60, 63.60, 63.60, 63.60, 2, 1, 2, 0
2026/2/20, 08:10:00, 63.32, 63.32, 63.31, 63.31, 4, 2, 4, 0
2026/2/20, 08:15:00, 63.30, 63.30, 63.28, 63.28, 12, 9, 12, 0
2026/2/20, 08:25:00, 63.33, 63.34, 63.33, 63.34, 6, 3, 6, 0
2026/2/20, 09:25:00, 63.43, 63.43, 63.43, 63.43, 1, 1, 0, 1
2026/2/20, 09:35:00, 63.44, 63.44, 63.44, 63.44, 1, 1, 1, 0
2026/2/20, 12:00:00, 63.21, 63.21, 63.21, 63.21, 1, 1, 0, 1
2026/2/20, 13:45:00, 63.30, 63.30, 63.30, 63.30, 1, 1, 0, 1
2026/2/20, 14:00:00, 63.37, 63.37, 63.36, 63.36, 2, 2, 0, 2
2026/2/20, 14:30:00, 63.28, 63.29, 63.28, 63.29, 2, 2, 0, 2
2026/2/20, 14:35:00, 63.39, 63.39, 63.18, 63.18, 3, 3, 2, 1
2026/2/20, 14:50:00, 63.27, 63.27, 63.27, 63.27, 1, 1, 0, 1
