Date, Time, Open, High, Low, Last, Volume, OpenInterest
2017/11/21, 00:00:00, 50.88, 50.88, 50.88, 50.88, 1240288, 2508274
2017/11/22, 00:00:00, 50.83, 50.83, 50.83, 50.83, 1880801, 2474541
2017/11/24, 00:00:00, 51.05, 51.05, 51.05, 51.05, 1041459, 2486951
2017/11/27, 00:00:00, 51.60, 51.60, 51.60, 51.60, 1387661, 2483769
2017/11/28, 00:00:00, 51.75, 51.75, 51.75, 51.75, 973392, 2489012
2017/11/29, 00:00:00, 51.99, 51.99, 51.99, 51.99, 1278531, 2507530
2017/11/30, 00:00:00, 51.98, 51.98, 51.98, 51.98, 1242192, 2524205
2017/12/1, 00:00:00, 51.83, 51.83, 51.83, 51.83, 1262731, 2539055
2017/12/4, 00:00:00, 51.98, 51.98, 51.98, 51.98, 916327, 2525118
2017/12/5, 00:00:00, 52.08, 52.08, 52.08, 52.08, 929295, 2554224
2017/12/6, 00:00:00, 51.74, 51.74, 51.74, 51.74, 1287224, 2580142
2017/12/7, 00:00:00, 52.21, 52.21, 52.21, 52.21, 1056406, 2574834
2017/12/8, 00:00:00, 52.21, 52.21, 52.21, 52.21, 1265287, 2577697
2017/12/11, 00:00:00, 52.30, 52.30, 52.30, 52.30, 1311591, 2589955
2017/12/12, 00:00:00, 51.95, 51.95, 51.95, 51.95, 1713480, 2571686
2017/12/13, 00:00:00, 50.92, 50.92, 50.92, 50.92, 1515645, 2574191
2017/12/14, 00:00:00, 51.02, 51.02, 51.02, 51.02, 1389564, 2534530
2017/12/15, 00:00:00, 50.67, 50.67, 50.67, 50.67, 1000552, 2536272
2017/12/18, 00:00:00, 51.32, 51.32, 51.32, 51.32, 1057983, 2483769
2017/12/19, 00:00:00, 51.81, 51.81, 51.81, 51.81, 749802, 2449860
2017/12/20, 00:00:00, 51.68, 51.68, 51.68, 51.68, 738089, 2449649
2017/12/21, 00:00:00, 51.76, 51.76, 51.76, 51.76, 691728, 2443676
2017/12/22, 00:00:00, 52.12, 52.12, 52.12, 52.12, 548977, 2436081
2017/12/26, 00:00:00, 52.50, 52.50, 52.50, 52.50, 692220, 2460193
2017/12/27, 00:00:00, 52.84, 52.84, 52.84, 52.84, 636473, 2463720
2017/12/28, 00:00:00, 52.97, 52.97, 52.97, 52.97, 588885, 2460033
2017/12/29, 00:00:00, 52.74, 52.74, 52.74, 52.74, 815558, 2457526
2018/1/2, 00:00:00, 52.56, 52.56, 52.56, 52.56, 876770, 2479798
2018/1/3, 00:00:00, 52.65, 52.65, 52.65, 52.65, 1464322, 2525660
2018/1/4, 00:00:00, 52.70, 52.70, 52.70, 52.70, 1374901, 2538817
2018/1/5, 00:00:00, 53.01, 53.01, 53.01, 53.01, 1089526, 2539230
2018/1/8, 00:00:00, 53.47, 53.47, 53.47, 53.47, 1288070, 2538049
2018/1/9, 00:00:00, 53.84, 53.84, 53.84, 53.84, 1688349, 2545313
2018/1/10, 00:00:00, 53.60, 53.60, 53.60, 53.60, 1534921, 2569123
2018/1/11, 00:00:00, 53.70, 53.70, 53.70, 53.70, 2059016, 2595401
2018/1/12, 00:00:00, 53.79, 53.79, 53.79, 53.79, 1443182, 2639926
2018/1/16, 00:00:00, 53.85, 53.85, 53.85, 53.85, 1819157, 2611581
2018/1/17, 00:00:00, 54.13, 54.13, 54.13, 54.13, 1157189, 2602314
2018/1/18, 00:00:00, 54.38, 54.38, 54.38, 54.38, 1113993, 2600256
2018/1/19, 00:00:00, 54.68, 54.68, 54.68, 54.68, 1115235, 2568615
2018/1/22, 00:00:00, 54.79, 54.79, 54.79, 54.79, 959334, 2563088
2018/1/23, 00:00:00, 55.01, 55.01, 55.01, 55.01, 1100502, 2587735
2018/1/24, 00:00:00, 54.47, 54.47, 54.47, 54.47, 1798089, 2655181
2018/1/25, 00:00:00, 54.65, 54.65, 54.65, 54.65, 1596241, 2632514
2018/1/26, 00:00:00, 54.54, 54.54, 54.54, 54.54, 1333316, 2648090
2018/1/29, 00:00:00, 54.17, 54.17, 54.17, 54.17, 1206995, 2644526
2018/1/30, 00:00:00, 53.55, 53.55, 53.55, 53.55, 1286493, 2643683
2018/1/31, 00:00:00, 53.36, 53.36, 53.36, 53.36, 1158182, 2648774
2018/2/1, 00:00:00, 53.35, 53.35, 53.35, 53.35, 1402838, 2680530
2018/2/2, 00:00:00, 52.39, 52.39, 52.39, 52.39, 1954071, 2637021
2018/2/5, 00:00:00, 52.05, 52.05, 52.05, 52.05, 1980123, 2587299
2018/2/6, 00:00:00, 51.80, 51.80, 51.80, 51.80, 1495610, 2589270
2018/2/7, 00:00:00, 51.17, 51.17, 51.17, 51.17, 2015703, 2550513
2018/2/8, 00:00:00, 51.20, 51.20, 51.20, 51.20, 1866093, 2543617
2018/2/9, 00:00:00, 50.66, 50.66, 50.66, 50.66, 1764311, 2524015
2018/2/12, 00:00:00, 50.89, 50.89, 50.89, 50.89, 1455165, 2518019
2018/2/13, 00:00:00, 51.58, 51.58, 51.58, 51.58, 1253615, 2530604
2018/2/14, 00:00:00, 51.55, 51.55, 51.55, 51.55, 1612908, 2520377
2018/2/15, 00:00:00, 51.51, 51.51, 51.51, 51.51, 1515184, 2477064
2018/2/16, 00:00:00, 51.80, 51.80, 51.80, 51.80, 1147661, 2421110
2018/2/20, 00:00:00, 52.40, 52.40, 52.40, 52.40, 1339441, 2430562
2018/2/21, 00:00:00, 52.44, 52.44, 52.44, 52.44, 813882, 2425517
2018/2/22, 00:00:00, 52.58, 52.58, 52.58, 52.58, 1096895, 2430049
2018/2/23, 00:00:00, 53.37, 53.37, 53.37, 53.37, 900749, 2434008
2018/2/26, 00:00:00, 53.98, 53.98, 53.98, 53.98, 810920, 2453610
2018/2/27, 00:00:00, 53.58, 53.58, 53.58, 53.58, 957971, 2460214
2018/2/28, 00:00:00, 52.04, 52.04, 52.04, 52.04, 1349655, 2462234
2018/3/1, 00:00:00, 51.73, 51.73, 51.73, 51.73, 1395837, 2468735
2018/3/2, 00:00:00, 51.76, 51.76, 51.76, 51.76, 1040814, 2457804
2018/3/5, 00:00:00, 52.45, 52.45, 52.45, 52.45, 977010, 2469014
2018/3/6, 00:00:00, 52.52, 52.52, 52.52, 52.52, 1120554, 2451492
2018/3/7, 00:00:00, 51.92, 51.92, 51.92, 51.92, 1558043, 2461343
2018/3/8, 00:00:00, 51.93, 51.93, 51.93, 51.93, 1615637, 2446518
2018/3/9, 00:00:00, 52.90, 52.90, 52.90, 52.90, 1420169, 2432754
2018/3/12, 00:00:00, 52.80, 52.80, 52.80, 52.80, 1024381, 2428425
2018/3/13, 00:00:00, 52.69, 52.69, 52.69, 52.69, 1480803, 2403162
2018/3/14, 00:00:00, 52.83, 52.83, 52.83, 52.83, 1250355, 2401740
2018/3/15, 00:00:00, 52.62, 52.62, 52.62, 52.62, 983322, 2381898
2018/3/16, 00:00:00, 52.60, 52.60, 52.60, 52.60, 934479, 2401800
2018/3/19, 00:00:00, 52.19, 52.19, 52.19, 52.19, 911452, 2376271
2018/3/20, 00:00:00, 52.35, 52.35, 52.35, 52.35, 1126655, 2386095
2018/3/21, 00:00:00, 53.06, 53.06, 53.06, 53.06, 1394054, 2436499
2018/3/22, 00:00:00, 52.61, 52.61, 52.61, 52.61, 1281737, 2436690
2018/3/23, 00:00:00, 53.02, 53.02, 53.02, 53.02, 1271363, 2469551
2018/3/26, 00:00:00, 52.83, 52.83, 52.83, 52.83, 927759, 2483359
2018/3/27, 00:00:00, 52.83, 52.83, 52.83, 52.83, 1132857, 2513575
2018/3/28, 00:00:00, 52.81, 52.81, 52.81, 52.81, 1156249, 2509804
2018/3/29, 00:00:00, 52.59, 52.59, 52.59, 52.59, 961850, 2521210
2018/4/2, 00:00:00, 51.65, 51.65, 51.65, 51.65, 940753, 2532289
2018/4/3, 00:00:00, 52.03, 52.03, 52.03, 52.03, 880962, 2547337
2018/4/4, 00:00:00, 51.99, 51.99, 51.99, 51.99, 1319181, 2542709
2018/4/5, 00:00:00, 52.20, 52.20, 52.20, 52.20, 1077685, 2522714
2018/4/6, 00:00:00, 51.50, 51.50, 51.50, 51.50, 1466267, 2499221
2018/4/9, 00:00:00, 51.65, 51.65, 51.65, 51.65, 1279932, 2469396
2018/4/10, 00:00:00, 51.94, 51.94, 51.94, 51.94, 1788317, 2480033
2018/4/11, 00:00:00, 52.24, 52.24, 52.24, 52.24, 2093741, 2534391
2018/4/12, 00:00:00, 51.91, 51.91, 51.91, 51.91, 1370398, 2565785
2018/4/13, 00:00:00, 51.84, 51.84, 51.84, 51.84, 1378834, 2609563
2018/4/16, 00:00:00, 51.81, 51.81, 51.81, 51.81, 1266169, 2605000
2018/4/17, 00:00:00, 51.76, 51.76, 51.76, 51.76, 1314171, 2596578
2018/4/18, 00:00:00, 51.67, 51.67, 51.67, 51.67, 1478871, 2616362
2018/4/19, 00:00:00, 51.85, 51.85, 51.85, 51.85, 1519806, 2598362
2018/4/20, 00:00:00, 51.79, 51.79, 51.79, 51.79, 1116135, 2562051
2018/4/23, 00:00:00, 52.12, 52.12, 52.12, 52.12, 1384486, 2564936
2018/4/24, 00:00:00, 51.68, 51.68, 51.68, 51.68, 1478857, 2574820
2018/4/25, 00:00:00, 51.57, 51.57, 51.57, 51.57, 1274381, 2597874
2018/4/26, 00:00:00, 51.60, 51.60, 51.60, 51.60, 1197794, 2630989
2018/4/27, 00:00:00, 51.26, 51.26, 51.26, 51.26, 927582, 2638303
2018/4/30, 00:00:00, 51.42, 51.42, 51.42, 51.42, 1388909, 2635063
2018/5/1, 00:00:00, 51.13, 51.13, 51.13, 51.13, 1194404, 2621768
2018/5/2, 00:00:00, 51.08, 51.08, 51.08, 51.08, 1433058, 2643779
2018/5/3, 00:00:00, 51.53, 51.53, 51.53, 51.53, 1268094, 2679593
2018/5/4, 00:00:00, 52.20, 52.20, 52.20, 52.20, 1202307, 2695178
2018/5/7, 00:00:00, 52.53, 52.53, 52.53, 52.53, 1386945, 2686536
2018/5/8, 00:00:00, 52.07, 52.07, 52.07, 52.07, 2115382, 2658229
2018/5/9, 00:00:00, 52.88, 52.88, 52.88, 52.88, 1663486, 2676256
2018/5/10, 00:00:00, 53.23, 53.23, 53.23, 53.23, 1345300, 2694428
2018/5/11, 00:00:00, 53.42, 53.42, 53.42, 53.42, 1255825, 2706686
2018/5/14, 00:00:00, 53.75, 53.75, 53.75, 53.75, 1215405, 2680287
2018/5/15, 00:00:00, 54.18, 54.18, 54.18, 54.18, 1805032, 2706454
2018/5/16, 00:00:00, 54.06, 54.06, 54.06, 54.06, 1327746, 2713986
2018/5/17, 00:00:00, 54.68, 54.68, 54.68, 54.68, 1531313, 2659819
2018/5/18, 00:00:00, 54.65, 54.65, 54.65, 54.65, 1089706, 2658315
2018/5/21, 00:00:00, 55.03, 55.03, 55.03, 55.03, 1099397, 2641241
2018/5/22, 00:00:00, 54.76, 54.76, 54.76, 54.76, 1292386, 2638408
2018/5/23, 00:00:00, 53.90, 53.90, 53.90, 53.90, 1252046, 2641141
2018/5/24, 00:00:00, 53.72, 53.72, 53.72, 53.72, 1069556, 2655091
2018/5/25, 00:00:00, 52.76, 52.76, 52.76, 52.76, 1709587, 2632315
2018/5/29, 00:00:00, 52.78, 52.78, 52.78, 52.78, 1694846, 2620926
2018/5/30, 00:00:00, 53.08, 53.08, 53.08, 53.08, 1261490, 2638610
2018/5/31, 00:00:00, 53.16, 53.16, 53.16, 53.16, 1705457, 2625957
2018/6/1, 00:00:00, 54.36, 54.36, 54.36, 54.36, 1656602, 2587923
2018/6/4, 00:00:00, 53.90, 53.90, 53.90, 53.90, 1349394, 2539191
2018/6/5, 00:00:00, 53.98, 53.98, 53.98, 53.98, 1394281, 2546827
2018/6/6, 00:00:00, 53.57, 53.57, 53.57, 53.57, 1262640, 2545587
2018/6/7, 00:00:00, 54.00, 54.00, 54.00, 54.00, 1413631, 2551692
2018/6/8, 00:00:00, 54.35, 54.35, 54.35, 54.35, 1142430, 2520940
2018/6/11, 00:00:00, 54.60, 54.60, 54.60, 54.60, 1030054, 2521984
2018/6/12, 00:00:00, 54.40, 54.40, 54.40, 54.40, 1035204, 2524439
2018/6/13, 00:00:00, 55.46, 55.46, 55.46, 55.46, 1277061, 2538936
2018/6/14, 00:00:00, 53.65, 53.65, 53.65, 53.65, 1139190, 2548321
2018/6/15, 00:00:00, 52.30, 52.30, 52.30, 52.30, 1389982, 2536480
2018/6/18, 00:00:00, 53.09, 53.09, 53.09, 53.09, 1130222, 2508601
2018/6/19, 00:00:00, 52.79, 52.79, 52.79, 52.79, 1032631, 2458404
2018/6/20, 00:00:00, 52.75, 52.75, 52.75, 52.75, 1283279, 2459918
2018/6/21, 00:00:00, 52.56, 52.56, 52.56, 52.56, 1551989, 2451560
