Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 60.31, 60.36, 60.29, 60.34, 8, 8, 6, 2
2026/2/18, 00:00:00, 60.36, 60.41, 60.32, 60.32, 24, 23, 14, 10
2026/2/18, 01:00:00, 60.34, 60.43, 60.34, 60.39, 4, 4, 1, 3
2026/2/18, 02:00:00, 60.39, 60.48, 60.36, 60.45, 99, 70, 70, 29
2026/2/18, 03:00:00, 60.48, 60.52, 60.48, 60.51, 27, 15, 3, 24
2026/2/18, 04:00:00, 60.50, 60.57, 60.50, 60.56, 64, 51, 11, 53
2026/2/18, 05:00:00, 60.55, 60.55, 60.48, 60.51, 18, 17, 9, 9
2026/2/18, 06:00:00, 60.45, 60.61, 60.45, 60.50, 22, 20, 13, 9
2026/2/18, 07:00:00, 60.48, 60.57, 60.48, 60.52, 76, 76, 37, 39
2026/2/18, 08:00:00, 60.54, 60.74, 60.51, 60.51, 602, 439, 120, 482
2026/2/18, 09:00:00, 60.53, 60.69, 60.48, 60.57, 243, 233, 115, 128
2026/2/18, 10:00:00, 60.60, 61.09, 60.60, 61.03, 603, 499, 152, 451
2026/2/18, 11:00:00, 61.05, 61.51, 61.03, 61.51, 663, 517, 233, 430
2026/2/18, 12:00:00, 61.51, 61.78, 61.39, 61.67, 1695, 1408, 674, 1021
2026/2/18, 13:00:00, 61.70, 61.73, 61.46, 61.53, 1574, 1366, 765, 809
2026/2/18, 14:00:00, 61.53, 61.92, 61.46, 61.83, 2921, 2321, 953, 1968
2026/2/18, 15:00:00, 61.82, 61.90, 61.74, 61.80, 2265, 1661, 798, 1467
2026/2/18, 16:00:00, 61.79, 62.00, 61.74, 61.92, 2898, 2457, 1054, 1844
2026/2/18, 17:00:00, 61.90, 62.20, 61.86, 62.19, 1168, 1021, 352, 816
2026/2/18, 18:00:00, 62.17, 62.27, 61.93, 62.25, 2207, 1848, 1211, 996
2026/2/18, 19:00:00, 62.25, 62.39, 62.08, 62.19, 2056, 1641, 1068, 988
2026/2/18, 20:00:00, 62.19, 62.41, 62.18, 62.27, 1339, 998, 499, 840
2026/2/18, 21:00:00, 62.27, 62.28, 62.00, 62.08, 499, 378, 157, 342
2026/2/18, 23:00:00, 62.05, 62.39, 62.00, 62.15, 44, 40, 12, 32
2026/2/19, 00:00:00, 62.13, 62.19, 62.08, 62.18, 52, 44, 22, 30
2026/2/19, 01:00:00, 62.18, 62.27, 62.08, 62.25, 76, 68, 44, 32
2026/2/19, 02:00:00, 62.32, 62.39, 62.28, 62.38, 105, 84, 51, 54
2026/2/19, 03:00:00, 62.38, 62.46, 62.38, 62.44, 71, 63, 39, 32
2026/2/19, 04:00:00, 62.43, 62.45, 62.27, 62.27, 29, 29, 17, 12
2026/2/19, 05:00:00, 62.33, 62.36, 62.31, 62.33, 9, 9, 4, 5
2026/2/19, 06:00:00, 62.35, 62.37, 62.30, 62.33, 59, 54, 26, 33
2026/2/19, 07:00:00, 62.40, 62.73, 62.34, 62.69, 164, 157, 66, 98
2026/2/19, 08:00:00, 62.63, 63.00, 62.59, 62.94, 307, 267, 136, 171
2026/2/19, 09:00:00, 62.96, 62.98, 62.59, 62.68, 224, 200, 97, 127
2026/2/19, 10:00:00, 62.67, 62.85, 62.59, 62.83, 381, 183, 50, 331
2026/2/19, 11:00:00, 62.77, 62.98, 62.72, 62.81, 237, 215, 134, 103
2026/2/19, 12:00:00, 62.83, 62.89, 62.76, 62.84, 526, 436, 223, 303
2026/2/19, 13:00:00, 62.83, 63.10, 62.66, 62.93, 1543, 1155, 568, 975
2026/2/19, 14:00:00, 62.91, 63.04, 62.68, 62.93, 1944, 1524, 716, 1228
2026/2/19, 15:00:00, 62.94, 63.08, 62.35, 63.08, 3596, 2767, 1719, 1877
2026/2/19, 16:00:00, 63.08, 63.15, 62.95, 63.11, 1744, 1296, 693, 1051
2026/2/19, 17:00:00, 63.26, 63.26, 62.96, 63.06, 1903, 1455, 747, 1156
2026/2/19, 18:00:00, 63.05, 63.13, 62.86, 63.07, 1826, 1401, 787, 1039
2026/2/19, 19:00:00, 63.08, 63.11, 62.95, 63.08, 1046, 893, 446, 600
2026/2/19, 20:00:00, 63.09, 63.18, 63.04, 63.16, 803, 645, 249, 554
2026/2/19, 21:00:00, 63.16, 63.27, 62.62, 63.15, 877, 736, 426, 451
2026/2/19, 23:00:00, 63.06, 63.13, 62.97, 62.98, 120, 115, 34, 86
2026/2/20, 00:00:00, 62.96, 63.03, 62.88, 62.95, 22, 22, 18, 4
2026/2/20, 01:00:00, 62.95, 63.19, 62.93, 63.09, 99, 83, 34, 65
2026/2/20, 02:00:00, 63.07, 63.18, 63.01, 63.06, 64, 56, 34, 30
2026/2/20, 03:00:00, 63.08, 63.15, 63.01, 63.14, 21, 20, 15, 6
2026/2/20, 04:00:00, 63.10, 63.16, 63.10, 63.15, 21, 20, 14, 7
2026/2/20, 05:00:00, 63.18, 63.27, 63.12, 63.20, 28, 27, 16, 12
2026/2/20, 06:00:00, 63.26, 63.34, 63.12, 63.12, 60, 56, 38, 22
2026/2/20, 07:00:00, 63.13, 63.15, 62.86, 62.86, 220, 214, 104, 116
2026/2/20, 08:00:00, 62.92, 62.95, 62.73, 62.79, 282, 236, 132, 150
2026/2/20, 09:00:00, 62.78, 63.12, 62.65, 62.76, 602, 487, 289, 313
2026/2/20, 10:00:00, 62.76, 62.89, 62.69, 62.78, 130, 127, 61, 69
2026/2/20, 11:00:00, 62.78, 63.03, 62.61, 62.77, 172, 162, 77, 95
2026/2/20, 12:00:00, 62.77, 62.93, 62.74, 62.88, 178, 169, 70, 108
2026/2/20, 13:00:00, 62.89, 62.99, 62.80, 62.95, 908, 736, 549, 359
2026/2/20, 14:00:00, 62.96, 63.12, 62.68, 62.99, 1572, 1155, 595, 977
2026/2/20, 15:00:00, 62.99, 63.22, 62.71, 62.75, 2448, 1902, 778, 1670
2026/2/20, 16:00:00, 62.75, 63.04, 62.69, 62.93, 1264, 1007, 630, 634
2026/2/20, 17:00:00, 62.92, 63.12, 62.88, 63.09, 898, 762, 396, 502
2026/2/20, 18:00:00, 63.10, 63.24, 62.91, 63.09, 674, 628, 306, 368
2026/2/20, 19:00:00, 63.08, 63.12, 62.87, 63.06, 935, 763, 573, 362
2026/2/20, 20:00:00, 63.07, 63.10, 62.89, 63.01, 237, 213, 124, 113
2026/2/20, 21:00:00, 62.99, 63.05, 62.94, 63.02, 137, 114, 47, 90
2026/2/22, 23:00:00, 62.98, 62.98, 62.41, 62.86, 161, 131, 87, 74
2026/2/23, 00:00:00, 62.78, 62.78, 62.54, 62.58, 130, 88, 42, 88
2026/2/23, 01:00:00, 62.54, 62.78, 62.47, 62.73, 84, 66, 35, 49
2026/2/23, 02:00:00, 62.77, 62.86, 62.72, 62.72, 54, 53, 29, 25
2026/2/23, 03:00:00, 62.69, 62.69, 62.58, 62.60, 20, 20, 12, 8
2026/2/23, 04:00:00, 62.62, 62.63, 62.44, 62.50, 35, 35, 20, 15
2026/2/23, 05:00:00, 62.55, 62.66, 62.54, 62.66, 32, 27, 12, 20
2026/2/23, 06:00:00, 62.60, 62.67, 62.57, 62.59, 10, 10, 6, 4
2026/2/23, 07:00:00, 62.69, 62.69, 62.51, 62.59, 86, 85, 48, 38
2026/2/23, 08:00:00, 62.60, 62.82, 62.55, 62.82, 258, 250, 140, 118
2026/2/23, 09:00:00, 62.80, 63.13, 62.72, 63.07, 301, 281, 119, 182
2026/2/23, 10:00:00, 63.04, 63.07, 62.89, 62.98, 169, 167, 76, 93
2026/2/23, 11:00:00, 62.96, 63.24, 62.89, 63.21, 158, 155, 67, 91
2026/2/23, 12:00:00, 63.22, 63.39, 63.20, 63.35, 446, 422, 177, 269
2026/2/23, 13:00:00, 63.36, 63.53, 63.24, 63.49, 849, 673, 278, 571
2026/2/23, 14:00:00, 63.49, 63.73, 63.40, 63.58, 1018, 884, 387, 631
2026/2/23, 15:00:00, 63.58, 63.72, 63.36, 63.38, 1835, 1522, 616, 1219
2026/2/23, 16:00:00, 63.36, 63.62, 63.02, 63.11, 1555, 1354, 618, 937
2026/2/23, 17:00:00, 63.12, 63.17, 62.98, 63.07, 1099, 883, 656, 443
2026/2/23, 18:00:00, 63.07, 63.21, 63.02, 63.11, 336, 312, 174, 162
2026/2/23, 19:00:00, 63.10, 63.26, 63.06, 63.25, 1022, 818, 500, 522
2026/2/23, 20:00:00, 63.28, 63.37, 63.27, 63.33, 577, 466, 162, 415
2026/2/23, 21:00:00, 63.34, 63.35, 63.21, 63.23, 258, 224, 115, 143
2026/2/23, 23:00:00, 63.23, 63.26, 63.18, 63.23, 71, 67, 38, 33
2026/2/24, 00:00:00, 63.24, 63.29, 63.22, 63.29, 35, 33, 17, 18
2026/2/24, 01:00:00, 63.33, 63.38, 63.08, 63.33, 49, 48, 33, 16
2026/2/24, 02:00:00, 63.40, 63.66, 63.40, 63.66, 106, 102, 33, 73
2026/2/24, 03:00:00, 63.68, 63.76, 63.65, 63.70, 169, 144, 99, 70
2026/2/24, 04:00:00, 63.70, 63.71, 63.63, 63.64, 41, 37, 32, 9
2026/2/24, 05:00:00, 63.61, 63.75, 63.51, 63.69, 44, 38, 21, 23
2026/2/24, 06:00:00, 63.67, 63.67, 63.54, 63.64, 16, 16, 6, 10
2026/2/24, 07:00:00, 63.65, 63.67, 63.45, 63.50, 96, 96, 51, 45
2026/2/24, 08:00:00, 63.47, 63.52, 63.29, 63.51, 174, 168, 86, 88
2026/2/24, 09:00:00, 63.51, 63.55, 63.35, 63.53, 205, 201, 114, 91
2026/2/24, 10:00:00, 63.54, 63.58, 63.29, 63.35, 290, 280, 142, 148
2026/2/24, 11:00:00, 63.34, 63.43, 63.29, 63.40, 134, 132, 80, 54
2026/2/24, 12:00:00, 63.37, 63.58, 63.32, 63.53, 216, 212, 116, 100
2026/2/24, 13:00:00, 63.54, 63.86, 63.54, 63.70, 972, 827, 393, 579
2026/2/24, 14:00:00, 63.66, 63.70, 63.41, 63.54, 1045, 842, 451, 594
2026/2/24, 15:00:00, 63.55, 63.63, 62.85, 63.14, 1966, 1789, 1006, 960
2026/2/24, 16:00:00, 63.09, 63.39, 63.06, 63.22, 586, 554, 252, 334
2026/2/24, 17:00:00, 63.22, 63.50, 63.08, 63.20, 931, 765, 666, 265
2026/2/24, 18:00:00, 63.19, 63.37, 63.18, 63.32, 1112, 796, 663, 449
