Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 60.31, 60.31, 60.29, 60.29, 4, 4, 4, 0
2026/2/17, 23:05:00, 60.36, 60.36, 60.36, 60.36, 2, 2, 0, 2
2026/2/17, 23:30:00, 60.35, 60.35, 60.35, 60.35, 1, 1, 1, 0
2026/2/17, 23:55:00, 60.34, 60.34, 60.34, 60.34, 1, 1, 1, 0
2026/2/18, 00:00:00, 60.36, 60.39, 60.36, 60.39, 7, 7, 0, 7
2026/2/18, 00:05:00, 60.41, 60.41, 60.41, 60.41, 1, 1, 0, 1
2026/2/18, 00:15:00, 60.34, 60.34, 60.34, 60.34, 3, 3, 3, 0
2026/2/18, 00:20:00, 60.34, 60.34, 60.34, 60.34, 6, 5, 6, 0
2026/2/18, 00:35:00, 60.32, 60.32, 60.32, 60.32, 7, 7, 5, 2
2026/2/18, 01:00:00, 60.34, 60.43, 60.34, 60.43, 2, 2, 0, 2
2026/2/18, 01:05:00, 60.40, 60.40, 60.40, 60.40, 1, 1, 1, 0
2026/2/18, 01:10:00, 60.39, 60.39, 60.39, 60.39, 1, 1, 0, 1
2026/2/18, 02:00:00, 60.39, 60.39, 60.36, 60.38, 48, 23, 40, 8
2026/2/18, 02:05:00, 60.38, 60.39, 60.38, 60.38, 19, 15, 11, 8
2026/2/18, 02:10:00, 60.42, 60.43, 60.42, 60.43, 2, 2, 0, 2
2026/2/18, 02:15:00, 60.44, 60.45, 60.44, 60.45, 5, 5, 0, 5
2026/2/18, 02:35:00, 60.48, 60.48, 60.48, 60.48, 15, 15, 13, 2
2026/2/18, 02:40:00, 60.48, 60.48, 60.48, 60.48, 8, 8, 5, 3
2026/2/18, 02:45:00, 60.44, 60.44, 60.44, 60.44, 1, 1, 1, 0
2026/2/18, 02:50:00, 60.45, 60.45, 60.45, 60.45, 1, 1, 0, 1
2026/2/18, 03:30:00, 60.48, 60.51, 60.48, 60.51, 7, 7, 1, 6
2026/2/18, 03:40:00, 60.52, 60.52, 60.52, 60.52, 15, 3, 0, 15
2026/2/18, 03:45:00, 60.52, 60.52, 60.51, 60.51, 3, 3, 2, 1
2026/2/18, 03:50:00, 60.51, 60.51, 60.51, 60.51, 1, 1, 0, 1
2026/2/18, 03:55:00, 60.51, 60.51, 60.51, 60.51, 1, 1, 0, 1
2026/2/18, 04:00:00, 60.50, 60.50, 60.50, 60.50, 1, 1, 1, 0
2026/2/18, 04:05:00, 60.52, 60.52, 60.52, 60.52, 23, 16, 3, 20
2026/2/18, 04:10:00, 60.52, 60.52, 60.52, 60.52, 1, 1, 0, 1
2026/2/18, 04:15:00, 60.51, 60.52, 60.51, 60.51, 4, 4, 2, 2
2026/2/18, 04:20:00, 60.52, 60.53, 60.52, 60.53, 7, 6, 1, 6
2026/2/18, 04:25:00, 60.53, 60.53, 60.52, 60.53, 25, 20, 3, 22
2026/2/18, 04:30:00, 60.55, 60.55, 60.55, 60.55, 1, 1, 0, 1
2026/2/18, 04:35:00, 60.57, 60.57, 60.56, 60.56, 2, 2, 1, 1
2026/2/18, 05:05:00, 60.55, 60.55, 60.55, 60.55, 1, 1, 1, 0
2026/2/18, 05:15:00, 60.50, 60.50, 60.50, 60.50, 1, 1, 1, 0
2026/2/18, 05:20:00, 60.49, 60.49, 60.48, 60.48, 6, 5, 4, 2
2026/2/18, 05:30:00, 60.53, 60.54, 60.53, 60.54, 4, 4, 1, 3
2026/2/18, 05:40:00, 60.55, 60.55, 60.55, 60.55, 4, 4, 1, 3
2026/2/18, 05:45:00, 60.50, 60.51, 60.50, 60.51, 2, 2, 1, 1
2026/2/18, 06:15:00, 60.45, 60.45, 60.45, 60.45, 1, 1, 0, 1
2026/2/18, 06:40:00, 60.51, 60.52, 60.51, 60.52, 6, 5, 4, 2
2026/2/18, 06:45:00, 60.54, 60.54, 60.54, 60.54, 1, 1, 1, 0
2026/2/18, 06:50:00, 60.61, 60.61, 60.54, 60.54, 7, 6, 4, 3
2026/2/18, 06:55:00, 60.55, 60.56, 60.50, 60.50, 7, 7, 4, 3
2026/2/18, 07:00:00, 60.48, 60.54, 60.48, 60.54, 4, 4, 1, 3
2026/2/18, 07:05:00, 60.55, 60.55, 60.53, 60.53, 2, 2, 1, 1
2026/2/18, 07:10:00, 60.57, 60.57, 60.57, 60.57, 2, 2, 2, 0
2026/2/18, 07:15:00, 60.56, 60.56, 60.56, 60.56, 2, 2, 1, 1
2026/2/18, 07:20:00, 60.50, 60.51, 60.50, 60.50, 4, 4, 2, 2
2026/2/18, 07:25:00, 60.52, 60.52, 60.48, 60.49, 9, 9, 7, 2
2026/2/18, 07:30:00, 60.48, 60.53, 60.48, 60.51, 10, 10, 5, 5
2026/2/18, 07:35:00, 60.48, 60.50, 60.48, 60.50, 5, 5, 1, 4
2026/2/18, 07:40:00, 60.51, 60.53, 60.48, 60.50, 8, 8, 3, 5
2026/2/18, 07:45:00, 60.50, 60.50, 60.50, 60.50, 2, 2, 0, 2
2026/2/18, 07:50:00, 60.52, 60.55, 60.51, 60.52, 22, 22, 11, 11
2026/2/18, 07:55:00, 60.53, 60.56, 60.52, 60.52, 6, 6, 3, 3
2026/2/18, 08:00:00, 60.54, 60.63, 60.51, 60.62, 38, 37, 16, 22
2026/2/18, 08:05:00, 60.62, 60.67, 60.62, 60.64, 10, 10, 5, 5
2026/2/18, 08:10:00, 60.60, 60.63, 60.59, 60.59, 16, 15, 3, 13
2026/2/18, 08:15:00, 60.60, 60.68, 60.60, 60.68, 38, 33, 18, 20
2026/2/18, 08:20:00, 60.69, 60.69, 60.64, 60.64, 83, 47, 10, 73
2026/2/18, 08:25:00, 60.65, 60.69, 60.65, 60.68, 38, 34, 11, 27
2026/2/18, 08:30:00, 60.68, 60.69, 60.65, 60.65, 207, 109, 29, 178
2026/2/18, 08:35:00, 60.65, 60.67, 60.63, 60.67, 27, 27, 6, 21
2026/2/18, 08:40:00, 60.69, 60.72, 60.68, 60.69, 86, 70, 15, 71
2026/2/18, 08:45:00, 60.71, 60.74, 60.71, 60.74, 45, 43, 4, 41
2026/2/18, 08:50:00, 60.69, 60.69, 60.61, 60.61, 9, 9, 1, 8
2026/2/18, 08:55:00, 60.61, 60.61, 60.51, 60.51, 5, 5, 2, 3
2026/2/18, 09:00:00, 60.53, 60.57, 60.53, 60.57, 8, 8, 4, 4
2026/2/18, 09:05:00, 60.57, 60.61, 60.54, 60.61, 9, 9, 7, 2
2026/2/18, 09:10:00, 60.62, 60.62, 60.62, 60.62, 1, 1, 0, 1
2026/2/18, 09:15:00, 60.58, 60.58, 60.52, 60.52, 13, 13, 3, 10
2026/2/18, 09:20:00, 60.52, 60.59, 60.52, 60.59, 8, 8, 1, 7
2026/2/18, 09:25:00, 60.56, 60.61, 60.56, 60.61, 5, 5, 1, 4
2026/2/18, 09:30:00, 60.63, 60.64, 60.57, 60.57, 27, 27, 17, 10
2026/2/18, 09:35:00, 60.60, 60.62, 60.54, 60.55, 12, 12, 5, 7
2026/2/18, 09:40:00, 60.59, 60.59, 60.57, 60.59, 10, 10, 7, 3
2026/2/18, 09:45:00, 60.64, 60.69, 60.60, 60.62, 99, 94, 49, 50
2026/2/18, 09:50:00, 60.58, 60.58, 60.48, 60.55, 28, 25, 12, 16
2026/2/18, 09:55:00, 60.55, 60.57, 60.53, 60.57, 23, 21, 9, 14
2026/2/18, 10:00:00, 60.60, 60.77, 60.60, 60.63, 205, 158, 27, 178
2026/2/18, 10:05:00, 60.61, 60.68, 60.61, 60.68, 10, 10, 1, 9
2026/2/18, 10:10:00, 60.70, 60.70, 60.69, 60.69, 3, 3, 2, 1
2026/2/18, 10:15:00, 60.65, 60.65, 60.60, 60.61, 19, 19, 8, 11
2026/2/18, 10:20:00, 60.60, 60.69, 60.60, 60.69, 10, 10, 3, 7
2026/2/18, 10:25:00, 60.67, 60.67, 60.65, 60.67, 30, 22, 15, 15
2026/2/18, 10:30:00, 60.64, 60.68, 60.64, 60.68, 14, 7, 6, 8
2026/2/18, 10:35:00, 60.67, 60.79, 60.66, 60.78, 49, 49, 11, 38
2026/2/18, 10:40:00, 60.79, 60.94, 60.79, 60.89, 157, 120, 41, 116
2026/2/18, 10:45:00, 60.88, 60.97, 60.87, 60.97, 56, 53, 21, 35
2026/2/18, 10:50:00, 60.99, 61.05, 60.99, 61.04, 24, 22, 10, 14
2026/2/18, 10:55:00, 61.04, 61.09, 61.03, 61.03, 26, 26, 7, 19
2026/2/18, 11:00:00, 61.05, 61.09, 61.03, 61.09, 23, 22, 15, 8
2026/2/18, 11:05:00, 61.09, 61.11, 61.09, 61.09, 56, 37, 35, 21
2026/2/18, 11:10:00, 61.08, 61.23, 61.07, 61.19, 64, 56, 22, 42
2026/2/18, 11:15:00, 61.20, 61.28, 61.20, 61.28, 32, 27, 19, 13
2026/2/18, 11:20:00, 61.29, 61.29, 61.23, 61.28, 31, 30, 16, 15
2026/2/18, 11:25:00, 61.28, 61.31, 61.28, 61.29, 27, 26, 11, 16
2026/2/18, 11:30:00, 61.28, 61.35, 61.27, 61.35, 114, 55, 7, 107
2026/2/18, 11:35:00, 61.35, 61.38, 61.32, 61.38, 101, 74, 9, 92
2026/2/18, 11:40:00, 61.39, 61.42, 61.39, 61.40, 30, 29, 12, 18
2026/2/18, 11:45:00, 61.43, 61.43, 61.36, 61.40, 46, 43, 26, 20
2026/2/18, 11:50:00, 61.39, 61.43, 61.37, 61.42, 31, 31, 15, 16
2026/2/18, 11:55:00, 61.44, 61.51, 61.43, 61.51, 108, 87, 46, 62
2026/2/18, 12:00:00, 61.51, 61.57, 61.48, 61.55, 104, 93, 61, 43
2026/2/18, 12:05:00, 61.54, 61.62, 61.39, 61.52, 360, 340, 176, 184
2026/2/18, 12:10:00, 61.55, 61.64, 61.55, 61.63, 68, 66, 31, 37
2026/2/18, 12:15:00, 61.64, 61.73, 61.64, 61.72, 78, 71, 27, 51
2026/2/18, 12:20:00, 61.71, 61.78, 61.71, 61.78, 113, 96, 43, 70
2026/2/18, 12:25:00, 61.78, 61.78, 61.66, 61.67, 259, 161, 50, 209
2026/2/18, 12:30:00, 61.67, 61.70, 61.66, 61.68, 99, 90, 27, 72
2026/2/18, 12:35:00, 61.65, 61.68, 61.61, 61.68, 98, 86, 39, 59
2026/2/18, 12:40:00, 61.69, 61.69, 61.60, 61.60, 115, 99, 75, 40
2026/2/18, 12:45:00, 61.60, 61.65, 61.59, 61.64, 69, 54, 31, 38
2026/2/18, 12:50:00, 61.66, 61.72, 61.66, 61.69, 182, 135, 54, 128
2026/2/18, 12:55:00, 61.69, 61.70, 61.64, 61.67, 150, 117, 60, 90
2026/2/18, 13:00:00, 61.70, 61.73, 61.58, 61.58, 271, 230, 175, 96
2026/2/18, 13:05:00, 61.58, 61.59, 61.46, 61.51, 105, 95, 49, 56
2026/2/18, 13:10:00, 61.50, 61.62, 61.50, 61.60, 97, 86, 68, 29
2026/2/18, 13:15:00, 61.60, 61.61, 61.52, 61.56, 64, 64, 37, 27
2026/2/18, 13:20:00, 61.56, 61.58, 61.52, 61.53, 75, 74, 45, 30
2026/2/18, 13:25:00, 61.53, 61.59, 61.48, 61.57, 81, 81, 44, 37
2026/2/18, 13:30:00, 61.57, 61.58, 61.53, 61.54, 20, 20, 13, 7
2026/2/18, 13:35:00, 61.54, 61.57, 61.52, 61.52, 50, 50, 27, 23
2026/2/18, 13:40:00, 61.52, 61.55, 61.50, 61.52, 186, 141, 38, 148
2026/2/18, 13:45:00, 61.51, 61.56, 61.51, 61.53, 357, 296, 114, 243
2026/2/18, 13:50:00, 61.52, 61.53, 61.47, 61.49, 198, 161, 102, 96
2026/2/18, 13:55:00, 61.51, 61.56, 61.50, 61.53, 70, 68, 53, 17
2026/2/18, 14:00:00, 61.53, 61.72, 61.46, 61.71, 303, 277, 153, 150
2026/2/18, 14:05:00, 61.68, 61.68, 61.56, 61.60, 307, 267, 156, 151
2026/2/18, 14:10:00, 61.60, 61.60, 61.54, 61.56, 150, 136, 49, 101
2026/2/18, 14:15:00, 61.55, 61.71, 61.55, 61.66, 381, 284, 58, 323
2026/2/18, 14:20:00, 61.67, 61.67, 61.61, 61.66, 108, 83, 42, 66
2026/2/18, 14:25:00, 61.66, 61.70, 61.60, 61.70, 164, 125, 49, 115
2026/2/18, 14:30:00, 61.69, 61.75, 61.65, 61.71, 576, 436, 130, 446
2026/2/18, 14:35:00, 61.70, 61.80, 61.70, 61.79, 164, 133, 78, 86
2026/2/18, 14:40:00, 61.80, 61.84, 61.77, 61.83, 215, 150, 71, 144
2026/2/18, 14:45:00, 61.81, 61.86, 61.78, 61.86, 185, 127, 41, 144
2026/2/18, 14:50:00, 61.86, 61.92, 61.84, 61.92, 205, 168, 71, 134
2026/2/18, 14:55:00, 61.90, 61.90, 61.76, 61.83, 163, 135, 55, 108
2026/2/18, 15:00:00, 61.82, 61.85, 61.81, 61.82, 28, 28, 13, 15
2026/2/18, 15:05:00, 61.82, 61.85, 61.80, 61.84, 62, 62, 22, 40
2026/2/18, 15:10:00, 61.83, 61.86, 61.78, 61.83, 103, 89, 47, 56
2026/2/18, 15:15:00, 61.84, 61.86, 61.77, 61.78, 130, 111, 68, 62
2026/2/18, 15:20:00, 61.79, 61.80, 61.74, 61.77, 343, 261, 84, 259
2026/2/18, 15:25:00, 61.79, 61.85, 61.77, 61.81, 391, 217, 91, 300
2026/2/18, 15:30:00, 61.80, 61.88, 61.77, 61.80, 294, 185, 165, 129
2026/2/18, 15:35:00, 61.81, 61.85, 61.81, 61.85, 79, 79, 27, 52
2026/2/18, 15:40:00, 61.85, 61.87, 61.85, 61.86, 185, 161, 56, 129
2026/2/18, 15:45:00, 61.85, 61.90, 61.83, 61.88, 271, 221, 110, 161
2026/2/18, 15:50:00, 61.88, 61.89, 61.79, 61.81, 98, 91, 37, 61
2026/2/18, 15:55:00, 61.81, 61.82, 61.78, 61.80, 281, 156, 78, 203
2026/2/18, 16:00:00, 61.79, 61.79, 61.74, 61.77, 195, 176, 47, 148
2026/2/18, 16:05:00, 61.77, 61.81, 61.76, 61.81, 103, 91, 38, 65
2026/2/18, 16:10:00, 61.80, 61.80, 61.75, 61.78, 27, 25, 15, 12
2026/2/18, 16:15:00, 61.80, 61.88, 61.80, 61.83, 340, 329, 127, 213
2026/2/18, 16:20:00, 61.83, 61.84, 61.74, 61.74, 607, 406, 208, 399
2026/2/18, 16:25:00, 61.75, 61.86, 61.75, 61.82, 465, 387, 193, 272
2026/2/18, 16:30:00, 61.83, 61.90, 61.80, 61.90, 464, 407, 164, 300
2026/2/18, 16:35:00, 61.90, 61.91, 61.87, 61.91, 121, 112, 52, 69
2026/2/18, 16:40:00, 61.92, 62.00, 61.90, 61.90, 286, 251, 115, 171
2026/2/18, 16:45:00, 61.89, 61.94, 61.88, 61.94, 119, 109, 35, 84
2026/2/18, 16:50:00, 61.94, 61.98, 61.93, 61.95, 78, 74, 25, 53
2026/2/18, 16:55:00, 61.95, 61.97, 61.91, 61.92, 93, 90, 35, 58
2026/2/18, 17:00:00, 61.90, 61.93, 61.86, 61.91, 139, 124, 41, 98
2026/2/18, 17:05:00, 61.91, 61.98, 61.86, 61.97, 74, 71, 30, 44
2026/2/18, 17:10:00, 61.98, 62.10, 61.95, 62.05, 108, 91, 42, 66
2026/2/18, 17:15:00, 62.05, 62.07, 62.03, 62.07, 167, 127, 46, 121
2026/2/18, 17:20:00, 62.08, 62.08, 62.03, 62.03, 62, 57, 21, 41
2026/2/18, 17:25:00, 62.03, 62.03, 61.98, 62.01, 174, 144, 31, 143
2026/2/18, 17:30:00, 62.01, 62.04, 62.01, 62.04, 45, 42, 14, 31
2026/2/18, 17:35:00, 62.03, 62.07, 62.03, 62.05, 119, 108, 24, 95
2026/2/18, 17:40:00, 62.06, 62.11, 62.06, 62.08, 36, 34, 20, 16
2026/2/18, 17:45:00, 62.06, 62.16, 62.05, 62.13, 96, 87, 27, 69
2026/2/18, 17:50:00, 62.14, 62.19, 62.14, 62.19, 98, 89, 34, 64
2026/2/18, 17:55:00, 62.17, 62.20, 62.15, 62.19, 50, 47, 22, 28
2026/2/18, 18:00:00, 62.17, 62.24, 62.17, 62.23, 60, 59, 21, 39
2026/2/18, 18:05:00, 62.22, 62.23, 62.17, 62.22, 137, 92, 121, 16
2026/2/18, 18:10:00, 62.22, 62.26, 62.21, 62.25, 91, 81, 62, 29
2026/2/18, 18:15:00, 62.25, 62.27, 62.23, 62.23, 100, 83, 66, 34
2026/2/18, 18:20:00, 62.23, 62.25, 62.21, 62.22, 119, 102, 89, 30
2026/2/18, 18:25:00, 62.22, 62.25, 62.18, 62.19, 123, 106, 85, 38
2026/2/18, 18:30:00, 62.19, 62.23, 62.14, 62.23, 300, 162, 154, 146
2026/2/18, 18:35:00, 62.24, 62.25, 61.93, 62.09, 622, 579, 317, 305
2026/2/18, 18:40:00, 62.09, 62.25, 62.08, 62.18, 194, 187, 72, 122
2026/2/18, 18:45:00, 62.16, 62.19, 62.06, 62.18, 229, 204, 118, 111
2026/2/18, 18:50:00, 62.19, 62.26, 62.17, 62.23, 172, 136, 87, 85
2026/2/18, 18:55:00, 62.22, 62.27, 62.22, 62.25, 60, 57, 19, 41
2026/2/18, 19:00:00, 62.25, 62.33, 62.25, 62.33, 321, 200, 146, 175
2026/2/18, 19:05:00, 62.33, 62.33, 62.27, 62.29, 117, 83, 57, 60
2026/2/18, 19:10:00, 62.30, 62.33, 62.28, 62.30, 219, 124, 68, 151
2026/2/18, 19:15:00, 62.30, 62.35, 62.30, 62.31, 55, 51, 34, 21
2026/2/18, 19:20:00, 62.30, 62.39, 62.30, 62.37, 128, 122, 65, 63
2026/2/18, 19:25:00, 62.37, 62.39, 62.18, 62.18, 606, 511, 376, 230
2026/2/18, 19:30:00, 62.21, 62.22, 62.09, 62.13, 180, 165, 88, 92
2026/2/18, 19:35:00, 62.13, 62.18, 62.12, 62.17, 32, 32, 14, 18
2026/2/18, 19:40:00, 62.18, 62.21, 62.14, 62.16, 58, 58, 28, 30
2026/2/18, 19:45:00, 62.18, 62.21, 62.17, 62.21, 35, 25, 24, 11
2026/2/18, 19:50:00, 62.17, 62.17, 62.14, 62.16, 54, 26, 41, 13
2026/2/18, 19:55:00, 62.13, 62.25, 62.08, 62.19, 251, 244, 127, 124
2026/2/18, 20:00:00, 62.19, 62.25, 62.19, 62.23, 43, 42, 9, 34
2026/2/18, 20:05:00, 62.25, 62.28, 62.25, 62.26, 22, 21, 9, 13
2026/2/18, 20:10:00, 62.26, 62.27, 62.18, 62.20, 109, 101, 45, 64
2026/2/18, 20:15:00, 62.20, 62.29, 62.19, 62.29, 53, 43, 29, 24
2026/2/18, 20:20:00, 62.28, 62.30, 62.27, 62.29, 16, 16, 8, 8
2026/2/18, 20:25:00, 62.29, 62.33, 62.28, 62.33, 26, 26, 9, 17
2026/2/18, 20:30:00, 62.33, 62.37, 62.31, 62.31, 291, 158, 95, 196
2026/2/18, 20:35:00, 62.32, 62.34, 62.31, 62.33, 138, 90, 35, 103
2026/2/18, 20:40:00, 62.33, 62.36, 62.30, 62.34, 408, 273, 131, 277
2026/2/18, 20:45:00, 62.35, 62.41, 62.35, 62.41, 126, 124, 56, 70
2026/2/18, 20:50:00, 62.40, 62.40, 62.35, 62.36, 38, 38, 20, 18
2026/2/18, 20:55:00, 62.32, 62.33, 62.26, 62.27, 69, 66, 53, 16
2026/2/18, 21:00:00, 62.27, 62.28, 62.25, 62.26, 39, 38, 7, 32
2026/2/18, 21:05:00, 62.24, 62.25, 62.23, 62.23, 14, 13, 7, 7
2026/2/18, 21:10:00, 62.24, 62.25, 62.23, 62.23, 41, 14, 5, 36
2026/2/18, 21:15:00, 62.21, 62.22, 62.20, 62.20, 6, 6, 4, 2
2026/2/18, 21:20:00, 62.22, 62.22, 62.16, 62.17, 208, 153, 24, 184
2026/2/18, 21:25:00, 62.18, 62.18, 62.08, 62.12, 91, 85, 39, 52
2026/2/18, 21:30:00, 62.00, 62.13, 62.00, 62.08, 15, 10, 8, 7
2026/2/18, 21:35:00, 62.07, 62.08, 62.07, 62.08, 14, 13, 6, 8
2026/2/18, 21:40:00, 62.06, 62.06, 62.05, 62.05, 2, 2, 1, 1
2026/2/18, 21:45:00, 62.06, 62.08, 62.05, 62.07, 7, 7, 3, 4
2026/2/18, 21:50:00, 62.11, 62.14, 62.06, 62.07, 54, 29, 48, 6
2026/2/18, 21:55:00, 62.07, 62.08, 62.05, 62.08, 8, 8, 5, 3
2026/2/18, 23:00:00, 62.05, 62.39, 62.00, 62.32, 16, 15, 9, 7
2026/2/18, 23:05:00, 62.25, 62.25, 62.25, 62.25, 1, 1, 0, 1
2026/2/18, 23:15:00, 62.29, 62.30, 62.27, 62.27, 3, 3, 0, 3
2026/2/18, 23:20:00, 62.22, 62.22, 62.21, 62.21, 6, 3, 0, 6
2026/2/18, 23:40:00, 62.15, 62.16, 62.15, 62.16, 2, 2, 0, 2
2026/2/18, 23:45:00, 62.16, 62.16, 62.16, 62.16, 3, 3, 0, 3
2026/2/18, 23:50:00, 62.16, 62.16, 62.16, 62.16, 1, 1, 0, 1
2026/2/18, 23:55:00, 62.15, 62.19, 62.15, 62.15, 12, 12, 3, 9
2026/2/19, 00:00:00, 62.13, 62.13, 62.08, 62.08, 24, 20, 14, 10
2026/2/19, 00:10:00, 62.09, 62.14, 62.09, 62.14, 7, 7, 4, 3
2026/2/19, 00:20:00, 62.18, 62.18, 62.18, 62.18, 2, 2, 0, 2
2026/2/19, 00:25:00, 62.17, 62.17, 62.17, 62.17, 2, 2, 0, 2
2026/2/19, 00:30:00, 62.17, 62.17, 62.15, 62.17, 15, 11, 2, 13
2026/2/19, 00:55:00, 62.19, 62.19, 62.18, 62.18, 2, 2, 2, 0
2026/2/19, 01:00:00, 62.18, 62.18, 62.14, 62.14, 7, 7, 3, 4
2026/2/19, 01:05:00, 62.14, 62.14, 62.08, 62.14, 13, 13, 7, 6
2026/2/19, 01:10:00, 62.18, 62.19, 62.18, 62.19, 5, 5, 4, 1
2026/2/19, 01:15:00, 62.19, 62.24, 62.19, 62.20, 27, 25, 16, 11
2026/2/19, 01:20:00, 62.20, 62.20, 62.20, 62.20, 15, 9, 13, 2
2026/2/19, 01:25:00, 62.23, 62.23, 62.19, 62.20, 4, 4, 1, 3
2026/2/19, 01:40:00, 62.25, 62.25, 62.25, 62.25, 1, 1, 0, 1
2026/2/19, 01:45:00, 62.25, 62.25, 62.25, 62.25, 1, 1, 0, 1
2026/2/19, 01:50:00, 62.27, 62.27, 62.25, 62.25, 3, 3, 0, 3
2026/2/19, 02:00:00, 62.32, 62.32, 62.31, 62.31, 4, 4, 4, 0
2026/2/19, 02:05:00, 62.30, 62.34, 62.30, 62.34, 5, 5, 2, 3
2026/2/19, 02:10:00, 62.35, 62.38, 62.35, 62.37, 26, 19, 15, 11
2026/2/19, 02:15:00, 62.37, 62.37, 62.34, 62.34, 10, 8, 10, 0
2026/2/19, 02:20:00, 62.29, 62.30, 62.29, 62.30, 4, 4, 1, 3
2026/2/19, 02:25:00, 62.30, 62.33, 62.30, 62.31, 18, 15, 8, 10
2026/2/19, 02:30:00, 62.33, 62.34, 62.28, 62.28, 4, 4, 3, 1
2026/2/19, 02:35:00, 62.33, 62.37, 62.33, 62.37, 12, 10, 3, 9
2026/2/19, 02:40:00, 62.37, 62.37, 62.37, 62.37, 1, 1, 0, 1
