Date, Time, Open, High, Low, Last, Volume, OpenInterest
2025/2/27, 00:00:00, 3158.7, 3158.7, 3158.7, 3158.7, 221721, 507722
2025/2/28, 00:00:00, 3109.8, 3109.8, 3109.8, 3109.8, 227387, 489629
2025/3/3, 00:00:00, 3163.9, 3163.9, 3163.9, 3163.9, 199653, 488842
2025/3/4, 00:00:00, 3182.7, 3182.7, 3182.7, 3182.7, 209732, 489270
2025/3/5, 00:00:00, 3187.5, 3187.5, 3187.5, 3187.5, 205124, 492353
2025/3/6, 00:00:00, 3188.1, 3188.1, 3188.1, 3188.1, 189924, 493608
2025/3/7, 00:00:00, 3174.7, 3174.7, 3174.7, 3174.7, 309975, 499776
2025/3/10, 00:00:00, 3158.2, 3158.2, 3158.2, 3158.2, 294278, 505149
2025/3/11, 00:00:00, 3180.3, 3180.3, 3180.3, 3180.3, 258254, 511276
2025/3/12, 00:00:00, 3204.8, 3204.8, 3204.8, 3204.8, 283347, 508714
2025/3/13, 00:00:00, 3249.8, 3249.8, 3249.8, 3249.8, 339776, 526145
2025/3/14, 00:00:00, 3259.0, 3259.0, 3259.0, 3259.0, 219862, 532348
2025/3/17, 00:00:00, 3264.2, 3264.2, 3264.2, 3264.2, 163033, 531211
2025/3/18, 00:00:00, 3302.5, 3302.5, 3302.5, 3302.5, 213118, 533566
2025/3/19, 00:00:00, 3303.5, 3303.5, 3303.5, 3303.5, 170965, 537836
2025/3/20, 00:00:00, 3304.9, 3304.9, 3304.9, 3304.9, 176017, 532731
2025/3/21, 00:00:00, 3277.9, 3277.9, 3277.9, 3277.9, 245993, 519140
2025/3/24, 00:00:00, 3271.8, 3271.8, 3271.8, 3271.8, 307601, 506999
2025/3/25, 00:00:00, 3282.8, 3282.8, 3282.8, 3282.8, 274164, 511482
2025/3/26, 00:00:00, 3279.2, 3279.2, 3279.2, 3279.2, 297001, 508083
2025/3/27, 00:00:00, 3314.0, 3314.0, 3314.0, 3314.0, 327369, 512116
2025/3/28, 00:00:00, 3339.3, 3339.3, 3339.3, 3339.3, 250631, 574824
2025/3/31, 00:00:00, 3376.3, 3376.3, 3376.3, 3376.3, 247509, 505772
2025/4/1, 00:00:00, 3372.3, 3372.3, 3372.3, 3372.3, 213871, 498746
