Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 16:00:00, 5188.7, 5188.7, 5188.7, 5188.7, 1, 1, 1, 0
2026/2/20, 03:00:00, 5180.0, 5180.0, 5178.0, 5178.0, 2, 2, 2, 0
2026/2/22, 23:00:00, 5304.9, 5304.9, 5304.9, 5304.9, 1, 1, 0, 1
2026/2/23, 00:00:00, 5341.9, 5341.9, 5341.9, 5341.9, 1, 1, 1, 0
2026/2/24, 03:00:00, 5388.0, 5388.0, 5388.0, 5388.0, 1, 1, 1, 0
2026/2/24, 14:00:00, 5311.4, 5311.4, 5311.4, 5311.4, 1, 1, 1, 0
2026/2/24, 19:00:00, 5352.1, 5352.1, 5352.1, 5352.1, 1, 1, 1, 0
2026/2/24, 21:00:00, 5360.5, 5360.5, 5360.5, 5360.5, 1, 1, 1, 0
2026/3/2, 07:00:00, 5607.9, 5609.3, 5607.8, 5609.3, 3, 3, 3, 0
2026/3/2, 08:00:00, 5611.1, 5611.1, 5608.3, 5608.3, 3, 3, 2, 1
2026/3/2, 09:00:00, 5593.4, 5598.1, 5593.4, 5597.3, 4, 4, 4, 0
2026/3/2, 10:00:00, 5584.8, 5584.8, 5584.8, 5584.8, 2, 1, 2, 0
2026/3/2, 11:00:00, 5589.8, 5589.8, 5589.7, 5589.7, 2, 2, 2, 0
2026/3/2, 13:00:00, 5607.6, 5607.6, 5607.6, 5607.6, 1, 1, 1, 0
2026/3/3, 00:00:00, 5558.3, 5558.3, 5558.3, 5558.3, 1, 1, 1, 0
2026/3/3, 01:00:00, 5574.1, 5574.1, 5574.1, 5574.1, 1, 1, 0, 1
2026/3/3, 09:00:00, 5441.7, 5441.7, 5441.7, 5441.7, 1, 1, 1, 0
2026/3/3, 15:00:00, 5223.8, 5233.1, 5223.8, 5233.1, 3, 3, 1, 2
2026/3/3, 23:00:00, 5316.7, 5318.5, 5312.2, 5312.2, 4, 4, 2, 2
2026/3/4, 00:00:00, 5309.7, 5309.7, 5299.7, 5302.6, 3, 3, 3, 0
2026/3/4, 18:00:00, 5319.3, 5319.3, 5319.3, 5319.3, 1, 1, 1, 0
2026/3/5, 15:00:00, 5284.4, 5284.4, 5284.4, 5284.4, 1, 1, 1, 0
2026/3/5, 18:00:00, 5259.1, 5259.1, 5259.1, 5259.1, 1, 1, 1, 0
2026/3/6, 14:00:00, 5312.1, 5312.1, 5312.1, 5312.1, 1, 1, 0, 1
2026/3/6, 15:00:00, 5321.7, 5358.0, 5321.7, 5335.0, 5, 5, 2, 3
2026/3/6, 18:00:00, 5341.1, 5351.4, 5340.6, 5351.4, 6, 5, 5, 1
2026/3/6, 19:00:00, 5360.5, 5360.5, 5360.5, 5360.5, 1, 1, 1, 0
2026/3/6, 20:00:00, 5347.0, 5347.0, 5347.0, 5347.0, 2, 2, 2, 0
2026/3/6, 21:00:00, 5353.6, 5353.6, 5352.4, 5352.4, 2, 2, 1, 1
2026/3/8, 22:00:00, 5345.0, 5345.0, 5345.0, 5345.0, 1, 1, 1, 0
2026/3/9, 02:00:00, 5258.0, 5258.0, 5258.0, 5258.0, 2, 2, 0, 2
2026/3/10, 13:00:00, 5419.4, 5419.4, 5419.4, 5419.4, 1, 1, 1, 0
2026/3/10, 14:00:00, 5399.1, 5399.1, 5399.1, 5399.1, 1, 1, 1, 0
2026/3/10, 15:00:00, 5419.4, 5425.0, 5419.4, 5425.0, 3, 2, 1, 2
2026/3/10, 16:00:00, 5429.1, 5429.1, 5423.0, 5423.0, 2, 2, 1, 1
2026/3/10, 17:00:00, 5428.3, 5428.3, 5427.9, 5428.0, 4, 4, 0, 4
2026/3/10, 18:00:00, 5410.0, 5410.0, 5410.0, 5410.0, 1, 1, 1, 0
2026/3/11, 17:00:00, 5366.3, 5367.8, 5366.3, 5367.8, 2, 2, 1, 1
2026/3/12, 17:00:00, 5313.7, 5313.7, 5311.9, 5311.9, 2, 2, 1, 1
2026/3/12, 18:00:00, 5291.3, 5291.3, 5290.9, 5290.9, 2, 2, 0, 2
2026/3/13, 08:00:00, 5268.0, 5268.0, 5268.0, 5268.0, 3, 2, 0, 3
2026/3/13, 14:00:00, 5292.2, 5292.2, 5292.2, 5292.2, 1, 1, 1, 0
2026/3/13, 15:00:00, 5231.5, 5233.9, 5231.5, 5233.9, 2, 2, 0, 2
