Date, Time, Open, High, Low, Last, Volume, OpenInterest
2025/4/11, 00:00:00, 3505.6, 3505.6, 3505.6, 3505.6, 269736, 457803
2025/4/14, 00:00:00, 3487.6, 3487.6, 3487.6, 3487.6, 200492, 454327
2025/4/15, 00:00:00, 3502.2, 3502.2, 3502.2, 3502.2, 133283, 456628
2025/4/16, 00:00:00, 3612.9, 3612.9, 3612.9, 3612.9, 277736, 463490
2025/4/17, 00:00:00, 3594.5, 3594.5, 3594.5, 3594.5, 261675, 458586
2025/4/21, 00:00:00, 3695.2, 3695.2, 3695.2, 3695.2, 263293, 466325
2025/4/22, 00:00:00, 3693.3, 3693.3, 3693.3, 3693.3, 453766, 465351
2025/4/23, 00:00:00, 3566.4, 3566.4, 3566.4, 3566.4, 398663, 458673
2025/4/24, 00:00:00, 3624.1, 3624.1, 3624.1, 3624.1, 255532, 446637
2025/4/25, 00:00:00, 3572.9, 3572.9, 3572.9, 3572.9, 258408, 445548
2025/4/28, 00:00:00, 3622.9, 3622.9, 3622.9, 3622.9, 230154, 448023
2025/4/29, 00:00:00, 3605.8, 3605.8, 3605.8, 3605.8, 180037, 451868
2025/4/30, 00:00:00, 3585.3, 3585.3, 3585.3, 3585.3, 220899, 442851
2025/5/1, 00:00:00, 3489.1, 3489.1, 3489.1, 3489.1, 236137, 439159
2025/5/2, 00:00:00, 3510.9, 3510.9, 3510.9, 3510.9, 231753, 438327
2025/5/5, 00:00:00, 3591.2, 3591.2, 3591.2, 3591.2, 206550, 442137
2025/5/6, 00:00:00, 3695.1, 3695.1, 3695.1, 3695.1, 305227, 452414
2025/5/7, 00:00:00, 3664.7, 3664.7, 3664.7, 3664.7, 389124, 443832
2025/5/8, 00:00:00, 3578.6, 3578.6, 3578.6, 3578.6, 405479, 438431
2025/5/9, 00:00:00, 3616.6, 3616.6, 3616.6, 3616.6, 283747, 438271
2025/5/12, 00:00:00, 3500.9, 3500.9, 3500.9, 3500.9, 381812, 440560
2025/5/13, 00:00:00, 3522.1, 3522.1, 3522.1, 3522.1, 269476, 440842
2025/5/14, 00:00:00, 3460.2, 3460.2, 3460.2, 3460.2, 269028, 441565
2025/5/15, 00:00:00, 3497.1, 3497.1, 3497.1, 3497.1, 289439, 440192
2025/5/16, 00:00:00, 3456.4, 3456.4, 3456.4, 3456.4, 272183, 441666
2025/5/19, 00:00:00, 3504.6, 3504.6, 3504.6, 3504.6, 214727, 442943
2025/5/20, 00:00:00, 3554.8, 3554.8, 3554.8, 3554.8, 261793, 448000
2025/5/21, 00:00:00, 3586.3, 3586.3, 3586.3, 3586.3, 287807, 453340
2025/5/22, 00:00:00, 3568.3, 3568.3, 3568.3, 3568.3, 295020, 452564
2025/5/23, 00:00:00, 3641.7, 3641.7, 3641.7, 3641.7, 328476, 451013
2025/5/27, 00:00:00, 3577.8, 3577.8, 3577.8, 3577.8, 445043, 437538
2025/5/28, 00:00:00, 3570.4, 3570.4, 3570.4, 3570.4, 325056, 429016
2025/5/29, 00:00:00, 3588.5, 3588.5, 3588.5, 3588.5, 264492, 422605
2025/5/30, 00:00:00, 3559.3, 3559.3, 3559.3, 3559.3, 194287, 408787
2025/6/2, 00:00:00, 3643.3, 3643.3, 3643.3, 3643.3, 193512, 416217
2025/6/3, 00:00:00, 3625.8, 3625.8, 3625.8, 3625.8, 183575, 415941
2025/6/4, 00:00:00, 3647.2, 3647.2, 3647.2, 3647.2, 175634, 417254
2025/6/5, 00:00:00, 3620.8, 3620.8, 3620.8, 3620.8, 237681, 418066
2025/6/6, 00:00:00, 3592.5, 3592.5, 3592.5, 3592.5, 199080, 415962
2025/6/9, 00:00:00, 3600.3, 3600.3, 3600.3, 3600.3, 154650, 414493
2025/6/10, 00:00:00, 3588.8, 3588.8, 3588.8, 3588.8, 169829, 417143
2025/6/11, 00:00:00, 3588.3, 3588.3, 3588.3, 3588.3, 214363, 423276
2025/6/12, 00:00:00, 3644.9, 3644.9, 3644.9, 3644.9, 245984, 432310
2025/6/13, 00:00:00, 3697.5, 3697.5, 3697.5, 3697.5, 282363, 439674
2025/6/16, 00:00:00, 3660.9, 3660.9, 3660.9, 3660.9, 200516, 439321
2025/6/17, 00:00:00, 3651.7, 3651.7, 3651.7, 3651.7, 219624, 441214
2025/6/18, 00:00:00, 3651.7, 3651.7, 3651.7, 3651.7, 188377, 442374
2025/6/20, 00:00:00, 3629.5, 3629.5, 3629.5, 3629.5, 294492, 440107
2025/6/23, 00:00:00, 3637.9, 3637.9, 3637.9, 3637.9, 206078, 440905
2025/6/24, 00:00:00, 3577.0, 3577.0, 3577.0, 3577.0, 247265, 434958
2025/6/25, 00:00:00, 3585.3, 3585.3, 3585.3, 3585.3, 139890, 434138
2025/6/26, 00:00:00, 3589.9, 3589.9, 3589.9, 3589.9, 168133, 434377
2025/6/27, 00:00:00, 3526.9, 3526.9, 3526.9, 3526.9, 239545, 436022
2025/6/30, 00:00:00, 3546.9, 3546.9, 3546.9, 3546.9, 152610, 434714
2025/7/1, 00:00:00, 3589.9, 3589.9, 3589.9, 3589.9, 186143, 437662
2025/7/2, 00:00:00, 3601.1, 3601.1, 3601.1, 3601.1, 148640, 438709
2025/7/3, 00:00:00, 3585.4, 3585.4, 3585.4, 3585.4, 168196, 440793
2025/7/7, 00:00:00, 3584.8, 3584.8, 3584.8, 3584.8, 255358, 445944
2025/7/8, 00:00:00, 3560.8, 3560.8, 3560.8, 3560.8, 270387, 443144
2025/7/9, 00:00:00, 3563.2, 3563.2, 3563.2, 3563.2, 214079, 440086
2025/7/10, 00:00:00, 3569.1, 3569.1, 3569.1, 3569.1, 217055, 431906
2025/7/11, 00:00:00, 3605.7, 3605.7, 3605.7, 3605.7, 276126, 445777
2025/7/14, 00:00:00, 3603.1, 3603.1, 3603.1, 3603.1, 254763, 453590
2025/7/15, 00:00:00, 3580.5, 3580.5, 3580.5, 3580.5, 212163, 448531
2025/7/16, 00:00:00, 3601.6, 3601.6, 3601.6, 3601.6, 270899, 450862
2025/7/17, 00:00:00, 3588.6, 3588.6, 3588.6, 3588.6, 186824, 444521
2025/7/18, 00:00:00, 3601.6, 3601.6, 3601.6, 3601.6, 134215, 446753
2025/7/21, 00:00:00, 3652.9, 3652.9, 3652.9, 3652.9, 243554, 471321
2025/7/22, 00:00:00, 3693.5, 3693.5, 3693.5, 3693.5, 304186, 489423
2025/7/23, 00:00:00, 3643.7, 3643.7, 3643.7, 3643.7, 356044, 484112
2025/7/24, 00:00:00, 3620.4, 3620.4, 3620.4, 3620.4, 310286, 472144
2025/7/25, 00:00:00, 3578.4, 3578.4, 3578.4, 3578.4, 282014, 461504
2025/7/28, 00:00:00, 3553.9, 3553.9, 3553.9, 3553.9, 292064, 450941
2025/7/29, 00:00:00, 3567.9, 3567.9, 3567.9, 3567.9, 288652, 445246
