Date, Time, Open, High, Low, Last, Volume, OpenInterest
2020/6/29, 00:00:00, 1896.6, 1896.6, 1896.6, 1896.6, 138813, 547785
2020/6/30, 00:00:00, 1917.1, 1917.1, 1917.1, 1917.1, 214213, 561628
2020/7/1, 00:00:00, 1898.6, 1898.6, 1898.6, 1898.6, 287071, 554173
2020/7/2, 00:00:00, 1908.9, 1908.9, 1908.9, 1908.9, 205315, 556748
2020/7/6, 00:00:00, 1915.3, 1915.3, 1915.3, 1915.3, 206720, 559370
2020/7/7, 00:00:00, 1936.8, 1936.8, 1936.8, 1936.8, 251737, 572776
2020/7/8, 00:00:00, 1957.4, 1957.4, 1957.4, 1957.4, 317930, 575872
2020/7/9, 00:00:00, 1940.7, 1940.7, 1940.7, 1940.7, 340731, 572332
2020/7/10, 00:00:00, 1938.7, 1938.7, 1938.7, 1938.7, 273724, 568421
2020/7/13, 00:00:00, 1952.0, 1952.0, 1952.0, 1952.0, 273804, 571683
2020/7/14, 00:00:00, 1950.1, 1950.1, 1950.1, 1950.1, 305772, 580175
2020/7/15, 00:00:00, 1950.0, 1950.0, 1950.0, 1950.0, 201131, 578853
2020/7/16, 00:00:00, 1934.7, 1934.7, 1934.7, 1934.7, 220675, 579074
2020/7/17, 00:00:00, 1941.6, 1941.6, 1941.6, 1941.6, 189595, 587244
2020/7/20, 00:00:00, 1948.2, 1948.2, 1948.2, 1948.2, 204186, 592122
2020/7/21, 00:00:00, 1979.5, 1979.5, 1979.5, 1979.5, 318831, 603138
2020/7/22, 00:00:00, 2007.2, 2007.2, 2007.2, 2007.2, 452511, 609737
2020/7/23, 00:00:00, 2035.8, 2035.8, 2035.8, 2035.8, 513274, 608445
2020/7/24, 00:00:00, 2046.3, 2046.3, 2046.3, 2046.3, 387247, 607335
2020/7/27, 00:00:00, 2078.0, 2078.0, 2078.0, 2078.0, 604752, 610722
2020/7/28, 00:00:00, 2086.3, 2086.3, 2086.3, 2086.3, 638240, 598629
2020/7/29, 00:00:00, 2097.6, 2097.6, 2097.6, 2097.6, 445866, 599329
2020/7/30, 00:00:00, 2087.3, 2087.3, 2087.3, 2087.3, 331417, 586484
2020/7/31, 00:00:00, 2107.5, 2107.5, 2107.5, 2107.5, 307931, 559609
