Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 4910.0, 4929.0, 4909.9, 4909.9, 30, 26, 14, 16
2026/2/18, 00:00:00, 4922.0, 4935.9, 4916.7, 4927.8, 26, 26, 16, 10
2026/2/18, 01:00:00, 4938.0, 4948.2, 4937.6, 4942.3, 45, 41, 16, 29
2026/2/18, 02:00:00, 4945.1, 4961.0, 4944.8, 4959.3, 79, 73, 47, 32
2026/2/18, 03:00:00, 4962.0, 4975.9, 4962.0, 4975.1, 30, 28, 21, 9
2026/2/18, 04:00:00, 4974.6, 4998.0, 4974.6, 4989.8, 42, 41, 20, 22
2026/2/18, 05:00:00, 4992.1, 4995.0, 4986.7, 4990.3, 31, 29, 26, 5
2026/2/18, 06:00:00, 4989.3, 4991.2, 4981.3, 4988.5, 42, 36, 33, 9
2026/2/18, 07:00:00, 4990.3, 4998.0, 4986.0, 4987.9, 55, 55, 27, 28
2026/2/18, 08:00:00, 4987.6, 4989.0, 4975.0, 4975.0, 41, 35, 27, 14
2026/2/18, 09:00:00, 4976.0, 4979.1, 4970.0, 4976.8, 29, 24, 14, 15
2026/2/18, 10:00:00, 4979.0, 4982.1, 4967.7, 4972.1, 79, 68, 50, 29
2026/2/18, 11:00:00, 4971.5, 4973.8, 4964.0, 4969.0, 40, 32, 22, 18
2026/2/18, 12:00:00, 4972.0, 5004.5, 4972.0, 4997.8, 185, 147, 83, 102
2026/2/18, 13:00:00, 5002.8, 5025.6, 5001.5, 5011.4, 244, 215, 110, 134
2026/2/18, 14:00:00, 5012.5, 5052.6, 5010.9, 5049.9, 295, 263, 133, 162
2026/2/18, 15:00:00, 5051.9, 5066.4, 5049.6, 5055.0, 236, 206, 123, 113
2026/2/18, 16:00:00, 5055.2, 5069.0, 5050.3, 5058.5, 178, 144, 124, 54
2026/2/18, 17:00:00, 5058.7, 5060.0, 5052.4, 5057.5, 92, 86, 43, 49
2026/2/18, 18:00:00, 5057.5, 5061.3, 5039.0, 5044.2, 248, 227, 144, 104
2026/2/18, 19:00:00, 5045.4, 5053.1, 5031.7, 5038.4, 134, 109, 60, 74
2026/2/18, 20:00:00, 5037.8, 5044.2, 5036.5, 5042.8, 49, 44, 18, 31
2026/2/18, 21:00:00, 5043.0, 5043.0, 5034.1, 5035.3, 8, 6, 2, 6
2026/2/18, 23:00:00, 5016.0, 5043.1, 5009.2, 5026.2, 54, 48, 26, 28
2026/2/19, 00:00:00, 5030.0, 5030.1, 5018.5, 5019.9, 19, 18, 8, 11
2026/2/19, 01:00:00, 5022.5, 5027.0, 5016.6, 5027.0, 31, 29, 15, 16
2026/2/19, 02:00:00, 5031.1, 5033.3, 5022.9, 5028.5, 61, 47, 33, 28
2026/2/19, 03:00:00, 5023.1, 5038.7, 5023.0, 5038.7, 63, 50, 50, 13
2026/2/19, 04:00:00, 5036.3, 5039.2, 5032.9, 5034.8, 24, 24, 9, 15
2026/2/19, 05:00:00, 5040.6, 5055.0, 5040.6, 5054.1, 100, 73, 35, 65
2026/2/19, 06:00:00, 5055.1, 5075.1, 5053.1, 5074.0, 131, 116, 52, 79
2026/2/19, 07:00:00, 5075.1, 5075.9, 5065.0, 5067.1, 41, 37, 31, 10
2026/2/19, 08:00:00, 5066.0, 5077.7, 5062.8, 5073.5, 69, 58, 27, 42
2026/2/19, 09:00:00, 5072.5, 5075.8, 5050.1, 5052.0, 122, 95, 78, 44
2026/2/19, 10:00:00, 5048.8, 5050.6, 5040.9, 5046.5, 137, 94, 67, 70
2026/2/19, 11:00:00, 5048.1, 5053.3, 5035.1, 5040.5, 158, 115, 72, 86
2026/2/19, 12:00:00, 5043.0, 5048.7, 5037.8, 5042.6, 89, 65, 57, 32
2026/2/19, 13:00:00, 5042.8, 5056.0, 5029.4, 5056.0, 244, 199, 88, 156
2026/2/19, 14:00:00, 5049.8, 5067.3, 5021.3, 5061.8, 347, 278, 142, 205
2026/2/19, 15:00:00, 5061.5, 5080.3, 5053.6, 5069.7, 349, 298, 178, 171
2026/2/19, 16:00:00, 5070.5, 5070.5, 5047.3, 5052.8, 122, 113, 78, 44
2026/2/19, 17:00:00, 5051.3, 5058.4, 5040.5, 5040.5, 74, 69, 45, 29
2026/2/19, 18:00:00, 5041.2, 5045.9, 5033.5, 5037.6, 175, 152, 85, 90
2026/2/19, 19:00:00, 5039.1, 5046.8, 5035.2, 5042.5, 46, 44, 17, 29
2026/2/19, 20:00:00, 5045.6, 5059.0, 5045.6, 5057.8, 56, 54, 30, 26
2026/2/19, 21:00:00, 5058.5, 5058.6, 5048.1, 5052.5, 47, 37, 18, 29
2026/2/19, 23:00:00, 5055.4, 5063.9, 5046.3, 5046.3, 25, 23, 15, 10
2026/2/20, 00:00:00, 5050.4, 5062.9, 5048.0, 5062.8, 12, 12, 3, 9
2026/2/20, 01:00:00, 5065.1, 5070.0, 5050.8, 5055.0, 16, 16, 10, 6
2026/2/20, 02:00:00, 5053.3, 5059.0, 5049.0, 5051.4, 35, 31, 15, 20
2026/2/20, 03:00:00, 5047.5, 5051.4, 5037.8, 5042.9, 35, 33, 16, 19
2026/2/20, 04:00:00, 5047.1, 5056.9, 5047.1, 5054.8, 20, 20, 13, 7
2026/2/20, 05:00:00, 5055.6, 5067.9, 5054.2, 5067.9, 82, 68, 12, 70
2026/2/20, 06:00:00, 5071.2, 5086.4, 5069.7, 5079.2, 127, 112, 61, 66
2026/2/20, 07:00:00, 5075.9, 5084.0, 5064.3, 5065.5, 79, 64, 38, 41
2026/2/20, 08:00:00, 5066.3, 5088.0, 5063.3, 5088.0, 103, 85, 38, 65
2026/2/20, 09:00:00, 5086.7, 5100.8, 5084.9, 5084.9, 136, 111, 78, 58
2026/2/20, 10:00:00, 5085.1, 5096.0, 5078.4, 5094.3, 108, 94, 48, 60
2026/2/20, 11:00:00, 5092.7, 5092.7, 5073.6, 5073.7, 75, 60, 44, 31
2026/2/20, 12:00:00, 5075.6, 5082.5, 5065.6, 5082.5, 92, 84, 47, 45
2026/2/20, 13:00:00, 5082.6, 5106.8, 5078.3, 5102.9, 182, 142, 70, 112
2026/2/20, 14:00:00, 5098.6, 5118.3, 5095.4, 5110.7, 289, 242, 106, 183
2026/2/20, 15:00:00, 5113.6, 5122.1, 5043.9, 5099.1, 766, 640, 342, 424
2026/2/20, 16:00:00, 5101.0, 5128.0, 5096.7, 5125.0, 231, 200, 92, 139
2026/2/20, 17:00:00, 5125.1, 5135.4, 5114.5, 5134.3, 156, 137, 78, 78
2026/2/20, 18:00:00, 5131.3, 5135.0, 5113.7, 5132.3, 230, 209, 101, 129
2026/2/20, 19:00:00, 5132.1, 5142.5, 5131.0, 5141.7, 129, 94, 66, 63
2026/2/20, 20:00:00, 5141.3, 5159.4, 5138.9, 5159.1, 159, 126, 72, 87
2026/2/20, 21:00:00, 5159.0, 5168.8, 5154.5, 5168.6, 93, 78, 43, 50
2026/2/22, 23:00:00, 5171.8, 5233.0, 5167.0, 5227.5, 151, 133, 58, 93
2026/2/23, 00:00:00, 5226.8, 5226.8, 5192.7, 5205.3, 111, 99, 65, 46
2026/2/23, 01:00:00, 5205.9, 5228.3, 5205.9, 5221.0, 50, 45, 24, 26
2026/2/23, 02:00:00, 5221.9, 5238.3, 5220.1, 5233.1, 99, 90, 55, 44
2026/2/23, 03:00:00, 5236.6, 5236.6, 5213.1, 5228.7, 183, 128, 121, 62
2026/2/23, 04:00:00, 5225.7, 5226.4, 5217.6, 5221.5, 44, 43, 30, 14
