Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 4910.0, 4925.0, 4910.0, 4925.0, 4, 3, 2, 2
2026/2/17, 23:05:00, 4927.7, 4927.8, 4927.7, 4927.8, 3, 3, 0, 3
2026/2/17, 23:10:00, 4927.6, 4927.6, 4927.6, 4927.6, 1, 1, 1, 0
2026/2/17, 23:30:00, 4923.1, 4923.1, 4923.1, 4923.1, 1, 1, 1, 0
2026/2/17, 23:35:00, 4924.9, 4924.9, 4921.8, 4924.8, 4, 3, 4, 0
2026/2/17, 23:40:00, 4924.0, 4929.0, 4924.0, 4929.0, 4, 4, 0, 4
2026/2/17, 23:45:00, 4919.9, 4920.5, 4919.9, 4920.5, 2, 2, 1, 1
2026/2/17, 23:50:00, 4915.2, 4916.3, 4909.9, 4909.9, 11, 9, 5, 6
2026/2/18, 00:00:00, 4922.0, 4922.0, 4922.0, 4922.0, 1, 1, 0, 1
2026/2/18, 00:05:00, 4921.4, 4921.4, 4916.7, 4916.7, 2, 2, 1, 1
2026/2/18, 00:15:00, 4922.0, 4922.0, 4922.0, 4922.0, 1, 1, 0, 1
2026/2/18, 00:20:00, 4923.0, 4924.6, 4922.9, 4924.0, 5, 5, 4, 1
2026/2/18, 00:25:00, 4923.1, 4924.0, 4923.0, 4924.0, 3, 3, 3, 0
2026/2/18, 00:30:00, 4924.2, 4929.1, 4923.3, 4928.4, 4, 4, 4, 0
2026/2/18, 00:35:00, 4929.9, 4930.0, 4929.0, 4929.0, 4, 4, 2, 2
2026/2/18, 00:40:00, 4931.0, 4935.9, 4931.0, 4935.9, 3, 3, 0, 3
2026/2/18, 00:55:00, 4929.0, 4930.3, 4927.8, 4927.8, 3, 3, 2, 1
2026/2/18, 01:00:00, 4938.0, 4943.0, 4938.0, 4940.0, 5, 5, 4, 1
2026/2/18, 01:05:00, 4939.1, 4941.0, 4938.5, 4941.0, 3, 3, 1, 2
2026/2/18, 01:10:00, 4939.7, 4945.0, 4938.9, 4941.0, 10, 10, 2, 8
2026/2/18, 01:15:00, 4943.0, 4945.0, 4941.6, 4941.6, 4, 4, 1, 3
2026/2/18, 01:25:00, 4937.6, 4937.6, 4937.6, 4937.6, 1, 1, 1, 0
2026/2/18, 01:30:00, 4942.6, 4944.5, 4942.6, 4944.4, 5, 4, 4, 1
2026/2/18, 01:35:00, 4947.3, 4948.2, 4942.5, 4942.5, 16, 13, 3, 13
2026/2/18, 01:40:00, 4942.3, 4942.3, 4942.3, 4942.3, 1, 1, 0, 1
2026/2/18, 02:00:00, 4945.1, 4951.1, 4944.8, 4951.1, 15, 14, 7, 8
2026/2/18, 02:05:00, 4952.3, 4955.0, 4949.8, 4955.0, 18, 18, 14, 4
2026/2/18, 02:10:00, 4954.5, 4955.3, 4951.9, 4953.9, 11, 9, 9, 2
2026/2/18, 02:20:00, 4950.5, 4955.0, 4950.5, 4955.0, 5, 5, 2, 3
2026/2/18, 02:25:00, 4956.2, 4957.9, 4955.3, 4957.9, 14, 13, 9, 5
2026/2/18, 02:30:00, 4958.0, 4958.0, 4957.0, 4957.0, 3, 3, 2, 1
2026/2/18, 02:35:00, 4960.5, 4960.5, 4959.0, 4959.0, 4, 3, 3, 1
2026/2/18, 02:50:00, 4960.9, 4961.0, 4960.9, 4961.0, 3, 2, 0, 3
2026/2/18, 02:55:00, 4959.8, 4959.8, 4959.3, 4959.3, 6, 6, 1, 5
2026/2/18, 03:00:00, 4962.0, 4966.6, 4962.0, 4966.6, 4, 4, 1, 3
2026/2/18, 03:05:00, 4969.0, 4969.0, 4968.5, 4968.5, 5, 4, 5, 0
2026/2/18, 03:10:00, 4970.4, 4970.4, 4970.4, 4970.4, 1, 1, 0, 1
2026/2/18, 03:20:00, 4972.7, 4973.5, 4972.7, 4973.4, 3, 3, 2, 1
2026/2/18, 03:30:00, 4975.9, 4975.9, 4972.2, 4972.2, 6, 6, 4, 2
2026/2/18, 03:35:00, 4973.1, 4973.1, 4973.0, 4973.0, 3, 3, 3, 0
2026/2/18, 03:45:00, 4974.0, 4974.0, 4974.0, 4974.0, 1, 1, 1, 0
2026/2/18, 03:50:00, 4975.0, 4975.0, 4975.0, 4975.0, 1, 1, 0, 1
2026/2/18, 03:55:00, 4975.8, 4975.8, 4975.0, 4975.1, 6, 5, 5, 1
2026/2/18, 04:00:00, 4974.6, 4974.6, 4974.6, 4974.6, 1, 1, 0, 1
2026/2/18, 04:05:00, 4978.4, 4982.5, 4978.4, 4982.5, 4, 4, 1, 3
2026/2/18, 04:10:00, 4984.0, 4985.9, 4984.0, 4985.9, 7, 7, 2, 5
2026/2/18, 04:15:00, 4982.7, 4982.7, 4980.5, 4980.5, 3, 3, 1, 2
2026/2/18, 04:35:00, 4990.1, 4990.6, 4990.0, 4990.0, 3, 3, 3, 0
2026/2/18, 04:50:00, 4993.8, 4998.0, 4993.1, 4993.1, 13, 13, 8, 5
2026/2/18, 04:55:00, 4990.3, 4991.2, 4988.8, 4989.8, 11, 10, 5, 6
2026/2/18, 05:00:00, 4992.1, 4994.0, 4991.8, 4992.2, 6, 5, 4, 2
2026/2/18, 05:05:00, 4989.0, 4989.0, 4986.7, 4986.7, 8, 8, 8, 0
2026/2/18, 05:10:00, 4987.0, 4988.0, 4986.8, 4988.0, 3, 3, 3, 0
2026/2/18, 05:20:00, 4990.0, 4990.3, 4989.9, 4989.9, 6, 6, 5, 1
2026/2/18, 05:35:00, 4992.8, 4995.0, 4992.8, 4995.0, 2, 2, 2, 0
