Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/9/27, 00:00:00, 2833.1, 2833.1, 2833.1, 2833.1, 209716, 544026
2024/9/30, 00:00:00, 2826.2, 2826.2, 2826.2, 2826.2, 182529, 528392
2024/10/1, 00:00:00, 2858.5, 2858.5, 2858.5, 2858.5, 214346, 533107
2024/10/2, 00:00:00, 2841.4, 2841.4, 2841.4, 2841.4, 134173, 529827
2024/10/3, 00:00:00, 2851.2, 2851.2, 2851.2, 2851.2, 145351, 528440
2024/10/4, 00:00:00, 2847.3, 2847.3, 2847.3, 2847.3, 216667, 529919
2024/10/7, 00:00:00, 2848.7, 2848.7, 2848.7, 2848.7, 142003, 526822
2024/10/8, 00:00:00, 2816.5, 2816.5, 2816.5, 2816.5, 257903, 520316
2024/10/9, 00:00:00, 2808.1, 2808.1, 2808.1, 2808.1, 154924, 521836
2024/10/10, 00:00:00, 2823.7, 2823.7, 2823.7, 2823.7, 230593, 531106
2024/10/11, 00:00:00, 2860.3, 2860.3, 2860.3, 2860.3, 182419, 538734
2024/10/14, 00:00:00, 2851.0, 2851.0, 2851.0, 2851.0, 127304, 536624
2024/10/15, 00:00:00, 2863.8, 2863.8, 2863.8, 2863.8, 170097, 541232
2024/10/16, 00:00:00, 2877.0, 2877.0, 2877.0, 2877.0, 166517, 547421
2024/10/17, 00:00:00, 2893.5, 2893.5, 2893.5, 2893.5, 199224, 557758
2024/10/18, 00:00:00, 2917.7, 2917.7, 2917.7, 2917.7, 195121, 566714
2024/10/21, 00:00:00, 2928.5, 2928.5, 2928.5, 2928.5, 225541, 567444
2024/10/22, 00:00:00, 2951.3, 2951.3, 2951.3, 2951.3, 187067, 573760
2024/10/23, 00:00:00, 2923.0, 2923.0, 2923.0, 2923.0, 231664, 565369
2024/10/24, 00:00:00, 2942.4, 2942.4, 2942.4, 2942.4, 198223, 565131
2024/10/25, 00:00:00, 2948.0, 2948.0, 2948.0, 2948.0, 162858, 565397
2024/10/28, 00:00:00, 2951.6, 2951.6, 2951.6, 2951.6, 175066, 561406
2024/10/29, 00:00:00, 2976.6, 2976.6, 2976.6, 2976.6, 236538, 579443
2024/10/30, 00:00:00, 3003.4, 3003.4, 3003.4, 3003.4, 216854, 584445
2024/10/31, 00:00:00, 2951.9, 2951.9, 2951.9, 2951.9, 282258, 568592
2024/11/1, 00:00:00, 2950.8, 2950.8, 2950.8, 2950.8, 207833, 562253
2024/11/4, 00:00:00, 2948.7, 2948.7, 2948.7, 2948.7, 164068, 558125
2024/11/5, 00:00:00, 2955.2, 2955.2, 2955.2, 2955.2, 183786, 558034
2024/11/6, 00:00:00, 2881.0, 2881.0, 2881.0, 2881.0, 421271, 547625
2024/11/7, 00:00:00, 2910.9, 2910.9, 2910.9, 2910.9, 389231, 553566
2024/11/8, 00:00:00, 2899.7, 2899.7, 2899.7, 2899.7, 321189, 552706
2024/11/11, 00:00:00, 2820.6, 2820.6, 2820.6, 2820.6, 366802, 540538
2024/11/12, 00:00:00, 2809.1, 2809.1, 2809.1, 2809.1, 366970, 535981
2024/11/13, 00:00:00, 2786.7, 2786.7, 2786.7, 2786.7, 345108, 541243
