Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 4987.1, 4997.9, 4987.1, 4996.2, 9, 9, 3, 6
2026/2/18, 03:00:00, 4996.7, 4998.1, 4996.7, 4998.1, 2, 2, 1, 1
2026/2/18, 06:00:00, 5018.0, 5018.0, 5018.0, 5018.0, 1, 1, 1, 0
2026/2/18, 07:00:00, 5034.0, 5034.0, 5034.0, 5034.0, 1, 1, 0, 1
2026/2/18, 12:00:00, 5036.0, 5036.0, 5036.0, 5036.0, 1, 1, 1, 0
2026/2/18, 13:00:00, 5052.0, 5056.0, 5052.0, 5056.0, 5, 5, 0, 5
2026/2/18, 14:00:00, 5052.0, 5078.0, 5050.7, 5076.6, 16, 14, 2, 14
2026/2/18, 15:00:00, 5095.0, 5095.9, 5091.7, 5092.0, 5, 5, 4, 1
2026/2/18, 16:00:00, 5088.1, 5095.1, 5088.1, 5095.1, 2, 2, 2, 0
2026/2/18, 17:00:00, 5090.0, 5095.0, 5090.0, 5095.0, 2, 2, 1, 1
2026/2/18, 18:00:00, 5095.7, 5095.7, 5083.0, 5083.0, 5, 5, 3, 2
2026/2/18, 19:00:00, 5078.9, 5078.9, 5076.2, 5076.2, 3, 3, 2, 1
2026/2/18, 20:00:00, 5075.2, 5075.2, 5075.2, 5075.2, 1, 1, 1, 0
2026/2/18, 21:00:00, 5075.9, 5075.9, 5075.9, 5075.9, 1, 1, 1, 0
2026/2/19, 02:00:00, 5066.7, 5066.7, 5061.3, 5061.3, 3, 3, 2, 1
2026/2/19, 05:00:00, 5091.0, 5091.3, 5091.0, 5091.3, 3, 3, 1, 2
2026/2/19, 06:00:00, 5092.7, 5103.6, 5092.7, 5103.6, 2, 2, 0, 2
2026/2/19, 07:00:00, 5112.9, 5112.9, 5102.8, 5102.8, 12, 10, 5, 7
2026/2/19, 08:00:00, 5101.0, 5115.1, 5099.4, 5109.0, 6, 6, 4, 2
2026/2/19, 09:00:00, 5108.0, 5108.0, 5089.5, 5089.5, 7, 7, 5, 2
2026/2/19, 10:00:00, 5082.7, 5086.3, 5077.2, 5084.4, 21, 9, 11, 10
2026/2/19, 11:00:00, 5082.9, 5082.9, 5078.0, 5078.4, 4, 4, 4, 0
2026/2/19, 13:00:00, 5073.6, 5092.2, 5065.0, 5092.2, 6, 6, 5, 1
2026/2/19, 14:00:00, 5066.0, 5097.2, 5057.9, 5097.2, 7, 7, 3, 4
2026/2/19, 15:00:00, 5097.1, 5098.0, 5097.1, 5098.0, 2, 2, 1, 1
2026/2/19, 16:00:00, 5099.0, 5099.0, 5089.1, 5089.1, 3, 3, 2, 1
2026/2/19, 18:00:00, 5073.5, 5075.2, 5073.5, 5075.2, 2, 2, 0, 2
2026/2/19, 20:00:00, 5095.0, 5095.0, 5095.0, 5095.0, 1, 1, 0, 1
2026/2/19, 21:00:00, 5095.8, 5096.3, 5095.8, 5096.3, 2, 2, 1, 1
2026/2/20, 02:00:00, 5092.9, 5098.2, 5092.9, 5098.2, 6, 6, 4, 2
2026/2/20, 03:00:00, 5091.7, 5091.7, 5084.2, 5084.2, 2, 2, 1, 1
2026/2/20, 04:00:00, 5095.3, 5095.3, 5095.3, 5095.3, 1, 1, 0, 1
2026/2/20, 06:00:00, 5108.4, 5117.2, 5108.4, 5115.4, 3, 3, 2, 1
2026/2/20, 07:00:00, 5113.8, 5113.8, 5109.7, 5109.7, 2, 2, 2, 0
2026/2/20, 08:00:00, 5105.4, 5123.5, 5102.1, 5123.5, 7, 7, 2, 5
2026/2/20, 09:00:00, 5129.7, 5138.0, 5129.7, 5138.0, 3, 3, 1, 2
2026/2/20, 10:00:00, 5115.0, 5130.1, 5114.5, 5130.1, 3, 3, 2, 1
2026/2/20, 11:00:00, 5122.9, 5125.4, 5121.0, 5121.0, 3, 3, 3, 0
2026/2/20, 12:00:00, 5112.8, 5112.8, 5103.0, 5103.0, 4, 4, 3, 1
2026/2/20, 13:00:00, 5121.4, 5140.0, 5118.0, 5140.0, 9, 9, 3, 6
2026/2/20, 14:00:00, 5136.9, 5156.0, 5136.9, 5148.2, 4, 4, 0, 4
2026/2/20, 15:00:00, 5158.0, 5160.0, 5082.0, 5138.4, 46, 45, 24, 22
2026/2/20, 16:00:00, 5147.0, 5163.0, 5142.7, 5160.0, 7, 7, 2, 5
2026/2/20, 17:00:00, 5167.7, 5172.0, 5152.0, 5171.8, 19, 15, 12, 7
2026/2/20, 18:00:00, 5169.6, 5171.3, 5157.5, 5169.0, 17, 17, 10, 7
2026/2/20, 19:00:00, 5171.8, 5179.3, 5171.8, 5179.0, 16, 11, 12, 4
2026/2/20, 20:00:00, 5178.4, 5195.3, 5178.4, 5195.3, 5, 5, 1, 4
2026/2/20, 21:00:00, 5194.8, 5204.6, 5194.8, 5204.6, 5, 5, 1, 4
2026/2/22, 23:00:00, 5221.0, 5268.8, 5221.0, 5268.8, 33, 27, 11, 22
2026/2/23, 00:00:00, 5261.0, 5261.0, 5235.0, 5239.0, 14, 13, 8, 6
2026/2/23, 01:00:00, 5245.0, 5250.0, 5245.0, 5250.0, 7, 6, 1, 6
2026/2/23, 02:00:00, 5267.7, 5272.0, 5267.7, 5272.0, 4, 4, 0, 4
2026/2/23, 03:00:00, 5266.4, 5267.8, 5266.4, 5267.8, 3, 2, 0, 3
2026/2/23, 04:00:00, 5260.0, 5263.0, 5260.0, 5260.1, 4, 4, 2, 2
2026/2/23, 05:00:00, 5255.8, 5255.8, 5255.8, 5255.8, 1, 1, 1, 0
2026/2/23, 06:00:00, 5254.3, 5254.3, 5253.0, 5253.0, 2, 2, 1, 1
2026/2/23, 07:00:00, 5227.0, 5232.2, 5224.0, 5230.7, 8, 8, 6, 2
2026/2/23, 08:00:00, 5226.8, 5226.8, 5226.8, 5226.8, 2, 2, 2, 0
2026/2/23, 10:00:00, 5255.0, 5257.4, 5255.0, 5257.4, 2, 2, 0, 2
2026/2/23, 11:00:00, 5252.5, 5252.5, 5247.0, 5250.4, 8, 8, 8, 0
2026/2/23, 12:00:00, 5255.1, 5255.1, 5255.1, 5255.1, 1, 1, 0, 1
2026/2/23, 13:00:00, 5258.6, 5258.6, 5243.6, 5243.6, 33, 32, 12, 21
2026/2/23, 14:00:00, 5241.0, 5294.0, 5241.0, 5288.0, 15, 15, 6, 9
2026/2/23, 15:00:00, 5292.3, 5303.9, 5284.4, 5297.9, 20, 20, 14, 6
2026/2/23, 16:00:00, 5280.0, 5319.0, 5276.0, 5315.6, 20, 18, 7, 13
2026/2/23, 17:00:00, 5308.6, 5309.0, 5298.7, 5298.7, 3, 3, 0, 3
2026/2/23, 18:00:00, 5308.3, 5308.3, 5301.0, 5304.6, 4, 4, 4, 0
2026/2/23, 19:00:00, 5312.5, 5315.1, 5308.3, 5315.1, 4, 3, 2, 2
2026/2/23, 20:00:00, 5315.3, 5331.2, 5315.3, 5331.2, 10, 10, 1, 9
2026/2/23, 21:00:00, 5328.9, 5329.8, 5326.9, 5326.9, 6, 6, 3, 3
2026/2/23, 23:00:00, 5338.3, 5338.6, 5338.1, 5338.1, 3, 3, 3, 0
2026/2/24, 00:00:00, 5330.0, 5330.0, 5330.0, 5330.0, 1, 1, 1, 0
2026/2/24, 01:00:00, 5311.0, 5311.0, 5252.7, 5268.4, 35, 34, 33, 2
2026/2/24, 02:00:00, 5276.5, 5288.4, 5264.5, 5288.4, 19, 14, 3, 16
2026/2/24, 03:00:00, 5275.9, 5275.9, 5275.9, 5275.9, 1, 1, 1, 0
2026/2/24, 04:00:00, 5264.2, 5264.2, 5264.2, 5264.2, 1, 1, 1, 0
2026/2/24, 05:00:00, 5273.8, 5273.8, 5267.9, 5267.9, 2, 2, 0, 2
2026/2/24, 06:00:00, 5269.2, 5270.0, 5256.0, 5270.0, 3, 3, 2, 1
2026/2/24, 07:00:00, 5263.7, 5263.7, 5263.7, 5263.7, 1, 1, 1, 0
2026/2/24, 09:00:00, 5267.6, 5267.6, 5267.6, 5267.6, 1, 1, 0, 1
2026/2/24, 10:00:00, 5269.0, 5269.0, 5266.6, 5266.6, 2, 2, 1, 1
2026/2/24, 12:00:00, 5264.8, 5264.8, 5247.0, 5249.0, 10, 10, 7, 3
2026/2/24, 13:00:00, 5249.2, 5258.4, 5212.0, 5212.0, 52, 50, 10, 42
2026/2/24, 14:00:00, 5213.0, 5229.0, 5188.0, 5229.0, 27, 27, 11, 16
2026/2/24, 15:00:00, 5224.0, 5249.4, 5224.0, 5249.4, 2, 2, 0, 2
