Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 4987.1, 4987.4, 4987.1, 4987.4, 2, 2, 0, 2
2026/2/18, 02:20:00, 4991.3, 4991.3, 4991.3, 4991.3, 1, 1, 0, 1
2026/2/18, 02:25:00, 4993.3, 4993.3, 4993.2, 4993.2, 2, 2, 0, 2
2026/2/18, 02:30:00, 4994.3, 4994.3, 4993.3, 4993.3, 2, 2, 1, 1
2026/2/18, 02:50:00, 4997.9, 4997.9, 4997.9, 4997.9, 1, 1, 1, 0
2026/2/18, 02:55:00, 4996.2, 4996.2, 4996.2, 4996.2, 1, 1, 1, 0
2026/2/18, 03:00:00, 4996.7, 4998.1, 4996.7, 4998.1, 2, 2, 1, 1
2026/2/18, 06:05:00, 5018.0, 5018.0, 5018.0, 5018.0, 1, 1, 1, 0
2026/2/18, 07:25:00, 5034.0, 5034.0, 5034.0, 5034.0, 1, 1, 0, 1
2026/2/18, 12:55:00, 5036.0, 5036.0, 5036.0, 5036.0, 1, 1, 1, 0
2026/2/18, 13:05:00, 5052.0, 5056.0, 5052.0, 5056.0, 4, 4, 0, 4
2026/2/18, 13:35:00, 5056.0, 5056.0, 5056.0, 5056.0, 1, 1, 0, 1
2026/2/18, 14:00:00, 5052.0, 5052.0, 5052.0, 5052.0, 1, 1, 0, 1
2026/2/18, 14:20:00, 5050.7, 5050.7, 5050.7, 5050.7, 1, 1, 0, 1
2026/2/18, 14:30:00, 5066.0, 5072.0, 5066.0, 5072.0, 6, 6, 1, 5
2026/2/18, 14:35:00, 5075.0, 5078.0, 5075.0, 5078.0, 2, 2, 0, 2
2026/2/18, 14:40:00, 5077.6, 5077.6, 5076.3, 5076.6, 6, 4, 1, 5
2026/2/18, 15:00:00, 5095.0, 5095.0, 5095.0, 5095.0, 1, 1, 0, 1
2026/2/18, 15:40:00, 5095.9, 5095.9, 5095.9, 5095.9, 1, 1, 1, 0
2026/2/18, 15:45:00, 5092.0, 5092.0, 5091.7, 5092.0, 3, 3, 3, 0
2026/2/18, 16:25:00, 5088.1, 5088.1, 5088.1, 5088.1, 1, 1, 1, 0
2026/2/18, 16:35:00, 5095.1, 5095.1, 5095.1, 5095.1, 1, 1, 1, 0
2026/2/18, 17:30:00, 5090.0, 5090.0, 5090.0, 5090.0, 1, 1, 1, 0
2026/2/18, 17:45:00, 5095.0, 5095.0, 5095.0, 5095.0, 1, 1, 0, 1
2026/2/18, 18:10:00, 5095.7, 5095.7, 5095.7, 5095.7, 1, 1, 1, 0
2026/2/18, 18:25:00, 5083.2, 5084.5, 5083.2, 5083.5, 3, 3, 2, 1
2026/2/18, 18:30:00, 5083.0, 5083.0, 5083.0, 5083.0, 1, 1, 0, 1
2026/2/18, 19:25:00, 5078.9, 5078.9, 5077.7, 5077.7, 2, 2, 2, 0
