Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/11/27, 00:00:00, 2856.8, 2856.8, 2856.8, 2856.8, 240544, 468283
2024/11/29, 00:00:00, 2873.9, 2873.9, 2873.9, 2873.9, 197001, 457765
2024/12/2, 00:00:00, 2856.1, 2856.1, 2856.1, 2856.1, 174149, 459383
2024/12/3, 00:00:00, 2863.8, 2863.8, 2863.8, 2863.8, 150833, 462040
2024/12/4, 00:00:00, 2870.9, 2870.9, 2870.9, 2870.9, 189727, 468864
2024/12/5, 00:00:00, 2842.0, 2842.0, 2842.0, 2842.0, 168525, 469491
2024/12/6, 00:00:00, 2851.4, 2851.4, 2851.4, 2851.4, 187663, 467975
2024/12/9, 00:00:00, 2882.0, 2882.0, 2882.0, 2882.0, 203994, 476119
2024/12/10, 00:00:00, 2914.5, 2914.5, 2914.5, 2914.5, 200529, 483346
2024/12/11, 00:00:00, 2950.1, 2950.1, 2950.1, 2950.1, 307167, 495497
2024/12/12, 00:00:00, 2906.8, 2906.8, 2906.8, 2906.8, 245070, 490589
2024/12/13, 00:00:00, 2874.3, 2874.3, 2874.3, 2874.3, 197109, 478067
2024/12/16, 00:00:00, 2868.9, 2868.9, 2868.9, 2868.9, 127295, 471098
2024/12/17, 00:00:00, 2862.1, 2862.1, 2862.1, 2862.1, 159149, 466571
2024/12/18, 00:00:00, 2856.1, 2856.1, 2856.1, 2856.1, 168297, 461876
2024/12/19, 00:00:00, 2814.4, 2814.4, 2814.4, 2814.4, 201177, 457814
2024/12/20, 00:00:00, 2850.4, 2850.4, 2850.4, 2850.4, 163249, 458644
2024/12/23, 00:00:00, 2835.1, 2835.1, 2835.1, 2835.1, 111395, 455558
2024/12/24, 00:00:00, 2845.1, 2845.1, 2845.1, 2845.1, 57816, 454646
2024/12/26, 00:00:00, 2866.6, 2866.6, 2866.6, 2866.6, 85508, 450587
2024/12/27, 00:00:00, 2847.3, 2847.3, 2847.3, 2847.3, 101579, 448451
2024/12/30, 00:00:00, 2839.1, 2839.1, 2839.1, 2839.1, 125657, 450970
2024/12/31, 00:00:00, 2868.8, 2868.8, 2868.8, 2868.8, 111837, 458584
2025/1/2, 00:00:00, 2891.6, 2891.6, 2891.6, 2891.6, 166422, 467335
