Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 5014.0, 5025.5, 5014.0, 5025.3, 7, 5, 4, 3
2026/2/18, 03:00:00, 5034.0, 5042.0, 5034.0, 5042.0, 4, 2, 2, 2
2026/2/18, 04:00:00, 5053.5, 5059.1, 5053.4, 5059.1, 5, 5, 2, 3
2026/2/18, 05:00:00, 5058.7, 5058.7, 5057.1, 5057.1, 3, 2, 3, 0
2026/2/18, 06:00:00, 5048.4, 5051.1, 5048.4, 5048.7, 3, 3, 2, 1
2026/2/18, 07:00:00, 5064.0, 5064.0, 5064.0, 5064.0, 1, 1, 0, 1
2026/2/18, 08:00:00, 5048.3, 5048.3, 5048.3, 5048.3, 1, 1, 1, 0
2026/2/18, 09:00:00, 5040.0, 5040.0, 5040.0, 5040.0, 1, 1, 0, 1
2026/2/18, 12:00:00, 5053.2, 5070.0, 5053.2, 5070.0, 2, 2, 0, 2
2026/2/18, 13:00:00, 5083.2, 5090.0, 5080.0, 5090.0, 6, 6, 2, 4
2026/2/18, 14:00:00, 5081.2, 5118.7, 5081.2, 5118.7, 15, 13, 5, 10
2026/2/18, 15:00:00, 5126.4, 5128.2, 5119.2, 5128.1, 6, 6, 5, 1
2026/2/18, 16:00:00, 5127.3, 5127.3, 5127.3, 5127.3, 1, 1, 0, 1
2026/2/18, 18:00:00, 5121.5, 5121.5, 5114.4, 5114.4, 2, 2, 1, 1
2026/2/18, 20:00:00, 5111.0, 5111.0, 5111.0, 5111.0, 2, 1, 2, 0
2026/2/18, 23:00:00, 5078.0, 5092.6, 5078.0, 5092.6, 3, 3, 1, 2
2026/2/19, 02:00:00, 5090.8, 5091.3, 5090.8, 5091.3, 2, 2, 2, 0
2026/2/19, 03:00:00, 5090.7, 5090.7, 5090.7, 5090.7, 1, 1, 1, 0
2026/2/19, 06:00:00, 5140.0, 5140.0, 5137.1, 5137.1, 2, 2, 0, 2
2026/2/19, 09:00:00, 5138.0, 5138.0, 5121.2, 5128.0, 8, 7, 6, 2
2026/2/19, 10:00:00, 5110.7, 5110.7, 5110.7, 5110.7, 1, 1, 1, 0
2026/2/19, 11:00:00, 5112.0, 5112.0, 5112.0, 5112.0, 1, 1, 1, 0
2026/2/19, 12:00:00, 5108.6, 5108.6, 5108.6, 5108.6, 1, 1, 0, 1
2026/2/19, 13:00:00, 5098.8, 5118.7, 5098.8, 5118.7, 3, 3, 2, 1
2026/2/19, 14:00:00, 5100.0, 5100.0, 5095.2, 5095.2, 2, 2, 2, 0
2026/2/19, 15:00:00, 5129.9, 5129.9, 5129.8, 5129.8, 2, 2, 2, 0
2026/2/19, 16:00:00, 5130.0, 5130.0, 5130.0, 5130.0, 1, 1, 1, 0
2026/2/19, 20:00:00, 5120.2, 5120.2, 5120.2, 5120.2, 1, 1, 0, 1
2026/2/20, 02:00:00, 5126.9, 5126.9, 5126.9, 5126.9, 1, 1, 0, 1
2026/2/20, 04:00:00, 5123.0, 5126.9, 5123.0, 5126.9, 4, 3, 0, 4
2026/2/20, 05:00:00, 5129.8, 5129.8, 5129.8, 5129.8, 1, 1, 0, 1
2026/2/20, 10:00:00, 5150.0, 5163.0, 5146.8, 5163.0, 6, 6, 3, 3
2026/2/20, 12:00:00, 5134.8, 5134.8, 5134.8, 5134.8, 1, 1, 1, 0
2026/2/20, 13:00:00, 5172.0, 5172.0, 5172.0, 5172.0, 1, 1, 0, 1
2026/2/20, 14:00:00, 5178.0, 5178.0, 5178.0, 5178.0, 2, 2, 0, 2
2026/2/20, 15:00:00, 5190.0, 5190.0, 5112.9, 5161.2, 20, 20, 15, 5
2026/2/20, 16:00:00, 5181.6, 5193.6, 5181.6, 5193.6, 3, 3, 0, 3
2026/2/20, 17:00:00, 5200.0, 5205.0, 5193.5, 5205.0, 5, 4, 0, 5
