Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 5014.0, 5014.0, 5014.0, 5014.0, 1, 1, 0, 1
2026/2/18, 02:05:00, 5019.2, 5019.2, 5019.2, 5019.2, 1, 1, 0, 1
2026/2/18, 02:10:00, 5020.0, 5020.0, 5020.0, 5020.0, 2, 1, 2, 0
2026/2/18, 02:30:00, 5025.5, 5025.5, 5025.5, 5025.5, 1, 1, 0, 1
2026/2/18, 02:55:00, 5025.3, 5025.3, 5025.3, 5025.3, 2, 1, 2, 0
2026/2/18, 03:10:00, 5034.0, 5034.0, 5034.0, 5034.0, 2, 1, 2, 0
2026/2/18, 03:45:00, 5042.0, 5042.0, 5042.0, 5042.0, 2, 1, 0, 2
2026/2/18, 04:10:00, 5053.5, 5053.5, 5053.4, 5053.4, 2, 2, 0, 2
2026/2/18, 04:40:00, 5055.0, 5055.0, 5055.0, 5055.0, 2, 2, 2, 0
2026/2/18, 04:45:00, 5059.1, 5059.1, 5059.1, 5059.1, 1, 1, 0, 1
2026/2/18, 05:35:00, 5058.7, 5058.7, 5058.7, 5058.7, 2, 1, 2, 0
2026/2/18, 05:45:00, 5057.1, 5057.1, 5057.1, 5057.1, 1, 1, 1, 0
2026/2/18, 06:05:00, 5048.4, 5048.4, 5048.4, 5048.4, 1, 1, 1, 0
2026/2/18, 06:10:00, 5051.1, 5051.1, 5048.7, 5048.7, 2, 2, 1, 1
2026/2/18, 07:25:00, 5064.0, 5064.0, 5064.0, 5064.0, 1, 1, 0, 1
2026/2/18, 08:15:00, 5048.3, 5048.3, 5048.3, 5048.3, 1, 1, 1, 0
2026/2/18, 09:15:00, 5040.0, 5040.0, 5040.0, 5040.0, 1, 1, 0, 1
2026/2/18, 12:20:00, 5053.2, 5053.2, 5053.2, 5053.2, 1, 1, 0, 1
2026/2/18, 12:55:00, 5070.0, 5070.0, 5070.0, 5070.0, 1, 1, 0, 1
2026/2/18, 13:05:00, 5083.2, 5084.4, 5083.2, 5084.4, 2, 2, 0, 2
2026/2/18, 13:30:00, 5080.0, 5080.0, 5080.0, 5080.0, 2, 2, 2, 0
2026/2/18, 13:35:00, 5086.8, 5090.0, 5086.8, 5090.0, 2, 2, 0, 2
2026/2/18, 14:00:00, 5081.2, 5085.2, 5081.2, 5083.8, 4, 3, 3, 1
2026/2/18, 14:30:00, 5100.0, 5101.2, 5100.0, 5101.2, 2, 2, 0, 2
2026/2/18, 14:35:00, 5106.0, 5108.3, 5106.0, 5108.3, 2, 2, 0, 2
2026/2/18, 14:40:00, 5110.0, 5110.0, 5110.0, 5110.0, 1, 1, 0, 1
2026/2/18, 14:50:00, 5113.9, 5118.7, 5113.9, 5118.7, 6, 5, 2, 4
2026/2/18, 15:00:00, 5126.4, 5126.4, 5126.4, 5126.4, 1, 1, 0, 1
2026/2/18, 15:05:00, 5128.0, 5128.0, 5119.2, 5119.2, 3, 3, 3, 0
2026/2/18, 15:20:00, 5128.2, 5128.2, 5128.1, 5128.1, 2, 2, 2, 0
2026/2/18, 16:55:00, 5127.3, 5127.3, 5127.3, 5127.3, 1, 1, 0, 1
2026/2/18, 18:20:00, 5121.5, 5121.5, 5121.5, 5121.5, 1, 1, 1, 0
2026/2/18, 18:30:00, 5114.4, 5114.4, 5114.4, 5114.4, 1, 1, 0, 1
2026/2/18, 20:45:00, 5111.0, 5111.0, 5111.0, 5111.0, 2, 1, 2, 0
2026/2/18, 23:00:00, 5078.0, 5092.6, 5078.0, 5092.6, 3, 3, 1, 2
2026/2/19, 02:15:00, 5090.8, 5090.8, 5090.8, 5090.8, 1, 1, 1, 0
2026/2/19, 02:55:00, 5091.3, 5091.3, 5091.3, 5091.3, 1, 1, 1, 0
2026/2/19, 03:00:00, 5090.7, 5090.7, 5090.7, 5090.7, 1, 1, 1, 0
2026/2/19, 06:45:00, 5140.0, 5140.0, 5137.1, 5137.1, 2, 2, 0, 2
2026/2/19, 09:20:00, 5138.0, 5138.0, 5138.0, 5138.0, 2, 1, 2, 0
2026/2/19, 09:25:00, 5127.4, 5127.4, 5126.4, 5126.4, 2, 2, 2, 0
2026/2/19, 09:35:00, 5121.2, 5121.2, 5121.2, 5121.2, 1, 1, 1, 0
2026/2/19, 09:40:00, 5127.7, 5127.7, 5127.7, 5127.7, 1, 1, 1, 0
2026/2/19, 09:50:00, 5127.9, 5128.0, 5127.9, 5128.0, 2, 2, 0, 2
2026/2/19, 10:10:00, 5110.7, 5110.7, 5110.7, 5110.7, 1, 1, 1, 0
2026/2/19, 11:15:00, 5112.0, 5112.0, 5112.0, 5112.0, 1, 1, 1, 0
2026/2/19, 12:00:00, 5108.6, 5108.6, 5108.6, 5108.6, 1, 1, 0, 1
2026/2/19, 13:30:00, 5098.8, 5098.8, 5098.8, 5098.8, 1, 1, 1, 0
2026/2/19, 13:35:00, 5117.5, 5117.5, 5117.5, 5117.5, 1, 1, 0, 1
2026/2/19, 13:45:00, 5118.7, 5118.7, 5118.7, 5118.7, 1, 1, 1, 0
2026/2/19, 14:10:00, 5100.0, 5100.0, 5100.0, 5100.0, 1, 1, 1, 0
2026/2/19, 14:30:00, 5095.2, 5095.2, 5095.2, 5095.2, 1, 1, 1, 0
2026/2/19, 15:20:00, 5129.9, 5129.9, 5129.8, 5129.8, 2, 2, 2, 0
2026/2/19, 16:05:00, 5130.0, 5130.0, 5130.0, 5130.0, 1, 1, 1, 0
2026/2/19, 20:15:00, 5120.2, 5120.2, 5120.2, 5120.2, 1, 1, 0, 1
2026/2/20, 02:00:00, 5126.9, 5126.9, 5126.9, 5126.9, 1, 1, 0, 1
2026/2/20, 04:40:00, 5123.0, 5126.9, 5123.0, 5126.9, 4, 3, 0, 4
2026/2/20, 05:45:00, 5129.8, 5129.8, 5129.8, 5129.8, 1, 1, 0, 1
2026/2/20, 10:10:00, 5150.0, 5150.0, 5146.8, 5146.8, 3, 3, 1, 2
2026/2/20, 10:45:00, 5155.0, 5155.0, 5155.0, 5155.0, 2, 2, 2, 0
2026/2/20, 10:50:00, 5163.0, 5163.0, 5163.0, 5163.0, 1, 1, 0, 1
2026/2/20, 12:30:00, 5134.8, 5134.8, 5134.8, 5134.8, 1, 1, 1, 0
2026/2/20, 13:50:00, 5172.0, 5172.0, 5172.0, 5172.0, 1, 1, 0, 1
2026/2/20, 14:35:00, 5178.0, 5178.0, 5178.0, 5178.0, 1, 1, 0, 1
2026/2/20, 14:40:00, 5178.0, 5178.0, 5178.0, 5178.0, 1, 1, 0, 1
2026/2/20, 15:00:00, 5190.0, 5190.0, 5149.7, 5155.2, 8, 8, 6, 2
2026/2/20, 15:05:00, 5139.6, 5143.2, 5112.9, 5143.2, 10, 10, 8, 2
2026/2/20, 15:10:00, 5145.6, 5145.6, 5145.6, 5145.6, 1, 1, 1, 0
2026/2/20, 15:35:00, 5161.2, 5161.2, 5161.2, 5161.2, 1, 1, 0, 1
2026/2/20, 16:05:00, 5181.6, 5181.6, 5181.6, 5181.6, 1, 1, 0, 1
2026/2/20, 16:10:00, 5182.8, 5182.8, 5182.8, 5182.8, 1, 1, 0, 1
2026/2/20, 16:50:00, 5193.6, 5193.6, 5193.6, 5193.6, 1, 1, 0, 1
2026/2/20, 17:05:00, 5200.0, 5200.0, 5200.0, 5200.0, 1, 1, 0, 1
2026/2/20, 17:10:00, 5198.4, 5198.4, 5198.4, 5198.4, 1, 1, 0, 1
2026/2/20, 17:30:00, 5193.5, 5193.5, 5193.5, 5193.5, 1, 1, 0, 1
2026/2/20, 17:50:00, 5205.0, 5205.0, 5205.0, 5205.0, 2, 1, 0, 2
2026/2/20, 18:35:00, 5200.8, 5200.8, 5200.8, 5200.8, 1, 1, 0, 1
2026/2/20, 19:55:00, 5212.8, 5212.8, 5212.8, 5212.8, 1, 1, 0, 1
2026/2/20, 20:20:00, 5220.0, 5220.0, 5220.0, 5220.0, 1, 1, 0, 1
2026/2/23, 00:05:00, 5276.0, 5276.0, 5276.0, 5276.0, 1, 1, 0, 1
2026/2/23, 00:10:00, 5277.9, 5277.9, 5277.9, 5277.9, 1, 1, 0, 1
2026/2/23, 00:45:00, 5272.2, 5272.2, 5272.2, 5272.2, 1, 1, 0, 1
2026/2/23, 03:05:00, 5297.1, 5297.1, 5297.1, 5297.1, 1, 1, 1, 0
2026/2/23, 03:10:00, 5289.6, 5289.6, 5289.6, 5289.6, 1, 1, 1, 0
2026/2/23, 06:35:00, 5286.5, 5286.5, 5286.5, 5286.5, 1, 1, 1, 0
2026/2/23, 07:20:00, 5270.0, 5270.0, 5270.0, 5270.0, 1, 1, 1, 0
2026/2/23, 07:25:00, 5259.6, 5259.6, 5257.2, 5257.2, 2, 2, 2, 0
2026/2/23, 08:25:00, 5254.3, 5254.3, 5254.3, 5254.3, 1, 1, 1, 0
2026/2/23, 10:20:00, 5288.4, 5288.4, 5288.4, 5288.4, 1, 1, 0, 1
2026/2/23, 14:00:00, 5274.0, 5274.0, 5274.0, 5274.0, 1, 1, 1, 0
2026/2/23, 14:35:00, 5305.6, 5316.2, 5305.6, 5316.2, 5, 4, 1, 4
2026/2/23, 14:45:00, 5328.0, 5328.0, 5328.0, 5328.0, 1, 1, 0, 1
2026/2/23, 14:55:00, 5332.4, 5332.4, 5322.0, 5322.0, 5, 4, 5, 0
2026/2/23, 15:25:00, 5333.1, 5333.1, 5333.1, 5333.1, 1, 1, 0, 1
2026/2/23, 16:00:00, 5310.0, 5310.0, 5310.0, 5310.0, 1, 1, 1, 0
2026/2/23, 16:15:00, 5336.4, 5336.4, 5336.4, 5336.4, 1, 1, 0, 1
2026/2/23, 16:35:00, 5344.7, 5344.7, 5344.7, 5344.7, 1, 1, 0, 1
2026/2/23, 16:55:00, 5342.4, 5342.7, 5342.4, 5342.7, 4, 3, 0, 4
2026/2/23, 17:40:00, 5336.4, 5336.4, 5336.4, 5336.4, 1, 1, 1, 0
2026/2/24, 00:15:00, 5366.2, 5366.2, 5363.5, 5363.5, 4, 2, 4, 0
2026/2/24, 06:35:00, 5301.6, 5304.0, 5301.6, 5304.0, 2, 2, 0, 2
2026/2/24, 10:30:00, 5302.8, 5302.8, 5302.8, 5302.8, 1, 1, 1, 0
2026/2/24, 10:35:00, 5295.5, 5295.5, 5295.5, 5295.5, 1, 1, 1, 0
2026/2/24, 11:00:00, 5306.0, 5306.0, 5306.0, 5306.0, 1, 1, 0, 1
2026/2/24, 11:45:00, 5307.6, 5307.6, 5307.6, 5307.6, 1, 1, 0, 1
2026/2/24, 12:15:00, 5290.8, 5290.8, 5287.2, 5287.2, 2, 2, 2, 0
2026/2/24, 12:50:00, 5278.2, 5278.2, 5278.2, 5278.2, 1, 1, 1, 0
2026/2/24, 13:20:00, 5286.0, 5286.0, 5286.0, 5286.0, 1, 1, 0, 1
2026/2/24, 13:35:00, 5270.4, 5270.4, 5266.8, 5266.8, 2, 2, 2, 0
2026/2/24, 13:45:00, 5259.6, 5259.6, 5259.6, 5259.6, 1, 1, 1, 0
2026/2/24, 13:55:00, 5245.2, 5245.2, 5245.2, 5245.2, 1, 1, 1, 0
2026/2/24, 14:00:00, 5246.4, 5246.4, 5246.4, 5246.4, 1, 1, 1, 0
2026/2/24, 14:10:00, 5235.6, 5235.6, 5223.3, 5223.3, 4, 4, 4, 0
2026/2/24, 14:15:00, 5232.0, 5232.0, 5232.0, 5232.0, 1, 1, 1, 0
2026/2/24, 15:40:00, 5277.0, 5277.0, 5277.0, 5277.0, 5, 2, 4, 1
2026/2/24, 15:45:00, 5282.3, 5282.3, 5282.3, 5282.3, 1, 1, 0, 1
2026/2/24, 16:45:00, 5269.2, 5269.2, 5269.2, 5269.2, 1, 1, 1, 0
