Date, Time, Open, High, Low, Last, Volume, OpenInterest
2020/12/30, 00:00:00, 1999.5, 1999.5, 1999.5, 1999.5, 140693, 560723
2020/12/31, 00:00:00, 2001.7, 2001.7, 2001.7, 2001.7, 139954, 559736
2021/1/4, 00:00:00, 2054.4, 2054.4, 2054.4, 2054.4, 298072, 567400
2021/1/5, 00:00:00, 2062.2, 2062.2, 2062.2, 2062.2, 224810, 568888
2021/1/6, 00:00:00, 2016.5, 2016.5, 2016.5, 2016.5, 406795, 569263
2021/1/7, 00:00:00, 2020.1, 2020.1, 2020.1, 2020.1, 225059, 567167
2021/1/8, 00:00:00, 1941.5, 1941.5, 1941.5, 1941.5, 517610, 552907
2021/1/11, 00:00:00, 1955.7, 1955.7, 1955.7, 1955.7, 336654, 552545
2021/1/12, 00:00:00, 1948.5, 1948.5, 1948.5, 1948.5, 303302, 555538
2021/1/13, 00:00:00, 1958.8, 1958.8, 1958.8, 1958.8, 308142, 549650
2021/1/14, 00:00:00, 1955.3, 1955.3, 1955.3, 1955.3, 345245, 550682
2021/1/15, 00:00:00, 1932.5, 1995.0, 1932.5, 1932.5, 278274, 545692
2021/1/19, 00:00:00, 1941.0, 1941.0, 1941.0, 1941.0, 432264, 541330
2021/1/20, 00:00:00, 1966.5, 1966.5, 1966.5, 1966.5, 336215, 549213
2021/1/21, 00:00:00, 1965.5, 1965.5, 1965.5, 1965.5, 252912, 545101
2021/1/22, 00:00:00, 1953.6, 1953.6, 1953.6, 1953.6, 335956, 550154
2021/1/25, 00:00:00, 1953.0, 1953.0, 1953.0, 1953.0, 308840, 551108
2021/1/26, 00:00:00, 1949.0, 1949.0, 1949.0, 1949.0, 268547, 534574
2021/1/27, 00:00:00, 1943.0, 1943.0, 1943.0, 1943.0, 377958, 533605
2021/1/28, 00:00:00, 1934.8, 1934.8, 1934.8, 1934.8, 318646, 536272
2021/1/29, 00:00:00, 1943.0, 1943.0, 1943.0, 1943.0, 289526, 520668
2021/2/1, 00:00:00, 1955.0, 1955.0, 1955.0, 1955.0, 268270, 528264
2021/2/2, 00:00:00, 1926.6, 1926.6, 1926.6, 1926.6, 247487, 520011
2021/2/3, 00:00:00, 1930.1, 1930.1, 1930.1, 1930.1, 148128, 517087
2021/2/4, 00:00:00, 1885.9, 1885.9, 1885.9, 1885.9, 293003, 517620
2021/2/5, 00:00:00, 1908.0, 1908.0, 1908.0, 1908.0, 217048, 509688
2021/2/8, 00:00:00, 1927.4, 1927.4, 1927.4, 1927.4, 190929, 507311
2021/2/9, 00:00:00, 1931.3, 1931.3, 1931.3, 1931.3, 160771, 506741
2021/2/10, 00:00:00, 1936.5, 1936.5, 1936.5, 1936.5, 187195, 507844
2021/2/11, 00:00:00, 1920.7, 1920.7, 1920.7, 1920.7, 154533, 507564
2021/2/12, 00:00:00, 1916.6, 1916.6, 1916.6, 1916.6, 179866, 503480
2021/2/16, 00:00:00, 1892.6, 1892.6, 1892.6, 1892.6, 368024, 503016
2021/2/17, 00:00:00, 1866.2, 1866.2, 1866.2, 1866.2, 270452, 499469
2021/2/18, 00:00:00, 1868.0, 1868.0, 1868.0, 1868.0, 234685, 497175
2021/2/19, 00:00:00, 1870.3, 1870.3, 1870.3, 1870.3, 263406, 491861
2021/2/22, 00:00:00, 1952.0, 1952.0, 1952.0, 1952.0, 230908, 490532
2021/2/23, 00:00:00, 1949.5, 1949.5, 1949.5, 1949.5, 199859, 481125
2021/2/24, 00:00:00, 1942.0, 1942.0, 1942.0, 1942.0, 234163, 481238
2021/2/25, 00:00:00, 1921.9, 1921.9, 1921.9, 1921.9, 330306, 478088
2021/2/26, 00:00:00, 1876.5, 1876.5, 1876.5, 1876.5, 390324, 469135
2021/3/1, 00:00:00, 1869.5, 1869.5, 1869.5, 1869.5, 256814, 466897
2021/3/2, 00:00:00, 1880.2, 1880.2, 1880.2, 1880.2, 253531, 467008
2021/3/3, 00:00:00, 1862.5, 1862.5, 1862.5, 1862.5, 272640, 464713
2021/3/4, 00:00:00, 1847.6, 1847.6, 1847.6, 1847.6, 306711, 465045
2021/3/5, 00:00:00, 1846.2, 1846.2, 1846.2, 1846.2, 329538, 468385
2021/3/8, 00:00:00, 1824.8, 1824.8, 1824.8, 1824.8, 349815, 481626
2021/3/9, 00:00:00, 1863.2, 1863.2, 1863.2, 1863.2, 305604, 473871
2021/3/10, 00:00:00, 1867.2, 1867.2, 1867.2, 1867.2, 295487, 474272
2021/3/11, 00:00:00, 1867.2, 1867.2, 1867.2, 1867.2, 272940, 467704
2021/3/12, 00:00:00, 1863.1, 1863.1, 1863.1, 1863.1, 278106, 465966
2021/3/15, 00:00:00, 1872.8, 1872.8, 1872.8, 1872.8, 185160, 471921
2021/3/16, 00:00:00, 1874.4, 1874.4, 1874.4, 1874.4, 193824, 476467
2021/3/17, 00:00:00, 1870.2, 1870.2, 1870.2, 1870.2, 240501, 479726
2021/3/18, 00:00:00, 1876.1, 1876.1, 1876.1, 1876.1, 274763, 475979
2021/3/19, 00:00:00, 1885.3, 1885.3, 1885.3, 1885.3, 258270, 480007
2021/3/22, 00:00:00, 1882.1, 1882.1, 1882.1, 1882.1, 238873, 480002
2021/3/23, 00:00:00, 1869.2, 1869.2, 1869.2, 1869.2, 299627, 485457
2021/3/24, 00:00:00, 1876.9, 1876.9, 1876.9, 1876.9, 265484, 482386
2021/3/25, 00:00:00, 1868.8, 1868.8, 1868.8, 1868.8, 306930, 478643
