Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 5025.1, 5025.1, 5025.1, 5025.1, 1, 1, 0, 1
2026/2/18, 00:00:00, 5012.2, 5031.0, 5012.2, 5031.0, 6, 5, 0, 6
2026/2/18, 02:00:00, 5043.0, 5055.8, 5043.0, 5055.8, 6, 6, 2, 4
2026/2/18, 06:00:00, 5080.4, 5080.4, 5079.6, 5079.6, 2, 2, 1, 1
2026/2/18, 08:00:00, 5078.6, 5078.6, 5073.1, 5073.1, 3, 3, 2, 1
2026/2/18, 09:00:00, 5070.9, 5070.9, 5070.9, 5070.9, 1, 1, 0, 1
2026/2/18, 12:00:00, 5084.2, 5084.2, 5084.2, 5084.2, 1, 1, 0, 1
2026/2/18, 13:00:00, 5117.7, 5118.3, 5107.7, 5110.2, 6, 5, 0, 6
2026/2/18, 14:00:00, 5112.5, 5112.6, 5112.5, 5112.6, 3, 3, 2, 1
2026/2/18, 16:00:00, 5150.9, 5157.2, 5150.9, 5157.2, 7, 5, 1, 6
2026/2/18, 18:00:00, 5147.5, 5149.1, 5147.5, 5148.1, 5, 5, 2, 3
2026/2/18, 19:00:00, 5148.8, 5148.8, 5134.4, 5134.4, 4, 4, 2, 2
2026/2/18, 20:00:00, 5138.3, 5141.2, 5138.3, 5141.2, 2, 2, 2, 0
2026/2/18, 23:00:00, 5136.3, 5136.3, 5136.3, 5136.3, 1, 1, 1, 0
2026/2/19, 02:00:00, 5129.3, 5130.2, 5124.6, 5124.6, 5, 5, 2, 3
2026/2/19, 03:00:00, 5136.9, 5136.9, 5136.9, 5136.9, 1, 1, 1, 0
2026/2/19, 05:00:00, 5147.0, 5147.0, 5147.0, 5147.0, 2, 1, 0, 2
2026/2/19, 06:00:00, 5161.0, 5161.0, 5161.0, 5161.0, 1, 1, 0, 1
2026/2/19, 07:00:00, 5174.0, 5174.0, 5168.2, 5168.2, 4, 4, 3, 1
2026/2/19, 08:00:00, 5166.7, 5166.7, 5166.7, 5166.7, 2, 1, 2, 0
2026/2/19, 09:00:00, 5171.2, 5171.2, 5152.3, 5152.3, 7, 6, 5, 2
2026/2/19, 14:00:00, 5134.5, 5134.5, 5132.8, 5132.8, 2, 2, 0, 2
2026/2/19, 15:00:00, 5165.0, 5180.0, 5165.0, 5173.5, 12, 10, 8, 4
2026/2/19, 16:00:00, 5156.6, 5158.2, 5147.2, 5152.8, 16, 14, 15, 1
2026/2/19, 17:00:00, 5149.3, 5149.3, 5145.7, 5145.7, 3, 3, 2, 1
2026/2/19, 18:00:00, 5144.6, 5144.6, 5135.5, 5135.5, 5, 5, 3, 2
2026/2/19, 19:00:00, 5146.8, 5148.1, 5142.9, 5144.2, 12, 10, 6, 6
2026/2/19, 20:00:00, 5147.3, 5147.3, 5147.3, 5147.3, 1, 1, 0, 1
2026/2/20, 02:00:00, 5150.4, 5164.5, 5150.4, 5160.5, 8, 8, 6, 2
2026/2/20, 04:00:00, 5148.4, 5152.5, 5148.2, 5152.5, 4, 3, 3, 1
2026/2/20, 06:00:00, 5174.5, 5187.0, 5174.5, 5187.0, 4, 4, 1, 3
2026/2/20, 07:00:00, 5177.0, 5184.7, 5169.1, 5169.1, 7, 6, 4, 3
2026/2/20, 08:00:00, 5183.9, 5183.9, 5183.9, 5183.9, 1, 1, 1, 0
2026/2/20, 09:00:00, 5194.2, 5197.1, 5191.5, 5191.5, 23, 15, 8, 15
2026/2/20, 10:00:00, 5182.9, 5188.0, 5182.9, 5188.0, 5, 4, 5, 0
2026/2/20, 11:00:00, 5192.4, 5192.4, 5175.4, 5181.2, 11, 8, 8, 3
2026/2/20, 12:00:00, 5173.0, 5180.4, 5173.0, 5180.4, 5, 5, 3, 2
2026/2/20, 13:00:00, 5177.2, 5208.1, 5177.2, 5208.1, 6, 5, 1, 5
2026/2/20, 14:00:00, 5206.2, 5220.0, 5200.0, 5220.0, 11, 11, 3, 8
2026/2/20, 15:00:00, 5200.0, 5200.0, 5151.7, 5193.8, 22, 18, 11, 11
2026/2/20, 16:00:00, 5208.8, 5228.9, 5208.8, 5228.9, 4, 3, 2, 2
2026/2/20, 17:00:00, 5228.1, 5235.0, 5223.2, 5235.0, 6, 5, 4, 2
2026/2/20, 18:00:00, 5225.9, 5226.5, 5222.6, 5222.6, 10, 10, 2, 8
2026/2/20, 19:00:00, 5238.0, 5238.0, 5238.0, 5238.0, 1, 1, 0, 1
