Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:40:00, 5025.1, 5025.1, 5025.1, 5025.1, 1, 1, 0, 1
2026/2/18, 00:00:00, 5012.2, 5012.6, 5012.2, 5012.6, 4, 3, 0, 4
2026/2/18, 00:10:00, 5017.5, 5017.5, 5017.5, 5017.5, 1, 1, 0, 1
2026/2/18, 00:35:00, 5031.0, 5031.0, 5031.0, 5031.0, 1, 1, 0, 1
2026/2/18, 02:00:00, 5043.0, 5043.0, 5043.0, 5043.0, 1, 1, 0, 1
2026/2/18, 02:05:00, 5052.1, 5052.1, 5052.1, 5052.1, 1, 1, 0, 1
2026/2/18, 02:10:00, 5049.3, 5049.3, 5049.3, 5049.3, 1, 1, 1, 0
2026/2/18, 02:15:00, 5048.9, 5048.9, 5048.9, 5048.9, 1, 1, 1, 0
2026/2/18, 02:25:00, 5053.9, 5055.8, 5053.9, 5055.8, 2, 2, 0, 2
2026/2/18, 06:10:00, 5080.4, 5080.4, 5079.6, 5079.6, 2, 2, 1, 1
2026/2/18, 08:15:00, 5078.6, 5078.6, 5078.6, 5078.6, 1, 1, 1, 0
2026/2/18, 08:40:00, 5074.1, 5074.1, 5074.1, 5074.1, 1, 1, 0, 1
2026/2/18, 08:50:00, 5073.1, 5073.1, 5073.1, 5073.1, 1, 1, 1, 0
2026/2/18, 09:05:00, 5070.9, 5070.9, 5070.9, 5070.9, 1, 1, 0, 1
2026/2/18, 12:15:00, 5084.2, 5084.2, 5084.2, 5084.2, 1, 1, 0, 1
2026/2/18, 13:35:00, 5117.7, 5118.3, 5117.7, 5118.3, 4, 3, 0, 4
2026/2/18, 13:45:00, 5107.7, 5110.2, 5107.7, 5110.2, 2, 2, 0, 2
2026/2/18, 14:00:00, 5112.5, 5112.6, 5112.5, 5112.6, 3, 3, 2, 1
2026/2/18, 16:25:00, 5150.9, 5152.2, 5150.9, 5152.2, 6, 4, 1, 5
2026/2/18, 16:30:00, 5157.2, 5157.2, 5157.2, 5157.2, 1, 1, 0, 1
2026/2/18, 18:25:00, 5147.5, 5149.1, 5147.5, 5148.1, 5, 5, 2, 3
2026/2/18, 19:05:00, 5148.8, 5148.8, 5148.8, 5148.8, 1, 1, 0, 1
2026/2/18, 19:25:00, 5141.6, 5141.6, 5134.4, 5134.4, 3, 3, 2, 1
2026/2/18, 20:05:00, 5138.3, 5138.3, 5138.3, 5138.3, 1, 1, 1, 0
2026/2/18, 20:50:00, 5141.2, 5141.2, 5141.2, 5141.2, 1, 1, 1, 0
2026/2/18, 23:45:00, 5136.3, 5136.3, 5136.3, 5136.3, 1, 1, 1, 0
2026/2/19, 02:00:00, 5129.3, 5130.2, 5129.3, 5130.2, 2, 2, 0, 2
2026/2/19, 02:15:00, 5124.8, 5124.8, 5124.8, 5124.8, 1, 1, 1, 0
2026/2/19, 02:25:00, 5129.8, 5129.8, 5129.8, 5129.8, 1, 1, 0, 1
2026/2/19, 02:55:00, 5124.6, 5124.6, 5124.6, 5124.6, 1, 1, 1, 0
2026/2/19, 03:45:00, 5136.9, 5136.9, 5136.9, 5136.9, 1, 1, 1, 0
2026/2/19, 05:10:00, 5147.0, 5147.0, 5147.0, 5147.0, 2, 1, 0, 2
2026/2/19, 06:30:00, 5161.0, 5161.0, 5161.0, 5161.0, 1, 1, 0, 1
2026/2/19, 07:15:00, 5174.0, 5174.0, 5174.0, 5174.0, 1, 1, 0, 1
2026/2/19, 07:45:00, 5170.9, 5170.9, 5170.9, 5170.9, 1, 1, 1, 0
2026/2/19, 07:55:00, 5168.2, 5168.2, 5168.2, 5168.2, 2, 2, 2, 0
2026/2/19, 08:15:00, 5166.7, 5166.7, 5166.7, 5166.7, 2, 1, 2, 0
2026/2/19, 09:20:00, 5171.2, 5171.2, 5171.2, 5171.2, 2, 1, 2, 0
2026/2/19, 09:25:00, 5166.0, 5166.0, 5161.7, 5161.7, 2, 2, 1, 1
2026/2/19, 09:30:00, 5158.1, 5158.1, 5158.1, 5158.1, 1, 1, 1, 0
2026/2/19, 09:35:00, 5157.6, 5157.6, 5152.3, 5152.3, 2, 2, 1, 1
2026/2/19, 14:10:00, 5134.5, 5134.5, 5132.8, 5132.8, 2, 2, 0, 2
2026/2/19, 15:25:00, 5165.0, 5171.5, 5165.0, 5171.5, 4, 4, 0, 4
2026/2/19, 15:35:00, 5180.0, 5180.0, 5180.0, 5180.0, 2, 1, 2, 0
2026/2/19, 15:40:00, 5172.8, 5172.8, 5172.4, 5172.4, 5, 4, 5, 0
