Date, Time, Open, High, Low, Last, Volume, OpenInterest
2025/3/7, 00:00:00, 3174.7, 3174.7, 3174.7, 3174.7, 122169, 33172
2025/3/10, 00:00:00, 3158.2, 3158.2, 3158.2, 3158.2, 133711, 33205
2025/3/11, 00:00:00, 3180.3, 3180.3, 3180.3, 3180.3, 107486, 31965
2025/3/12, 00:00:00, 3204.8, 3204.8, 3204.8, 3204.8, 118681, 32478
2025/3/13, 00:00:00, 3249.8, 3249.8, 3249.8, 3249.8, 162505, 33198
2025/3/14, 00:00:00, 3259.0, 3259.0, 3259.0, 3259.0, 138494, 32623
2025/3/17, 00:00:00, 3264.2, 3264.2, 3264.2, 3264.2, 103132, 33883
2025/3/18, 00:00:00, 3302.5, 3302.5, 3302.5, 3302.5, 151803, 35957
2025/3/19, 00:00:00, 3303.5, 3303.5, 3303.5, 3303.5, 133050, 37702
2025/3/20, 00:00:00, 3304.9, 3304.9, 3304.9, 3304.9, 130852, 37349
2025/3/21, 00:00:00, 3277.9, 3277.9, 3277.9, 3277.9, 154045, 36998
2025/3/24, 00:00:00, 3271.8, 3271.8, 3271.8, 3271.8, 129309, 38130
2025/3/25, 00:00:00, 3282.8, 3282.8, 3282.8, 3282.8, 125224, 38212
2025/3/26, 00:00:00, 3279.2, 3279.2, 3279.2, 3279.2, 121944, 37674
2025/3/27, 00:00:00, 3314.0, 3314.0, 3314.0, 3314.0, 152360, 38606
2025/3/28, 00:00:00, 3339.3, 3339.3, 3339.3, 3339.3, 174439, 34612
2025/3/31, 00:00:00, 3376.3, 3376.3, 3376.3, 3376.3, 188658, 38029
2025/4/1, 00:00:00, 3372.3, 3372.3, 3372.3, 3372.3, 181323, 38070
2025/4/2, 00:00:00, 3395.1, 3395.1, 3395.1, 3395.1, 198881, 40606
2025/4/3, 00:00:00, 3348.6, 3348.6, 3348.6, 3348.6, 322840, 37395
2025/4/4, 00:00:00, 3256.9, 3256.9, 3256.9, 3256.9, 241431, 36186
2025/4/7, 00:00:00, 3195.5, 3195.5, 3195.5, 3195.5, 295523, 36701
2025/4/8, 00:00:00, 3214.4, 3214.4, 3214.4, 3214.4, 176911, 37869
2025/4/9, 00:00:00, 3309.3, 3309.3, 3309.3, 3309.3, 271494, 33321
2025/4/10, 00:00:00, 3407.6, 3407.6, 3407.6, 3407.6, 223840, 37058
2025/4/11, 00:00:00, 3482.7, 3482.7, 3482.7, 3482.7, 289994, 38485
2025/4/14, 00:00:00, 3464.5, 3464.5, 3464.5, 3464.5, 193693, 38449
2025/4/15, 00:00:00, 3478.7, 3478.7, 3478.7, 3478.7, 120388, 38924
2025/4/16, 00:00:00, 3589.4, 3589.4, 3589.4, 3589.4, 279649, 45744
2025/4/17, 00:00:00, 3570.9, 3570.9, 3570.9, 3570.9, 260120, 43036
2025/4/21, 00:00:00, 3671.1, 3671.1, 3671.1, 3671.1, 298878, 48159
2025/4/22, 00:00:00, 3669.0, 3669.0, 3669.0, 3669.0, 563112, 46167
2025/4/23, 00:00:00, 3542.1, 3542.1, 3542.1, 3542.1, 477239, 42671
2025/4/24, 00:00:00, 3598.8, 3598.8, 3598.8, 3598.8, 359006, 43213
2025/4/25, 00:00:00, 3547.6, 3547.6, 3547.6, 3547.6, 362777, 44387
2025/4/28, 00:00:00, 3597.6, 3597.6, 3597.6, 3597.6, 341909, 45002
2025/4/29, 00:00:00, 3581.8, 3581.8, 3581.8, 3581.8, 271829, 43846
2025/4/30, 00:00:00, 3564.3, 3564.3, 3564.3, 3564.3, 287957, 43199
2025/5/1, 00:00:00, 3467.2, 3467.2, 3467.2, 3467.2, 345921, 43264
2025/5/2, 00:00:00, 3489.0, 3489.0, 3489.0, 3489.0, 298650, 42767
2025/5/5, 00:00:00, 3570.3, 3570.3, 3570.3, 3570.3, 278226, 44464
2025/5/6, 00:00:00, 3674.2, 3674.2, 3674.2, 3674.2, 360473, 46294
2025/5/7, 00:00:00, 3643.8, 3643.8, 3643.8, 3643.8, 381302, 44792
2025/5/8, 00:00:00, 3557.6, 3557.6, 3557.6, 3557.6, 449266, 46174
2025/5/9, 00:00:00, 3595.6, 3595.6, 3595.6, 3595.6, 346461, 43801
2025/5/12, 00:00:00, 3479.9, 3479.9, 3479.9, 3479.9, 396160, 42587
2025/5/13, 00:00:00, 3501.1, 3501.1, 3501.1, 3501.1, 272393, 42731
2025/5/14, 00:00:00, 3439.2, 3439.2, 3439.2, 3439.2, 341096, 45356
2025/5/15, 00:00:00, 3476.1, 3476.1, 3476.1, 3476.1, 395732, 45430
2025/5/16, 00:00:00, 3434.9, 3434.9, 3434.9, 3434.9, 406477, 45238
2025/5/19, 00:00:00, 3483.6, 3483.6, 3483.6, 3483.6, 366185, 47825
2025/5/20, 00:00:00, 3533.8, 3533.8, 3533.8, 3533.8, 320417, 48985
2025/5/21, 00:00:00, 3565.4, 3565.4, 3565.4, 3565.4, 343422, 49316
2025/5/22, 00:00:00, 3547.4, 3547.4, 3547.4, 3547.4, 338372, 48826
2025/5/23, 00:00:00, 3620.8, 3620.8, 3620.8, 3620.8, 366717, 49220
2025/5/27, 00:00:00, 3556.9, 3556.9, 3556.9, 3556.9, 458213, 49049
2025/5/28, 00:00:00, 3549.5, 3549.5, 3549.5, 3549.5, 265802, 38189
2025/5/29, 00:00:00, 3567.6, 3567.6, 3567.6, 3567.6, 296462, 36691
2025/5/30, 00:00:00, 3538.4, 3538.4, 3538.4, 3538.4, 250999, 35446
2025/6/2, 00:00:00, 3622.4, 3622.4, 3622.4, 3622.4, 249947, 39889
2025/6/3, 00:00:00, 3604.9, 3604.9, 3604.9, 3604.9, 241317, 39082
2025/6/4, 00:00:00, 3626.3, 3626.3, 3626.3, 3626.3, 245309, 39801
2025/6/5, 00:00:00, 3599.9, 3599.9, 3599.9, 3599.9, 322931, 42904
2025/6/6, 00:00:00, 3571.6, 3571.6, 3571.6, 3571.6, 262247, 44528
2025/6/9, 00:00:00, 3579.4, 3579.4, 3579.4, 3579.4, 212816, 44414
2025/6/10, 00:00:00, 3567.9, 3567.9, 3567.9, 3567.9, 241885, 43741
2025/6/11, 00:00:00, 3567.4, 3567.4, 3567.4, 3567.4, 271339, 40899
2025/6/12, 00:00:00, 3623.2, 3623.2, 3623.2, 3623.2, 304564, 40358
2025/6/13, 00:00:00, 3675.8, 3675.8, 3675.8, 3675.8, 345688, 40769
2025/6/16, 00:00:00, 3639.2, 3639.2, 3639.2, 3639.2, 280768, 44643
2025/6/17, 00:00:00, 3630.0, 3630.0, 3630.0, 3630.0, 273901, 44993
2025/6/18, 00:00:00, 3630.0, 3630.0, 3630.0, 3630.0, 228559, 45579
2025/6/20, 00:00:00, 3607.8, 3607.8, 3607.8, 3607.8, 374009, 46995
2025/6/23, 00:00:00, 3616.4, 3616.4, 3616.4, 3616.4, 244532, 45514
2025/6/24, 00:00:00, 3554.9, 3554.9, 3554.9, 3554.9, 252659, 46420
2025/6/25, 00:00:00, 3563.7, 3563.7, 3563.7, 3563.7, 145812, 45876
2025/6/26, 00:00:00, 3568.3, 3568.3, 3568.3, 3568.3, 198589, 45631
2025/6/27, 00:00:00, 3505.3, 3505.3, 3505.3, 3505.3, 260986, 45882
2025/6/30, 00:00:00, 3525.5, 3525.5, 3525.5, 3525.5, 206318, 45014
2025/7/1, 00:00:00, 3568.5, 3568.5, 3568.5, 3568.5, 195156, 45300
2025/7/2, 00:00:00, 3579.7, 3579.7, 3579.7, 3579.7, 166883, 45696
2025/7/3, 00:00:00, 3564.0, 3564.0, 3564.0, 3564.0, 197315, 44875
2025/7/7, 00:00:00, 3563.4, 3563.4, 3563.4, 3563.4, 303940, 46000
2025/7/8, 00:00:00, 3539.4, 3539.4, 3539.4, 3539.4, 215496, 48319
