Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 03:00:00, 5100.0, 5100.0, 5100.0, 5100.0, 1, 1, 0, 1
2026/2/18, 14:00:00, 5141.8, 5155.0, 5141.8, 5155.0, 2, 2, 0, 2
2026/2/18, 15:00:00, 5197.5, 5197.5, 5197.5, 5197.5, 1, 1, 0, 1
2026/2/18, 19:00:00, 5181.2, 5181.2, 5181.2, 5181.2, 1, 1, 0, 1
2026/2/18, 23:00:00, 5158.1, 5159.9, 5156.1, 5158.2, 4, 4, 3, 1
2026/2/19, 00:00:00, 5156.1, 5157.9, 5155.1, 5155.1, 5, 5, 3, 2
2026/2/19, 01:00:00, 5156.9, 5156.9, 5156.9, 5156.9, 1, 1, 0, 1
2026/2/19, 02:00:00, 5153.1, 5154.9, 5153.1, 5154.9, 2, 2, 1, 1
2026/2/19, 03:00:00, 5153.1, 5155.2, 5153.1, 5155.2, 2, 2, 1, 1
2026/2/19, 07:00:00, 5205.2, 5205.2, 5205.2, 5205.2, 1, 1, 0, 1
2026/2/19, 10:00:00, 5177.1, 5178.9, 5176.1, 5177.9, 4, 4, 2, 2
2026/2/19, 11:00:00, 5181.9, 5181.9, 5175.1, 5175.1, 2, 2, 1, 1
2026/2/19, 12:00:00, 5176.9, 5176.9, 5173.1, 5174.9, 3, 3, 1, 2
2026/2/19, 14:00:00, 5170.1, 5171.9, 5170.1, 5171.9, 2, 2, 1, 1
2026/2/19, 15:00:00, 5209.0, 5209.0, 5209.0, 5209.0, 1, 1, 0, 1
2026/2/19, 16:00:00, 5192.7, 5197.1, 5192.7, 5197.1, 2, 2, 0, 2
2026/2/19, 17:00:00, 5187.1, 5187.1, 5187.1, 5187.1, 1, 1, 0, 1
2026/2/19, 18:00:00, 5170.1, 5171.9, 5168.1, 5169.9, 5, 5, 3, 2
2026/2/19, 20:00:00, 5180.4, 5180.4, 5180.4, 5180.4, 1, 1, 0, 1
2026/2/20, 02:00:00, 5185.7, 5185.8, 5185.7, 5185.8, 2, 2, 0, 2
2026/2/20, 06:00:00, 5211.4, 5211.4, 5211.4, 5211.4, 1, 1, 0, 1
2026/2/20, 09:00:00, 5220.6, 5220.6, 5220.4, 5220.4, 2, 2, 2, 0
2026/2/20, 13:00:00, 5216.2, 5216.2, 5216.2, 5216.2, 1, 1, 0, 1
2026/2/20, 14:00:00, 5252.3, 5252.3, 5252.3, 5252.3, 1, 1, 0, 1
2026/2/20, 15:00:00, 5212.4, 5235.6, 5200.0, 5229.0, 5, 5, 4, 1
2026/2/20, 16:00:00, 5245.7, 5262.6, 5245.7, 5257.0, 10, 8, 6, 4
2026/2/20, 17:00:00, 5251.0, 5270.0, 5251.0, 5270.0, 3, 3, 2, 1
2026/2/20, 18:00:00, 5256.0, 5263.0, 5256.0, 5263.0, 2, 2, 1, 1
2026/2/20, 19:00:00, 5271.0, 5271.0, 5271.0, 5271.0, 1, 1, 1, 0
2026/2/20, 20:00:00, 5278.0, 5284.0, 5278.0, 5284.0, 2, 2, 1, 1
2026/2/23, 00:00:00, 5348.5, 5348.5, 5338.0, 5338.0, 4, 4, 2, 2
2026/2/23, 01:00:00, 5350.4, 5350.4, 5350.4, 5350.4, 1, 1, 0, 1
