Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 03:20:00, 5100.0, 5100.0, 5100.0, 5100.0, 1, 1, 0, 1
2026/2/18, 14:00:00, 5141.8, 5141.8, 5141.8, 5141.8, 1, 1, 0, 1
2026/2/18, 14:30:00, 5155.0, 5155.0, 5155.0, 5155.0, 1, 1, 0, 1
2026/2/18, 15:15:00, 5197.5, 5197.5, 5197.5, 5197.5, 1, 1, 0, 1
2026/2/18, 19:00:00, 5181.2, 5181.2, 5181.2, 5181.2, 1, 1, 0, 1
2026/2/18, 23:05:00, 5158.1, 5159.9, 5158.1, 5159.9, 2, 2, 1, 1
2026/2/18, 23:55:00, 5156.1, 5158.2, 5156.1, 5158.2, 2, 2, 2, 0
2026/2/19, 00:00:00, 5156.1, 5156.1, 5156.1, 5156.1, 1, 1, 1, 0
2026/2/19, 00:15:00, 5157.9, 5157.9, 5155.1, 5155.1, 2, 2, 1, 1
2026/2/19, 00:30:00, 5156.9, 5156.9, 5156.9, 5156.9, 1, 1, 0, 1
2026/2/19, 00:40:00, 5155.1, 5155.1, 5155.1, 5155.1, 1, 1, 1, 0
2026/2/19, 01:35:00, 5156.9, 5156.9, 5156.9, 5156.9, 1, 1, 0, 1
2026/2/19, 02:15:00, 5153.1, 5154.9, 5153.1, 5154.9, 2, 2, 1, 1
2026/2/19, 03:00:00, 5153.1, 5153.1, 5153.1, 5153.1, 1, 1, 1, 0
2026/2/19, 03:20:00, 5155.2, 5155.2, 5155.2, 5155.2, 1, 1, 0, 1
2026/2/19, 07:25:00, 5205.2, 5205.2, 5205.2, 5205.2, 1, 1, 0, 1
2026/2/19, 10:10:00, 5177.1, 5178.9, 5176.1, 5177.9, 4, 4, 2, 2
2026/2/19, 11:15:00, 5181.9, 5181.9, 5181.9, 5181.9, 1, 1, 0, 1
2026/2/19, 11:25:00, 5175.1, 5175.1, 5175.1, 5175.1, 1, 1, 1, 0
2026/2/19, 12:05:00, 5176.9, 5176.9, 5176.9, 5176.9, 1, 1, 0, 1
2026/2/19, 12:45:00, 5173.1, 5173.1, 5173.1, 5173.1, 1, 1, 1, 0
2026/2/19, 12:50:00, 5174.9, 5174.9, 5174.9, 5174.9, 1, 1, 0, 1
2026/2/19, 14:05:00, 5170.1, 5170.1, 5170.1, 5170.1, 1, 1, 1, 0
2026/2/19, 14:35:00, 5171.9, 5171.9, 5171.9, 5171.9, 1, 1, 0, 1
2026/2/19, 15:30:00, 5209.0, 5209.0, 5209.0, 5209.0, 1, 1, 0, 1
2026/2/19, 16:30:00, 5192.7, 5192.7, 5192.7, 5192.7, 1, 1, 0, 1
2026/2/19, 16:40:00, 5197.1, 5197.1, 5197.1, 5197.1, 1, 1, 0, 1
2026/2/19, 17:05:00, 5187.1, 5187.1, 5187.1, 5187.1, 1, 1, 0, 1
2026/2/19, 18:20:00, 5170.1, 5170.1, 5170.1, 5170.1, 1, 1, 1, 0
2026/2/19, 18:30:00, 5171.9, 5171.9, 5171.0, 5171.0, 2, 2, 1, 1
2026/2/19, 18:40:00, 5168.1, 5168.1, 5168.1, 5168.1, 1, 1, 1, 0
2026/2/19, 18:45:00, 5169.9, 5169.9, 5169.9, 5169.9, 1, 1, 0, 1
2026/2/19, 20:10:00, 5180.4, 5180.4, 5180.4, 5180.4, 1, 1, 0, 1
2026/2/20, 02:20:00, 5185.7, 5185.8, 5185.7, 5185.8, 2, 2, 0, 2
2026/2/20, 06:30:00, 5211.4, 5211.4, 5211.4, 5211.4, 1, 1, 0, 1
2026/2/20, 09:55:00, 5220.6, 5220.6, 5220.4, 5220.4, 2, 2, 2, 0
2026/2/20, 13:15:00, 5216.2, 5216.2, 5216.2, 5216.2, 1, 1, 0, 1
