Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/5/30, 00:00:00, 2573.7, 2573.7, 2573.7, 2573.7, 90073, 28211
2024/5/31, 00:00:00, 2553.0, 2553.0, 2553.0, 2553.0, 88902, 28594
2024/6/3, 00:00:00, 2575.7, 2575.7, 2575.7, 2575.7, 79666, 28996
2024/6/4, 00:00:00, 2552.8, 2552.8, 2552.8, 2552.8, 78444, 29379
2024/6/5, 00:00:00, 2581.0, 2581.0, 2581.0, 2581.0, 74272, 28785
2024/6/6, 00:00:00, 2597.1, 2597.1, 2597.1, 2597.1, 87365, 29919
2024/6/7, 00:00:00, 2530.4, 2530.4, 2530.4, 2530.4, 151103, 32978
2024/6/10, 00:00:00, 2531.8, 2531.8, 2531.8, 2531.8, 71945, 32334
2024/6/11, 00:00:00, 2531.4, 2531.4, 2531.4, 2531.4, 73836, 32509
2024/6/12, 00:00:00, 2557.4, 2557.4, 2557.4, 2557.4, 104733, 31917
2024/6/13, 00:00:00, 2518.0, 2518.0, 2518.0, 2518.0, 108249, 32444
2024/6/14, 00:00:00, 2549.1, 2549.1, 2549.1, 2549.1, 89906, 31717
2024/6/17, 00:00:00, 2530.4, 2530.4, 2530.4, 2530.4, 73519, 32161
2024/6/18, 00:00:00, 2548.2, 2548.2, 2548.2, 2548.2, 79222, 31580
2024/6/20, 00:00:00, 2571.0, 2571.0, 2571.0, 2571.0, 141512, 31705
2024/6/21, 00:00:00, 2532.1, 2532.1, 2532.1, 2532.1, 111101, 30947
2024/6/24, 00:00:00, 2546.3, 2546.3, 2546.3, 2546.3, 64248, 30661
2024/6/25, 00:00:00, 2532.8, 2532.8, 2532.8, 2532.8, 79081, 30360
2024/6/26, 00:00:00, 2514.9, 2514.9, 2514.9, 2514.9, 95055, 31773
2024/6/27, 00:00:00, 2536.9, 2536.9, 2536.9, 2536.9, 77425, 29974
2024/6/28, 00:00:00, 2540.3, 2540.3, 2540.3, 2540.3, 75491, 30199
2024/7/1, 00:00:00, 2540.2, 2540.2, 2540.2, 2540.2, 70972, 31146
2024/7/2, 00:00:00, 2534.5, 2534.5, 2534.5, 2534.5, 75308, 30961
2024/7/3, 00:00:00, 2571.8, 2571.8, 2571.8, 2571.8, 83762, 32055
2024/7/5, 00:00:00, 2600.4, 2600.4, 2600.4, 2600.4, 127909, 37161
2024/7/8, 00:00:00, 2566.6, 2566.6, 2566.6, 2566.6, 84784, 38394
2024/7/9, 00:00:00, 2570.9, 2570.9, 2570.9, 2570.9, 82272, 38660
2024/7/10, 00:00:00, 2582.2, 2582.2, 2582.2, 2582.2, 66078, 39411
2024/7/11, 00:00:00, 2623.4, 2623.4, 2623.4, 2623.4, 115074, 41182
2024/7/12, 00:00:00, 2621.0, 2621.0, 2621.0, 2621.0, 89536, 40622
2024/7/15, 00:00:00, 2629.1, 2629.1, 2629.1, 2629.1, 102121, 41989
2024/7/16, 00:00:00, 2669.2, 2669.2, 2669.2, 2669.2, 116350, 43755
2024/7/17, 00:00:00, 2662.6, 2673.6, 2662.6, 2662.6, 143093, 45470
2024/7/18, 00:00:00, 2659.3, 2668.0, 2659.3, 2659.3, 103093, 45656
2024/7/19, 00:00:00, 2600.3, 2600.3, 2600.3, 2600.3, 135111, 44077
2024/7/22, 00:00:00, 2593.7, 2605.2, 2593.7, 2593.7, 99639, 43019
2024/7/23, 00:00:00, 2606.8, 2606.8, 2606.8, 2606.8, 92444, 43847
2024/7/24, 00:00:00, 2615.0, 2626.5, 2615.0, 2615.0, 118065, 42916
2024/7/25, 00:00:00, 2548.8, 2548.8, 2548.8, 2548.8, 186710, 37523
2024/7/26, 00:00:00, 2577.2, 2577.2, 2577.2, 2577.2, 113077, 33978
2024/7/29, 00:00:00, 2575.0, 2575.0, 2575.0, 2575.0, 128627, 37099
2024/7/30, 00:00:00, 2602.2, 2602.2, 2602.2, 2602.2, 104197, 29527
2024/7/31, 00:00:00, 2624.7, 2624.7, 2624.7, 2624.7, 93388, 29743
2024/8/1, 00:00:00, 2628.6, 2628.6, 2628.6, 2628.6, 127020, 30806
2024/8/2, 00:00:00, 2608.2, 2608.2, 2608.2, 2608.2, 201933, 31552
2024/8/5, 00:00:00, 2575.1, 2575.1, 2560.9, 2575.1, 242135, 31392
2024/8/6, 00:00:00, 2575.1, 2575.1, 2563.9, 2563.9, 130706, 32168
2024/8/7, 00:00:00, 2565.3, 2565.3, 2565.3, 2565.3, 96774, 33337
2024/8/8, 00:00:00, 2597.4, 2597.4, 2597.4, 2597.4, 108430, 35521
2024/8/9, 00:00:00, 2608.4, 2608.4, 2608.4, 2608.4, 92686, 36292
2024/8/12, 00:00:00, 2641.9, 2641.9, 2641.9, 2641.9, 99654, 36097
2024/8/13, 00:00:00, 2644.4, 2644.4, 2644.4, 2644.4, 102643, 38056
2024/8/14, 00:00:00, 2615.5, 2615.5, 2615.5, 2615.5, 119521, 37629
2024/8/15, 00:00:00, 2630.6, 2630.6, 2630.6, 2630.6, 126263, 39641
2024/8/16, 00:00:00, 2678.2, 2678.2, 2678.2, 2678.2, 163410, 41554
2024/8/19, 00:00:00, 2682.1, 2682.1, 2674.9, 2682.1, 110466, 42017
2024/8/20, 00:00:00, 2692.3, 2692.3, 2692.3, 2692.3, 118828, 44178
2024/8/21, 00:00:00, 2688.2, 2688.2, 2683.5, 2688.2, 117914, 44372
2024/8/22, 00:00:00, 2657.2, 2657.2, 2655.6, 2657.2, 127017, 45139
2024/8/23, 00:00:00, 2686.5, 2686.5, 2686.5, 2686.5, 114500, 43037
2024/8/26, 00:00:00, 2695.4, 2695.4, 2695.4, 2695.4, 90798, 43918
2024/8/27, 00:00:00, 2692.8, 2692.8, 2687.3, 2692.8, 97608, 43309
2024/8/28, 00:00:00, 2677.8, 2677.8, 2673.6, 2677.8, 111926, 43281
2024/8/29, 00:00:00, 2699.6, 2699.6, 2699.6, 2699.6, 108146, 44655
2024/8/30, 00:00:00, 2666.6, 2666.6, 2666.6, 2666.6, 113772, 45586
2024/9/3, 00:00:00, 2661.5, 2661.5, 2649.6, 2661.5, 161388, 44594
2024/9/4, 00:00:00, 2662.1, 2662.1, 2646.3, 2662.1, 91185, 44929
2024/9/5, 00:00:00, 2678.2, 2678.2, 2678.2, 2678.2, 96720, 45292
2024/9/6, 00:00:00, 2656.0, 2656.0, 2650.6, 2656.0, 143413, 44429
2024/9/9, 00:00:00, 2662.7, 2662.7, 2650.6, 2662.7, 75122, 44180
2024/9/10, 00:00:00, 2672.4, 2672.4, 2672.4, 2672.4, 76686, 44724
2024/9/11, 00:00:00, 2672.1, 2672.1, 2667.4, 2672.1, 99876, 45121
2024/9/12, 00:00:00, 2711.8, 2711.8, 2711.8, 2711.8, 135309, 48289
2024/9/13, 00:00:00, 2740.9, 2740.9, 2740.9, 2740.9, 110480, 47553
2024/9/16, 00:00:00, 2737.3, 2737.3, 2737.3, 2737.3, 71936, 48339
2024/9/17, 00:00:00, 2721.5, 2721.5, 2721.5, 2721.5, 96724, 47777
2024/9/18, 00:00:00, 2728.5, 2742.8, 2710.8, 2728.5, 148671, 46951
2024/9/19, 00:00:00, 2744.2, 2744.2, 2714.5, 2744.2, 125004, 48519
2024/9/20, 00:00:00, 2777.4, 2777.4, 2777.4, 2777.4, 124553, 48382
2024/9/23, 00:00:00, 2783.7, 2783.7, 2777.2, 2783.7, 86533, 49792
2024/9/24, 00:00:00, 2810.1, 2810.1, 2810.1, 2810.1, 121411, 49943
2024/9/25, 00:00:00, 2818.0, 2818.0, 2808.4, 2818.0, 107307, 50140
2024/9/26, 00:00:00, 2817.7, 2829.9, 2812.3, 2829.9, 123105, 52151
2024/9/27, 00:00:00, 2801.6, 2801.6, 2801.6, 2801.6, 112835, 46120
2024/9/30, 00:00:00, 2794.7, 2803.4, 2789.0, 2794.7, 101474, 47268
2024/10/1, 00:00:00, 2827.0, 2827.0, 2827.0, 2827.0, 121744, 47225
2024/10/2, 00:00:00, 2807.9, 2807.9, 2807.1, 2807.9, 88419, 44107
2024/10/3, 00:00:00, 2817.7, 2817.7, 2803.3, 2817.7, 94908, 44662
2024/10/4, 00:00:00, 2813.7, 2818.5, 2804.3, 2813.7, 122586, 44078
2024/10/7, 00:00:00, 2822.5, 2823.1, 2814.8, 2814.8, 87912, 44868
2024/10/8, 00:00:00, 2782.6, 2782.6, 2782.6, 2782.6, 139566, 45558
2024/10/9, 00:00:00, 2774.2, 2774.2, 2774.2, 2774.2, 82830, 45955
2024/10/10, 00:00:00, 2789.2, 2789.2, 2789.2, 2789.2, 102325, 46778
2024/10/11, 00:00:00, 2825.8, 2825.8, 2825.8, 2825.8, 99314, 45727
2024/10/14, 00:00:00, 2816.2, 2816.2, 2816.2, 2816.2, 81029, 46921
2024/10/15, 00:00:00, 2829.0, 2829.0, 2829.0, 2829.0, 92559, 46591
2024/10/16, 00:00:00, 2842.2, 2844.5, 2842.2, 2842.2, 90761, 46765
2024/10/17, 00:00:00, 2858.0, 2858.7, 2858.0, 2858.7, 118218, 48660
2024/10/18, 00:00:00, 2888.0, 2888.0, 2882.9, 2882.9, 116885, 48297
2024/10/21, 00:00:00, 2893.7, 2893.7, 2893.7, 2893.7, 132495, 49077
2024/10/22, 00:00:00, 2915.8, 2915.8, 2915.8, 2915.8, 107231, 50336
2024/10/23, 00:00:00, 2918.0, 2920.6, 2886.4, 2886.4, 147342, 51638
2024/10/24, 00:00:00, 2905.7, 2905.7, 2905.7, 2905.7, 115350, 50747
2024/10/25, 00:00:00, 2911.3, 2911.3, 2911.3, 2911.3, 103424, 49111
2024/10/28, 00:00:00, 2914.9, 2914.9, 2914.9, 2914.9, 99360, 50013
2024/10/29, 00:00:00, 2920.8, 2943.4, 2920.8, 2939.8, 127466, 50724
2024/10/30, 00:00:00, 2954.5, 2963.0, 2945.0, 2963.0, 128416, 51617
2024/10/31, 00:00:00, 2949.7, 2949.7, 2910.0, 2911.7, 140279, 54231
2024/11/1, 00:00:00, 2916.7, 2927.0, 2908.2, 2910.6, 108204, 53814
2024/11/4, 00:00:00, 2908.5, 2908.5, 2908.5, 2908.5, 86573, 53682
2024/11/5, 00:00:00, 2915.0, 2915.0, 2915.0, 2915.0, 86690, 53088
2024/11/6, 00:00:00, 2895.5, 2895.5, 2830.7, 2840.3, 217697, 54411
2024/11/7, 00:00:00, 2824.0, 2870.2, 2824.0, 2870.2, 142319, 54045
2024/11/8, 00:00:00, 2859.0, 2859.0, 2858.3, 2859.0, 117641, 53869
2024/11/11, 00:00:00, 2779.9, 2779.9, 2779.9, 2779.9, 141552, 55906
2024/11/12, 00:00:00, 2768.3, 2783.0, 2768.3, 2768.3, 142763, 56238
2024/11/13, 00:00:00, 2745.9, 2776.6, 2745.9, 2745.9, 141112, 55989
2024/11/14, 00:00:00, 2731.5, 2731.5, 2711.8, 2731.5, 167085, 54537
2024/11/15, 00:00:00, 2728.7, 2728.7, 2728.7, 2728.7, 117678, 53978
2024/11/18, 00:00:00, 2775.5, 2775.5, 2775.5, 2775.5, 121942, 53359
2024/11/19, 00:00:00, 2791.7, 2798.2, 2791.7, 2791.7, 130676, 54084
2024/11/20, 00:00:00, 2814.5, 2814.8, 2814.5, 2814.5, 116499, 50975
2024/11/21, 00:00:00, 2839.1, 2839.1, 2839.1, 2839.1, 123301, 52435
2024/11/22, 00:00:00, 2860.0, 2880.2, 2860.0, 2880.2, 178663, 51364
2024/11/25, 00:00:00, 2793.4, 2882.9, 2782.3, 2782.3, 263884, 51287
2024/11/26, 00:00:00, 2806.6, 2806.6, 2786.0, 2786.0, 167001, 48387
2024/11/27, 00:00:00, 2802.7, 2814.3, 2802.7, 2802.7, 125852, 26537
2024/11/29, 00:00:00, 2819.3, 2821.4, 2795.6, 2819.3, 144598, 27614
2024/12/2, 00:00:00, 2797.2, 2797.2, 2795.8, 2797.2, 138893, 28329
2024/12/3, 00:00:00, 2805.7, 2807.9, 2805.7, 2805.7, 107467, 28567
2024/12/4, 00:00:00, 2812.8, 2814.4, 2812.8, 2812.8, 108043, 29060
2024/12/5, 00:00:00, 2783.9, 2783.9, 2783.9, 2783.9, 110569, 31558
2024/12/6, 00:00:00, 2794.9, 2798.7, 2794.9, 2794.9, 122246, 28128
2024/12/9, 00:00:00, 2825.5, 2825.5, 2825.5, 2825.5, 131876, 28491
2024/12/10, 00:00:00, 2858.0, 2858.0, 2858.0, 2858.0, 120619, 28606
2024/12/11, 00:00:00, 2893.6, 2893.6, 2893.6, 2893.6, 175803, 30794
2024/12/12, 00:00:00, 2850.2, 2850.2, 2850.2, 2850.2, 168307, 34018
2024/12/13, 00:00:00, 2817.7, 2817.7, 2817.7, 2817.7, 141090, 34700
2024/12/16, 00:00:00, 2812.3, 2812.3, 2812.3, 2812.3, 84661, 35344
2024/12/17, 00:00:00, 2805.3, 2805.3, 2805.3, 2805.3, 111847, 34592
2024/12/18, 00:00:00, 2799.3, 2799.3, 2799.3, 2799.3, 110771, 35733
2024/12/19, 00:00:00, 2757.6, 2757.6, 2757.6, 2757.6, 133593, 36512
2024/12/20, 00:00:00, 2793.6, 2793.6, 2793.6, 2793.6, 113323, 34759
2024/12/23, 00:00:00, 2778.2, 2778.2, 2778.2, 2778.2, 77292, 35775
2024/12/24, 00:00:00, 2788.1, 2788.1, 2788.1, 2788.1, 45961, 33447
2024/12/26, 00:00:00, 2809.1, 2809.1, 2809.1, 2809.1, 62039, 33214
2024/12/27, 00:00:00, 2789.6, 2789.6, 2789.6, 2789.6, 74027, 31855
2024/12/30, 00:00:00, 2780.4, 2780.4, 2780.4, 2780.4, 83729, 32530
2024/12/31, 00:00:00, 2809.7, 2809.7, 2809.7, 2809.7, 66871, 32076
2025/1/2, 00:00:00, 2832.5, 2832.5, 2832.5, 2832.5, 89445, 33045
2025/1/3, 00:00:00, 2813.6, 2813.6, 2813.6, 2813.6, 83934, 32541
2025/1/6, 00:00:00, 2804.9, 2804.9, 2804.9, 2804.9, 119843, 33541
2025/1/7, 00:00:00, 2813.0, 2824.1, 2813.0, 2824.1, 104617, 32982
2025/1/8, 00:00:00, 2833.3, 2833.3, 2833.3, 2833.3, 105546, 32891
2025/1/9, 00:00:00, 2851.7, 2851.7, 2851.7, 2851.7, 86123, 34561
2025/1/10, 00:00:00, 2885.6, 2885.6, 2876.7, 2876.7, 166951, 32676
2025/1/13, 00:00:00, 2833.6, 2837.1, 2833.6, 2837.1, 141788, 32385
2025/1/14, 00:00:00, 2843.8, 2843.8, 2843.8, 2843.8, 94793, 33485
2025/1/15, 00:00:00, 2879.6, 2879.6, 2879.6, 2879.6, 120230, 33206
2025/1/16, 00:00:00, 2914.8, 2914.8, 2914.8, 2914.8, 120405, 34269
2025/1/17, 00:00:00, 2913.2, 2913.2, 2913.2, 2913.2, 107315, 34387
2025/1/21, 00:00:00, 2925.2, 2925.2, 2925.2, 2925.2, 234024, 37335
2025/1/22, 00:00:00, 2934.0, 2937.7, 2934.0, 2937.7, 112299, 38430
2025/1/23, 00:00:00, 2932.2, 2932.2, 2932.2, 2932.2, 122335, 38193
2025/1/24, 00:00:00, 2948.0, 2948.0, 2948.0, 2948.0, 141727, 38086
2025/1/27, 00:00:00, 2924.3, 2924.3, 2905.0, 2908.5, 146334, 37277
2025/1/28, 00:00:00, 2942.4, 2942.4, 2942.4, 2942.4, 96300, 37889
2025/1/29, 00:00:00, 2936.1, 2936.1, 2936.1, 2936.1, 96792, 36643
2025/1/30, 00:00:00, 2949.1, 2987.5, 2949.0, 2987.5, 126712, 30633
2025/1/31, 00:00:00, 2976.4, 2980.0, 2969.7, 2975.6, 124637, 28377
2025/2/3, 00:00:00, 2951.9, 3006.0, 2951.9, 2995.0, 151275, 29324
2025/2/4, 00:00:00, 3015.7, 3015.7, 3015.7, 3015.7, 109220, 30411
2025/2/5, 00:00:00, 3024.3, 3039.7, 3023.6, 3034.1, 130490, 32141
2025/2/6, 00:00:00, 3030.0, 3030.0, 3021.4, 3021.4, 125021, 31124
2025/2/7, 00:00:00, 3039.3, 3039.3, 3036.9, 3036.9, 132134, 31007
2025/2/10, 00:00:00, 3065.0, 3087.8, 3065.0, 3086.3, 120388, 35876
