Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:00:00, 5114.5, 5114.5, 5114.5, 5114.5, 1, 1, 0, 1
2026/2/18, 14:00:00, 5200.0, 5200.0, 5200.0, 5200.0, 1, 1, 0, 1
2026/2/19, 06:00:00, 5220.0, 5235.0, 5220.0, 5235.0, 3, 3, 0, 3
2026/2/19, 11:00:00, 5200.0, 5200.0, 5200.0, 5200.0, 1, 1, 1, 0
2026/2/19, 13:00:00, 5192.0, 5192.0, 5192.0, 5192.0, 1, 1, 1, 0
2026/2/20, 01:00:00, 5221.0, 5221.0, 5221.0, 5221.0, 1, 1, 1, 0
2026/2/20, 06:00:00, 5242.0, 5242.0, 5242.0, 5242.0, 1, 1, 0, 1
2026/2/20, 09:00:00, 5259.0, 5259.0, 5259.0, 5259.0, 1, 1, 0, 1
2026/2/20, 10:00:00, 5249.0, 5251.7, 5249.0, 5251.7, 2, 2, 1, 1
2026/2/20, 13:00:00, 5267.7, 5267.8, 5267.7, 5267.8, 2, 2, 0, 2
2026/2/20, 14:00:00, 5282.0, 5282.0, 5282.0, 5282.0, 1, 1, 0, 1
2026/2/20, 15:00:00, 5281.0, 5281.0, 5250.0, 5250.0, 2, 2, 1, 1
2026/2/20, 17:00:00, 5296.9, 5296.9, 5296.9, 5296.9, 1, 1, 0, 1
2026/2/22, 23:00:00, 5346.7, 5350.0, 5346.7, 5350.0, 2, 2, 0, 2
2026/2/23, 08:00:00, 5354.6, 5354.6, 5354.6, 5354.6, 1, 1, 1, 0
2026/2/23, 09:00:00, 5376.7, 5376.7, 5376.7, 5376.7, 1, 1, 1, 0
2026/2/23, 12:00:00, 5379.2, 5379.2, 5379.2, 5379.2, 1, 1, 1, 0
2026/2/23, 14:00:00, 5425.8, 5425.8, 5425.8, 5425.8, 1, 1, 0, 1
2026/2/23, 15:00:00, 5421.2, 5437.8, 5421.2, 5437.8, 4, 4, 2, 2
2026/2/23, 19:00:00, 5445.3, 5445.3, 5445.3, 5445.3, 1, 1, 1, 0
