Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/18, 02:40:00, 5114.5, 5114.5, 5114.5, 5114.5, 1, 1, 0, 1
2026/2/18, 14:40:00, 5200.0, 5200.0, 5200.0, 5200.0, 1, 1, 0, 1
2026/2/19, 06:25:00, 5220.0, 5220.0, 5220.0, 5220.0, 1, 1, 0, 1
2026/2/19, 06:30:00, 5225.0, 5225.0, 5225.0, 5225.0, 1, 1, 0, 1
2026/2/19, 06:50:00, 5235.0, 5235.0, 5235.0, 5235.0, 1, 1, 0, 1
2026/2/19, 11:15:00, 5200.0, 5200.0, 5200.0, 5200.0, 1, 1, 1, 0
2026/2/19, 13:30:00, 5192.0, 5192.0, 5192.0, 5192.0, 1, 1, 1, 0
2026/2/20, 01:30:00, 5221.0, 5221.0, 5221.0, 5221.0, 1, 1, 1, 0
2026/2/20, 06:20:00, 5242.0, 5242.0, 5242.0, 5242.0, 1, 1, 0, 1
2026/2/20, 09:05:00, 5259.0, 5259.0, 5259.0, 5259.0, 1, 1, 0, 1
2026/2/20, 10:00:00, 5249.0, 5249.0, 5249.0, 5249.0, 1, 1, 1, 0
2026/2/20, 10:15:00, 5251.7, 5251.7, 5251.7, 5251.7, 1, 1, 0, 1
2026/2/20, 13:50:00, 5267.7, 5267.8, 5267.7, 5267.8, 2, 2, 0, 2
2026/2/20, 14:50:00, 5282.0, 5282.0, 5282.0, 5282.0, 1, 1, 0, 1
2026/2/20, 15:00:00, 5281.0, 5281.0, 5250.0, 5250.0, 2, 2, 1, 1
2026/2/20, 17:05:00, 5296.9, 5296.9, 5296.9, 5296.9, 1, 1, 0, 1
2026/2/22, 23:00:00, 5346.7, 5346.7, 5346.7, 5346.7, 1, 1, 0, 1
2026/2/22, 23:05:00, 5350.0, 5350.0, 5350.0, 5350.0, 1, 1, 0, 1
2026/2/23, 08:40:00, 5354.6, 5354.6, 5354.6, 5354.6, 1, 1, 1, 0
2026/2/23, 09:25:00, 5376.7, 5376.7, 5376.7, 5376.7, 1, 1, 1, 0
2026/2/23, 12:15:00, 5379.2, 5379.2, 5379.2, 5379.2, 1, 1, 1, 0
2026/2/23, 14:45:00, 5425.8, 5425.8, 5425.8, 5425.8, 1, 1, 0, 1
2026/2/23, 15:00:00, 5421.2, 5421.2, 5421.2, 5421.2, 1, 1, 1, 0
2026/2/23, 15:35:00, 5421.9, 5421.9, 5421.9, 5421.9, 1, 1, 1, 0
2026/2/23, 15:50:00, 5437.7, 5437.8, 5437.7, 5437.8, 2, 2, 0, 2
2026/2/23, 19:40:00, 5445.3, 5445.3, 5445.3, 5445.3, 1, 1, 1, 0
2026/2/23, 21:00:00, 5465.0, 5465.0, 5465.0, 5465.0, 1, 1, 0, 1
2026/2/24, 00:00:00, 5450.0, 5450.0, 5450.0, 5450.0, 1, 1, 1, 0
2026/2/24, 01:10:00, 5414.0, 5414.0, 5414.0, 5414.0, 1, 1, 1, 0
2026/2/24, 01:15:00, 5389.4, 5389.4, 5389.3, 5389.3, 2, 2, 2, 0
2026/2/24, 01:20:00, 5388.3, 5388.3, 5388.2, 5388.2, 2, 2, 2, 0
2026/2/24, 08:20:00, 5397.9, 5397.9, 5397.8, 5397.8, 2, 2, 2, 0
2026/2/24, 08:25:00, 5403.0, 5403.0, 5403.0, 5403.0, 1, 1, 1, 0
2026/2/24, 12:50:00, 5379.2, 5379.2, 5379.2, 5379.2, 1, 1, 1, 0
2026/2/24, 19:40:00, 5385.7, 5387.3, 5383.4, 5384.1, 49, 47, 0, 49
2026/2/24, 19:45:00, 5382.9, 5384.0, 5382.9, 5384.0, 7, 7, 0, 7
2026/2/25, 00:30:00, 5379.0, 5379.0, 5379.0, 5379.0, 1, 1, 0, 1
2026/2/25, 00:40:00, 5384.7, 5386.0, 5379.9, 5379.9, 3, 3, 1, 2
2026/2/25, 00:45:00, 5375.5, 5375.5, 5375.5, 5375.5, 1, 1, 0, 1
2026/2/25, 01:00:00, 5382.0, 5389.6, 5380.0, 5389.6, 3, 3, 2, 1
2026/2/25, 06:25:00, 5422.0, 5422.0, 5422.0, 5422.0, 1, 1, 1, 0
2026/2/25, 14:00:00, 5416.9, 5416.9, 5416.9, 5416.9, 1, 1, 0, 1
2026/2/25, 19:45:00, 5438.2, 5439.1, 5432.2, 5432.2, 49, 47, 49, 0
2026/2/25, 19:50:00, 5438.6, 5438.9, 5438.5, 5438.5, 4, 4, 4, 0
2026/2/26, 19:05:00, 5415.2, 5415.2, 5415.0, 5415.0, 2, 2, 2, 0
2026/2/27, 02:30:00, 5414.1, 5414.1, 5410.5, 5413.0, 4, 4, 1, 3
2026/2/27, 02:35:00, 5413.0, 5413.0, 5404.0, 5404.0, 3, 3, 2, 1
2026/2/27, 02:40:00, 5406.1, 5409.9, 5406.1, 5409.9, 2, 2, 1, 1
2026/2/27, 02:50:00, 5403.7, 5404.4, 5403.7, 5404.4, 2, 2, 0, 2
2026/2/27, 02:55:00, 5405.7, 5410.9, 5405.7, 5410.9, 2, 2, 1, 1
2026/2/27, 03:10:00, 5411.9, 5411.9, 5411.9, 5411.9, 1, 1, 0, 1
2026/2/27, 03:20:00, 5412.4, 5412.4, 5412.4, 5412.4, 1, 1, 0, 1
2026/2/27, 03:25:00, 5414.8, 5414.8, 5414.8, 5414.8, 1, 1, 1, 0
2026/2/27, 03:35:00, 5414.3, 5414.3, 5414.3, 5414.3, 1, 1, 0, 1
2026/2/27, 05:50:00, 5420.4, 5420.4, 5420.4, 5420.4, 1, 1, 0, 1
