Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/6/7, 00:00:00, 2540.2, 2540.2, 2540.2, 2540.2, 151103, 32978
2024/6/10, 00:00:00, 2541.6, 2541.6, 2541.6, 2541.6, 71945, 32334
2024/6/11, 00:00:00, 2541.2, 2541.2, 2541.2, 2541.2, 73836, 32509
2024/6/12, 00:00:00, 2567.2, 2567.2, 2567.2, 2567.2, 104733, 31917
2024/6/13, 00:00:00, 2527.8, 2527.8, 2527.8, 2527.8, 108249, 32444
2024/6/14, 00:00:00, 2558.9, 2558.9, 2558.9, 2558.9, 89906, 31717
2024/6/17, 00:00:00, 2540.2, 2540.2, 2540.2, 2540.2, 73519, 32161
2024/6/18, 00:00:00, 2558.0, 2558.0, 2558.0, 2558.0, 79222, 31580
2024/6/20, 00:00:00, 2580.8, 2580.8, 2580.8, 2580.8, 141512, 31705
2024/6/21, 00:00:00, 2541.9, 2541.9, 2541.9, 2541.9, 111101, 30947
2024/6/24, 00:00:00, 2556.1, 2556.1, 2556.1, 2556.1, 64248, 30661
2024/6/25, 00:00:00, 2542.6, 2542.6, 2542.6, 2542.6, 79081, 30360
2024/6/26, 00:00:00, 2524.7, 2524.7, 2524.7, 2524.7, 95055, 31773
2024/6/27, 00:00:00, 2546.7, 2546.7, 2546.7, 2546.7, 77425, 29974
2024/6/28, 00:00:00, 2550.1, 2550.1, 2550.1, 2550.1, 75491, 30199
2024/7/1, 00:00:00, 2550.0, 2550.0, 2550.0, 2550.0, 70972, 31146
2024/7/2, 00:00:00, 2544.3, 2544.3, 2544.3, 2544.3, 75308, 30961
2024/7/3, 00:00:00, 2581.6, 2581.6, 2581.6, 2581.6, 83762, 32055
2024/7/5, 00:00:00, 2610.2, 2610.2, 2610.2, 2610.2, 127909, 37161
2024/7/8, 00:00:00, 2576.5, 2576.5, 2576.5, 2576.5, 84784, 38394
2024/7/9, 00:00:00, 2580.8, 2580.8, 2580.8, 2580.8, 82272, 38660
2024/7/10, 00:00:00, 2593.1, 2593.1, 2593.1, 2593.1, 66078, 39411
2024/7/11, 00:00:00, 2635.2, 2635.2, 2635.2, 2635.2, 115074, 41182
2024/7/12, 00:00:00, 2633.0, 2633.0, 2633.0, 2633.0, 89536, 40622
2024/7/15, 00:00:00, 2641.1, 2641.1, 2641.1, 2641.1, 102121, 41989
2024/7/16, 00:00:00, 2681.2, 2681.2, 2681.2, 2681.2, 116350, 43755
2024/7/17, 00:00:00, 2674.6, 2674.6, 2674.6, 2674.6, 143093, 45470
2024/7/18, 00:00:00, 2671.3, 2671.3, 2671.3, 2671.3, 103093, 45656
2024/7/19, 00:00:00, 2612.8, 2612.8, 2612.8, 2612.8, 135111, 44077
2024/7/22, 00:00:00, 2606.2, 2606.2, 2606.2, 2606.2, 99639, 43019
2024/7/23, 00:00:00, 2619.3, 2619.3, 2619.3, 2619.3, 92444, 43847
2024/7/24, 00:00:00, 2627.5, 2627.5, 2627.5, 2627.5, 118065, 42916
2024/7/25, 00:00:00, 2561.3, 2561.3, 2561.3, 2561.3, 186710, 37523
2024/7/26, 00:00:00, 2589.7, 2589.7, 2589.7, 2589.7, 113077, 33978
2024/7/29, 00:00:00, 2587.5, 2587.5, 2587.5, 2587.5, 128627, 37099
2024/7/30, 00:00:00, 2614.7, 2614.7, 2614.7, 2614.7, 104197, 29527
2024/7/31, 00:00:00, 2638.2, 2638.2, 2638.2, 2638.2, 93388, 29743
2024/8/1, 00:00:00, 2642.1, 2642.1, 2642.1, 2642.1, 127020, 30806
2024/8/2, 00:00:00, 2621.7, 2621.7, 2621.7, 2621.7, 201933, 31552
2024/8/5, 00:00:00, 2588.6, 2588.6, 2588.6, 2588.6, 242135, 31392
2024/8/6, 00:00:00, 2577.9, 2577.9, 2577.9, 2577.9, 130706, 32168
2024/8/7, 00:00:00, 2579.3, 2579.3, 2579.3, 2579.3, 96774, 33337
2024/8/8, 00:00:00, 2611.4, 2611.4, 2611.4, 2611.4, 108430, 35521
2024/8/9, 00:00:00, 2622.4, 2622.4, 2622.4, 2622.4, 92686, 36292
2024/8/12, 00:00:00, 2655.9, 2655.9, 2655.9, 2655.9, 99654, 36097
2024/8/13, 00:00:00, 2658.4, 2658.4, 2658.4, 2658.4, 102643, 38056
2024/8/14, 00:00:00, 2629.5, 2629.5, 2629.5, 2629.5, 119521, 37629
2024/8/15, 00:00:00, 2644.8, 2644.8, 2644.8, 2644.8, 126263, 39641
2024/8/16, 00:00:00, 2692.5, 2692.5, 2692.5, 2692.5, 163410, 41554
2024/8/19, 00:00:00, 2696.4, 2696.4, 2696.4, 2696.4, 110466, 42017
2024/8/20, 00:00:00, 2707.5, 2707.5, 2707.5, 2707.5, 118828, 44178
2024/8/21, 00:00:00, 2703.4, 2703.4, 2703.4, 2703.4, 117914, 44372
2024/8/22, 00:00:00, 2672.4, 2672.4, 2672.4, 2672.4, 127017, 45139
2024/8/23, 00:00:00, 2701.7, 2701.7, 2701.7, 2701.7, 114500, 43037
2024/8/26, 00:00:00, 2710.6, 2710.6, 2710.6, 2710.6, 90798, 43918
2024/8/27, 00:00:00, 2708.0, 2708.0, 2708.0, 2708.0, 97608, 43309
2024/8/28, 00:00:00, 2693.0, 2693.0, 2693.0, 2693.0, 111926, 43281
2024/8/29, 00:00:00, 2714.8, 2714.8, 2714.8, 2714.8, 108146, 44655
2024/8/30, 00:00:00, 2681.8, 2681.8, 2681.8, 2681.8, 113772, 45586
2024/9/3, 00:00:00, 2676.7, 2676.7, 2676.7, 2676.7, 161388, 44594
2024/9/4, 00:00:00, 2677.3, 2677.3, 2677.3, 2677.3, 91185, 44929
2024/9/5, 00:00:00, 2693.4, 2695.4, 2693.4, 2693.4, 96720, 45292
2024/9/6, 00:00:00, 2671.2, 2698.9, 2671.2, 2671.2, 143413, 44429
2024/9/9, 00:00:00, 2677.9, 2677.9, 2677.9, 2677.9, 75122, 44180
2024/9/10, 00:00:00, 2687.5, 2687.5, 2687.5, 2687.5, 76686, 44724
2024/9/11, 00:00:00, 2687.2, 2687.2, 2687.2, 2687.2, 99876, 45121
2024/9/12, 00:00:00, 2726.9, 2726.9, 2726.9, 2726.9, 135309, 48289
2024/9/13, 00:00:00, 2756.0, 2756.0, 2756.0, 2756.0, 110480, 47553
2024/9/16, 00:00:00, 2752.4, 2752.4, 2752.4, 2752.4, 71936, 48339
2024/9/17, 00:00:00, 2744.6, 2744.6, 2736.6, 2736.6, 96724, 47777
2024/9/18, 00:00:00, 2743.6, 2758.5, 2730.5, 2743.6, 148671, 46951
2024/9/19, 00:00:00, 2759.3, 2759.3, 2732.9, 2759.3, 125004, 48519
2024/9/20, 00:00:00, 2792.5, 2792.5, 2792.5, 2792.5, 124553, 48382
2024/9/23, 00:00:00, 2798.8, 2798.8, 2798.8, 2798.8, 86533, 49792
2024/9/24, 00:00:00, 2825.7, 2827.0, 2825.7, 2825.7, 121411, 49943
2024/9/25, 00:00:00, 2833.5, 2833.5, 2833.5, 2833.5, 107307, 50140
2024/9/26, 00:00:00, 2845.4, 2847.7, 2845.4, 2845.4, 123105, 52151
2024/9/27, 00:00:00, 2817.1, 2817.1, 2817.1, 2817.1, 112835, 46120
2024/9/30, 00:00:00, 2810.2, 2821.8, 2800.0, 2810.2, 101474, 47268
2024/10/1, 00:00:00, 2842.5, 2842.5, 2806.9, 2842.5, 121744, 47225
2024/10/2, 00:00:00, 2825.5, 2825.5, 2821.2, 2825.4, 88419, 44107
2024/10/3, 00:00:00, 2835.2, 2835.2, 2822.4, 2835.2, 94908, 44662
2024/10/4, 00:00:00, 2819.8, 2841.3, 2819.8, 2831.2, 122586, 44078
2024/10/7, 00:00:00, 2832.5, 2833.7, 2832.5, 2832.5, 87912, 44868
2024/10/8, 00:00:00, 2800.3, 2800.3, 2800.3, 2800.3, 139566, 45558
2024/10/9, 00:00:00, 2791.9, 2791.9, 2791.9, 2791.9, 82830, 45955
2024/10/10, 00:00:00, 2807.2, 2807.2, 2807.2, 2807.2, 102325, 46778
2024/10/11, 00:00:00, 2843.8, 2843.8, 2843.8, 2843.8, 99314, 45727
2024/10/14, 00:00:00, 2834.3, 2834.3, 2834.3, 2834.3, 81029, 46921
2024/10/15, 00:00:00, 2847.1, 2847.1, 2847.1, 2847.1, 92559, 46591
2024/10/16, 00:00:00, 2860.3, 2863.6, 2860.3, 2860.3, 90761, 46765
2024/10/17, 00:00:00, 2876.8, 2876.8, 2876.8, 2876.8, 118218, 48660
2024/10/18, 00:00:00, 2901.0, 2901.7, 2901.0, 2901.0, 116885, 48297
2024/10/21, 00:00:00, 2911.8, 2911.8, 2911.8, 2911.8, 132495, 49077
2024/10/22, 00:00:00, 2934.3, 2934.3, 2934.3, 2934.3, 107231, 50336
2024/10/23, 00:00:00, 2905.4, 2941.1, 2905.4, 2905.4, 147342, 51638
2024/10/24, 00:00:00, 2924.7, 2924.7, 2924.7, 2924.7, 115350, 50747
2024/10/25, 00:00:00, 2930.3, 2930.3, 2930.3, 2930.3, 103424, 49111
2024/10/28, 00:00:00, 2933.9, 2933.9, 2933.9, 2933.9, 99360, 50013
2024/10/29, 00:00:00, 2958.8, 2958.8, 2958.8, 2958.8, 127466, 50724
2024/10/30, 00:00:00, 2982.0, 2982.0, 2982.0, 2982.0, 128416, 51617
2024/10/31, 00:00:00, 2930.6, 2930.6, 2930.6, 2930.6, 140279, 54231
2024/11/1, 00:00:00, 2929.5, 2940.1, 2929.5, 2929.5, 108204, 53814
2024/11/4, 00:00:00, 2927.4, 2927.4, 2927.4, 2927.4, 86573, 53682
2024/11/5, 00:00:00, 2933.9, 2933.9, 2933.9, 2933.9, 86690, 53088
2024/11/6, 00:00:00, 2859.4, 2859.4, 2854.5, 2859.4, 217697, 54411
2024/11/7, 00:00:00, 2889.3, 2889.3, 2847.7, 2889.3, 142319, 54045
2024/11/8, 00:00:00, 2878.1, 2878.1, 2878.1, 2878.1, 117641, 53869
2024/11/11, 00:00:00, 2799.0, 2799.0, 2799.0, 2799.0, 141552, 55906
2024/11/12, 00:00:00, 2787.5, 2787.5, 2784.7, 2787.5, 142763, 56238
2024/11/13, 00:00:00, 2765.1, 2788.3, 2765.1, 2765.1, 141112, 55989
2024/11/14, 00:00:00, 2750.7, 2750.7, 2739.3, 2750.7, 167085, 54537
2024/11/15, 00:00:00, 2747.9, 2747.9, 2747.9, 2747.9, 117678, 53978
2024/11/18, 00:00:00, 2794.7, 2794.7, 2794.7, 2794.7, 121942, 53359
2024/11/19, 00:00:00, 2810.9, 2810.9, 2810.9, 2810.9, 130676, 54084
2024/11/20, 00:00:00, 2833.7, 2833.7, 2833.7, 2833.7, 116499, 50975
2024/11/21, 00:00:00, 2858.3, 2858.3, 2858.3, 2858.3, 123301, 52435
2024/11/22, 00:00:00, 2899.5, 2899.5, 2899.5, 2899.5, 178663, 51364
2024/11/25, 00:00:00, 2801.7, 2801.7, 2801.7, 2801.7, 263884, 51287
2024/11/26, 00:00:00, 2805.4, 2808.8, 2805.4, 2805.4, 167001, 48387
