Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 4925.0, 4937.5, 4906.4, 4913.1, 144, 131, 76, 68
2026/2/18, 00:00:00, 4916.0, 4935.4, 4912.6, 4926.5, 106, 92, 61, 45
2026/2/18, 01:00:00, 4929.9, 4948.0, 4929.9, 4944.0, 134, 123, 63, 71
2026/2/18, 02:00:00, 4944.0, 4962.0, 4944.0, 4960.0, 139, 134, 75, 64
2026/2/18, 03:00:00, 4960.7, 4976.3, 4960.7, 4975.2, 135, 121, 70, 65
2026/2/18, 04:00:00, 4976.3, 4996.5, 4975.3, 4990.1, 166, 144, 87, 79
2026/2/18, 05:00:00, 4992.0, 4995.9, 4985.6, 4988.7, 55, 52, 39, 16
2026/2/18, 06:00:00, 4989.2, 4992.0, 4981.0, 4988.6, 98, 91, 41, 57
2026/2/18, 07:00:00, 4989.7, 4997.3, 4985.8, 4985.8, 56, 55, 25, 31
2026/2/18, 08:00:00, 4989.0, 4989.2, 4974.7, 4974.9, 113, 95, 59, 54
2026/2/18, 09:00:00, 4975.7, 4979.5, 4970.2, 4975.4, 78, 68, 50, 28
2026/2/18, 10:00:00, 4976.4, 4981.3, 4967.4, 4971.8, 108, 105, 48, 60
2026/2/18, 11:00:00, 4971.8, 4975.0, 4963.4, 4968.1, 79, 77, 56, 23
2026/2/18, 12:00:00, 4972.8, 5003.5, 4972.8, 4999.5, 169, 152, 77, 92
2026/2/18, 13:00:00, 5001.1, 5025.6, 5001.1, 5012.8, 340, 271, 169, 171
2026/2/18, 14:00:00, 5012.9, 5052.2, 5010.0, 5050.4, 486, 399, 205, 281
2026/2/18, 15:00:00, 5050.6, 5065.6, 5050.0, 5055.7, 279, 241, 160, 119
2026/2/18, 16:00:00, 5055.7, 5067.9, 5049.7, 5058.9, 127, 108, 62, 65
2026/2/18, 17:00:00, 5058.9, 5060.0, 5052.4, 5058.9, 129, 109, 72, 57
2026/2/18, 18:00:00, 5059.5, 5061.0, 5039.2, 5045.9, 215, 191, 113, 102
2026/2/18, 19:00:00, 5043.9, 5052.2, 5031.3, 5038.2, 174, 162, 98, 76
2026/2/18, 20:00:00, 5037.6, 5043.7, 5033.6, 5042.3, 110, 100, 68, 42
2026/2/18, 21:00:00, 5042.7, 5043.0, 5033.1, 5034.1, 54, 47, 20, 34
2026/2/18, 23:00:00, 5033.0, 5045.0, 5010.0, 5030.0, 164, 149, 95, 69
2026/2/19, 00:00:00, 5028.9, 5029.3, 5015.0, 5016.5, 122, 105, 67, 55
2026/2/19, 01:00:00, 5017.6, 5030.7, 5017.3, 5029.4, 89, 81, 40, 49
2026/2/19, 02:00:00, 5029.1, 5033.6, 5022.6, 5024.7, 102, 91, 42, 60
2026/2/19, 03:00:00, 5022.9, 5039.6, 5022.6, 5038.6, 113, 109, 53, 60
2026/2/19, 04:00:00, 5036.4, 5040.7, 5033.2, 5040.5, 84, 60, 45, 39
2026/2/19, 05:00:00, 5042.2, 5054.0, 5040.9, 5051.1, 76, 72, 30, 46
2026/2/19, 06:00:00, 5054.9, 5075.4, 5053.2, 5073.4, 108, 101, 37, 71
2026/2/19, 07:00:00, 5074.5, 5076.9, 5064.0, 5067.5, 167, 140, 89, 78
2026/2/19, 08:00:00, 5065.0, 5078.2, 5062.7, 5073.2, 105, 90, 37, 68
2026/2/19, 09:00:00, 5073.6, 5075.4, 5049.6, 5053.2, 137, 127, 82, 55
2026/2/19, 10:00:00, 5052.0, 5052.0, 5039.5, 5048.3, 176, 164, 115, 61
2026/2/19, 11:00:00, 5047.9, 5053.6, 5035.0, 5041.5, 190, 180, 72, 118
2026/2/19, 12:00:00, 5042.9, 5048.7, 5038.4, 5042.2, 92, 84, 44, 48
2026/2/19, 13:00:00, 5040.2, 5056.0, 5028.8, 5054.6, 205, 184, 91, 114
2026/2/19, 14:00:00, 5053.3, 5066.8, 5020.0, 5063.0, 388, 361, 222, 166
2026/2/19, 15:00:00, 5065.3, 5080.2, 5053.3, 5072.0, 317, 289, 177, 140
2026/2/19, 16:00:00, 5070.6, 5070.6, 5046.9, 5052.8, 179, 153, 112, 67
2026/2/19, 17:00:00, 5054.5, 5058.2, 5039.9, 5042.1, 141, 134, 60, 81
2026/2/19, 18:00:00, 5041.1, 5046.0, 5032.3, 5037.1, 212, 190, 90, 122
2026/2/19, 19:00:00, 5038.4, 5046.8, 5035.8, 5044.5, 141, 115, 68, 73
2026/2/19, 20:00:00, 5045.5, 5058.8, 5045.4, 5058.3, 83, 74, 46, 37
2026/2/19, 21:00:00, 5058.3, 5060.0, 5049.1, 5051.7, 72, 52, 43, 29
2026/2/19, 23:00:00, 5060.0, 5063.8, 5042.9, 5047.2, 92, 82, 61, 31
2026/2/20, 00:00:00, 5047.1, 5060.9, 5043.4, 5060.9, 66, 59, 30, 36
2026/2/20, 01:00:00, 5064.0, 5070.7, 5051.6, 5052.7, 159, 142, 93, 66
2026/2/20, 02:00:00, 5052.9, 5063.1, 5048.7, 5050.1, 127, 115, 60, 67
2026/2/20, 03:00:00, 5052.2, 5055.1, 5037.7, 5042.8, 215, 189, 121, 94
2026/2/20, 04:00:00, 5043.9, 5058.2, 5043.7, 5055.0, 74, 70, 35, 39
2026/2/20, 05:00:00, 5056.6, 5067.0, 5053.8, 5067.0, 79, 70, 35, 44
2026/2/20, 06:00:00, 5067.9, 5086.5, 5067.9, 5076.6, 208, 170, 89, 119
2026/2/20, 07:00:00, 5078.1, 5084.3, 5064.0, 5064.5, 146, 122, 72, 74
2026/2/20, 08:00:00, 5064.8, 5088.0, 5062.2, 5086.4, 171, 145, 68, 103
2026/2/20, 09:00:00, 5087.4, 5100.3, 5085.0, 5085.5, 147, 137, 71, 76
2026/2/20, 10:00:00, 5085.0, 5095.6, 5079.0, 5091.7, 166, 143, 73, 93
2026/2/20, 11:00:00, 5092.4, 5092.6, 5073.0, 5074.4, 103, 92, 78, 25
2026/2/20, 12:00:00, 5073.0, 5083.2, 5064.0, 5082.2, 145, 135, 74, 71
2026/2/20, 13:00:00, 5082.7, 5106.6, 5076.0, 5101.5, 283, 216, 132, 151
2026/2/20, 14:00:00, 5103.1, 5119.0, 5095.5, 5112.6, 335, 295, 152, 183
2026/2/20, 15:00:00, 5114.1, 5122.1, 5043.0, 5100.9, 1104, 962, 581, 523
2026/2/20, 16:00:00, 5100.0, 5128.0, 5097.2, 5120.0, 430, 362, 196, 234
2026/2/20, 17:00:00, 5125.3, 5135.6, 5113.8, 5132.7, 285, 243, 153, 132
2026/2/20, 18:00:00, 5131.7, 5135.0, 5114.1, 5132.3, 227, 193, 121, 106
2026/2/20, 19:00:00, 5133.9, 5141.9, 5129.9, 5141.7, 168, 144, 86, 82
2026/2/20, 20:00:00, 5140.7, 5159.2, 5139.1, 5158.5, 250, 214, 91, 159
2026/2/20, 21:00:00, 5158.5, 5169.3, 5153.3, 5168.0, 179, 157, 90, 89
2026/2/22, 23:00:00, 5173.3, 5233.2, 5163.0, 5228.3, 706, 537, 340, 366
2026/2/23, 00:00:00, 5227.5, 5227.5, 5191.7, 5207.0, 493, 442, 259, 234
2026/2/23, 01:00:00, 5204.7, 5229.1, 5201.7, 5218.0, 338, 288, 135, 203
2026/2/23, 02:00:00, 5219.2, 5237.9, 5219.2, 5235.4, 233, 201, 81, 152
2026/2/23, 03:00:00, 5236.5, 5236.8, 5214.9, 5229.0, 294, 253, 159, 135
2026/2/23, 04:00:00, 5227.6, 5229.2, 5217.0, 5221.2, 121, 110, 74, 47
2026/2/23, 05:00:00, 5221.5, 5221.5, 5212.9, 5220.0, 129, 118, 63, 66
2026/2/23, 06:00:00, 5219.9, 5222.5, 5207.3, 5207.5, 158, 136, 76, 82
2026/2/23, 07:00:00, 5205.1, 5213.9, 5186.3, 5199.0, 310, 281, 201, 109
2026/2/23, 08:00:00, 5197.6, 5201.6, 5181.9, 5200.9, 120, 113, 64, 56
2026/2/23, 09:00:00, 5199.5, 5210.2, 5199.5, 5208.7, 106, 96, 43, 63
