Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/9/27, 00:00:00, 2833.1, 2833.1, 2833.1, 2833.1, 112835, 46120
2024/9/30, 00:00:00, 2826.2, 2826.2, 2826.2, 2826.2, 101474, 47268
2024/10/1, 00:00:00, 2858.5, 2858.5, 2858.5, 2858.5, 121744, 47225
2024/10/2, 00:00:00, 2841.4, 2841.4, 2841.4, 2841.4, 88419, 44107
2024/10/3, 00:00:00, 2851.2, 2851.2, 2851.2, 2851.2, 94908, 44662
2024/10/4, 00:00:00, 2847.3, 2847.3, 2847.3, 2847.3, 122586, 44078
2024/10/7, 00:00:00, 2848.7, 2848.7, 2848.7, 2848.7, 87912, 44868
2024/10/8, 00:00:00, 2816.5, 2816.5, 2816.5, 2816.5, 139566, 45558
2024/10/9, 00:00:00, 2808.1, 2808.1, 2808.1, 2808.1, 82830, 45955
2024/10/10, 00:00:00, 2823.7, 2823.7, 2823.7, 2823.7, 102325, 46778
2024/10/11, 00:00:00, 2860.3, 2860.3, 2860.3, 2860.3, 99314, 45727
2024/10/14, 00:00:00, 2851.0, 2851.0, 2851.0, 2851.0, 81029, 46921
2024/10/15, 00:00:00, 2863.8, 2863.8, 2863.8, 2863.8, 92559, 46591
2024/10/16, 00:00:00, 2877.0, 2877.0, 2877.0, 2877.0, 90761, 46765
2024/10/17, 00:00:00, 2893.5, 2893.5, 2893.5, 2893.5, 118218, 48660
2024/10/18, 00:00:00, 2917.7, 2917.7, 2917.7, 2917.7, 116885, 48297
2024/10/21, 00:00:00, 2928.5, 2928.5, 2928.5, 2928.5, 132495, 49077
2024/10/22, 00:00:00, 2951.3, 2951.3, 2951.3, 2951.3, 107231, 50336
2024/10/23, 00:00:00, 2923.0, 2923.0, 2923.0, 2923.0, 147342, 51638
2024/10/24, 00:00:00, 2942.4, 2942.4, 2942.4, 2942.4, 115350, 50747
2024/10/25, 00:00:00, 2948.0, 2948.0, 2948.0, 2948.0, 103424, 49111
2024/10/28, 00:00:00, 2951.6, 2951.6, 2951.6, 2951.6, 99360, 50013
2024/10/29, 00:00:00, 2976.6, 2976.6, 2976.6, 2976.6, 127466, 50724
2024/10/30, 00:00:00, 3003.4, 3003.4, 3003.4, 3003.4, 128416, 51617
2024/10/31, 00:00:00, 2951.9, 2951.9, 2951.9, 2951.9, 140279, 54231
