Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 4964.0, 4970.0, 4950.0, 4950.1, 7, 7, 4, 3
2026/2/18, 00:00:00, 4954.3, 4971.0, 4954.3, 4970.4, 13, 13, 5, 8
2026/2/18, 01:00:00, 4969.3, 4980.7, 4969.3, 4980.0, 24, 22, 12, 12
2026/2/18, 02:00:00, 4990.0, 4997.6, 4987.3, 4996.2, 35, 33, 13, 22
2026/2/18, 03:00:00, 4997.9, 5013.8, 4997.9, 5013.8, 10, 10, 3, 7
2026/2/18, 04:00:00, 5014.3, 5030.7, 5014.3, 5026.0, 45, 41, 31, 14
2026/2/18, 05:00:00, 5028.8, 5029.9, 5025.0, 5026.8, 7, 7, 4, 3
2026/2/18, 06:00:00, 5021.3, 5028.2, 5018.7, 5027.6, 19, 13, 10, 9
2026/2/18, 07:00:00, 5029.0, 5029.5, 5023.0, 5023.0, 7, 7, 3, 4
2026/2/18, 08:00:00, 5021.8, 5021.8, 5011.7, 5012.5, 19, 17, 14, 5
2026/2/18, 09:00:00, 5010.3, 5016.0, 5007.6, 5013.0, 12, 12, 4, 8
2026/2/18, 10:00:00, 5012.0, 5012.0, 5004.6, 5006.7, 4, 4, 3, 1
2026/2/18, 11:00:00, 5006.9, 5009.7, 5003.8, 5003.8, 5, 5, 2, 3
2026/2/18, 12:00:00, 5012.6, 5036.0, 5012.2, 5036.0, 20, 18, 2, 18
2026/2/18, 13:00:00, 5044.3, 5061.3, 5041.0, 5044.9, 60, 42, 31, 29
2026/2/18, 14:00:00, 5055.0, 5088.8, 5049.4, 5088.8, 63, 54, 40, 23
2026/2/18, 15:00:00, 5089.7, 5101.8, 5089.7, 5090.0, 70, 55, 36, 34
2026/2/18, 16:00:00, 5092.5, 5104.0, 5086.3, 5104.0, 35, 24, 21, 14
2026/2/18, 17:00:00, 5096.0, 5096.0, 5091.6, 5092.8, 19, 17, 13, 6
2026/2/18, 18:00:00, 5093.6, 5093.6, 5075.7, 5080.0, 18, 16, 7, 11
2026/2/18, 19:00:00, 5085.3, 5089.0, 5068.5, 5074.1, 25, 18, 15, 10
2026/2/18, 20:00:00, 5072.9, 5080.0, 5072.9, 5075.4, 41, 17, 38, 3
2026/2/18, 21:00:00, 5078.3, 5078.3, 5073.8, 5074.7, 7, 3, 5, 2
2026/2/18, 23:00:00, 5065.0, 5079.1, 5060.9, 5068.3, 12, 11, 4, 8
2026/2/19, 00:00:00, 5053.0, 5064.0, 5053.0, 5053.0, 7, 7, 4, 3
2026/2/19, 01:00:00, 5057.1, 5059.3, 5057.1, 5058.5, 4, 4, 2, 2
2026/2/19, 02:00:00, 5066.3, 5070.4, 5066.0, 5066.0, 18, 17, 10, 8
2026/2/19, 04:00:00, 5072.9, 5077.0, 5070.2, 5077.0, 7, 7, 1, 6
2026/2/19, 05:00:00, 5078.8, 5091.1, 5078.4, 5088.5, 27, 25, 7, 20
2026/2/19, 06:00:00, 5090.0, 5112.0, 5090.0, 5112.0, 28, 15, 20, 8
2026/2/19, 07:00:00, 5112.8, 5112.8, 5103.0, 5103.0, 8, 7, 6, 2
2026/2/19, 08:00:00, 5103.0, 5115.5, 5103.0, 5107.0, 8, 8, 4, 4
2026/2/19, 09:00:00, 5106.9, 5106.9, 5088.0, 5089.2, 30, 27, 14, 16
2026/2/19, 10:00:00, 5079.3, 5085.8, 5079.3, 5084.9, 8, 8, 5, 3
2026/2/19, 11:00:00, 5077.8, 5080.2, 5075.8, 5075.8, 20, 11, 9, 11
2026/2/19, 12:00:00, 5074.8, 5082.5, 5074.8, 5080.0, 3, 3, 2, 1
2026/2/19, 13:00:00, 5075.8, 5092.7, 5071.2, 5091.9, 29, 27, 14, 15
2026/2/19, 14:00:00, 5080.8, 5102.5, 5059.3, 5100.6, 50, 40, 35, 15
2026/2/19, 15:00:00, 5097.0, 5115.9, 5094.9, 5107.5, 66, 55, 32, 34
2026/2/19, 16:00:00, 5108.0, 5108.0, 5085.0, 5085.0, 45, 35, 17, 28
2026/2/19, 17:00:00, 5090.9, 5092.5, 5078.9, 5078.9, 20, 18, 9, 11
2026/2/19, 18:00:00, 5078.2, 5078.3, 5070.3, 5075.3, 22, 17, 8, 14
2026/2/19, 19:00:00, 5075.5, 5083.9, 5075.5, 5079.6, 18, 16, 8, 10
2026/2/19, 20:00:00, 5084.0, 5093.1, 5084.0, 5093.1, 7, 5, 3, 4
2026/2/19, 21:00:00, 5093.3, 5093.3, 5091.7, 5092.3, 5, 5, 3, 2
2026/2/19, 23:00:00, 5093.2, 5100.6, 5080.0, 5081.7, 7, 7, 2, 5
2026/2/20, 00:00:00, 5085.0, 5096.5, 5081.6, 5096.5, 9, 8, 3, 6
2026/2/20, 01:00:00, 5100.6, 5106.8, 5089.7, 5089.7, 16, 16, 8, 8
2026/2/20, 02:00:00, 5089.3, 5100.0, 5086.8, 5087.0, 15, 15, 9, 6
2026/2/20, 03:00:00, 5082.8, 5091.5, 5079.9, 5085.0, 17, 17, 9, 8
2026/2/20, 04:00:00, 5084.9, 5093.8, 5084.5, 5090.4, 13, 13, 10, 3
2026/2/20, 05:00:00, 5093.6, 5104.7, 5092.1, 5104.7, 19, 19, 7, 12
2026/2/20, 06:00:00, 5107.7, 5122.9, 5106.6, 5117.3, 38, 28, 23, 15
2026/2/20, 07:00:00, 5115.0, 5119.8, 5101.0, 5101.0, 17, 16, 8, 9
2026/2/20, 08:00:00, 5104.7, 5125.0, 5100.1, 5125.0, 40, 40, 19, 21
2026/2/20, 09:00:00, 5126.0, 5135.0, 5126.0, 5127.5, 20, 15, 14, 6
2026/2/20, 10:00:00, 5121.6, 5131.2, 5119.0, 5127.7, 9, 9, 5, 4
2026/2/20, 11:00:00, 5128.4, 5128.4, 5110.0, 5110.0, 23, 20, 11, 12
2026/2/20, 12:00:00, 5110.0, 5117.9, 5108.9, 5116.5, 15, 15, 7, 8
2026/2/20, 13:00:00, 5118.2, 5144.1, 5118.2, 5140.5, 31, 27, 13, 18
2026/2/20, 14:00:00, 5140.0, 5157.0, 5135.8, 5147.6, 40, 40, 11, 29
2026/2/20, 15:00:00, 5133.0, 5143.9, 5087.2, 5138.5, 101, 78, 28, 73
2026/2/20, 16:00:00, 5143.8, 5164.4, 5135.8, 5162.7, 30, 27, 20, 10
2026/2/20, 17:00:00, 5164.1, 5172.8, 5154.2, 5171.4, 38, 33, 23, 15
2026/2/20, 18:00:00, 5170.6, 5171.0, 5164.0, 5170.0, 12, 12, 4, 8
2026/2/20, 19:00:00, 5171.1, 5180.0, 5171.0, 5179.4, 16, 13, 13, 3
2026/2/20, 20:00:00, 5177.7, 5195.3, 5177.7, 5195.3, 33, 25, 12, 21
2026/2/20, 21:00:00, 5194.0, 5205.0, 5192.0, 5204.0, 37, 32, 9, 28
2026/2/22, 23:00:00, 5204.1, 5269.1, 5203.8, 5266.4, 120, 104, 51, 69
2026/2/23, 00:00:00, 5265.3, 5265.3, 5229.0, 5245.0, 77, 66, 40, 37
2026/2/23, 01:00:00, 5240.0, 5265.1, 5240.0, 5260.0, 48, 37, 18, 30
2026/2/23, 02:00:00, 5264.2, 5276.4, 5259.5, 5274.5, 25, 24, 7, 18
2026/2/23, 03:00:00, 5275.5, 5276.0, 5254.0, 5267.1, 29, 25, 18, 11
2026/2/23, 04:00:00, 5267.9, 5267.9, 5256.9, 5257.8, 23, 18, 15, 8
2026/2/23, 05:00:00, 5256.3, 5258.1, 5253.7, 5258.1, 12, 12, 8, 4
2026/2/23, 06:00:00, 5260.0, 5260.1, 5245.0, 5245.0, 40, 38, 33, 7
2026/2/23, 07:00:00, 5243.0, 5251.6, 5225.0, 5237.0, 28, 23, 14, 14
2026/2/23, 08:00:00, 5232.6, 5236.3, 5222.5, 5227.4, 26, 20, 5, 21
2026/2/23, 09:00:00, 5242.4, 5247.6, 5242.4, 5245.5, 40, 27, 31, 9
2026/2/23, 10:00:00, 5249.0, 5261.2, 5248.0, 5261.1, 28, 21, 15, 13
2026/2/23, 11:00:00, 5248.0, 5252.7, 5248.0, 5249.0, 8, 8, 6, 2
2026/2/23, 12:00:00, 5248.0, 5263.4, 5248.0, 5262.5, 28, 23, 19, 9
2026/2/23, 13:00:00, 5262.0, 5262.0, 5243.6, 5244.4, 107, 98, 89, 18
2026/2/23, 14:00:00, 5244.0, 5300.4, 5243.0, 5290.3, 256, 214, 150, 106
2026/2/23, 15:00:00, 5290.3, 5305.0, 5285.3, 5295.3, 65, 51, 17, 48
2026/2/23, 16:00:00, 5292.8, 5319.1, 5277.0, 5314.1, 102, 78, 33, 69
2026/2/23, 17:00:00, 5310.2, 5310.2, 5289.8, 5305.0, 52, 40, 30, 22
2026/2/23, 18:00:00, 5301.2, 5308.8, 5301.2, 5304.5, 6, 6, 3, 3
2026/2/23, 19:00:00, 5308.0, 5316.0, 5307.9, 5314.0, 51, 31, 41, 10
2026/2/23, 20:00:00, 5315.0, 5335.3, 5315.0, 5335.3, 36, 35, 8, 28
2026/2/23, 21:00:00, 5334.7, 5334.7, 5326.2, 5326.6, 25, 24, 21, 4
2026/2/23, 23:00:00, 5337.0, 5346.9, 5334.7, 5335.0, 33, 31, 15, 18
2026/2/24, 00:00:00, 5330.0, 5332.0, 5317.1, 5321.2, 36, 30, 26, 10
2026/2/24, 01:00:00, 5315.0, 5315.0, 5243.1, 5267.0, 108, 98, 61, 47
2026/2/24, 02:00:00, 5275.0, 5285.0, 5264.9, 5284.0, 23, 22, 9, 14
2026/2/24, 03:00:00, 5289.4, 5290.0, 5270.7, 5270.7, 14, 14, 8, 6
2026/2/24, 04:00:00, 5260.0, 5271.1, 5260.0, 5268.4, 12, 12, 8, 4
2026/2/24, 05:00:00, 5264.0, 5278.4, 5264.0, 5278.4, 4, 4, 2, 2
2026/2/24, 06:00:00, 5276.0, 5283.3, 5264.0, 5264.0, 17, 17, 8, 9
2026/2/24, 07:00:00, 5268.2, 5278.5, 5264.0, 5278.5, 6, 6, 3, 3
2026/2/24, 08:00:00, 5264.2, 5279.0, 5264.2, 5268.2, 9, 6, 1, 8
2026/2/24, 09:00:00, 5277.9, 5277.9, 5265.4, 5265.4, 11, 11, 6, 5
2026/2/24, 10:00:00, 5262.3, 5266.0, 5261.9, 5266.0, 7, 4, 1, 6
2026/2/24, 11:00:00, 5272.3, 5272.3, 5272.3, 5272.3, 2, 1, 0, 2
2026/2/24, 12:00:00, 5268.0, 5268.0, 5242.5, 5248.2, 34, 30, 19, 15
2026/2/24, 13:00:00, 5255.6, 5255.6, 5208.7, 5208.7, 73, 53, 55, 18
2026/2/24, 14:00:00, 5213.4, 5235.2, 5197.8, 5226.1, 72, 59, 36, 36
2026/2/24, 15:00:00, 5219.7, 5251.6, 5219.7, 5243.2, 63, 55, 29, 34
2026/2/24, 16:00:00, 5247.0, 5247.0, 5239.1, 5239.1, 5, 4, 4, 1
2026/2/24, 17:00:00, 5239.1, 5260.1, 5239.1, 5260.1, 14, 14, 9, 5
2026/2/24, 18:00:00, 5261.6, 5266.0, 5251.5, 5258.1, 28, 27, 20, 8
2026/2/24, 19:00:00, 5245.3, 5251.9, 5245.3, 5249.9, 15, 9, 14, 1
2026/2/24, 20:00:00, 5255.3, 5268.6, 5255.3, 5259.5, 24, 22, 15, 9
2026/2/24, 21:00:00, 5256.4, 5256.4, 5245.0, 5245.0, 2, 2, 1, 1
2026/2/24, 23:00:00, 5239.7, 5248.0, 5220.0, 5248.0, 23, 19, 11, 12
