Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:05:00, 4964.0, 4964.0, 4963.2, 4963.2, 2, 2, 2, 0
2026/2/17, 23:10:00, 4970.0, 4970.0, 4970.0, 4970.0, 1, 1, 0, 1
2026/2/17, 23:45:00, 4960.0, 4960.0, 4960.0, 4960.0, 1, 1, 1, 0
2026/2/17, 23:55:00, 4950.1, 4950.1, 4950.0, 4950.1, 3, 3, 1, 2
2026/2/18, 00:20:00, 4954.3, 4954.3, 4954.3, 4954.3, 1, 1, 0, 1
2026/2/18, 00:25:00, 4960.3, 4960.3, 4960.3, 4960.3, 1, 1, 1, 0
2026/2/18, 00:30:00, 4960.4, 4969.0, 4960.4, 4969.0, 3, 3, 0, 3
2026/2/18, 00:35:00, 4969.3, 4969.3, 4969.3, 4969.3, 1, 1, 1, 0
2026/2/18, 00:40:00, 4970.2, 4970.2, 4968.0, 4968.5, 4, 4, 1, 3
2026/2/18, 00:50:00, 4970.0, 4971.0, 4970.0, 4970.4, 3, 3, 2, 1
2026/2/18, 01:00:00, 4969.3, 4975.9, 4969.3, 4973.6, 4, 4, 3, 1
2026/2/18, 01:05:00, 4974.7, 4980.0, 4974.7, 4980.0, 3, 3, 2, 1
2026/2/18, 01:10:00, 4974.7, 4980.7, 4974.6, 4977.0, 5, 5, 2, 3
2026/2/18, 01:15:00, 4977.0, 4977.0, 4977.0, 4977.0, 1, 1, 1, 0
2026/2/18, 01:20:00, 4975.6, 4975.6, 4973.7, 4973.7, 6, 4, 1, 5
2026/2/18, 01:25:00, 4977.7, 4977.7, 4977.7, 4977.7, 1, 1, 0, 1
2026/2/18, 01:35:00, 4979.6, 4979.6, 4979.6, 4979.6, 1, 1, 1, 0
2026/2/18, 01:50:00, 4974.0, 4974.0, 4974.0, 4974.0, 1, 1, 1, 0
2026/2/18, 01:55:00, 4979.0, 4980.0, 4979.0, 4980.0, 2, 2, 1, 1
2026/2/18, 02:05:00, 4990.0, 4991.1, 4987.5, 4991.1, 9, 8, 2, 7
2026/2/18, 02:10:00, 4991.0, 4991.0, 4991.0, 4991.0, 1, 1, 0, 1
2026/2/18, 02:15:00, 4988.9, 4988.9, 4987.3, 4987.3, 4, 4, 3, 1
2026/2/18, 02:20:00, 4987.7, 4987.7, 4987.7, 4987.7, 1, 1, 1, 0
2026/2/18, 02:25:00, 4992.3, 4993.5, 4992.3, 4992.8, 8, 8, 4, 4
2026/2/18, 02:30:00, 4993.1, 4995.0, 4993.1, 4995.0, 3, 3, 0, 3
2026/2/18, 02:35:00, 4997.0, 4997.0, 4995.3, 4995.3, 3, 3, 2, 1
2026/2/18, 02:40:00, 4996.3, 4996.3, 4995.8, 4995.8, 2, 2, 1, 1
2026/2/18, 02:45:00, 4997.6, 4997.6, 4996.1, 4996.2, 4, 3, 0, 4
2026/2/18, 03:00:00, 4997.9, 5005.0, 4997.9, 5005.0, 4, 4, 0, 4
2026/2/18, 03:10:00, 5004.5, 5004.5, 5002.7, 5002.7, 2, 2, 1, 1
2026/2/18, 03:20:00, 5009.8, 5009.8, 5009.8, 5009.8, 1, 1, 1, 0
2026/2/18, 03:25:00, 5010.9, 5010.9, 5010.9, 5010.9, 1, 1, 0, 1
2026/2/18, 03:50:00, 5010.4, 5010.4, 5010.4, 5010.4, 1, 1, 1, 0
