Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/11/27, 00:00:00, 2856.8, 2856.8, 2856.8, 2856.8, 125852, 26537
2024/11/29, 00:00:00, 2873.9, 2873.9, 2873.9, 2873.9, 144598, 27614
2024/12/2, 00:00:00, 2856.1, 2856.1, 2856.1, 2856.1, 138893, 28329
2024/12/3, 00:00:00, 2863.8, 2863.8, 2863.8, 2863.8, 107467, 28567
2024/12/4, 00:00:00, 2870.9, 2870.9, 2870.9, 2870.9, 108043, 29060
2024/12/5, 00:00:00, 2842.0, 2842.0, 2842.0, 2842.0, 110569, 31558
2024/12/6, 00:00:00, 2851.4, 2851.4, 2851.4, 2851.4, 122246, 28128
2024/12/9, 00:00:00, 2882.0, 2882.0, 2882.0, 2882.0, 131876, 28491
2024/12/10, 00:00:00, 2914.5, 2914.5, 2914.5, 2914.5, 120619, 28606
2024/12/11, 00:00:00, 2950.1, 2950.1, 2950.1, 2950.1, 175803, 30794
2024/12/12, 00:00:00, 2906.8, 2906.8, 2906.8, 2906.8, 168307, 34018
2024/12/13, 00:00:00, 2874.3, 2874.3, 2874.3, 2874.3, 141090, 34700
2024/12/16, 00:00:00, 2868.9, 2868.9, 2868.9, 2868.9, 84661, 35344
2024/12/17, 00:00:00, 2862.1, 2862.1, 2862.1, 2862.1, 111847, 34592
2024/12/18, 00:00:00, 2856.1, 2856.1, 2856.1, 2856.1, 110771, 35733
2024/12/19, 00:00:00, 2814.4, 2814.4, 2814.4, 2814.4, 133593, 36512
2024/12/20, 00:00:00, 2850.4, 2850.4, 2850.4, 2850.4, 113323, 34759
2024/12/23, 00:00:00, 2835.1, 2835.1, 2835.1, 2835.1, 77292, 35775
2024/12/24, 00:00:00, 2845.1, 2845.1, 2845.1, 2845.1, 45961, 33447
2024/12/26, 00:00:00, 2866.6, 2866.6, 2866.6, 2866.6, 62039, 33214
2024/12/27, 00:00:00, 2847.3, 2847.3, 2847.3, 2847.3, 74027, 31855
2024/12/30, 00:00:00, 2839.1, 2839.1, 2839.1, 2839.1, 83729, 32530
2024/12/31, 00:00:00, 2868.8, 2868.8, 2868.8, 2868.8, 66871, 32076
2025/1/2, 00:00:00, 2891.6, 2891.6, 2891.6, 2891.6, 89445, 33045
2025/1/3, 00:00:00, 2873.2, 2873.2, 2873.2, 2873.2, 83934, 32541
2025/1/6, 00:00:00, 2864.5, 2864.5, 2864.5, 2864.5, 119843, 33541
2025/1/7, 00:00:00, 2883.7, 2883.7, 2883.7, 2883.7, 104617, 32982
2025/1/8, 00:00:00, 2892.9, 2892.9, 2892.9, 2892.9, 105546, 32891
2025/1/9, 00:00:00, 2911.3, 2911.3, 2911.3, 2911.3, 86123, 34561
2025/1/10, 00:00:00, 2936.3, 2936.3, 2936.3, 2936.3, 166951, 32676
2025/1/13, 00:00:00, 2896.9, 2896.9, 2896.9, 2896.9, 141788, 32385
2025/1/14, 00:00:00, 2903.6, 2903.6, 2903.6, 2903.6, 94793, 33485
2025/1/15, 00:00:00, 2939.4, 2939.4, 2939.4, 2939.4, 120230, 33206
2025/1/16, 00:00:00, 2974.6, 2974.6, 2974.6, 2974.6, 120405, 34269
2025/1/17, 00:00:00, 2973.4, 2973.4, 2973.4, 2973.4, 107315, 34387
2025/1/21, 00:00:00, 2985.9, 2985.9, 2985.9, 2985.9, 234024, 37335
2025/1/22, 00:00:00, 2998.0, 2998.0, 2998.0, 2998.0, 112299, 38430
2025/1/23, 00:00:00, 2992.5, 2992.5, 2992.5, 2992.5, 122335, 38193
2025/1/24, 00:00:00, 3008.3, 3008.3, 3008.3, 3008.3, 141727, 38086
2025/1/27, 00:00:00, 2969.0, 2969.0, 2969.0, 2969.0, 146334, 37277
2025/1/28, 00:00:00, 3003.0, 3003.0, 3003.0, 3003.0, 96300, 37889
2025/1/29, 00:00:00, 2996.7, 2996.7, 2996.7, 2996.7, 96792, 36643
2025/1/30, 00:00:00, 3048.1, 3048.1, 3048.1, 3048.1, 126712, 30633
2025/1/31, 00:00:00, 3036.2, 3036.2, 3036.2, 3036.2, 124637, 28377
2025/2/3, 00:00:00, 3055.6, 3055.6, 3055.6, 3055.6, 151275, 29324
2025/2/4, 00:00:00, 3076.3, 3076.3, 3076.3, 3076.3, 109220, 30411
2025/2/5, 00:00:00, 3094.7, 3094.7, 3094.7, 3094.7, 130490, 32141
2025/2/6, 00:00:00, 3082.0, 3082.0, 3082.0, 3082.0, 125021, 31124
2025/2/7, 00:00:00, 3097.9, 3097.9, 3097.9, 3097.9, 132134, 31007
2025/2/10, 00:00:00, 3148.6, 3148.6, 3148.6, 3148.6, 120388, 35876
2025/2/11, 00:00:00, 3152.5, 3152.5, 3152.5, 3152.5, 178991, 32134
2025/2/12, 00:00:00, 3152.5, 3152.5, 3152.5, 3152.5, 155583, 31488
2025/2/13, 00:00:00, 3167.8, 3167.8, 3167.8, 3167.8, 120959, 33702
2025/2/14, 00:00:00, 3120.0, 3120.0, 3120.0, 3120.0, 172423, 32782
2025/2/18, 00:00:00, 3168.4, 3168.4, 3168.4, 3168.4, 201934, 33569
2025/2/19, 00:00:00, 3151.1, 3151.1, 3151.1, 3151.1, 139372, 33700
2025/2/20, 00:00:00, 3171.5, 3171.5, 3171.5, 3171.5, 158509, 35501
2025/2/21, 00:00:00, 3167.8, 3167.8, 3167.8, 3167.8, 149601, 35156
2025/2/24, 00:00:00, 3179.9, 3179.9, 3179.9, 3179.9, 135768, 36258
2025/2/25, 00:00:00, 3134.9, 3134.9, 3134.9, 3134.9, 167518, 34485
2025/2/26, 00:00:00, 3145.9, 3145.9, 3145.9, 3145.9, 123307, 32673
2025/2/27, 00:00:00, 3110.9, 3110.9, 3110.9, 3110.9, 166802, 32392
2025/2/28, 00:00:00, 3062.0, 3062.0, 3062.0, 3062.0, 148662, 30808
2025/3/3, 00:00:00, 3116.1, 3116.1, 3116.1, 3116.1, 136887, 31034
