Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 4975.0, 4991.2, 4975.0, 4991.2, 4, 4, 4, 0
2026/2/17, 23:05:00, 4991.0, 4991.0, 4991.0, 4991.0, 1, 1, 1, 0
2026/2/17, 23:15:00, 5001.4, 5001.4, 5001.4, 5001.4, 1, 1, 0, 1
2026/2/17, 23:30:00, 4990.6, 4990.6, 4990.6, 4990.6, 1, 1, 1, 0
2026/2/17, 23:40:00, 4995.1, 4995.1, 4995.1, 4995.1, 1, 1, 0, 1
2026/2/17, 23:45:00, 4987.6, 4987.6, 4987.6, 4987.6, 1, 1, 0, 1
2026/2/17, 23:50:00, 4980.0, 4980.0, 4979.9, 4979.9, 2, 2, 1, 1
2026/2/17, 23:55:00, 4974.7, 4974.7, 4974.7, 4974.7, 1, 1, 1, 0
2026/2/18, 00:00:00, 4988.3, 4988.3, 4988.3, 4988.3, 1, 1, 0, 1
2026/2/18, 00:15:00, 4988.5, 4988.5, 4988.5, 4988.5, 1, 1, 0, 1
2026/2/18, 01:00:00, 5004.9, 5004.9, 5004.9, 5004.9, 1, 1, 1, 0
2026/2/18, 01:10:00, 5008.7, 5008.7, 5008.7, 5008.7, 1, 1, 0, 1
2026/2/18, 01:35:00, 5010.5, 5010.5, 5010.5, 5010.5, 2, 1, 2, 0
2026/2/18, 02:00:00, 5011.6, 5013.7, 5011.2, 5011.2, 7, 7, 3, 4
2026/2/18, 02:05:00, 5018.7, 5018.7, 5018.7, 5018.7, 1, 1, 1, 0
2026/2/18, 02:30:00, 5025.8, 5025.8, 5025.8, 5025.8, 1, 1, 0, 1
2026/2/18, 02:35:00, 5026.8, 5026.8, 5025.5, 5025.5, 4, 4, 4, 0
2026/2/18, 02:45:00, 5027.5, 5027.5, 5027.5, 5027.5, 1, 1, 1, 0
2026/2/18, 03:00:00, 5030.4, 5030.7, 5029.6, 5029.6, 3, 3, 1, 2
2026/2/18, 04:05:00, 5050.0, 5050.0, 5050.0, 5050.0, 1, 1, 0, 1
2026/2/18, 04:10:00, 5052.3, 5052.3, 5052.3, 5052.3, 1, 1, 0, 1
2026/2/18, 05:00:00, 5059.1, 5059.1, 5059.1, 5059.1, 1, 1, 0, 1
2026/2/18, 06:20:00, 5055.0, 5055.0, 5055.0, 5055.0, 1, 1, 0, 1
2026/2/18, 07:10:00, 5058.4, 5058.4, 5058.4, 5058.4, 1, 1, 1, 0
2026/2/18, 08:05:00, 5050.0, 5050.0, 5050.0, 5050.0, 1, 1, 1, 0
2026/2/18, 12:25:00, 5047.1, 5047.5, 5047.1, 5047.5, 9, 6, 4, 5
2026/2/18, 12:30:00, 5046.1, 5046.1, 5046.1, 5046.1, 1, 1, 1, 0
2026/2/18, 12:55:00, 5060.5, 5060.5, 5060.5, 5060.5, 1, 1, 1, 0
