Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2025/11/30, 23:00:00, 4226.8, 4230.7, 4224.9, 4229.0, 7, 6, 2, 5
2025/11/30, 23:05:00, 4207.0, 4207.0, 4207.0, 4207.0, 1, 1, 1, 0
2025/11/30, 23:55:00, 4224.0, 4224.2, 4224.0, 4224.2, 2, 2, 1, 1
2025/12/1, 00:40:00, 4229.0, 4229.0, 4229.0, 4229.0, 2, 2, 0, 2
2025/12/1, 01:05:00, 4225.0, 4225.0, 4225.0, 4225.0, 2, 2, 2, 0
2025/12/1, 01:55:00, 4252.9, 4253.0, 4252.9, 4253.0, 2, 2, 1, 1
2025/12/1, 02:00:00, 4256.0, 4256.0, 4251.5, 4251.5, 2, 2, 0, 2
2025/12/1, 02:10:00, 4247.1, 4247.1, 4247.1, 4247.1, 1, 1, 1, 0
2025/12/1, 02:15:00, 4248.0, 4248.0, 4248.0, 4248.0, 1, 1, 1, 0
2025/12/1, 02:25:00, 4245.9, 4245.9, 4241.4, 4241.4, 3, 3, 2, 1
2025/12/1, 02:30:00, 4237.7, 4238.9, 4236.2, 4238.9, 4, 4, 1, 3
2025/12/1, 02:35:00, 4238.8, 4238.8, 4236.2, 4236.5, 4, 4, 2, 2
2025/12/1, 03:25:00, 4233.7, 4235.0, 4233.7, 4235.0, 4, 2, 2, 2
2025/12/1, 03:30:00, 4233.6, 4233.6, 4233.6, 4233.6, 2, 1, 2, 0
2025/12/1, 03:40:00, 4237.4, 4237.4, 4237.4, 4237.4, 1, 1, 1, 0
2025/12/1, 04:05:00, 4237.9, 4237.9, 4237.9, 4237.9, 2, 1, 0, 2
2025/12/1, 05:25:00, 4215.0, 4215.0, 4215.0, 4215.0, 1, 1, 1, 0
2025/12/1, 06:15:00, 4230.0, 4230.0, 4230.0, 4230.0, 2, 2, 2, 0
2025/12/1, 06:45:00, 4238.1, 4238.1, 4238.1, 4238.1, 1, 1, 0, 1
2025/12/1, 06:50:00, 4237.6, 4237.6, 4237.6, 4237.6, 1, 1, 1, 0
