Date, Time, Open, High, Low, Last, Volume, OpenInterest
2024/7/24, 00:00:00, 2679.0, 2679.0, 2679.0, 2679.0, 118065, 42916
2024/7/25, 00:00:00, 2612.8, 2612.8, 2612.8, 2612.8, 186710, 37523
2024/7/26, 00:00:00, 2641.2, 2641.2, 2641.2, 2641.2, 113077, 33978
2024/7/29, 00:00:00, 2639.0, 2639.0, 2639.0, 2639.0, 128627, 37099
2024/7/30, 00:00:00, 2666.2, 2666.2, 2666.2, 2666.2, 104197, 29527
2024/7/31, 00:00:00, 2688.8, 2688.8, 2688.8, 2688.8, 93388, 29743
2024/12/13, 00:00:00, 2889.3, 2889.3, 2889.3, 2889.3, 141090, 34700
2024/12/16, 00:00:00, 2883.9, 2883.9, 2883.9, 2883.9, 84661, 35344
2024/12/17, 00:00:00, 2877.6, 2877.6, 2877.6, 2877.6, 111847, 34592
2024/12/18, 00:00:00, 2871.6, 2871.6, 2871.6, 2871.6, 110771, 35733
2024/12/19, 00:00:00, 2829.9, 2829.9, 2829.9, 2829.9, 133593, 36512
2024/12/20, 00:00:00, 2865.9, 2865.9, 2865.9, 2865.9, 113323, 34759
2024/12/23, 00:00:00, 2850.7, 2850.7, 2850.7, 2850.7, 77292, 35775
2024/12/24, 00:00:00, 2860.8, 2860.8, 2860.8, 2860.8, 45961, 33447
2024/12/26, 00:00:00, 2882.8, 2882.8, 2882.8, 2882.8, 62039, 33214
2024/12/27, 00:00:00, 2863.6, 2863.6, 2863.6, 2863.6, 74027, 31855
2024/12/30, 00:00:00, 2856.2, 2856.2, 2856.2, 2856.2, 83729, 32530
2024/12/31, 00:00:00, 2886.1, 2886.1, 2886.1, 2886.1, 66871, 32076
2025/1/2, 00:00:00, 2908.9, 2908.9, 2908.9, 2908.9, 89445, 33045
2025/1/3, 00:00:00, 2890.5, 2890.5, 2890.5, 2890.5, 83934, 32541
2025/1/6, 00:00:00, 2881.8, 2881.8, 2881.8, 2881.8, 119843, 33541
2025/1/7, 00:00:00, 2901.0, 2901.0, 2901.0, 2901.0, 104617, 32982
2025/1/8, 00:00:00, 2910.2, 2910.2, 2910.2, 2910.2, 105546, 32891
2025/1/9, 00:00:00, 2928.6, 2928.6, 2928.6, 2928.6, 86123, 34561
