Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2026/2/17, 23:00:00, 5011.8, 5028.8, 5006.8, 5006.8, 6, 6, 3, 3
2026/2/18, 00:00:00, 5018.8, 5023.8, 5018.8, 5023.8, 6, 4, 0, 6
2026/2/18, 02:00:00, 5042.3, 5056.9, 5042.3, 5056.9, 11, 7, 9, 2
2026/2/18, 03:00:00, 5066.9, 5073.7, 5066.9, 5073.7, 18, 18, 6, 12
2026/2/18, 04:00:00, 5076.0, 5093.4, 5076.0, 5090.8, 17, 17, 12, 5
2026/2/18, 05:00:00, 5091.3, 5091.3, 5086.6, 5086.6, 3, 3, 0, 3
2026/2/18, 06:00:00, 5082.1, 5082.5, 5082.1, 5082.5, 3, 3, 1, 2
2026/2/18, 08:00:00, 5081.0, 5081.0, 5081.0, 5081.0, 1, 1, 1, 0
2026/2/18, 09:00:00, 5069.8, 5077.0, 5069.5, 5077.0, 3, 3, 2, 1
2026/2/18, 10:00:00, 5076.4, 5076.4, 5068.3, 5071.2, 7, 6, 5, 2
2026/2/18, 11:00:00, 5069.0, 5069.0, 5064.6, 5064.6, 15, 10, 12, 3
2026/2/18, 12:00:00, 5099.0, 5099.0, 5099.0, 5099.0, 1, 1, 0, 1
2026/2/18, 13:00:00, 5102.9, 5120.0, 5102.9, 5105.4, 11, 9, 5, 6
2026/2/18, 14:00:00, 5113.6, 5150.0, 5113.5, 5149.3, 44, 32, 24, 20
2026/2/18, 15:00:00, 5157.1, 5165.0, 5153.3, 5155.2, 36, 28, 21, 15
2026/2/18, 16:00:00, 5152.9, 5166.6, 5152.4, 5166.6, 9, 9, 5, 4
2026/2/18, 17:00:00, 5157.3, 5157.5, 5156.0, 5156.0, 8, 5, 4, 4
2026/2/18, 18:00:00, 5152.9, 5152.9, 5142.7, 5142.7, 8, 8, 8, 0
2026/2/18, 19:00:00, 5148.0, 5153.0, 5137.9, 5137.9, 6, 5, 5, 1
2026/2/18, 20:00:00, 5137.8, 5143.1, 5137.6, 5142.6, 11, 6, 6, 5
2026/2/18, 21:00:00, 5142.0, 5143.1, 5138.4, 5140.6, 17, 14, 9, 8
2026/2/18, 23:00:00, 5129.8, 5135.5, 5124.0, 5135.5, 4, 4, 3, 1
2026/2/19, 00:00:00, 5122.4, 5122.4, 5122.4, 5122.4, 1, 1, 1, 0
2026/2/19, 02:00:00, 5128.0, 5132.4, 5128.0, 5131.6, 5, 5, 1, 4
2026/2/19, 03:00:00, 5125.0, 5138.5, 5125.0, 5138.5, 3, 3, 1, 2
2026/2/19, 04:00:00, 5140.0, 5140.0, 5140.0, 5140.0, 1, 1, 1, 0
2026/2/19, 05:00:00, 5144.0, 5150.0, 5144.0, 5150.0, 3, 3, 0, 3
2026/2/19, 06:00:00, 5160.3, 5174.0, 5160.3, 5174.0, 14, 10, 7, 7
2026/2/19, 07:00:00, 5173.9, 5174.8, 5173.9, 5174.8, 5, 5, 1, 4
2026/2/19, 08:00:00, 5167.0, 5175.3, 5167.0, 5175.3, 13, 10, 9, 4
2026/2/19, 09:00:00, 5175.2, 5175.2, 5160.0, 5160.0, 3, 3, 3, 0
2026/2/19, 10:00:00, 5144.6, 5146.5, 5144.6, 5146.5, 2, 2, 1, 1
2026/2/19, 11:00:00, 5141.0, 5141.0, 5141.0, 5141.0, 1, 1, 1, 0
2026/2/19, 12:00:00, 5141.2, 5141.2, 5141.2, 5141.2, 1, 1, 1, 0
2026/2/19, 13:00:00, 5140.0, 5152.2, 5131.9, 5152.2, 13, 13, 8, 5
2026/2/19, 14:00:00, 5138.7, 5165.5, 5123.5, 5163.3, 43, 28, 24, 19
2026/2/19, 15:00:00, 5163.0, 5181.1, 5160.9, 5167.8, 20, 18, 15, 5
2026/2/19, 16:00:00, 5171.1, 5171.1, 5149.9, 5149.9, 10, 9, 6, 4
2026/2/19, 17:00:00, 5154.0, 5156.8, 5147.1, 5150.1, 5, 4, 3, 2
2026/2/19, 18:00:00, 5134.4, 5134.4, 5134.4, 5134.4, 1, 1, 1, 0
2026/2/19, 19:00:00, 5144.2, 5144.2, 5144.2, 5144.2, 1, 1, 1, 0
2026/2/19, 20:00:00, 5147.1, 5160.4, 5147.1, 5158.9, 14, 13, 6, 8
2026/2/19, 21:00:00, 5159.3, 5160.6, 5153.4, 5153.4, 8, 6, 4, 4
2026/2/20, 01:00:00, 5170.0, 5171.4, 5161.1, 5161.1, 12, 11, 9, 3
2026/2/20, 02:00:00, 5150.0, 5165.2, 5150.0, 5157.2, 7, 7, 5, 2
2026/2/20, 03:00:00, 5147.8, 5147.8, 5146.5, 5146.5, 2, 2, 2, 0
2026/2/20, 04:00:00, 5152.6, 5158.3, 5152.6, 5158.3, 2, 2, 1, 1
2026/2/20, 06:00:00, 5172.1, 5187.9, 5172.1, 5187.9, 25, 21, 10, 15
2026/2/20, 07:00:00, 5177.4, 5183.1, 5165.7, 5165.7, 15, 12, 9, 6
2026/2/20, 08:00:00, 5169.2, 5189.7, 5163.8, 5189.7, 15, 12, 5, 10
2026/2/20, 09:00:00, 5189.6, 5201.2, 5189.6, 5199.9, 4, 4, 1, 3
2026/2/20, 10:00:00, 5186.5, 5186.5, 5181.9, 5184.0, 4, 4, 3, 1
2026/2/20, 11:00:00, 5189.4, 5191.2, 5189.4, 5191.2, 2, 2, 1, 1
2026/2/20, 12:00:00, 5170.0, 5170.0, 5170.0, 5170.0, 1, 1, 1, 0
2026/2/20, 13:00:00, 5190.0, 5204.8, 5190.0, 5204.8, 4, 4, 0, 4
2026/2/20, 14:00:00, 5199.9, 5219.4, 5199.9, 5218.9, 19, 15, 10, 9
2026/2/20, 15:00:00, 5225.0, 5225.0, 5152.1, 5197.9, 28, 21, 15, 13
2026/2/20, 16:00:00, 5206.9, 5228.0, 5206.9, 5228.0, 10, 7, 4, 6
2026/2/20, 17:00:00, 5229.1, 5238.1, 5217.9, 5238.1, 14, 11, 6, 8
2026/2/20, 18:00:00, 5234.8, 5236.1, 5225.9, 5236.1, 18, 15, 12, 6
2026/2/20, 19:00:00, 5239.0, 5246.7, 5239.0, 5245.3, 11, 6, 2, 9
2026/2/20, 20:00:00, 5244.6, 5263.9, 5244.6, 5263.9, 9, 9, 2, 7
2026/2/20, 21:00:00, 5261.0, 5269.1, 5257.2, 5269.1, 9, 8, 5, 4
2026/2/22, 23:00:00, 5277.7, 5335.5, 5277.7, 5334.0, 27, 24, 8, 19
2026/2/23, 00:00:00, 5311.5, 5322.5, 5300.2, 5310.0, 10, 10, 6, 4
2026/2/23, 01:00:00, 5319.1, 5332.0, 5313.6, 5332.0, 10, 10, 6, 4
2026/2/23, 02:00:00, 5332.6, 5344.0, 5332.0, 5341.0, 11, 11, 3, 8
2026/2/23, 03:00:00, 5340.5, 5342.3, 5321.6, 5334.1, 14, 13, 11, 3
2026/2/23, 04:00:00, 5329.5, 5329.6, 5322.6, 5322.6, 3, 3, 1, 2
2026/2/23, 05:00:00, 5322.3, 5322.3, 5319.3, 5319.6, 12, 10, 6, 6
2026/2/23, 07:00:00, 5308.6, 5316.3, 5299.2, 5303.0, 15, 13, 12, 3
2026/2/23, 08:00:00, 5299.9, 5299.9, 5292.8, 5292.8, 3, 3, 3, 0
2026/2/23, 09:00:00, 5310.2, 5313.0, 5310.2, 5311.0, 5, 4, 2, 3
2026/2/23, 10:00:00, 5316.0, 5329.0, 5313.9, 5329.0, 7, 7, 3, 4
2026/2/23, 11:00:00, 5318.1, 5318.2, 5318.1, 5318.2, 2, 2, 1, 1
2026/2/23, 12:00:00, 5315.9, 5331.5, 5315.9, 5331.5, 7, 7, 2, 5
2026/2/23, 13:00:00, 5322.1, 5322.1, 5312.3, 5312.3, 3, 3, 2, 1
2026/2/23, 14:00:00, 5315.9, 5368.1, 5315.9, 5356.2, 53, 42, 16, 37
2026/2/23, 15:00:00, 5359.0, 5371.2, 5354.9, 5363.9, 46, 36, 21, 25
2026/2/23, 16:00:00, 5352.8, 5387.1, 5349.5, 5380.9, 40, 27, 19, 21
2026/2/23, 17:00:00, 5368.9, 5378.1, 5360.0, 5372.5, 9, 7, 5, 4
2026/2/23, 18:00:00, 5375.2, 5380.0, 5373.9, 5375.4, 10, 9, 7, 3
2026/2/23, 19:00:00, 5378.6, 5381.1, 5378.6, 5380.0, 7, 6, 1, 6
2026/2/23, 20:00:00, 5388.1, 5400.8, 5386.4, 5400.8, 14, 13, 6, 8
2026/2/23, 21:00:00, 5396.7, 5398.0, 5395.0, 5398.0, 7, 7, 3, 4
2026/2/24, 00:00:00, 5400.4, 5400.4, 5388.9, 5388.9, 6, 5, 3, 3
2026/2/24, 01:00:00, 5381.8, 5381.8, 5314.6, 5330.1, 15, 15, 8, 7
2026/2/24, 02:00:00, 5331.8, 5350.7, 5331.8, 5350.7, 7, 6, 5, 2
2026/2/24, 03:00:00, 5350.4, 5350.4, 5338.6, 5338.6, 4, 4, 4, 0
2026/2/24, 04:00:00, 5335.5, 5335.5, 5330.7, 5330.7, 5, 5, 3, 2
2026/2/24, 05:00:00, 5332.0, 5337.0, 5332.0, 5336.1, 3, 3, 1, 2
2026/2/24, 08:00:00, 5334.1, 5343.7, 5334.1, 5343.7, 2, 2, 1, 1
2026/2/24, 09:00:00, 5339.3, 5339.3, 5339.3, 5339.3, 1, 1, 1, 0
2026/2/24, 12:00:00, 5335.6, 5335.6, 5311.3, 5314.6, 7, 7, 6, 1
2026/2/24, 13:00:00, 5316.7, 5317.0, 5278.4, 5278.4, 13, 13, 10, 3
2026/2/24, 14:00:00, 5278.4, 5301.9, 5261.8, 5292.8, 29, 27, 15, 14
2026/2/24, 15:00:00, 5284.9, 5318.0, 5284.9, 5318.0, 11, 8, 8, 3
2026/2/24, 16:00:00, 5315.0, 5315.0, 5305.9, 5308.9, 10, 9, 8, 2
2026/2/24, 17:00:00, 5315.0, 5328.1, 5315.0, 5328.1, 21, 18, 2, 19
2026/2/24, 18:00:00, 5331.6, 5332.1, 5320.4, 5324.8, 18, 12, 8, 10
2026/2/24, 19:00:00, 5325.0, 5325.0, 5312.1, 5313.0, 16, 12, 11, 5
2026/2/24, 20:00:00, 5314.9, 5337.7, 5314.9, 5334.9, 30, 23, 11, 19
2026/2/24, 21:00:00, 5318.9, 5318.9, 5307.9, 5307.9, 3, 3, 1, 2
2026/2/24, 23:00:00, 5294.0, 5294.0, 5294.0, 5294.0, 1, 1, 0, 1
2026/2/25, 00:00:00, 5306.0, 5308.7, 5303.7, 5308.7, 3, 3, 1, 2
2026/2/25, 01:00:00, 5337.1, 5353.9, 5337.1, 5351.0, 19, 14, 3, 16
2026/2/25, 02:00:00, 5348.8, 5351.3, 5348.8, 5351.3, 5, 5, 2, 3
2026/2/25, 03:00:00, 5352.4, 5352.4, 5352.4, 5352.4, 1, 1, 0, 1
2026/2/25, 05:00:00, 5360.9, 5369.5, 5360.9, 5369.5, 2, 2, 0, 2
2026/2/25, 06:00:00, 5360.3, 5360.3, 5353.0, 5353.0, 2, 2, 2, 0
2026/2/25, 07:00:00, 5351.4, 5351.4, 5351.4, 5351.4, 1, 1, 0, 1
2026/2/25, 09:00:00, 5347.5, 5347.5, 5347.5, 5347.5, 1, 1, 1, 0
2026/2/25, 10:00:00, 5340.8, 5342.3, 5340.6, 5342.1, 66, 28, 39, 27
2026/2/25, 11:00:00, 5340.8, 5342.5, 5325.9, 5342.5, 16, 10, 8, 8
2026/2/25, 12:00:00, 5349.1, 5349.9, 5343.3, 5345.0, 7, 6, 4, 3
2026/2/25, 13:00:00, 5353.1, 5355.0, 5353.1, 5353.4, 4, 3, 2, 2
2026/2/25, 14:00:00, 5355.7, 5357.9, 5327.9, 5356.1, 14, 9, 10, 4
2026/2/25, 15:00:00, 5359.1, 5368.1, 5341.9, 5364.6, 15, 12, 9, 6
2026/2/25, 16:00:00, 5362.4, 5380.1, 5362.4, 5380.1, 11, 10, 4, 7
2026/2/25, 17:00:00, 5382.1, 5384.1, 5371.9, 5374.5, 13, 7, 7, 6
2026/2/25, 20:00:00, 5368.4, 5368.7, 5316.7, 5316.7, 11, 11, 7, 4
2026/2/25, 21:00:00, 5323.4, 5338.1, 5323.4, 5330.1, 29, 22, 3, 26
2026/2/25, 23:00:00, 5342.5, 5342.5, 5324.7, 5324.7, 10, 10, 7, 3
2026/2/26, 00:00:00, 5348.2, 5351.9, 5348.0, 5348.5, 6, 6, 3, 3
2026/2/26, 01:00:00, 5355.0, 5358.0, 5347.5, 5347.6, 6, 5, 1, 5
2026/2/26, 02:00:00, 5356.8, 5356.8, 5338.5, 5338.5, 5, 5, 4, 1
2026/2/26, 03:00:00, 5352.6, 5355.7, 5352.6, 5354.2, 5, 5, 0, 5
2026/2/26, 04:00:00, 5355.7, 5361.7, 5355.7, 5357.0, 7, 7, 3, 4
2026/2/26, 05:00:00, 5359.3, 5368.6, 5359.2, 5366.8, 11, 8, 1, 10
2026/2/26, 06:00:00, 5358.0, 5358.0, 5354.2, 5354.2, 2, 2, 2, 0
2026/2/26, 07:00:00, 5348.7, 5350.8, 5346.7, 5350.0, 13, 13, 6, 7
2026/2/26, 08:00:00, 5349.6, 5349.6, 5330.0, 5343.8, 3, 3, 2, 1
2026/2/26, 09:00:00, 5343.5, 5349.1, 5338.0, 5349.1, 7, 7, 4, 3
2026/2/26, 10:00:00, 5350.2, 5350.2, 5335.8, 5335.8, 3, 3, 2, 1
2026/2/26, 11:00:00, 5337.0, 5337.0, 5325.7, 5325.7, 3, 3, 3, 0
2026/2/26, 12:00:00, 5342.2, 5347.8, 5342.2, 5347.8, 3, 3, 0, 3
2026/2/26, 13:00:00, 5335.0, 5335.0, 5327.7, 5327.7, 7, 5, 4, 3
2026/2/26, 14:00:00, 5331.1, 5333.5, 5308.8, 5329.5, 14, 10, 6, 8
2026/2/26, 15:00:00, 5317.2, 5355.8, 5295.2, 5349.6, 29, 24, 8, 21
2026/2/26, 16:00:00, 5343.7, 5347.7, 5340.2, 5340.2, 20, 18, 6, 14
2026/2/26, 17:00:00, 5345.9, 5350.4, 5324.7, 5329.3, 5, 5, 2, 3
2026/2/26, 18:00:00, 5330.8, 5348.7, 5330.8, 5345.1, 13, 13, 8, 5
2026/2/26, 19:00:00, 5349.0, 5357.9, 5349.0, 5357.9, 7, 7, 4, 3
2026/2/26, 20:00:00, 5358.1, 5362.2, 5358.1, 5362.2, 2, 2, 0, 2
2026/2/26, 21:00:00, 5350.3, 5355.0, 5350.3, 5355.0, 2, 2, 0, 2
2026/2/26, 23:00:00, 5346.3, 5349.1, 5346.3, 5349.1, 2, 2, 1, 1
2026/2/27, 00:00:00, 5346.4, 5346.4, 5339.0, 5339.8, 4, 4, 0, 4
2026/2/27, 01:00:00, 5350.8, 5356.3, 5350.8, 5356.3, 9, 8, 1, 8
2026/2/27, 02:00:00, 5358.3, 5358.3, 5337.6, 5343.4, 15, 14, 3, 12
2026/2/27, 03:00:00, 5347.7, 5351.0, 5345.6, 5350.1, 9, 8, 7, 2
2026/2/27, 05:00:00, 5352.0, 5362.4, 5352.0, 5362.4, 8, 8, 4, 4
2026/2/27, 06:00:00, 5360.9, 5360.9, 5358.2, 5358.2, 2, 2, 1, 1
2026/2/27, 07:00:00, 5345.3, 5345.3, 5340.5, 5344.0, 4, 4, 3, 1
2026/2/27, 08:00:00, 5340.6, 5340.6, 5337.6, 5337.6, 2, 2, 2, 0
2026/2/27, 09:00:00, 5341.0, 5341.0, 5335.8, 5335.8, 3, 3, 1, 2
2026/2/27, 10:00:00, 5336.0, 5336.5, 5333.3, 5333.4, 8, 6, 8, 0
2026/2/27, 11:00:00, 5338.9, 5344.7, 5338.9, 5344.7, 5, 5, 1, 4
2026/2/27, 12:00:00, 5351.2, 5351.8, 5351.2, 5351.8, 2, 2, 0, 2
2026/2/27, 13:00:00, 5356.8, 5406.4, 5356.8, 5379.4, 37, 36, 6, 31
2026/2/27, 14:00:00, 5394.2, 5399.3, 5381.6, 5391.3, 29, 22, 11, 18
2026/2/27, 15:00:00, 5402.4, 5410.7, 5379.9, 5410.1, 43, 38, 27, 16
2026/2/27, 16:00:00, 5402.0, 5423.4, 5399.9, 5400.0, 45, 34, 26, 19
2026/2/27, 17:00:00, 5394.2, 5401.7, 5393.0, 5399.8, 15, 13, 9, 6
2026/2/27, 18:00:00, 5402.2, 5411.8, 5391.0, 5411.8, 22, 12, 10, 12
2026/2/27, 19:00:00, 5412.7, 5416.5, 5410.5, 5416.5, 10, 10, 4, 6
2026/2/27, 20:00:00, 5422.1, 5432.1, 5422.1, 5429.1, 23, 18, 6, 17
2026/2/27, 21:00:00, 5430.2, 5444.4, 5425.9, 5444.4, 4, 3, 3, 1
2026/3/1, 23:00:00, 5450.1, 5557.6, 5450.1, 5554.1, 91, 77, 39, 52
2026/3/2, 00:00:00, 5548.9, 5548.9, 5509.0, 5509.0, 16, 14, 10, 6
2026/3/2, 01:00:00, 5500.0, 5502.0, 5468.2, 5488.9, 26, 23, 18, 8
2026/3/2, 02:00:00, 5497.7, 5513.0, 5490.4, 5512.6, 17, 17, 7, 10
2026/3/2, 03:00:00, 5517.0, 5529.8, 5517.0, 5529.8, 15, 15, 4, 11
2026/3/2, 04:00:00, 5527.5, 5530.2, 5514.1, 5515.1, 16, 13, 4, 12
2026/3/2, 05:00:00, 5515.1, 5517.0, 5509.8, 5517.0, 17, 13, 11, 6
2026/3/2, 06:00:00, 5538.4, 5555.7, 5538.4, 5555.2, 18, 16, 4, 14
2026/3/2, 07:00:00, 5556.4, 5583.0, 5555.3, 5577.3, 21, 20, 8, 13
2026/3/2, 08:00:00, 5573.1, 5583.0, 5558.5, 5558.5, 11, 11, 7, 4
