Date, Time, Open, High, Low, Last, Volume, OpenInterest
2025/12/1, 00:00:00, 26529.50, 26529.50, 26529.50, 26529.50, 1830847, 201107
2025/12/2, 00:00:00, 26744.50, 26744.50, 26744.50, 26744.50, 1837575, 203707
2025/12/3, 00:00:00, 26793.50, 26793.50, 26793.50, 26793.50, 1580627, 217484
2025/12/4, 00:00:00, 26758.75, 26758.75, 26758.75, 26758.75, 1622373, 218696
2025/12/5, 00:00:00, 26920.75, 26920.75, 26920.75, 26920.75, 1544367, 212130
2025/12/8, 00:00:00, 26852.25, 26852.25, 26852.25, 26852.25, 1401060, 217570
2025/12/9, 00:00:00, 26888.25, 26888.25, 26888.25, 26888.25, 1209791, 217362
2025/12/10, 00:00:00, 26988.50, 26988.50, 26988.50, 26988.50, 1718468, 218933
2025/12/11, 00:00:00, 26906.50, 26906.50, 26906.50, 26906.50, 1985586, 217662
2025/12/12, 00:00:00, 26405.50, 26405.50, 26405.50, 26405.50, 2278042, 234142
2025/12/15, 00:00:00, 26278.75, 26278.75, 26278.75, 26278.75, 1812584, 242587
2025/12/16, 00:00:00, 26317.25, 26317.25, 26317.25, 26317.25, 2255401, 251741
2025/12/17, 00:00:00, 25830.50, 25830.50, 25830.50, 25830.50, 2119348, 266476
2025/12/18, 00:00:00, 26191.75, 26191.75, 26191.75, 26191.75, 2148321, 163386
2025/12/19, 00:00:00, 26512.25, 26512.25, 26512.25, 26512.25, 1367773, 81346
2025/12/22, 00:00:00, 26628.00, 26628.00, 26628.00, 26628.00, 1050193, 83511
2025/12/23, 00:00:00, 26750.00, 26750.00, 26750.00, 26750.00, 902917, 87530
2025/12/24, 00:00:00, 26819.25, 26819.25, 26819.25, 26819.25, 426222, 88415
2025/12/26, 00:00:00, 26803.00, 26803.00, 26803.00, 26803.00, 656994, 91351
2025/12/29, 00:00:00, 26684.00, 26684.00, 26684.00, 26684.00, 1111915, 95526
2025/12/30, 00:00:00, 26603.00, 26603.00, 26603.00, 26603.00, 900946, 99122
2025/12/31, 00:00:00, 26373.00, 26373.00, 26373.00, 26373.00, 1012469, 96389
2026/1/2, 00:00:00, 26298.00, 26601.75, 26298.00, 26298.00, 1685807, 95486
2026/1/5, 00:00:00, 26491.75, 26505.50, 26491.75, 26491.75, 1368140, 95095
2026/1/6, 00:00:00, 26739.00, 26739.00, 26739.00, 26739.00, 1370789, 101243
2026/1/7, 00:00:00, 26725.50, 26800.00, 26725.50, 26725.50, 1386616, 99231
2026/1/8, 00:00:00, 26580.00, 26580.00, 26580.00, 26580.00, 1643491, 97802
2026/1/9, 00:00:00, 26835.00, 26835.00, 26835.00, 26835.00, 1605817, 97665
2026/1/12, 00:00:00, 26855.00, 26855.00, 26746.25, 26855.00, 1369551, 93937
2026/1/13, 00:00:00, 26803.75, 26803.75, 26803.75, 26803.75, 1823283, 85251
2026/1/14, 00:00:00, 26526.75, 26526.75, 26526.75, 26526.75, 2147640, 85932
2026/1/15, 00:00:00, 26605.25, 26689.75, 26605.25, 26605.25, 1816672, 80019
2026/1/16, 00:00:00, 26588.00, 26624.75, 26588.00, 26588.00, 1533517, 77609
2026/1/20, 00:00:00, 26030.00, 26030.00, 26030.00, 26030.00, 3190171, 88478
2026/1/21, 00:00:00, 26376.75, 26376.75, 26376.75, 26376.75, 2706952, 82547
2026/1/22, 00:00:00, 26566.00, 26566.00, 26566.00, 26566.00, 1739342, 82026
2026/1/23, 00:00:00, 26645.75, 26645.75, 26645.75, 26645.75, 1716319, 86604
2026/1/26, 00:00:00, 26777.00, 26802.50, 26756.00, 26777.00, 1522199, 89759
2026/1/27, 00:00:00, 27025.75, 27050.00, 27002.00, 27002.00, 1276374, 90897
2026/1/28, 00:00:00, 27213.50, 27213.50, 27090.00, 27090.00, 1662113, 87840
2026/1/29, 00:00:00, 26931.00, 27138.00, 26808.25, 26931.00, 2453237, 87747
2026/1/30, 00:00:00, 26600.00, 26600.00, 26600.00, 26600.00, 2641023, 90728
2026/2/2, 00:00:00, 26389.25, 26781.00, 26238.25, 26781.00, 2010612, 96909
2026/2/3, 00:00:00, 26382.00, 26382.00, 26382.00, 26382.00, 2615765, 109610
2026/2/4, 00:00:00, 25922.00, 25922.00, 25849.50, 25922.00, 2645885, 123044
2026/2/5, 00:00:00, 25568.00, 25568.00, 25455.75, 25568.00, 2650275, 123311
2026/2/6, 00:00:00, 26085.00, 26085.00, 25475.00, 26085.00, 2145123, 112856
2026/2/9, 00:00:00, 26275.75, 26275.75, 25995.50, 26275.75, 1676228, 110934
2026/2/10, 00:00:00, 26138.75, 26138.75, 26138.75, 26138.75, 1930721, 113838
2026/2/11, 00:00:00, 26200.00, 26211.00, 26200.00, 26211.00, 2201016, 120761
2026/2/12, 00:00:00, 25689.00, 25689.00, 25689.00, 25689.00, 2467078, 137471
2026/2/13, 00:00:00, 25723.00, 25723.00, 25723.00, 25723.00, 2530750, 140223
2026/2/17, 00:00:00, 25686.50, 25686.50, 25497.50, 25686.50, 3065392, 144386
2026/2/18, 00:00:00, 25930.00, 25930.00, 25877.00, 25877.00, 1833329, 130428
2026/2/19, 00:00:00, 25778.75, 25778.75, 25778.75, 25778.75, 2100846, 140073
2026/2/20, 00:00:00, 25553.75, 25989.00, 25553.75, 25989.00, 2200023, 143179
2026/2/23, 00:00:00, 25679.75, 25679.75, 25679.75, 25679.75, 1993267, 147860
2026/2/24, 00:00:00, 25947.00, 25947.00, 25947.00, 25947.00, 1791090, 145659
2026/2/25, 00:00:00, 26303.00, 26303.00, 26303.00, 26303.00, 1421608, 141227
2026/2/26, 00:00:00, 26001.25, 26001.25, 25905.00, 26001.25, 2209475, 164208
2026/2/27, 00:00:00, 25913.00, 25913.00, 25836.50, 25913.00, 2140591, 166151
2026/3/2, 00:00:00, 25823.00, 25934.50, 25654.25, 25934.50, 2373497, 166946
2026/3/3, 00:00:00, 25661.00, 25661.00, 25492.50, 25661.00, 2868254, 170836
2026/3/4, 00:00:00, 26037.25, 26037.25, 25550.50, 26037.25, 2218174, 158762
2026/3/5, 00:00:00, 25956.25, 25956.25, 25815.75, 25956.25, 2543051, 162913
2026/3/6, 00:00:00, 25675.00, 25675.00, 25583.75, 25583.75, 2690615, 167739
2026/3/9, 00:00:00, 25900.50, 25900.50, 25034.00, 25900.50, 2666934, 159899
2026/3/10, 00:00:00, 25900.00, 25920.50, 25867.75, 25890.75, 2354444, 154685
2026/3/11, 00:00:00, 25892.00, 25892.00, 25892.00, 25892.00, 1946596, 155649
2026/3/12, 00:00:00, 25467.50, 25467.50, 25467.50, 25467.50, 2206205, 160998
2026/3/13, 00:00:00, 25303.00, 25303.00, 25303.00, 25303.00, 2365126, 166014
2026/3/16, 00:00:00, 25624.50, 25624.50, 25587.50, 25587.50, 1992731, 173654
2026/3/17, 00:00:00, 25711.75, 25711.75, 25537.25, 25711.75, 1654252, 170606
2026/3/18, 00:00:00, 25565.00, 25778.00, 25347.50, 25347.50, 1858530, 174136
