Date, Time, Open, High, Low, Last, Volume, OpenInterest
2025/3/3, 00:00:00, 21549.50, 21549.50, 21549.50, 21549.50, 2481067, 165034
2025/3/4, 00:00:00, 21475.75, 21475.75, 21475.75, 21475.75, 2672491, 162442
2025/3/5, 00:00:00, 21744.25, 21744.25, 21744.25, 21744.25, 2445681, 158562
2025/3/6, 00:00:00, 21156.50, 21156.50, 21156.50, 21156.50, 2449359, 163278
2025/3/7, 00:00:00, 21296.50, 21296.50, 21296.50, 21296.50, 2711519, 159085
2025/3/10, 00:00:00, 20500.75, 20500.75, 20500.75, 20500.75, 2666498, 172122
2025/3/11, 00:00:00, 20449.00, 20449.00, 20449.00, 20449.00, 3058111, 163362
2025/3/12, 00:00:00, 20610.25, 20610.25, 20610.25, 20610.25, 2435681, 163589
2025/3/13, 00:00:00, 20238.25, 20238.25, 20238.25, 20238.25, 2688098, 167658
2025/3/14, 00:00:00, 20708.25, 20708.25, 20708.25, 20708.25, 2120046, 172664
2025/3/17, 00:00:00, 20869.25, 20869.25, 20869.25, 20869.25, 1922806, 177323
2025/3/18, 00:00:00, 20528.25, 20528.25, 20528.25, 20528.25, 2051611, 189594
2025/3/19, 00:00:00, 20778.00, 20778.00, 20778.00, 20778.00, 1994263, 189644
2025/3/20, 00:00:00, 20708.50, 20708.50, 20708.50, 20708.50, 2069755, 143505
2025/3/21, 00:00:00, 20788.50, 20788.50, 20788.50, 20788.50, 1796592, 59410
2025/3/24, 00:00:00, 21205.00, 21205.00, 21205.00, 21205.00, 1321216, 68818
2025/3/25, 00:00:00, 21319.25, 21319.25, 21319.25, 21319.25, 1261402, 70401
2025/3/26, 00:00:00, 20946.75, 20946.75, 20946.75, 20946.75, 1608501, 76741
2025/3/27, 00:00:00, 20818.75, 20818.75, 20818.75, 20818.75, 1899830, 80057
2025/3/28, 00:00:00, 20272.75, 20272.75, 20272.75, 20272.75, 1941007, 89685
2025/3/31, 00:00:00, 20259.25, 20259.25, 20259.25, 20259.25, 2173451, 93086
2025/4/1, 00:00:00, 20372.75, 20372.75, 20372.75, 20372.75, 2258491, 94587
2025/4/2, 00:00:00, 20538.00, 20538.00, 20538.00, 20538.00, 2406027, 93081
2025/4/3, 00:00:00, 19442.00, 19442.00, 19442.00, 19442.00, 2518476, 107071
2025/4/4, 00:00:00, 18290.00, 18290.00, 18290.00, 18290.00, 3321304, 102382
2025/4/7, 00:00:00, 18316.00, 18316.00, 17579.25, 18316.00, 3538219, 106336
2025/4/8, 00:00:00, 17976.00, 17976.00, 17888.00, 17976.00, 2888332, 121946
2025/4/9, 00:00:00, 17496.00, 20058.75, 17463.25, 20058.75, 3078748, 117602
2025/4/10, 00:00:00, 19236.25, 19236.25, 18885.50, 19236.25, 2860158, 128826
2025/4/11, 00:00:00, 19564.25, 19564.25, 18927.50, 19564.25, 2495065, 131264
2025/4/14, 00:00:00, 19695.50, 19827.75, 19695.50, 19695.50, 2192471, 143215
2025/4/15, 00:00:00, 19718.50, 19723.25, 19667.00, 19718.50, 1818340, 142627
2025/4/16, 00:00:00, 19140.00, 19140.00, 18974.50, 19140.00, 2185234, 149068
2025/4/17, 00:00:00, 19137.50, 19152.00, 19108.25, 19137.50, 2039229, 147546
2025/4/21, 00:00:00, 18671.00, 18671.00, 18549.50, 18671.00, 1617969, 154404
2025/4/22, 00:00:00, 19135.25, 19135.25, 19135.25, 19135.25, 1881525, 151870
